Date,PHU_num,One_dose_percentage
2021-08-13,2226,82.51
2021-08-13,2227,81.17
2021-08-14,2226,82.57
2021-08-14,2227,81.27
2021-08-15,2226,82.65
2021-08-15,2227,81.33
2021-08-16,2226,82.65
2021-08-16,2227,81.35
2021-08-17,2226,82.7
2021-08-17,2227,81.43
2021-08-18,2226,82.86
2021-08-18,2227,81.55
2021-08-19,2226,82.98
2021-08-19,2227,81.65
2021-08-20,2226,83.1
2021-08-20,2227,81.8
2021-08-21,2226,83.25
2021-08-21,2227,81.94
2021-08-22,2226,83.29
2021-08-22,2227,82.03
2021-08-23,2226,83.3
2021-08-23,2227,82.06
2021-08-24,2226,83.41
2021-08-24,2227,82.16
2021-08-25,2226,83.63
2021-08-25,2227,82.3
2021-08-26,2226,83.71
2021-08-26,2227,82.4
2021-08-27,2226,83.81
2021-08-27,2227,82.51
2021-08-28,2226,83.98
2021-08-28,2227,82.66
2021-08-29,2226,84.03
2021-08-29,2227,82.75
2021-08-30,2226,84.05
2021-08-30,2227,82.78
2021-08-31,2226,84.1
2021-08-31,2227,82.87
2021-09-01,2226,84.33
2021-09-01,2227,83.02
2021-09-02,2226,84.45
2021-09-02,2227,83.15
2021-09-03,2226,84.65
2021-09-03,2227,83.16
2021-09-04,2226,84.77
2021-09-04,2227,82.79
2021-09-05,2226,84.8
2021-09-05,2227,82.81
2021-09-06,2226,84.84
2021-09-06,2227,82.53
2021-09-07,2226,84.84
2021-09-07,2227,82.54
2021-09-08,2226,84.99
2021-09-08,2227,82.66
2021-09-09,2226,85.18
2021-09-09,2227,82.1
2021-09-10,2226,85.3
2021-09-10,2227,81.85
2021-09-11,2226,85.61
2021-09-11,2227,82.09
2021-09-12,2226,85.66
2021-09-12,2227,82.16
2021-09-13,2226,85.69
2021-09-13,2227,82.19
2021-09-14,2226,85.78
2021-09-14,2227,82.29
2021-09-15,2226,85.91
2021-09-15,2227,82.48
2021-09-16,2226,86.25
2021-09-16,2227,82.62
2021-09-17,2226,86.34
