Date,PHU_num,one_or_more_doses_cumulative,num_negative_7d_average
2021-11-27,2226,92329,506
2021-11-28,2226,92366,477
2021-11-29,2226,92378,484
2021-11-30,2226,92416,497
2021-12-01,2226,93607,473
2021-12-02,2226,93916,484
2021-12-03,2226,94334,490
2021-12-04,2226,94628,482
2021-12-05,2226,94941,489
2021-12-06,2226,94970,490
2021-12-07,2226,95101,481
2021-12-08,2226,95314,493
2021-12-09,2226,95547,471
2021-12-10,2226,95748,461
2021-12-11,2226,95841,459
2021-12-12,2226,96094,458
2021-12-13,2226,96106,447
2021-12-14,2226,96161,439
2021-12-15,2226,96223,437
2021-12-16,2226,96416,440
2021-12-17,2226,96500,428
2021-12-18,2226,96613,430
2021-12-19,2226,96742,432
2021-12-20,2226,96757,424
2021-12-21,2226,96830,407
2021-12-22,2226,96918,386
2021-12-23,2226,97017,366
2021-12-24,2226,97087,333
2021-12-25,2226,97103,304
2021-12-26,2226,97103,277
2021-12-27,2226,97101,258
2021-12-28,2226,97168,264
2021-12-29,2226,97229,282
2021-12-30,2226,97290,295
2021-12-31,2226,97348,304
2022-01-01,2226,97354,316
2022-01-02,2226,97355,322
2022-01-03,2226,97360,311
2022-01-04,2226,97404,299
2022-01-05,2226,97462,270
2022-01-06,2226,97539,241
2022-01-07,2226,97718,257
2022-01-08,2226,97764,245
2022-01-09,2226,97773,240
2022-01-10,2226,97787,250
2022-01-11,2226,97835,231
2022-01-12,2226,97912,232
2022-01-13,2226,98064,237
2022-01-14,2226,98203,233
2022-01-15,2226,98354,238
2022-01-16,2226,98383,231
2022-01-17,2226,98390,238
2022-01-18,2226,98463,261
2022-01-19,2226,98596,277
2022-01-20,2226,98647,284
2022-01-21,2226,98753,327
2022-01-22,2226,98815,322
2022-01-23,2226,98831,319
2022-01-24,2226,98837,346
2022-01-25,2226,98892,349
2022-01-26,2226,98966,337
2022-01-27,2226,99021,328
2022-01-28,2226,99044,294
2022-01-29,2226,99070,292
2022-01-30,2226,99083,295
2022-01-31,2226,99083,272
2022-02-01,2226,99106,264
2022-02-02,2226,99149,273
2022-02-03,2226,99234,264
2022-02-04,2226,99273,233
2022-02-05,2226,99363,241
2022-02-06,2226,99396,249
2022-02-07,2226,99398,236
2022-02-08,2226,99409,229
2022-02-09,2226,99466,206
2022-02-10,2226,99528,219
2022-02-11,2226,99553,218
2022-02-12,2226,99589,213
2022-02-13,2226,99601,208
2022-02-14,2226,99647,211
2022-02-15,2226,99659,199
2022-02-16,2226,99673,202
2022-02-17,2226,99697,201
2022-02-18,2226,99707,195
2022-02-19,2226,99730,192
2022-02-20,2226,99746,188
2022-02-21,2226,99748,168
2022-02-22,2226,99747,184
2022-02-23,2226,99771,180
2022-02-24,2226,99784,160
2022-02-25,2226,99804,170
2022-02-26,2226,99817,176
2022-02-27,2226,99843,181
2022-02-28,2226,99844,189
2022-03-01,2226,99847,181
2022-03-02,2226,99856,183
2022-03-03,2226,99866,183
2022-03-04,2226,99872,174
2022-03-05,2226,99880,166
