Date,PHU_num,One_dose_percentage
2021-08-13,2226,82.51
2021-08-13,2227,81.17
2021-08-13,2230,82.84
2021-08-13,2233,80.42
2021-08-13,2234,74.34
2021-08-13,2235,82.49
2021-08-13,2236,84.76
2021-08-13,2237,77.55
2021-08-13,2238,78.88
2021-08-13,2240,76.37
2021-08-13,2241,82.94
2021-08-13,2242,76.79
2021-08-13,2243,90.07
2021-08-13,2244,83.19
2021-08-13,2246,81.51
2021-08-13,2247,78.75
2021-08-13,2249,80.7
2021-08-13,2251,84.67
2021-08-13,2253,81.13
2021-08-13,2255,81.27
2021-08-13,2256,78.58
2021-08-13,2257,77.51
2021-08-13,2258,81.22
2021-08-13,2260,80.29
2021-08-13,2261,79.25
2021-08-13,2262,86.45
2021-08-13,2263,78.54
2021-08-13,2265,84.85
2021-08-13,2266,82.79
2021-08-13,2268,79.08
2021-08-13,2270,81.31
2021-08-13,3895,79.44
2021-08-13,4913,80.2
2021-08-13,5183,83.96
2021-08-13,9999,0
2021-08-14,2226,82.57
2021-08-14,2227,81.27
2021-08-14,2230,82.93
2021-08-14,2233,80.47
2021-08-14,2234,74.39
2021-08-14,2235,82.6
2021-08-14,2236,84.85
2021-08-14,2237,77.67
2021-08-14,2238,79.06
2021-08-14,2240,76.41
2021-08-14,2241,82.85
2021-08-14,2242,76.83
2021-08-14,2243,90.22
2021-08-14,2244,83.31
2021-08-14,2246,81.64
2021-08-14,2247,78.97
2021-08-14,2249,80.8
2021-08-14,2251,84.77
2021-08-14,2253,81.21
2021-08-14,2255,81.32
2021-08-14,2256,78.66
2021-08-14,2257,77.58
2021-08-14,2258,81.31
2021-08-14,2260,80.39
2021-08-14,2261,79.4
2021-08-14,2262,86.52
2021-08-14,2263,78.59
2021-08-14,2265,84.97
2021-08-14,2266,82.9
2021-08-14,2268,79.17
2021-08-14,2270,81.39
2021-08-14,3895,79.52
2021-08-14,4913,80.35
2021-08-14,5183,84.05
2021-08-14,9999,0
2021-08-15,2226,82.65
