Date,one dose cumulative
2021-08-13,82.51
2021-08-14,82.57
2021-08-15,82.65
2021-08-16,82.65
2021-08-17,82.7
2021-08-18,82.86
2021-08-19,82.98
2021-08-20,83.1
2021-08-21,83.25
2021-08-22,83.29
2021-08-23,83.3
2021-08-24,83.41
2021-08-25,83.63
2021-08-26,83.71
2021-08-27,83.81
2021-08-28,83.98
2021-08-29,84.03
2021-08-30,84.05
2021-08-31,84.1
2021-09-01,84.33
2021-09-02,84.45
2021-09-03,84.65
2021-09-04,84.77
2021-09-05,84.8
2021-09-06,84.84
2021-09-07,84.84
2021-09-08,84.99
2021-09-09,85.18
2021-09-10,85.3
2021-09-11,85.61
2021-09-12,85.66
2021-09-13,85.69
2021-09-14,85.78
2021-09-15,85.91
2021-09-16,86.25
2021-09-17,86.34
2021-09-18,86.5
2021-09-19,86.62
2021-09-20,86.64
2021-09-21,86.73
2021-09-22,86.93
2021-09-23,87.09
2021-09-24,87.25
2021-09-25,87.4
2021-09-26,87.47
2021-09-27,87.5
2021-09-28,87.58
2021-09-29,87.69
2021-09-30,87.89
2021-10-01,87.96
2021-10-02,88.16
2021-10-03,88.2
2021-10-04,88.23
2021-10-05,88.29
2021-10-06,88.37
2021-10-07,88.46
2021-10-08,88.56
2021-10-09,88.71
2021-10-10,88.75
2021-10-11,88.76
2021-10-12,88.77
2021-10-13,88.82
2021-10-14,88.92
2021-10-15,88.98
2021-10-16,89.14
2021-10-17,89.17
2021-10-18,89.18
2021-10-19,89.22
2021-10-20,89.27
2021-10-21,89.36
2021-10-22,89.41
2021-10-23,89.51
2021-10-24,89.55
2021-10-25,89.57
2021-10-26,89.62
2021-10-27,89.66
2021-10-28,89.73
2021-10-29,89.8
2021-10-30,89.88
2021-10-31,89.9
2021-11-01,89.91
2021-11-02,89.94
2021-11-03,89.99
2021-11-04,90.05
2021-11-05,90.09
2021-11-06,90.11
2021-11-07,90.13
2021-11-08,90.18
2021-11-09,90.21
2021-11-10,90.27
2021-11-11,90.32
2021-11-12,90.34
2021-11-13,90.41
2021-11-14,90.43
2021-11-15,90.44
2021-11-16,90.48
2021-11-17,90.56
2021-11-18,90.63
2021-11-19,90.67
2021-11-20,90.74
2021-11-21,90.77
2021-11-22,90.78
2021-11-23,90.81
2021-11-24,90.86
2021-11-25,90.92
2021-11-26,90.97
2021-11-27,91.04
2021-11-28,91.07
2021-11-29,91.09
2021-11-30,91.12
2021-12-01,82.96
2021-12-02,83.23
2021-12-03,83.6
2021-12-04,83.86
2021-12-05,84.14
2021-12-06,84.16
2021-12-07,84.28
2021-12-08,84.47
2021-12-09,84.68
2021-12-10,84.85
2021-12-11,84.94
2021-12-12,85.16
2021-12-13,85.17
2021-12-14,85.22
2021-12-15,85.27
2021-12-16,85.45
2021-12-17,85.52
2021-12-18,85.62
2021-12-19,85.73
2021-12-20,85.75
2021-12-21,85.81
2021-12-22,85.89
2021-12-23,85.98
2021-12-24,86.04
2021-12-25,86.05
2021-12-26,86.05
2021-12-27,86.05
2021-12-28,86.11
2021-12-29,86.17
2021-12-30,86.22
2021-12-31,86.27
2022-01-01,86.28
2022-01-02,86.28
2022-01-03,86.28
2022-01-04,86.32
2022-01-05,86.37
2022-01-06,86.44
2022-01-07,86.6
2022-01-08,86.64
2022-01-09,86.65
2022-01-10,86.66
2022-01-11,86.7
2022-01-12,86.77
2022-01-13,86.91
2022-01-14,87.03
2022-01-15,87.16
2022-01-16,87.19
2022-01-17,87.2
2022-01-18,87.26
2022-01-19,87.38
2022-01-20,87.42
2022-01-21,87.52
2022-01-22,87.57
2022-01-23,87.59
2022-01-24,87.59
2022-01-25,87.64
2022-01-26,87.71
2022-01-27,87.75
2022-01-28,87.77
2022-01-29,87.8
2022-01-30,87.81
2022-01-31,87.81
2022-02-01,87.83
2022-02-02,87.87
2022-02-03,87.94
2022-02-04,87.98
2022-02-05,88.06
2022-02-06,88.09
2022-02-07,88.09
2022-02-08,88.1
2022-02-09,88.15
2022-02-10,88.2
2022-02-11,88.23
2022-02-12,88.26
2022-02-13,88.27
2022-02-14,88.31
2022-02-15,88.32
2022-02-16,88.33
2022-02-17,88.35
2022-02-18,88.36
2022-02-19,88.38
2022-02-20,88.4
2022-02-21,88.4
2022-02-22,88.4
2022-02-23,88.42
2022-02-24,88.43
2022-02-25,88.45
2022-02-26,88.46
2022-02-27,88.48
2022-02-28,88.48
2022-03-01,88.49
2022-03-02,88.49
2022-03-03,88.5
2022-03-04,88.51
2022-03-05,88.52
2022-03-06,88.52
2022-03-07,88.52
2022-03-08,88.52
2022-03-09,88.53
2022-03-10,88.53
2022-03-11,88.54
2022-03-12,88.54
2022-03-13,88.54
