Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,6504,3843
2021-07-26,18-29yrs,15509,9811
2021-07-26,30-39yrs,12062,8812
2021-07-26,40-49yrs,11665,9157
2021-07-26,50-59yrs,16446,12690
2021-07-26,60-69yrs,18604,17231
2021-07-26,70-79yrs,12699,12631
2021-07-26,80+,7929,7590
2021-07-27,12-17yrs,6504,3857
2021-07-27,18-29yrs,15509,9843
2021-07-27,30-39yrs,12062,8825
2021-07-27,40-49yrs,11665,9170
2021-07-27,50-59yrs,16446,12702
2021-07-27,60-69yrs,18604,17240
2021-07-27,70-79yrs,12699,12636
2021-07-27,80+,7929,7591
2021-07-28,12-17yrs,6504,3873
2021-07-28,18-29yrs,15509,9878
2021-07-28,30-39yrs,12062,8852
2021-07-28,40-49yrs,11665,9187
2021-07-28,50-59yrs,16446,12726
2021-07-28,60-69yrs,18604,17253
2021-07-28,70-79yrs,12699,12640
2021-07-28,80+,7929,7594
2021-07-29,12-17yrs,6504,3897
2021-07-29,18-29yrs,15509,9908
2021-07-29,30-39yrs,12062,8870
2021-07-29,40-49yrs,11665,9207
2021-07-29,50-59yrs,16446,12745
2021-07-29,60-69yrs,18604,17272
2021-07-29,70-79yrs,12699,12644
2021-07-29,80+,7929,7596
2021-07-30,12-17yrs,6504,3965
2021-07-30,18-29yrs,15509,9995
2021-07-30,30-39yrs,12062,8950
2021-07-30,40-49yrs,11665,9262
2021-07-30,50-59yrs,16446,12793
2021-07-30,60-69yrs,18604,17315
2021-07-30,70-79yrs,12699,12657
2021-07-30,80+,7929,7600
2021-07-31,12-17yrs,6504,4004
2021-07-31,18-29yrs,15509,10041
2021-07-31,30-39yrs,12062,8987
2021-07-31,40-49yrs,11665,9288
2021-07-31,50-59yrs,16446,12826
2021-07-31,60-69yrs,18604,17338
2021-07-31,70-79yrs,12699,12662
2021-07-31,80+,7929,7601
2021-08-01,12-17yrs,6504,4043
2021-08-01,18-29yrs,15509,10067
2021-08-01,30-39yrs,12062,9015
2021-08-01,40-49yrs,11665,9303
2021-08-01,50-59yrs,16446,12844
2021-08-01,60-69yrs,18604,17351
2021-08-01,70-79yrs,12699,12665
2021-08-01,80+,7929,7602
2021-08-02,12-17yrs,6504,4043
2021-08-02,18-29yrs,15509,10068
2021-08-02,30-39yrs,12062,9015
2021-08-02,40-49yrs,11665,9304
2021-08-02,50-59yrs,16446,12845
2021-08-02,60-69yrs,18604,17351
2021-08-02,70-79yrs,12699,12665
2021-08-02,80+,7929,7602
2021-08-03,12-17yrs,6504,4050
2021-08-03,18-29yrs,15509,10079
2021-08-03,30-39yrs,12062,9019
2021-08-03,40-49yrs,11665,9308
2021-08-03,50-59yrs,16446,12847
2021-08-03,60-69yrs,18604,17353
2021-08-03,70-79yrs,12699,12667
2021-08-03,80+,7929,7602
2021-08-04,12-17yrs,6504,4074
2021-08-04,18-29yrs,15509,10115
2021-08-04,30-39yrs,12062,9042
2021-08-04,40-49yrs,11665,9322
2021-08-04,50-59yrs,16446,12860
2021-08-04,60-69yrs,18604,17353
2021-08-04,70-79yrs,12699,12670
2021-08-04,80+,7929,7605
2021-08-05,12-17yrs,6504,4090
2021-08-05,18-29yrs,15509,10127
2021-08-05,30-39yrs,12062,9056
2021-08-05,40-49yrs,11665,9334
2021-08-05,50-59yrs,16446,12873
2021-08-05,60-69yrs,18604,17358
2021-08-05,70-79yrs,12699,12676
2021-08-05,80+,7929,7606
2021-08-06,12-17yrs,6504,4097
2021-08-06,18-29yrs,15509,10147
2021-08-06,30-39yrs,12062,9070
2021-08-06,40-49yrs,11665,9348
2021-08-06,50-59yrs,16446,12884
2021-08-06,60-69yrs,18604,17372
2021-08-06,70-79yrs,12699,12684
2021-08-06,80+,7929,7606
2021-08-07,12-17yrs,6504,4136
2021-08-07,18-29yrs,15509,10179
2021-08-07,30-39yrs,12062,9096
2021-08-07,40-49yrs,11665,9365
2021-08-07,50-59yrs,16446,12906
2021-08-07,60-69yrs,18604,17384
2021-08-07,70-79yrs,12699,12695
2021-08-07,80+,7929,7609
2021-08-08,12-17yrs,6504,4137
2021-08-08,18-29yrs,15509,10180
2021-08-08,30-39yrs,12062,9099
2021-08-08,40-49yrs,11665,9367
2021-08-08,50-59yrs,16446,12910
2021-08-08,60-69yrs,18604,17385
2021-08-08,70-79yrs,12699,12696
2021-08-08,80+,7929,7609
2021-08-09,12-17yrs,6504,4137
2021-08-09,18-29yrs,15509,10182
2021-08-09,30-39yrs,12062,9098
2021-08-09,40-49yrs,11665,9369
2021-08-09,50-59yrs,16446,12909
2021-08-09,60-69yrs,18604,17385
2021-08-09,70-79yrs,12699,12696
2021-08-09,80+,7929,7609
2021-08-10,12-17yrs,6504,4140
2021-08-10,18-29yrs,15509,10192
2021-08-10,30-39yrs,12062,9104
2021-08-10,40-49yrs,11665,9378
2021-08-10,50-59yrs,16446,12917
2021-08-10,60-69yrs,18604,17389
2021-08-10,70-79yrs,12699,12697
2021-08-10,80+,7929,7609
2021-08-11,12-17yrs,6504,4180
2021-08-11,18-29yrs,15509,10218
2021-08-11,30-39yrs,12062,9127
2021-08-11,40-49yrs,11665,9394
