Date,one dose cumulative
2021-08-13,81.17
2021-08-14,81.27
2021-08-15,81.33
2021-08-16,81.35
2021-08-17,81.43
2021-08-18,81.55
2021-08-19,81.65
2021-08-20,81.8
2021-08-21,81.94
2021-08-22,82.03
2021-08-23,82.06
2021-08-24,82.16
2021-08-25,82.3
2021-08-26,82.4
2021-08-27,82.51
2021-08-28,82.66
2021-08-29,82.75
2021-08-30,82.78
2021-08-31,82.87
2021-09-01,83.02
2021-09-02,83.15
2021-09-03,83.16
2021-09-04,82.79
2021-09-05,82.81
2021-09-06,82.53
2021-09-07,82.54
2021-09-08,82.66
2021-09-09,82.1
2021-09-10,81.85
2021-09-11,82.09
2021-09-12,82.16
2021-09-13,82.19
2021-09-14,82.29
2021-09-15,82.48
2021-09-16,82.62
2021-09-17,82.77
2021-09-18,82.97
2021-09-19,83.01
2021-09-20,83.03
2021-09-21,83.17
2021-09-22,83.33
2021-09-23,83.53
2021-09-24,83.71
2021-09-25,83.92
2021-09-26,83.99
2021-09-27,84.01
2021-09-28,84.17
2021-09-29,84.3
2021-09-30,84.44
2021-10-01,84.52
2021-10-02,84.66
2021-10-03,84.68
2021-10-04,84.71
2021-10-05,84.84
2021-10-06,84.94
2021-10-07,85.02
2021-10-08,85.1
2021-10-09,85.22
2021-10-10,85.28
2021-10-11,85.29
2021-10-12,85.3
2021-10-13,85.41
2021-10-14,85.48
2021-10-15,85.56
2021-10-16,85.69
2021-10-17,85.74
2021-10-18,85.75
2021-10-19,85.8
2021-10-20,85.94
2021-10-21,86.02
2021-10-22,86.15
2021-10-23,86.22
2021-10-24,86.25
2021-10-25,86.26
2021-10-26,86.32
2021-10-27,86.4
2021-10-28,86.45
2021-10-29,86.49
2021-10-30,86.57
2021-10-31,86.58
2021-11-01,86.59
2021-11-02,86.63
2021-11-03,86.69
2021-11-04,86.72
2021-11-05,86.77
2021-11-06,86.79
2021-11-07,86.8
2021-11-08,86.84
2021-11-09,86.89
2021-11-10,86.93
2021-11-11,86.97
2021-11-12,87.0
2021-11-13,87.05
2021-11-14,87.06
2021-11-15,87.07
2021-11-16,87.11
2021-11-17,87.16
2021-11-18,87.2
2021-11-19,87.24
2021-11-20,87.3
2021-11-21,87.31
2021-11-22,87.32
2021-11-23,87.36
2021-11-24,87.4
2021-11-25,87.43
2021-11-26,87.47
2021-11-27,87.5
2021-11-28,87.51
2021-11-29,87.52
2021-11-30,87.55
2021-12-01,82.14
2021-12-02,82.4
2021-12-03,82.52
2021-12-04,82.76
2021-12-05,82.89
2021-12-06,82.91
2021-12-07,83.05
2021-12-08,83.17
2021-12-09,83.31
2021-12-10,83.41
2021-12-11,83.58
2021-12-12,83.66
2021-12-13,83.67
2021-12-14,83.74
2021-12-15,83.8
2021-12-16,83.88
2021-12-17,83.93
2021-12-18,84.02
2021-12-19,84.11
2021-12-20,84.11
2021-12-21,84.21
2021-12-22,84.29
2021-12-23,84.39
2021-12-24,84.44
2021-12-25,84.45
2021-12-26,84.45
2021-12-27,84.45
2021-12-28,84.47
2021-12-29,84.53
2021-12-30,84.63
2021-12-31,84.68
2022-01-01,84.71
2022-01-02,84.71
2022-01-03,84.72
2022-01-04,84.73
2022-01-05,84.83
2022-01-06,84.91
2022-01-07,84.98
2022-01-08,85.05
2022-01-09,85.06
2022-01-10,85.07
2022-01-11,85.15
2022-01-12,85.24
2022-01-13,85.37
2022-01-14,85.48
2022-01-15,85.61
2022-01-16,85.69
2022-01-17,85.69
2022-01-18,85.74
2022-01-19,85.83
2022-01-20,85.92
2022-01-21,86.01
2022-01-22,86.11
2022-01-23,86.14
2022-01-24,86.14
2022-01-25,86.17
2022-01-26,86.2
2022-01-27,86.24
2022-01-28,86.28
2022-01-29,86.33
2022-01-30,86.36
2022-01-31,86.36
2022-02-01,86.39
2022-02-02,86.43
2022-02-03,86.46
2022-02-04,86.49
2022-02-05,86.52
2022-02-06,86.54
2022-02-07,86.54
2022-02-08,86.57
2022-02-09,86.62
2022-02-10,86.65
2022-02-11,86.68
2022-02-12,86.73
2022-02-13,86.75
2022-02-14,86.78
2022-02-15,86.79
2022-02-16,86.81
2022-02-17,86.82
2022-02-18,86.82
2022-02-19,86.83
2022-02-20,86.84
2022-02-21,86.84
2022-02-22,86.85
2022-02-23,86.86
2022-02-24,86.87
2022-02-25,86.88
2022-02-26,86.89
2022-02-27,86.9
2022-02-28,86.9
2022-03-01,86.91
2022-03-02,86.92
2022-03-03,86.93
2022-03-04,86.94
2022-03-05,86.96
2022-03-06,86.96
2022-03-07,86.96
2022-03-08,86.96
2022-03-09,86.97
2022-03-10,86.97
2022-03-11,86.98
2022-03-12,86.99
2022-03-13,87.0
