Date,one dose cumulative
2021-08-13,76.37
2021-08-14,76.41
2021-08-15,76.52
2021-08-16,76.53
2021-08-17,76.56
2021-08-18,76.69
2021-08-19,76.8
2021-08-20,76.99
2021-08-21,77.12
2021-08-22,77.32
2021-08-23,77.32
2021-08-24,77.41
2021-08-25,77.63
2021-08-26,77.75
2021-08-27,77.95
2021-08-28,78.0
2021-08-29,78.07
2021-08-30,78.08
2021-08-31,78.15
2021-09-01,78.34
2021-09-02,78.59
2021-09-03,78.8
2021-09-04,78.9
2021-09-05,78.94
2021-09-06,78.97
2021-09-07,78.99
2021-09-08,79.09
2021-09-09,79.4
2021-09-10,79.62
2021-09-11,79.9
2021-09-12,80.07
2021-09-13,80.08
2021-09-14,80.22
2021-09-15,80.32
2021-09-16,80.66
2021-09-17,80.78
2021-09-18,80.95
2021-09-19,81.12
2021-09-20,81.19
2021-09-21,81.3
2021-09-22,81.53
2021-09-23,81.78
2021-09-24,82.02
2021-09-25,82.22
2021-09-26,82.43
2021-09-27,82.46
2021-09-28,82.52
2021-09-29,82.59
2021-09-30,82.78
2021-10-01,82.88
2021-10-02,82.99
2021-10-03,83.17
2021-10-04,83.21
2021-10-05,83.25
2021-10-06,83.32
2021-10-07,83.55
2021-10-08,83.62
2021-10-09,83.7
2021-10-10,83.89
2021-10-11,83.9
2021-10-12,83.9
2021-10-13,83.97
2021-10-14,84.11
2021-10-15,84.18
2021-10-16,84.27
2021-10-17,84.44
2021-10-18,84.46
2021-10-19,84.49
2021-10-20,84.66
2021-10-21,84.78
2021-10-22,84.87
2021-10-23,85.04
2021-10-24,85.14
2021-10-25,85.14
2021-10-26,85.18
2021-10-27,85.23
2021-10-28,85.38
2021-10-29,85.43
2021-10-30,85.49
2021-10-31,85.61
2021-11-01,85.62
2021-11-02,85.65
2021-11-03,85.7
2021-11-04,85.77
2021-11-05,85.81
2021-11-06,85.83
2021-11-07,85.89
2021-11-08,85.91
2021-11-09,85.96
2021-11-10,86.01
2021-11-11,86.08
2021-11-12,86.08
2021-11-13,86.1
2021-11-14,86.15
2021-11-15,86.16
2021-11-16,86.18
2021-11-17,86.26
2021-11-18,86.3
2021-11-19,86.33
2021-11-20,86.35
2021-11-21,86.39
2021-11-22,86.4
2021-11-23,86.42
2021-11-24,86.44
2021-11-25,86.49
2021-11-26,86.53
2021-11-27,86.56
2021-11-28,86.58
2021-11-29,86.59
2021-11-30,86.61
2021-12-01,80.39
2021-12-02,80.57
2021-12-03,80.65
2021-12-04,80.89
2021-12-05,81.05
2021-12-06,81.06
2021-12-07,81.12
2021-12-08,81.19
2021-12-09,81.3
2021-12-10,81.37
2021-12-11,81.51
2021-12-12,81.63
2021-12-13,81.64
2021-12-14,81.73
2021-12-15,81.8
2021-12-16,81.91
2021-12-17,81.96
2021-12-18,82.06
2021-12-19,82.17
2021-12-20,82.17
2021-12-21,82.25
2021-12-22,82.38
2021-12-23,82.48
2021-12-24,82.57
2021-12-25,82.6
2021-12-26,82.6
2021-12-27,82.6
2021-12-28,82.62
2021-12-29,82.79
2021-12-30,82.86
2021-12-31,82.97
2022-01-01,83.01
2022-01-02,83.01
2022-01-03,83.01
2022-01-04,83.15
2022-01-05,83.24
2022-01-06,83.27
2022-01-07,83.29
2022-01-08,83.37
2022-01-09,83.44
2022-01-10,83.44
2022-01-11,83.5
2022-01-12,83.55
2022-01-13,83.63
2022-01-14,83.7
2022-01-15,83.76
2022-01-16,83.81
2022-01-17,83.82
2022-01-18,83.86
2022-01-19,83.91
2022-01-20,83.94
2022-01-21,83.97
2022-01-22,84.05
2022-01-23,84.09
2022-01-24,84.09
2022-01-25,84.1
2022-01-26,84.14
2022-01-27,84.19
2022-01-28,84.22
2022-01-29,84.37
2022-01-30,84.39
2022-01-31,84.39
2022-02-01,84.44
2022-02-02,84.49
2022-02-03,84.52
2022-02-04,84.55
2022-02-05,84.55
2022-02-06,84.59
2022-02-07,84.59
2022-02-08,84.61
2022-02-09,84.62
2022-02-10,84.69
2022-02-11,84.72
2022-02-12,84.72
2022-02-13,84.74
2022-02-14,84.76
2022-02-15,84.77
2022-02-16,84.78
2022-02-17,84.8
2022-02-18,84.81
2022-02-19,84.82
2022-02-20,84.83
2022-02-21,84.83
2022-02-22,84.83
2022-02-23,84.85
2022-02-24,84.86
2022-02-25,84.87
2022-02-26,84.88
2022-02-27,84.88
2022-02-28,84.88
2022-03-01,84.89
2022-03-02,84.89
2022-03-03,84.9
2022-03-04,84.91
2022-03-05,84.91
2022-03-06,84.91
2022-03-07,84.91
2022-03-08,84.92
2022-03-09,84.93
2022-03-10,84.94
2022-03-11,84.94
2022-03-12,84.95
2022-03-13,84.96
