Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,7233,3229
2021-07-26,18-29yrs,14984,8137
2021-07-26,30-39yrs,11594,7269
2021-07-26,40-49yrs,11350,8164
2021-07-26,50-59yrs,15450,11407
2021-07-26,60-69yrs,15770,14584
2021-07-26,70-79yrs,10558,10486
2021-07-26,80+,6269,6231
2021-07-27,12-17yrs,7233,3245
2021-07-27,18-29yrs,14984,8121
2021-07-27,30-39yrs,11594,7263
2021-07-27,40-49yrs,11350,8157
2021-07-27,50-59yrs,15450,11392
2021-07-27,60-69yrs,15770,14520
2021-07-27,70-79yrs,10558,10457
2021-07-27,80+,6269,6222
2021-07-28,12-17yrs,7233,3250
2021-07-28,18-29yrs,14984,8150
2021-07-28,30-39yrs,11594,7287
2021-07-28,40-49yrs,11350,8175
2021-07-28,50-59yrs,15450,11406
2021-07-28,60-69yrs,15770,14535
2021-07-28,70-79yrs,10558,10461
2021-07-28,80+,6269,6224
2021-07-29,12-17yrs,7233,3338
2021-07-29,18-29yrs,14984,8290
2021-07-29,30-39yrs,11594,7414
2021-07-29,40-49yrs,11350,8284
2021-07-29,50-59yrs,15450,11498
2021-07-29,60-69yrs,15770,14598
2021-07-29,70-79yrs,10558,10491
2021-07-29,80+,6269,6233
2021-07-30,12-17yrs,7233,3338
2021-07-30,18-29yrs,14984,8310
2021-07-30,30-39yrs,11594,7441
2021-07-30,40-49yrs,11350,8294
2021-07-30,50-59yrs,15450,11516
2021-07-30,60-69yrs,15770,14612
2021-07-30,70-79yrs,10558,10502
2021-07-30,80+,6269,6241
2021-07-31,12-17yrs,7233,3392
2021-07-31,18-29yrs,14984,8345
2021-07-31,30-39yrs,11594,7466
2021-07-31,40-49yrs,11350,8319
2021-07-31,50-59yrs,15450,11534
2021-07-31,60-69yrs,15770,14625
2021-07-31,70-79yrs,10558,10505
2021-07-31,80+,6269,6242
2021-08-01,12-17yrs,7233,3393
2021-08-01,18-29yrs,14984,8345
2021-08-01,30-39yrs,11594,7467
2021-08-01,40-49yrs,11350,8321
2021-08-01,50-59yrs,15450,11538
2021-08-01,60-69yrs,15770,14625
2021-08-01,70-79yrs,10558,10505
2021-08-01,80+,6269,6241
2021-08-02,12-17yrs,7233,3393
2021-08-02,18-29yrs,14984,8346
2021-08-02,30-39yrs,11594,7467
2021-08-02,40-49yrs,11350,8322
2021-08-02,50-59yrs,15450,11538
2021-08-02,60-69yrs,15770,14625
2021-08-02,70-79yrs,10558,10505
2021-08-02,80+,6269,6241
2021-08-03,12-17yrs,7233,3394
2021-08-03,18-29yrs,14984,8349
2021-08-03,30-39yrs,11594,7467
2021-08-03,40-49yrs,11350,8323
2021-08-03,50-59yrs,15450,11539
2021-08-03,60-69yrs,15770,14625
2021-08-03,70-79yrs,10558,10505
2021-08-03,80+,6269,6241
2021-08-04,12-17yrs,7233,3453
2021-08-04,18-29yrs,14984,8390
2021-08-04,30-39yrs,11594,7497
2021-08-04,40-49yrs,11350,8340
2021-08-04,50-59yrs,15450,11557
2021-08-04,60-69yrs,15770,14636
2021-08-04,70-79yrs,10558,10514
2021-08-04,80+,6269,6242
2021-08-05,12-17yrs,7233,3480
2021-08-05,18-29yrs,14984,8396
2021-08-05,30-39yrs,11594,7510
2021-08-05,40-49yrs,11350,8354
2021-08-05,50-59yrs,15450,11564
2021-08-05,60-69yrs,15770,14643
2021-08-05,70-79yrs,10558,10516
2021-08-05,80+,6269,6244
2021-08-06,12-17yrs,7233,3532
2021-08-06,18-29yrs,14984,8432
2021-08-06,30-39yrs,11594,7546
2021-08-06,40-49yrs,11350,8380
2021-08-06,50-59yrs,15450,11598
2021-08-06,60-69yrs,15770,14661
2021-08-06,70-79yrs,10558,10520
2021-08-06,80+,6269,6244
2021-08-07,12-17yrs,7233,3549
2021-08-07,18-29yrs,14984,8446
2021-08-07,30-39yrs,11594,7554
2021-08-07,40-49yrs,11350,8390
2021-08-07,50-59yrs,15450,11603
2021-08-07,60-69yrs,15770,14668
2021-08-07,70-79yrs,10558,10523
2021-08-07,80+,6269,6244
2021-08-08,12-17yrs,7233,3590
2021-08-08,18-29yrs,14984,8472
2021-08-08,30-39yrs,11594,7584
2021-08-08,40-49yrs,11350,8410
2021-08-08,50-59yrs,15450,11621
2021-08-08,60-69yrs,15770,14686
2021-08-08,70-79yrs,10558,10531
2021-08-08,80+,6269,6244
2021-08-09,12-17yrs,7233,3590
2021-08-09,18-29yrs,14984,8475
2021-08-09,30-39yrs,11594,7587
2021-08-09,40-49yrs,11350,8410
2021-08-09,50-59yrs,15450,11622
2021-08-09,60-69yrs,15770,14686
2021-08-09,70-79yrs,10558,10531
2021-08-09,80+,6269,6244
2021-08-10,12-17yrs,7233,3593
2021-08-10,18-29yrs,14984,8472
2021-08-10,30-39yrs,11594,7590
2021-08-10,40-49yrs,11350,8410
2021-08-10,50-59yrs,15450,11625
2021-08-10,60-69yrs,15770,14679
2021-08-10,70-79yrs,10558,10534
2021-08-10,80+,6269,6246
2021-08-11,12-17yrs,7233,3595
2021-08-11,18-29yrs,14984,8436
2021-08-11,30-39yrs,11594,7547
2021-08-11,40-49yrs,11350,8363
2021-08-11,50-59yrs,15450,11577
2021-08-11,60-69yrs,15770,14576
2021-08-11,70-79yrs,10558,10469
2021-08-11,80+,6269,6209
