Date,one dose cumulative
2021-08-13,82.84
2021-08-14,82.93
2021-08-15,83.0
2021-08-16,83.06
2021-08-17,83.14
2021-08-18,83.25
2021-08-19,83.37
2021-08-20,83.53
2021-08-21,83.68
2021-08-22,83.77
2021-08-23,83.82
2021-08-24,83.95
2021-08-25,84.07
2021-08-26,84.18
2021-08-27,84.26
2021-08-28,84.35
2021-08-29,84.46
2021-08-30,84.49
2021-08-31,84.56
2021-09-01,84.65
2021-09-02,84.78
2021-09-03,84.96
2021-09-04,85.11
2021-09-05,85.21
2021-09-06,85.31
2021-09-07,85.38
2021-09-08,85.54
2021-09-09,85.7
2021-09-10,85.81
2021-09-11,85.93
2021-09-12,86.05
2021-09-13,86.1
2021-09-14,86.21
2021-09-15,86.34
2021-09-16,86.45
2021-09-17,86.56
2021-09-18,86.69
2021-09-19,86.79
2021-09-20,86.82
2021-09-21,86.91
2021-09-22,87.06
2021-09-23,87.19
2021-09-24,87.33
2021-09-25,87.47
2021-09-26,87.57
2021-09-27,87.6
2021-09-28,87.69
2021-09-29,87.82
2021-09-30,87.9
2021-10-01,88.01
2021-10-02,88.11
2021-10-03,88.18
2021-10-04,88.22
2021-10-05,88.29
2021-10-06,88.39
2021-10-07,88.46
2021-10-08,88.55
2021-10-09,88.66
2021-10-10,88.74
2021-10-11,88.76
2021-10-12,88.76
2021-10-13,88.86
2021-10-14,88.95
2021-10-15,89.05
2021-10-16,89.13
2021-10-17,89.2
2021-10-18,89.23
2021-10-19,89.28
2021-10-20,89.35
2021-10-21,89.41
2021-10-22,89.48
2021-10-23,89.55
2021-10-24,89.6
2021-10-25,89.61
2021-10-26,89.65
2021-10-27,89.72
2021-10-28,89.78
2021-10-29,89.82
2021-10-30,89.89
2021-10-31,89.92
2021-11-01,89.93
2021-11-02,90.03
2021-11-03,90.15
2021-11-04,90.3
2021-11-05,90.4
2021-11-06,90.43
2021-11-07,90.46
2021-11-08,90.49
2021-11-09,90.53
2021-11-10,90.57
2021-11-11,90.61
2021-11-12,90.65
2021-11-13,90.7
2021-11-14,90.73
2021-11-15,90.75
2021-11-16,90.77
2021-11-17,90.81
2021-11-18,90.85
2021-11-19,90.88
2021-11-20,90.92
2021-11-21,90.95
2021-11-22,90.97
2021-11-23,91.0
2021-11-24,91.03
2021-11-25,91.07
2021-11-26,91.1
2021-11-27,91.12
2021-11-28,91.13
2021-11-29,91.15
2021-11-30,91.17
2021-12-01,84.91
2021-12-02,85.06
2021-12-03,85.19
2021-12-04,85.42
2021-12-05,85.61
2021-12-06,85.78
2021-12-07,85.9
2021-12-08,86.05
2021-12-09,86.18
2021-12-10,86.28
2021-12-11,86.4
2021-12-12,86.55
2021-12-13,86.64
2021-12-14,86.72
2021-12-15,86.78
2021-12-16,86.86
2021-12-17,87.02
2021-12-18,87.18
2021-12-19,87.35
2021-12-20,87.45
2021-12-21,87.59
2021-12-22,87.72
2021-12-23,87.83
2021-12-24,87.9
2021-12-25,87.92
2021-12-26,87.93
2021-12-27,87.94
2021-12-28,88.0
2021-12-29,88.07
2021-12-30,88.16
2021-12-31,88.24
2022-01-01,88.27
2022-01-02,88.28
2022-01-03,88.33
2022-01-04,88.39
2022-01-05,88.5
2022-01-06,88.6
2022-01-07,88.7
2022-01-08,88.83
2022-01-09,88.88
2022-01-10,88.93
2022-01-11,89.05
2022-01-12,89.16
2022-01-13,89.31
2022-01-14,89.47
2022-01-15,89.62
2022-01-16,89.73
2022-01-17,89.85
2022-01-18,89.85
2022-01-19,89.91
2022-01-20,89.97
2022-01-21,90.02
2022-01-22,90.08
2022-01-23,90.13
2022-01-24,90.12
2022-01-25,90.12
2022-01-26,90.15
2022-01-27,90.17
2022-01-28,90.19
2022-01-29,90.25
2022-01-30,90.3
2022-01-31,90.27
2022-02-01,90.3
2022-02-02,90.27
2022-02-03,90.14
2022-02-04,90.0
2022-02-05,89.95
2022-02-06,89.9
2022-02-07,89.92
2022-02-08,89.9
2022-02-09,89.91
2022-02-10,89.94
2022-02-11,90.02
2022-02-12,90.07
2022-02-13,90.1
2022-02-14,90.15
2022-02-15,90.17
2022-02-16,90.19
2022-02-17,90.21
2022-02-18,90.22
2022-02-19,90.24
2022-02-20,90.26
2022-02-21,90.27
2022-02-22,90.28
2022-02-23,90.29
2022-02-24,90.31
2022-02-25,90.33
2022-02-26,90.35
2022-02-27,90.38
2022-02-28,90.39
2022-03-01,90.41
2022-03-02,90.42
2022-03-03,90.44
2022-03-04,90.45
2022-03-05,90.47
2022-03-06,90.48
2022-03-07,90.49
2022-03-08,90.51
2022-03-09,90.56
2022-03-10,90.59
2022-03-11,90.6
2022-03-12,90.61
2022-03-13,90.62
