Date,one dose cumulative
2021-08-13,81.22
2021-08-14,81.31
2021-08-15,81.45
2021-08-16,81.47
2021-08-17,81.59
2021-08-18,81.72
2021-08-19,81.87
2021-08-20,82.04
2021-08-21,82.2
2021-08-22,82.24
2021-08-23,82.25
2021-08-24,82.36
2021-08-25,82.55
2021-08-26,82.69
2021-08-27,82.91
2021-08-28,83.18
2021-08-29,83.4
2021-08-30,83.49
2021-08-31,83.59
2021-09-01,83.7
2021-09-02,83.91
2021-09-03,84.11
2021-09-04,84.4
2021-09-05,84.46
2021-09-06,84.52
2021-09-07,84.54
2021-09-08,84.71
2021-09-09,85.0
2021-09-10,85.22
2021-09-11,85.41
2021-09-12,85.48
2021-09-13,85.51
2021-09-14,85.66
2021-09-15,85.91
2021-09-16,86.16
2021-09-17,86.36
2021-09-18,86.56
2021-09-19,86.61
2021-09-20,86.62
2021-09-21,86.78
2021-09-22,86.97
2021-09-23,87.19
2021-09-24,87.51
2021-09-25,87.66
2021-09-26,87.7
2021-09-27,87.71
2021-09-28,87.84
2021-09-29,88.0
2021-09-30,88.15
2021-10-01,88.33
2021-10-02,88.51
2021-10-03,88.76
2021-10-04,88.92
2021-10-05,89.05
2021-10-06,89.19
2021-10-07,89.3
2021-10-08,89.44
2021-10-09,89.6
2021-10-10,89.68
2021-10-11,89.74
2021-10-12,89.74
2021-10-13,89.89
2021-10-14,89.97
2021-10-15,90.09
2021-10-16,90.22
2021-10-17,90.24
2021-10-18,90.24
2021-10-19,90.31
2021-10-20,90.45
2021-10-21,90.54
2021-10-22,90.7
2021-10-23,90.77
2021-10-24,90.79
2021-10-25,90.8
2021-10-26,90.85
2021-10-27,90.97
2021-10-28,91.03
2021-10-29,91.09
2021-10-30,91.15
2021-10-31,91.18
2021-11-01,91.19
2021-11-02,91.23
2021-11-03,91.3
2021-11-04,91.33
2021-11-05,91.37
2021-11-06,91.4
2021-11-07,91.41
2021-11-08,91.46
2021-11-09,91.5
2021-11-10,91.56
2021-11-11,91.58
2021-11-12,91.61
2021-11-13,91.64
2021-11-14,91.69
2021-11-15,91.69
2021-11-16,91.72
2021-11-17,91.77
2021-11-18,91.8
2021-11-19,91.84
2021-11-20,91.87
2021-11-21,91.87
2021-11-22,91.88
2021-11-23,91.89
2021-11-24,91.96
2021-11-25,91.98
2021-11-26,92.03
2021-11-27,92.06
2021-11-28,92.09
2021-11-29,92.1
2021-11-30,92.12
2021-12-01,82.67
2021-12-02,82.84
2021-12-03,83.03
2021-12-04,83.27
2021-12-05,83.38
2021-12-06,83.56
2021-12-07,83.71
2021-12-08,83.97
2021-12-09,84.12
2021-12-10,84.32
2021-12-11,84.45
2021-12-12,84.61
2021-12-13,84.68
2021-12-14,84.82
2021-12-15,84.99
2021-12-16,85.12
2021-12-17,85.26
2021-12-18,85.37
2021-12-19,85.56
2021-12-20,85.59
2021-12-21,85.68
2021-12-22,85.79
2021-12-23,85.9
2021-12-24,86.0
2021-12-25,86.02
2021-12-26,86.03
2021-12-27,86.03
2021-12-28,86.05
2021-12-29,86.08
2021-12-30,86.13
2021-12-31,86.2
2022-01-01,86.22
2022-01-02,86.22
2022-01-03,86.24
2022-01-04,86.26
2022-01-05,86.29
2022-01-06,86.36
2022-01-07,86.43
2022-01-08,86.48
2022-01-09,86.52
2022-01-10,86.54
2022-01-11,86.61
2022-01-12,86.7
2022-01-13,86.79
2022-01-14,86.87
2022-01-15,86.97
2022-01-16,87.03
2022-01-17,87.05
2022-01-18,87.07
2022-01-19,87.15
2022-01-20,87.21
2022-01-21,87.28
2022-01-22,87.34
2022-01-23,87.37
2022-01-24,87.4
2022-01-25,87.43
2022-01-26,87.5
2022-01-27,87.54
2022-01-28,87.59
2022-01-29,87.62
2022-01-30,87.66
2022-01-31,87.68
2022-02-01,87.7
2022-02-02,87.75
2022-02-03,87.78
2022-02-04,87.79
2022-02-05,87.82
2022-02-06,87.86
2022-02-07,87.88
2022-02-08,87.89
2022-02-09,87.92
2022-02-10,87.94
2022-02-11,87.96
2022-02-12,87.98
2022-02-13,88.02
2022-02-14,88.06
2022-02-15,88.07
2022-02-16,88.09
2022-02-17,88.1
2022-02-18,88.11
2022-02-19,88.12
2022-02-20,88.12
2022-02-21,88.12
2022-02-22,88.12
2022-02-23,88.13
2022-02-24,88.14
2022-02-25,88.15
2022-02-26,88.16
2022-02-27,88.16
2022-02-28,88.16
2022-03-01,88.17
2022-03-02,88.18
2022-03-03,88.19
2022-03-04,88.2
2022-03-05,88.21
2022-03-06,88.21
2022-03-07,88.21
2022-03-08,88.21
2022-03-09,88.21
2022-03-10,88.23
2022-03-11,88.23
2022-03-12,88.24
2022-03-13,88.24
