Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,13423,7808
2021-07-26,18-29yrs,27830,16567
2021-07-26,30-39yrs,21920,16679
2021-07-26,40-49yrs,23559,17876
2021-07-26,50-59yrs,32885,25165
2021-07-26,60-69yrs,31360,29209
2021-07-26,70-79yrs,20776,20195
2021-07-26,80+,11219,10911
2021-07-27,12-17yrs,13423,7843
2021-07-27,18-29yrs,27830,16618
2021-07-27,30-39yrs,21920,16726
2021-07-27,40-49yrs,23559,17917
2021-07-27,50-59yrs,32885,25187
2021-07-27,60-69yrs,31360,29226
2021-07-27,70-79yrs,20776,20202
2021-07-27,80+,11219,10911
2021-07-28,12-17yrs,13423,7900
2021-07-28,18-29yrs,27830,16696
2021-07-28,30-39yrs,21920,16800
2021-07-28,40-49yrs,23559,17964
2021-07-28,50-59yrs,32885,25233
2021-07-28,60-69yrs,31360,29251
2021-07-28,70-79yrs,20776,20204
2021-07-28,80+,11219,10913
2021-07-29,12-17yrs,13423,7971
2021-07-29,18-29yrs,27830,16787
2021-07-29,30-39yrs,21920,16878
2021-07-29,40-49yrs,23559,18036
2021-07-29,50-59yrs,32885,25316
2021-07-29,60-69yrs,31360,29315
2021-07-29,70-79yrs,20776,20238
2021-07-29,80+,11219,10922
2021-07-30,12-17yrs,13423,8035
2021-07-30,18-29yrs,27830,16856
2021-07-30,30-39yrs,21920,16919
2021-07-30,40-49yrs,23559,18087
2021-07-30,50-59yrs,32885,25347
2021-07-30,60-69yrs,31360,29335
2021-07-30,70-79yrs,20776,20243
2021-07-30,80+,11219,10923
2021-07-31,12-17yrs,13423,8111
2021-07-31,18-29yrs,27830,16935
2021-07-31,30-39yrs,21920,16978
2021-07-31,40-49yrs,23559,18135
2021-07-31,50-59yrs,32885,25384
2021-07-31,60-69yrs,31360,29347
2021-07-31,70-79yrs,20776,20250
2021-07-31,80+,11219,10925
2021-08-01,12-17yrs,13423,8124
2021-08-01,18-29yrs,27830,16950
2021-08-01,30-39yrs,21920,16990
2021-08-01,40-49yrs,23559,18149
2021-08-01,50-59yrs,32885,25397
2021-08-01,60-69yrs,31360,29357
2021-08-01,70-79yrs,20776,20259
2021-08-01,80+,11219,10927
2021-08-02,12-17yrs,13423,8127
2021-08-02,18-29yrs,27830,16951
2021-08-02,30-39yrs,21920,16994
2021-08-02,40-49yrs,23559,18150
2021-08-02,50-59yrs,32885,25403
2021-08-02,60-69yrs,31360,29358
2021-08-02,70-79yrs,20776,20261
2021-08-02,80+,11219,10927
2021-08-03,12-17yrs,13423,8131
2021-08-03,18-29yrs,27830,16961
2021-08-03,30-39yrs,21920,17003
2021-08-03,40-49yrs,23559,18157
2021-08-03,50-59yrs,32885,25410
2021-08-03,60-69yrs,31360,29363
2021-08-03,70-79yrs,20776,20261
2021-08-03,80+,11219,10927
2021-08-04,12-17yrs,13423,8189
2021-08-04,18-29yrs,27830,17022
2021-08-04,30-39yrs,21920,17046
2021-08-04,40-49yrs,23559,18195
2021-08-04,50-59yrs,32885,25445
2021-08-04,60-69yrs,31360,29396
2021-08-04,70-79yrs,20776,20272
2021-08-04,80+,11219,10934
2021-08-05,12-17yrs,13423,8281
2021-08-05,18-29yrs,27830,17175
2021-08-05,30-39yrs,21920,17182
2021-08-05,40-49yrs,23559,18325
2021-08-05,50-59yrs,32885,25547
2021-08-05,60-69yrs,31360,29460
2021-08-05,70-79yrs,20776,20311
2021-08-05,80+,11219,10945
2021-08-06,12-17yrs,13423,8337
2021-08-06,18-29yrs,27830,17222
2021-08-06,30-39yrs,21920,17246
2021-08-06,40-49yrs,23559,18353
2021-08-06,50-59yrs,32885,25580
2021-08-06,60-69yrs,31360,29483
2021-08-06,70-79yrs,20776,20315
2021-08-06,80+,11219,10948
2021-08-07,12-17yrs,13423,8378
2021-08-07,18-29yrs,27830,17269
2021-08-07,30-39yrs,21920,17276
2021-08-07,40-49yrs,23559,18377
2021-08-07,50-59yrs,32885,25604
2021-08-07,60-69yrs,31360,29497
2021-08-07,70-79yrs,20776,20319
2021-08-07,80+,11219,10950
2021-08-08,12-17yrs,13423,8394
2021-08-08,18-29yrs,27830,17286
2021-08-08,30-39yrs,21920,17302
2021-08-08,40-49yrs,23559,18393
2021-08-08,50-59yrs,32885,25615
2021-08-08,60-69yrs,31360,29508
2021-08-08,70-79yrs,20776,20321
2021-08-08,80+,11219,10951
2021-08-09,12-17yrs,13423,8407
2021-08-09,18-29yrs,27830,17318
2021-08-09,30-39yrs,21920,17317
2021-08-09,40-49yrs,23559,18405
2021-08-09,50-59yrs,32885,25641
2021-08-09,60-69yrs,31360,29523
2021-08-09,70-79yrs,20776,20327
2021-08-09,80+,11219,10956
2021-08-10,12-17yrs,13423,8426
2021-08-10,18-29yrs,27830,17337
2021-08-10,30-39yrs,21920,17344
2021-08-10,40-49yrs,23559,18414
2021-08-10,50-59yrs,32885,25658
2021-08-10,60-69yrs,31360,29552
2021-08-10,70-79yrs,20776,20333
2021-08-10,80+,11219,10959
2021-08-11,12-17yrs,13423,8506
2021-08-11,18-29yrs,27830,17455
2021-08-11,30-39yrs,21920,17475
2021-08-11,40-49yrs,23559,18507
2021-08-11,50-59yrs,32885,25752
2021-08-11,60-69yrs,31360,29604
2021-08-11,70-79yrs,20776,20389
2021-08-11,80+,11219,11004
2021-08-12,12-17yrs,13423,8537
2021-08-12,18-29yrs,27830,17484
2021-08-12,30-39yrs,21920,17500
2021-08-12,40-49yrs,23559,18533
2021-08-12,50-59yrs,32885,25771
2021-08-12,60-69yrs,31360,29628
2021-08-12,70-79yrs,20776,20392
2021-08-12,80+,11219,11004
2021-08-13,12-17yrs,13423,8549
2021-08-13,18-29yrs,27830,17459
2021-08-13,30-39yrs,21920,17465
2021-08-13,40-49yrs,23559,18484
2021-08-13,50-59yrs,32885,25730
2021-08-13,60-69yrs,31360,29609
2021-08-13,70-79yrs,20776,20354
2021-08-13,80+,11219,10965
2021-08-14,12-17yrs,13423,8567
2021-08-14,18-29yrs,27830,17501
2021-08-14,30-39yrs,21920,17499
2021-08-14,40-49yrs,23559,18507
2021-08-14,50-59yrs,32885,25747
2021-08-14,60-69yrs,31360,29626
2021-08-14,70-79yrs,20776,20356
2021-08-14,80+,11219,10969
2021-08-15,12-17yrs,13423,8616
2021-08-15,18-29yrs,27830,17576
2021-08-15,30-39yrs,21920,17545
2021-08-15,40-49yrs,23559,18542
2021-08-15,50-59yrs,32885,25776
2021-08-15,60-69yrs,31360,29646
2021-08-15,70-79yrs,20776,20362
2021-08-15,80+,11219,10970
2021-08-16,12-17yrs,13423,8618
2021-08-16,18-29yrs,27830,17587
2021-08-16,30-39yrs,21920,17547
2021-08-16,40-49yrs,23559,18545
2021-08-16,50-59yrs,32885,25782
2021-08-16,60-69yrs,31360,29647
2021-08-16,70-79yrs,20776,20364
2021-08-16,80+,11219,10970
2021-08-17,12-17yrs,13423,8633
2021-08-17,18-29yrs,27830,17643
2021-08-17,30-39yrs,21920,17593
2021-08-17,40-49yrs,23559,18586
2021-08-17,50-59yrs,32885,25817
2021-08-17,60-69yrs,31360,29668
2021-08-17,70-79yrs,20776,20374
2021-08-17,80+,11219,10976
2021-08-18,12-17yrs,13423,8668
2021-08-18,18-29yrs,27830,17716
2021-08-18,30-39yrs,21920,17637
2021-08-18,40-49yrs,23559,18619
2021-08-18,50-59yrs,32885,25836
2021-08-18,60-69yrs,31360,29683
2021-08-18,70-79yrs,20776,20383
2021-08-18,80+,11219,10978
2021-08-19,12-17yrs,13423,8739
2021-08-19,18-29yrs,27830,17775
2021-08-19,30-39yrs,21920,17688
2021-08-19,40-49yrs,23559,18652
2021-08-19,50-59yrs,32885,25872
2021-08-19,60-69yrs,31360,29698
2021-08-19,70-79yrs,20776,20390
2021-08-19,80+,11219,10978
2021-08-20,12-17yrs,13423,8830
2021-08-20,18-29yrs,27830,17838
2021-08-20,30-39yrs,21920,17742
2021-08-20,40-49yrs,23559,18693
2021-08-20,50-59yrs,32885,25912
2021-08-20,60-69yrs,31360,29716
2021-08-20,70-79yrs,20776,20398
2021-08-20,80+,11219,10982
2021-08-21,12-17yrs,13423,8914
2021-08-21,18-29yrs,27830,17900
2021-08-21,30-39yrs,21920,17799
2021-08-21,40-49yrs,23559,18734
2021-08-21,50-59yrs,32885,25944
2021-08-21,60-69yrs,31360,29733
2021-08-21,70-79yrs,20776,20399
2021-08-21,80+,11219,10983
2021-08-22,12-17yrs,13423,8931
2021-08-22,18-29yrs,27830,17910
2021-08-22,30-39yrs,21920,17812
2021-08-22,40-49yrs,23559,18746
2021-08-22,50-59yrs,32885,25952
2021-08-22,60-69yrs,31360,29737
2021-08-22,70-79yrs,20776,20400
2021-08-22,80+,11219,10984
2021-08-23,12-17yrs,13423,8939
2021-08-23,18-29yrs,27830,17915
2021-08-23,30-39yrs,21920,17818
2021-08-23,40-49yrs,23559,18749
