Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,10179,5533
2021-07-26,18-29yrs,22126,13018
2021-07-26,30-39yrs,17931,13378
2021-07-26,40-49yrs,16555,13308
2021-07-26,50-59yrs,24279,18327
2021-07-26,60-69yrs,27440,25400
2021-07-26,70-79yrs,19403,18664
2021-07-26,80+,11147,10239
2021-07-27,12-17yrs,10179,5566
2021-07-27,18-29yrs,22126,13073
2021-07-27,30-39yrs,17931,13424
2021-07-27,40-49yrs,16555,13332
2021-07-27,50-59yrs,24279,18352
2021-07-27,60-69yrs,27440,25418
2021-07-27,70-79yrs,19403,18671
2021-07-27,80+,11147,10241
2021-07-28,12-17yrs,10179,5605
2021-07-28,18-29yrs,22126,13114
2021-07-28,30-39yrs,17931,13457
2021-07-28,40-49yrs,16555,13355
2021-07-28,50-59yrs,24279,18378
2021-07-28,60-69yrs,27440,25428
2021-07-28,70-79yrs,19403,18672
2021-07-28,80+,11147,10242
2021-07-29,12-17yrs,10179,5663
2021-07-29,18-29yrs,22126,13154
2021-07-29,30-39yrs,17931,13491
2021-07-29,40-49yrs,16555,13374
2021-07-29,50-59yrs,24279,18369
2021-07-29,60-69yrs,27440,25428
2021-07-29,70-79yrs,19403,18656
2021-07-29,80+,11147,10239
2021-07-30,12-17yrs,10179,5706
2021-07-30,18-29yrs,22126,13201
2021-07-30,30-39yrs,17931,13515
2021-07-30,40-49yrs,16555,13405
2021-07-30,50-59yrs,24279,18401
2021-07-30,60-69yrs,27440,25448
2021-07-30,70-79yrs,19403,18661
2021-07-30,80+,11147,10242
2021-07-31,12-17yrs,10179,5747
2021-07-31,18-29yrs,22126,13240
2021-07-31,30-39yrs,17931,13559
2021-07-31,40-49yrs,16555,13432
2021-07-31,50-59yrs,24279,18431
2021-07-31,60-69yrs,27440,25464
2021-07-31,70-79yrs,19403,18663
2021-07-31,80+,11147,10243
2021-08-01,12-17yrs,10179,5749
2021-08-01,18-29yrs,22126,13246
2021-08-01,30-39yrs,17931,13568
2021-08-01,40-49yrs,16555,13438
2021-08-01,50-59yrs,24279,18436
2021-08-01,60-69yrs,27440,25468
2021-08-01,70-79yrs,19403,18669
2021-08-01,80+,11147,10243
2021-08-02,12-17yrs,10179,5750
2021-08-02,18-29yrs,22126,13248
2021-08-02,30-39yrs,17931,13571
2021-08-02,40-49yrs,16555,13439
2021-08-02,50-59yrs,24279,18436
2021-08-02,60-69yrs,27440,25471
2021-08-02,70-79yrs,19403,18670
2021-08-02,80+,11147,10243
2021-08-03,12-17yrs,10179,5765
2021-08-03,18-29yrs,22126,13253
2021-08-03,30-39yrs,17931,13578
2021-08-03,40-49yrs,16555,13441
2021-08-03,50-59yrs,24279,18437
2021-08-03,60-69yrs,27440,25472
2021-08-03,70-79yrs,19403,18671
2021-08-03,80+,11147,10243
2021-08-04,12-17yrs,10179,5807
2021-08-04,18-29yrs,22126,13284
2021-08-04,30-39yrs,17931,13615
2021-08-04,40-49yrs,16555,13464
2021-08-04,50-59yrs,24279,18453
2021-08-04,60-69yrs,27440,25493
2021-08-04,70-79yrs,19403,18677
2021-08-04,80+,11147,10245
2021-08-05,12-17yrs,10179,5829
2021-08-05,18-29yrs,22126,13325
2021-08-05,30-39yrs,17931,13634
2021-08-05,40-49yrs,16555,13479
2021-08-05,50-59yrs,24279,18465
2021-08-05,60-69yrs,27440,25505
2021-08-05,70-79yrs,19403,18680
2021-08-05,80+,11147,10246
2021-08-06,12-17yrs,10179,5845
2021-08-06,18-29yrs,22126,13352
2021-08-06,30-39yrs,17931,13650
2021-08-06,40-49yrs,16555,13495
2021-08-06,50-59yrs,24279,18475
2021-08-06,60-69yrs,27440,25507
2021-08-06,70-79yrs,19403,18687
2021-08-06,80+,11147,10247
2021-08-07,12-17yrs,10179,5856
2021-08-07,18-29yrs,22126,13376
2021-08-07,30-39yrs,17931,13669
2021-08-07,40-49yrs,16555,13503
2021-08-07,50-59yrs,24279,18482
2021-08-07,60-69yrs,27440,25514
2021-08-07,70-79yrs,19403,18692
2021-08-07,80+,11147,10248
2021-08-08,12-17yrs,10179,5863
2021-08-08,18-29yrs,22126,13389
2021-08-08,30-39yrs,17931,13675
2021-08-08,40-49yrs,16555,13512
2021-08-08,50-59yrs,24279,18492
2021-08-08,60-69yrs,27440,25521
2021-08-08,70-79yrs,19403,18692
2021-08-08,80+,11147,10249
2021-08-09,12-17yrs,10179,5866
2021-08-09,18-29yrs,22126,13391
2021-08-09,30-39yrs,17931,13675
2021-08-09,40-49yrs,16555,13512
2021-08-09,50-59yrs,24279,18492
2021-08-09,60-69yrs,27440,25525
2021-08-09,70-79yrs,19403,18692
2021-08-09,80+,11147,10249
2021-08-10,12-17yrs,10179,5875
2021-08-10,18-29yrs,22126,13413
2021-08-10,30-39yrs,17931,13697
2021-08-10,40-49yrs,16555,13525
2021-08-10,50-59yrs,24279,18512
2021-08-10,60-69yrs,27440,25535
2021-08-10,70-79yrs,19403,18696
2021-08-10,80+,11147,10251
2021-08-11,12-17yrs,10179,5845
2021-08-11,18-29yrs,22126,13275
2021-08-11,30-39yrs,17931,13648
2021-08-11,40-49yrs,16555,13425
2021-08-11,50-59yrs,24279,18371
2021-08-11,60-69yrs,27440,25370
2021-08-11,70-79yrs,19403,18595
2021-08-11,80+,11147,10220
2021-08-12,12-17yrs,10179,5866
2021-08-12,18-29yrs,22126,13302
2021-08-12,30-39yrs,17931,13668
2021-08-12,40-49yrs,16555,13433
2021-08-12,50-59yrs,24279,18385
2021-08-12,60-69yrs,27440,25378
2021-08-12,70-79yrs,19403,18600
2021-08-12,80+,11147,10223
2021-08-13,12-17yrs,10179,5941
2021-08-13,18-29yrs,22126,13491
2021-08-13,30-39yrs,17931,13767
2021-08-13,40-49yrs,16555,13569
2021-08-13,50-59yrs,24279,18557
2021-08-13,60-69yrs,27440,25563
2021-08-13,70-79yrs,19403,18719
2021-08-13,80+,11147,10260
2021-08-14,12-17yrs,10179,5949
2021-08-14,18-29yrs,22126,13512
2021-08-14,30-39yrs,17931,13782
2021-08-14,40-49yrs,16555,13579
2021-08-14,50-59yrs,24279,18571
2021-08-14,60-69yrs,27440,25568
2021-08-14,70-79yrs,19403,18722
2021-08-14,80+,11147,10261
2021-08-15,12-17yrs,10179,5956
2021-08-15,18-29yrs,22126,13533
2021-08-15,30-39yrs,17931,13792
2021-08-15,40-49yrs,16555,13590
2021-08-15,50-59yrs,24279,18581
2021-08-15,60-69yrs,27440,25572
2021-08-15,70-79yrs,19403,18729
2021-08-15,80+,11147,10262
2021-08-16,12-17yrs,10179,5958
2021-08-16,18-29yrs,22126,13543
2021-08-16,30-39yrs,17931,13797
2021-08-16,40-49yrs,16555,13593
2021-08-16,50-59yrs,24279,18586
2021-08-16,60-69yrs,27440,25574
2021-08-16,70-79yrs,19403,18729
2021-08-16,80+,11147,10262
2021-08-17,12-17yrs,10179,5975
2021-08-17,18-29yrs,22126,13574
2021-08-17,30-39yrs,17931,13813
2021-08-17,40-49yrs,16555,13603
2021-08-17,50-59yrs,24279,18602
2021-08-17,60-69yrs,27440,25581
2021-08-17,70-79yrs,19403,18735
2021-08-17,80+,11147,10264
2021-08-18,12-17yrs,10179,5997
2021-08-18,18-29yrs,22126,13614
2021-08-18,30-39yrs,17931,13850
2021-08-18,40-49yrs,16555,13622
2021-08-18,50-59yrs,24279,18635
2021-08-18,60-69yrs,27440,25596
2021-08-18,70-79yrs,19403,18755
2021-08-18,80+,11147,10267
2021-08-19,12-17yrs,10179,6055
2021-08-19,18-29yrs,22126,13639
2021-08-19,30-39yrs,17931,13869
2021-08-19,40-49yrs,16555,13639
2021-08-19,50-59yrs,24279,18647
2021-08-19,60-69yrs,27440,25604
2021-08-19,70-79yrs,19403,18761
2021-08-19,80+,11147,10271
2021-08-20,12-17yrs,10179,6117
2021-08-20,18-29yrs,22126,13666
2021-08-20,30-39yrs,17931,13895
2021-08-20,40-49yrs,16555,13658
2021-08-20,50-59yrs,24279,18667
2021-08-20,60-69yrs,27440,25627
2021-08-20,70-79yrs,19403,18765
2021-08-20,80+,11147,10274
2021-08-21,12-17yrs,10179,6168
2021-08-21,18-29yrs,22126,13700
2021-08-21,30-39yrs,17931,13923
2021-08-21,40-49yrs,16555,13673
2021-08-21,50-59yrs,24279,18679
2021-08-21,60-69yrs,27440,25640
2021-08-21,70-79yrs,19403,18772
2021-08-21,80+,11147,10275
2021-08-22,12-17yrs,10179,6179
2021-08-22,18-29yrs,22126,13715
2021-08-22,30-39yrs,17931,13926
2021-08-22,40-49yrs,16555,13677
2021-08-22,50-59yrs,24279,18683
2021-08-22,60-69yrs,27440,25642
2021-08-22,70-79yrs,19403,18773
2021-08-22,80+,11147,10275
2021-08-23,12-17yrs,10179,6182
2021-08-23,18-29yrs,22126,13722
2021-08-23,30-39yrs,17931,13928
2021-08-23,40-49yrs,16555,13677
2021-08-23,50-59yrs,24279,18683
2021-08-23,60-69yrs,27440,25643
2021-08-23,70-79yrs,19403,18773
2021-08-23,80+,11147,10275
2021-08-24,12-17yrs,10179,6224
2021-08-24,18-29yrs,22126,13740
2021-08-24,30-39yrs,17931,13943
2021-08-24,40-49yrs,16555,13689
2021-08-24,50-59yrs,24279,18692
2021-08-24,60-69yrs,27440,25649
2021-08-24,70-79yrs,19403,18774
2021-08-24,80+,11147,10275
2021-08-25,12-17yrs,10179,6272
2021-08-25,18-29yrs,22126,13774
2021-08-25,30-39yrs,17931,13966
2021-08-25,40-49yrs,16555,13708
2021-08-25,50-59yrs,24279,18709
2021-08-25,60-69yrs,27440,25655
2021-08-25,70-79yrs,19403,18781
2021-08-25,80+,11147,10278
2021-08-26,12-17yrs,10179,6310
2021-08-26,18-29yrs,22126,13799
2021-08-26,30-39yrs,17931,13983
2021-08-26,40-49yrs,16555,13715
2021-08-26,50-59yrs,24279,18722
2021-08-26,60-69yrs,27440,25660
2021-08-26,70-79yrs,19403,18789
2021-08-26,80+,11147,10280
2021-08-27,12-17yrs,10179,6324
2021-08-27,18-29yrs,22126,13829
2021-08-27,30-39yrs,17931,14007
2021-08-27,40-49yrs,16555,13731
2021-08-27,50-59yrs,24279,18737
2021-08-27,60-69yrs,27440,25681
2021-08-27,70-79yrs,19403,18795
2021-08-27,80+,11147,10283
2021-08-28,12-17yrs,10179,6361
2021-08-28,18-29yrs,22126,13857
2021-08-28,30-39yrs,17931,14038
2021-08-28,40-49yrs,16555,13752
2021-08-28,50-59yrs,24279,18747
2021-08-28,60-69yrs,27440,25692
2021-08-28,70-79yrs,19403,18803
2021-08-28,80+,11147,10284
2021-08-29,12-17yrs,10179,6369
2021-08-29,18-29yrs,22126,13871
2021-08-29,30-39yrs,17931,14045
2021-08-29,40-49yrs,16555,13760
2021-08-29,50-59yrs,24279,18755
2021-08-29,60-69yrs,27440,25695
2021-08-29,70-79yrs,19403,18803
2021-08-29,80+,11147,10284
2021-08-30,12-17yrs,10179,6373
2021-08-30,18-29yrs,22126,13877
2021-08-30,30-39yrs,17931,14052
2021-08-30,40-49yrs,16555,13763
2021-08-30,50-59yrs,24279,18756
2021-08-30,60-69yrs,27440,25695
2021-08-30,70-79yrs,19403,18803
2021-08-30,80+,11147,10284
2021-08-31,12-17yrs,10179,6390
2021-08-31,18-29yrs,22126,13897
2021-08-31,30-39yrs,17931,14069
2021-08-31,40-49yrs,16555,13776
2021-08-31,50-59yrs,24279,18765
2021-08-31,60-69yrs,27440,25702
2021-08-31,70-79yrs,19403,18803
2021-08-31,80+,11147,10285
2021-09-01,12-17yrs,10179,6428
2021-09-01,18-29yrs,22126,13923
2021-09-01,30-39yrs,17931,14088
2021-09-01,40-49yrs,16555,13794
2021-09-01,50-59yrs,24279,18783
2021-09-01,60-69yrs,27440,25715
2021-09-01,70-79yrs,19403,18807
2021-09-01,80+,11147,10287
2021-09-02,12-17yrs,10179,6452
2021-09-02,18-29yrs,22126,13966
2021-09-02,30-39yrs,17931,14117
2021-09-02,40-49yrs,16555,13808
2021-09-02,50-59yrs,24279,18796
2021-09-02,60-69yrs,27440,25726
2021-09-02,70-79yrs,19403,18812
2021-09-02,80+,11147,10290
2021-09-03,12-17yrs,10179,6481
2021-09-03,18-29yrs,22126,14023
2021-09-03,30-39yrs,17931,14157
2021-09-03,40-49yrs,16555,13833
2021-09-03,50-59yrs,24279,18798
2021-09-03,60-69yrs,27440,25737
2021-09-03,70-79yrs,19403,18817
2021-09-03,80+,11147,10290
2021-09-04,12-17yrs,10179,6513
2021-09-04,18-29yrs,22126,14068
2021-09-04,30-39yrs,17931,14183
2021-09-04,40-49yrs,16555,13847
2021-09-04,50-59yrs,24279,18799
2021-09-04,60-69yrs,27440,25735
2021-09-04,70-79yrs,19403,18829
2021-09-04,80+,11147,10285
2021-09-05,12-17yrs,10179,6528
2021-09-05,18-29yrs,22126,14085
2021-09-05,30-39yrs,17931,14196
2021-09-05,40-49yrs,16555,13856
2021-09-05,50-59yrs,24279,18809
2021-09-05,60-69yrs,27440,25740
2021-09-05,70-79yrs,19403,18834
2021-09-05,80+,11147,10285
2021-09-06,12-17yrs,10179,6534
2021-09-06,18-29yrs,22126,14092
2021-09-06,30-39yrs,17931,14198
2021-09-06,40-49yrs,16555,13864
2021-09-06,50-59yrs,24279,18813
2021-09-06,60-69yrs,27440,25743
2021-09-06,70-79yrs,19403,18836
2021-09-06,80+,11147,10285
2021-09-07,12-17yrs,10179,6534
2021-09-07,18-29yrs,22126,14095
2021-09-07,30-39yrs,17931,14200
2021-09-07,40-49yrs,16555,13865
2021-09-07,50-59yrs,24279,18814
2021-09-07,60-69yrs,27440,25743
2021-09-07,70-79yrs,19403,18836
2021-09-07,80+,11147,10285
2021-09-08,12-17yrs,10179,6564
2021-09-08,18-29yrs,22126,14140
2021-09-08,30-39yrs,17931,14238
2021-09-08,40-49yrs,16555,13889
2021-09-08,50-59yrs,24279,18838
2021-09-08,60-69yrs,27440,25761
2021-09-08,70-79yrs,19403,18842
2021-09-08,80+,11147,10292
2021-09-09,12-17yrs,10179,6588
2021-09-09,18-29yrs,22126,14191
2021-09-09,30-39yrs,17931,14286
2021-09-09,40-49yrs,16555,13915
2021-09-09,50-59yrs,24279,18864
2021-09-09,60-69yrs,27440,25774
2021-09-09,70-79yrs,19403,18853
2021-09-09,80+,11147,10293
2021-09-10,12-17yrs,10179,6642
2021-09-10,18-29yrs,22126,14232
2021-09-10,30-39yrs,17931,14327
2021-09-10,40-49yrs,16555,13943
2021-09-10,50-59yrs,24279,18882
2021-09-10,60-69yrs,27440,25790
2021-09-10,70-79yrs,19403,18855
2021-09-10,80+,11147,10296
2021-09-11,12-17yrs,10179,6672
2021-09-11,18-29yrs,22126,14271
2021-09-11,30-39yrs,17931,14365
2021-09-11,40-49yrs,16555,13970
2021-09-11,50-59yrs,24279,18911
2021-09-11,60-69yrs,27440,25807
2021-09-11,70-79yrs,19403,18868
2021-09-11,80+,11147,10298
2021-09-12,12-17yrs,10179,6677
2021-09-12,18-29yrs,22126,14288
2021-09-12,30-39yrs,17931,14373
2021-09-12,40-49yrs,16555,13974
2021-09-12,50-59yrs,24279,18914
2021-09-12,60-69yrs,27440,25808
2021-09-12,70-79yrs,19403,18870
2021-09-12,80+,11147,10300
2021-09-13,12-17yrs,10179,6686
2021-09-13,18-29yrs,22126,14295
2021-09-13,30-39yrs,17931,14384
2021-09-13,40-49yrs,16555,13979
2021-09-13,50-59yrs,24279,18916
2021-09-13,60-69yrs,27440,25808
2021-09-13,70-79yrs,19403,18870
2021-09-13,80+,11147,10300
2021-09-14,12-17yrs,10179,6713
2021-09-14,18-29yrs,22126,14317
2021-09-14,30-39yrs,17931,14405
2021-09-14,40-49yrs,16555,13998
2021-09-14,50-59yrs,24279,18933
2021-09-14,60-69yrs,27440,25816
2021-09-14,70-79yrs,19403,18873
2021-09-14,80+,11147,10301
2021-09-15,12-17yrs,10179,6742
2021-09-15,18-29yrs,22126,14347
2021-09-15,30-39yrs,17931,14438
2021-09-15,40-49yrs,16555,14025
2021-09-15,50-59yrs,24279,18948
2021-09-15,60-69yrs,27440,25829
2021-09-15,70-79yrs,19403,18875
2021-09-15,80+,11147,10301
2021-09-16,12-17yrs,10179,6787
2021-09-16,18-29yrs,22126,14376
2021-09-16,30-39yrs,17931,14470
2021-09-16,40-49yrs,16555,14041
2021-09-16,50-59yrs,24279,18966
2021-09-16,60-69yrs,27440,25845
2021-09-16,70-79yrs,19403,18881
2021-09-16,80+,11147,10303
2021-09-17,12-17yrs,10179,6829
2021-09-17,18-29yrs,22126,14401
2021-09-17,30-39yrs,17931,14493
2021-09-17,40-49yrs,16555,14065
2021-09-17,50-59yrs,24279,18972
2021-09-17,60-69yrs,27440,25864
2021-09-17,70-79yrs,19403,18881
2021-09-17,80+,11147,10303
2021-09-18,12-17yrs,10179,6850
2021-09-18,18-29yrs,22126,14441
2021-09-18,30-39yrs,17931,14513
2021-09-18,40-49yrs,16555,14086
2021-09-18,50-59yrs,24279,18988
2021-09-18,60-69yrs,27440,25871
2021-09-18,70-79yrs,19403,18888
2021-09-18,80+,11147,10303
2021-09-19,12-17yrs,10179,6858
2021-09-19,18-29yrs,22126,14454
2021-09-19,30-39yrs,17931,14523
2021-09-19,40-49yrs,16555,14093
2021-09-19,50-59yrs,24279,18996
2021-09-19,60-69yrs,27440,25875
2021-09-19,70-79yrs,19403,18889
2021-09-19,80+,11147,10303
2021-09-20,12-17yrs,10179,6864
2021-09-20,18-29yrs,22126,14461
2021-09-20,30-39yrs,17931,14528
2021-09-20,40-49yrs,16555,14096
2021-09-20,50-59yrs,24279,19003
2021-09-20,60-69yrs,27440,25875
2021-09-20,70-79yrs,19403,18889
2021-09-20,80+,11147,10303
2021-09-21,12-17yrs,10179,6890
2021-09-21,18-29yrs,22126,14485
2021-09-21,30-39yrs,17931,14554
2021-09-21,40-49yrs,16555,14119
2021-09-21,50-59yrs,24279,19005
2021-09-21,60-69yrs,27440,25888
2021-09-21,70-79yrs,19403,18894
2021-09-21,80+,11147,10307
2021-09-22,12-17yrs,10179,6924
2021-09-22,18-29yrs,22126,14523
2021-09-22,30-39yrs,17931,14597
2021-09-22,40-49yrs,16555,14146
2021-09-22,50-59yrs,24279,19022
2021-09-22,60-69yrs,27440,25896
2021-09-22,70-79yrs,19403,18902
2021-09-22,80+,11147,10309
2021-09-23,12-17yrs,10179,6944
2021-09-23,18-29yrs,22126,14562
2021-09-23,30-39yrs,17931,14625
2021-09-23,40-49yrs,16555,14171
2021-09-23,50-59yrs,24279,19039
2021-09-23,60-69yrs,27440,25917
2021-09-23,70-79yrs,19403,18907
2021-09-23,80+,11147,10311
2021-09-24,12-17yrs,10179,6956
2021-09-24,18-29yrs,22126,14593
2021-09-24,30-39yrs,17931,14649
2021-09-24,40-49yrs,16555,14190
2021-09-24,50-59yrs,24279,19048
2021-09-24,60-69yrs,27440,25925
2021-09-24,70-79yrs,19403,18909
2021-09-24,80+,11147,10310
2021-09-25,12-17yrs,10179,6966
2021-09-25,18-29yrs,22126,14636
2021-09-25,30-39yrs,17931,14697
2021-09-25,40-49yrs,16555,14222
2021-09-25,50-59yrs,24279,19064
2021-09-25,60-69yrs,27440,25940
2021-09-25,70-79yrs,19403,18916
2021-09-25,80+,11147,10312
2021-09-26,12-17yrs,10179,6980
2021-09-26,18-29yrs,22126,14649
2021-09-26,30-39yrs,17931,14709
2021-09-26,40-49yrs,16555,14234
2021-09-26,50-59yrs,24279,19073
2021-09-26,60-69yrs,27440,25945
2021-09-26,70-79yrs,19403,18917
2021-09-26,80+,11147,10311
2021-09-27,12-17yrs,10179,6982
2021-09-27,18-29yrs,22126,14665
2021-09-27,30-39yrs,17931,14716
2021-09-27,40-49yrs,16555,14246
2021-09-27,50-59yrs,24279,19077
2021-09-27,60-69yrs,27440,25949
2021-09-27,70-79yrs,19403,18917
2021-09-27,80+,11147,10311
2021-09-28,12-17yrs,10179,7002
2021-09-28,18-29yrs,22126,14697
2021-09-28,30-39yrs,17931,14757
2021-09-28,40-49yrs,16555,14266
2021-09-28,50-59yrs,24279,19090
2021-09-28,60-69yrs,27440,25958
2021-09-28,70-79yrs,19403,18919
2021-09-28,80+,11147,10310
2021-09-29,12-17yrs,10179,7027
2021-09-29,18-29yrs,22126,14739
2021-09-29,30-39yrs,17931,14798
2021-09-29,40-49yrs,16555,14286
2021-09-29,50-59yrs,24279,19107
2021-09-29,60-69yrs,27440,25973
2021-09-29,70-79yrs,19403,18926
2021-09-29,80+,11147,10311
2021-09-30,12-17yrs,10179,7042
2021-09-30,18-29yrs,22126,14766
2021-09-30,30-39yrs,17931,14829
2021-09-30,40-49yrs,16555,14300
2021-09-30,50-59yrs,24279,19122
2021-09-30,60-69yrs,27440,25981
2021-09-30,70-79yrs,19403,18929
2021-09-30,80+,11147,10313
2021-10-01,12-17yrs,10179,7051
2021-10-01,18-29yrs,22126,14781
2021-10-01,30-39yrs,17931,14841
2021-10-01,40-49yrs,16555,14309
2021-10-01,50-59yrs,24279,19127
2021-10-01,60-69yrs,27440,25986
2021-10-01,70-79yrs,19403,18931
2021-10-01,80+,11147,10313
2021-10-02,12-17yrs,10179,7062
2021-10-02,18-29yrs,22126,14808
2021-10-02,30-39yrs,17931,14881
2021-10-02,40-49yrs,16555,14322
2021-10-02,50-59yrs,24279,19141
2021-10-02,60-69yrs,27440,25995
2021-10-02,70-79yrs,19403,18934
2021-10-02,80+,11147,10315
2021-10-03,12-17yrs,10179,7071
2021-10-03,18-29yrs,22126,14822
2021-10-03,30-39yrs,17931,14891
2021-10-03,40-49yrs,16555,14328
2021-10-03,50-59yrs,24279,19146
2021-10-03,60-69yrs,27440,25998
2021-10-03,70-79yrs,19403,18934
2021-10-03,80+,11147,10315
2021-10-04,12-17yrs,10179,7076
2021-10-04,18-29yrs,22126,14829
2021-10-04,30-39yrs,17931,14894
2021-10-04,40-49yrs,16555,14331
2021-10-04,50-59yrs,24279,19146
2021-10-04,60-69yrs,27440,25999
2021-10-04,70-79yrs,19403,18934
2021-10-04,80+,11147,10315
