Date,one dose cumulative
2021-08-13,74.34
2021-08-14,74.39
2021-08-15,74.41
2021-08-16,74.42
2021-08-17,74.55
2021-08-18,74.7
2021-08-19,74.9
2021-08-20,75.02
2021-08-21,75.15
2021-08-22,75.18
2021-08-23,75.19
2021-08-24,75.32
2021-08-25,75.38
2021-08-26,75.57
2021-08-27,75.67
2021-08-28,75.82
2021-08-29,75.86
2021-08-30,75.88
2021-08-31,75.98
2021-09-01,76.11
2021-09-02,76.3
2021-09-03,76.84
2021-09-04,77.88
2021-09-05,78.01
2021-09-06,78.47
2021-09-07,78.48
2021-09-08,78.71
2021-09-09,79.99
2021-09-10,80.68
2021-09-11,80.94
2021-09-12,80.97
2021-09-13,80.99
2021-09-14,81.17
2021-09-15,81.28
2021-09-16,81.45
2021-09-17,81.61
2021-09-18,81.86
2021-09-19,81.95
2021-09-20,81.96
2021-09-21,82.1
2021-09-22,82.27
2021-09-23,82.56
2021-09-24,82.76
2021-09-25,83.03
2021-09-26,83.09
2021-09-27,83.1
2021-09-28,83.32
2021-09-29,83.45
2021-09-30,83.74
2021-10-01,83.79
2021-10-02,83.95
2021-10-03,83.98
2021-10-04,84.01
2021-10-05,84.26
2021-10-06,84.35
2021-10-07,84.45
2021-10-08,84.66
2021-10-09,84.78
2021-10-10,84.84
2021-10-11,84.86
2021-10-12,84.86
2021-10-13,85.11
2021-10-14,85.39
2021-10-15,85.51
2021-10-16,85.64
2021-10-17,85.67
2021-10-18,85.69
2021-10-19,85.91
2021-10-20,86.08
2021-10-21,86.3
2021-10-22,86.57
2021-10-23,86.66
2021-10-24,86.69
2021-10-25,86.7
2021-10-26,86.76
2021-10-27,86.83
2021-10-28,86.87
2021-10-29,86.91
2021-10-30,86.96
2021-10-31,86.97
2021-11-01,86.98
2021-11-02,87.03
2021-11-03,87.1
2021-11-04,87.17
2021-11-05,87.2
2021-11-06,87.23
2021-11-07,87.26
2021-11-08,87.29
2021-11-09,87.33
2021-11-10,87.38
2021-11-11,87.42
2021-11-12,87.45
2021-11-13,87.51
2021-11-14,87.53
2021-11-15,87.54
2021-11-16,87.58
2021-11-17,87.62
2021-11-18,87.66
2021-11-19,87.7
2021-11-20,87.76
2021-11-21,87.78
2021-11-22,87.79
2021-11-23,87.83
2021-11-24,87.86
2021-11-25,87.91
2021-11-26,87.94
2021-11-27,87.99
2021-11-28,88.0
2021-11-29,88.0
2021-11-30,88.08
2021-12-01,77.92
2021-12-02,78.06
2021-12-03,78.22
2021-12-04,78.47
2021-12-05,78.59
2021-12-06,78.61
2021-12-07,78.68
2021-12-08,78.91
2021-12-09,79.07
2021-12-10,79.17
2021-12-11,79.36
2021-12-12,79.45
2021-12-13,79.46
2021-12-14,79.5
2021-12-15,79.6
2021-12-16,79.63
2021-12-17,79.71
2021-12-18,79.8
2021-12-19,79.82
2021-12-20,79.83
2021-12-21,79.89
2021-12-22,80.05
2021-12-23,80.07
2021-12-24,80.1
2021-12-25,80.1
2021-12-26,80.1
2021-12-27,80.1
2021-12-28,80.12
2021-12-29,80.18
2021-12-30,80.22
2021-12-31,80.3
2022-01-01,80.34
2022-01-02,80.34
2022-01-03,80.34
2022-01-04,80.38
2022-01-05,80.45
2022-01-06,80.51
2022-01-07,80.53
2022-01-08,80.67
2022-01-09,80.68
2022-01-10,80.69
2022-01-11,80.73
2022-01-12,80.81
2022-01-13,80.84
2022-01-14,80.94
2022-01-15,81.03
2022-01-16,81.05
2022-01-17,81.06
2022-01-18,81.07
2022-01-19,81.08
2022-01-20,81.1
2022-01-21,81.13
2022-01-22,81.15
2022-01-23,81.15
2022-01-24,81.16
2022-01-25,81.23
2022-01-26,81.31
2022-01-27,81.32
2022-01-28,81.33
2022-01-29,81.37
2022-01-30,81.39
2022-01-31,81.39
2022-02-01,81.41
2022-02-02,81.45
2022-02-03,81.46
2022-02-04,81.47
2022-02-05,81.48
2022-02-06,81.48
2022-02-07,81.49
2022-02-08,81.49
2022-02-09,81.5
2022-02-10,81.52
2022-02-11,81.54
2022-02-12,81.58
2022-02-13,81.59
2022-02-14,81.61
2022-02-15,81.62
2022-02-16,81.63
2022-02-17,81.64
2022-02-18,81.66
2022-02-19,81.66
2022-02-20,81.66
2022-02-21,81.67
2022-02-22,81.67
2022-02-23,81.67
2022-02-24,81.68
2022-02-25,81.68
2022-02-26,81.69
2022-02-27,81.69
2022-02-28,81.7
2022-03-01,81.7
2022-03-02,81.7
2022-03-03,81.71
2022-03-04,81.72
2022-03-05,81.72
2022-03-06,81.73
2022-03-07,81.73
2022-03-08,81.73
2022-03-09,81.73
2022-03-10,81.74
2022-03-11,81.74
2022-03-12,81.75
2022-03-13,81.75
