Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,10093,5821
2021-07-26,18-29yrs,22520,14374
2021-07-26,30-39yrs,17429,13577
2021-07-26,40-49yrs,17924,14323
2021-07-26,50-59yrs,30845,22104
2021-07-26,60-69yrs,32828,30917
2021-07-26,70-79yrs,24747,23637
2021-07-26,80+,14112,13137
2021-07-27,12-17yrs,10093,5855
2021-07-27,18-29yrs,22520,14434
2021-07-27,30-39yrs,17429,13614
2021-07-27,40-49yrs,17924,14358
2021-07-27,50-59yrs,30845,22136
2021-07-27,60-69yrs,32828,30935
2021-07-27,70-79yrs,24747,23651
2021-07-27,80+,14112,13142
2021-07-28,12-17yrs,10093,5882
2021-07-28,18-29yrs,22520,14485
2021-07-28,30-39yrs,17429,13651
2021-07-28,40-49yrs,17924,14399
2021-07-28,50-59yrs,30845,22171
2021-07-28,60-69yrs,32828,30963
2021-07-28,70-79yrs,24747,23660
2021-07-28,80+,14112,13146
2021-07-29,12-17yrs,10093,5934
2021-07-29,18-29yrs,22520,14522
2021-07-29,30-39yrs,17429,13679
2021-07-29,40-49yrs,17924,14431
2021-07-29,50-59yrs,30845,22197
2021-07-29,60-69yrs,32828,30988
2021-07-29,70-79yrs,24747,23667
2021-07-29,80+,14112,13150
2021-07-30,12-17yrs,10093,5968
2021-07-30,18-29yrs,22520,14557
2021-07-30,30-39yrs,17429,13695
2021-07-30,40-49yrs,17924,14447
2021-07-30,50-59yrs,30845,22210
2021-07-30,60-69yrs,32828,31009
2021-07-30,70-79yrs,24747,23672
2021-07-30,80+,14112,13151
2021-07-31,12-17yrs,10093,6017
2021-07-31,18-29yrs,22520,14597
2021-07-31,30-39yrs,17429,13718
2021-07-31,40-49yrs,17924,14465
2021-07-31,50-59yrs,30845,22231
2021-07-31,60-69yrs,32828,31025
2021-07-31,70-79yrs,24747,23680
2021-07-31,80+,14112,13153
2021-08-01,12-17yrs,10093,6037
2021-08-01,18-29yrs,22520,14633
2021-08-01,30-39yrs,17429,13741
2021-08-01,40-49yrs,17924,14479
2021-08-01,50-59yrs,30845,22249
2021-08-01,60-69yrs,32828,31034
2021-08-01,70-79yrs,24747,23684
2021-08-01,80+,14112,13153
2021-08-02,12-17yrs,10093,6054
2021-08-02,18-29yrs,22520,14645
2021-08-02,30-39yrs,17429,13756
2021-08-02,40-49yrs,17924,14487
2021-08-02,50-59yrs,30845,22264
2021-08-02,60-69yrs,32828,31043
2021-08-02,70-79yrs,24747,23683
2021-08-02,80+,14112,13153
2021-08-03,12-17yrs,10093,6063
2021-08-03,18-29yrs,22520,14655
2021-08-03,30-39yrs,17429,13770
2021-08-03,40-49yrs,17924,14492
2021-08-03,50-59yrs,30845,22270
2021-08-03,60-69yrs,32828,31046
2021-08-03,70-79yrs,24747,23688
2021-08-03,80+,14112,13152
2021-08-04,12-17yrs,10093,6105
2021-08-04,18-29yrs,22520,14692
2021-08-04,30-39yrs,17429,13785
2021-08-04,40-49yrs,17924,14511
2021-08-04,50-59yrs,30845,22289
2021-08-04,60-69yrs,32828,31060
2021-08-04,70-79yrs,24747,23692
2021-08-04,80+,14112,13155
2021-08-05,12-17yrs,10093,6138
2021-08-05,18-29yrs,22520,14735
2021-08-05,30-39yrs,17429,13813
2021-08-05,40-49yrs,17924,14523
2021-08-05,50-59yrs,30845,22315
2021-08-05,60-69yrs,32828,31088
2021-08-05,70-79yrs,24747,23703
2021-08-05,80+,14112,13155
2021-08-06,12-17yrs,10093,6161
2021-08-06,18-29yrs,22520,14763
2021-08-06,30-39yrs,17429,13840
2021-08-06,40-49yrs,17924,14537
2021-08-06,50-59yrs,30845,22328
2021-08-06,60-69yrs,32828,31106
2021-08-06,70-79yrs,24747,23709
2021-08-06,80+,14112,13156
2021-08-07,12-17yrs,10093,6187
2021-08-07,18-29yrs,22520,14789
2021-08-07,30-39yrs,17429,13864
2021-08-07,40-49yrs,17924,14559
2021-08-07,50-59yrs,30845,22351
2021-08-07,60-69yrs,32828,31120
2021-08-07,70-79yrs,24747,23716
2021-08-07,80+,14112,13159
2021-08-08,12-17yrs,10093,6199
2021-08-08,18-29yrs,22520,14811
2021-08-08,30-39yrs,17429,13886
2021-08-08,40-49yrs,17924,14575
2021-08-08,50-59yrs,30845,22371
2021-08-08,60-69yrs,32828,31127
2021-08-08,70-79yrs,24747,23718
2021-08-08,80+,14112,13160
2021-08-09,12-17yrs,10093,6215
2021-08-09,18-29yrs,22520,14828
2021-08-09,30-39yrs,17429,13899
2021-08-09,40-49yrs,17924,14581
2021-08-09,50-59yrs,30845,22379
2021-08-09,60-69yrs,32828,31135
2021-08-09,70-79yrs,24747,23721
2021-08-09,80+,14112,13160
2021-08-10,12-17yrs,10093,6245
2021-08-10,18-29yrs,22520,14876
2021-08-10,30-39yrs,17429,13920
2021-08-10,40-49yrs,17924,14599
2021-08-10,50-59yrs,30845,22404
2021-08-10,60-69yrs,32828,31181
2021-08-10,70-79yrs,24747,23732
2021-08-10,80+,14112,13165
2021-08-11,12-17yrs,10093,6267
2021-08-11,18-29yrs,22520,14923
2021-08-11,30-39yrs,17429,13948
2021-08-11,40-49yrs,17924,14650
2021-08-11,50-59yrs,30845,22430
2021-08-11,60-69yrs,32828,31186
2021-08-11,70-79yrs,24747,23724
2021-08-11,80+,14112,13141
2021-08-12,12-17yrs,10093,6307
2021-08-12,18-29yrs,22520,14964
2021-08-12,30-39yrs,17429,13976
2021-08-12,40-49yrs,17924,14681
2021-08-12,50-59yrs,30845,22447
2021-08-12,60-69yrs,32828,31234
2021-08-12,70-79yrs,24747,23731
2021-08-12,80+,14112,13143
2021-08-13,12-17yrs,10093,6341
2021-08-13,18-29yrs,22520,14973
2021-08-13,30-39yrs,17429,13988
2021-08-13,40-49yrs,17924,14678
2021-08-13,50-59yrs,30845,22479
2021-08-13,60-69yrs,32828,31257
2021-08-13,70-79yrs,24747,23757
2021-08-13,80+,14112,13175
2021-08-14,12-17yrs,10093,6351
2021-08-14,18-29yrs,22520,15011
2021-08-14,30-39yrs,17429,14019
2021-08-14,40-49yrs,17924,14700
2021-08-14,50-59yrs,30845,22507
2021-08-14,60-69yrs,32828,31294
2021-08-14,70-79yrs,24747,23765
2021-08-14,80+,14112,13180
2021-08-15,12-17yrs,10093,6373
2021-08-15,18-29yrs,22520,15040
2021-08-15,30-39yrs,17429,14031
2021-08-15,40-49yrs,17924,14718
2021-08-15,50-59yrs,30845,22525
2021-08-15,60-69yrs,32828,31307
2021-08-15,70-79yrs,24747,23769
2021-08-15,80+,14112,13181
2021-08-16,12-17yrs,10093,6377
2021-08-16,18-29yrs,22520,15051
2021-08-16,30-39yrs,17429,14034
2021-08-16,40-49yrs,17924,14729
2021-08-16,50-59yrs,30845,22529
2021-08-16,60-69yrs,32828,31309
2021-08-16,70-79yrs,24747,23769
2021-08-16,80+,14112,13182
2021-08-17,12-17yrs,10093,6405
2021-08-17,18-29yrs,22520,15074
2021-08-17,30-39yrs,17429,14053
2021-08-17,40-49yrs,17924,14741
2021-08-17,50-59yrs,30845,22547
2021-08-17,60-69yrs,32828,31320
2021-08-17,70-79yrs,24747,23775
2021-08-17,80+,14112,13183
2021-08-18,12-17yrs,10093,6437
2021-08-18,18-29yrs,22520,15117
2021-08-18,30-39yrs,17429,14087
2021-08-18,40-49yrs,17924,14765
2021-08-18,50-59yrs,30845,22574
2021-08-18,60-69yrs,32828,31328
2021-08-18,70-79yrs,24747,23781
2021-08-18,80+,14112,13188
2021-08-19,12-17yrs,10093,6524
2021-08-19,18-29yrs,22520,15160
2021-08-19,30-39yrs,17429,14138
2021-08-19,40-49yrs,17924,14806
2021-08-19,50-59yrs,30845,22604
2021-08-19,60-69yrs,32828,31340
2021-08-19,70-79yrs,24747,23785
2021-08-19,80+,14112,13192
2021-08-20,12-17yrs,10093,6564
2021-08-20,18-29yrs,22520,15212
2021-08-20,30-39yrs,17429,14176
2021-08-20,40-49yrs,17924,14828
2021-08-20,50-59yrs,30845,22624
2021-08-20,60-69yrs,32828,31355
2021-08-20,70-79yrs,24747,23793
2021-08-20,80+,14112,13192
2021-08-21,12-17yrs,10093,6589
