Date,one dose cumulative
2021-08-13,77.55
2021-08-14,77.67
2021-08-15,77.75
2021-08-16,77.81
2021-08-17,77.93
2021-08-18,78.04
2021-08-19,78.18
2021-08-20,78.32
2021-08-21,78.47
2021-08-22,78.6
2021-08-23,78.67
2021-08-24,78.8
2021-08-25,78.93
2021-08-26,79.08
2021-08-27,79.21
2021-08-28,79.33
2021-08-29,79.44
2021-08-30,79.51
2021-08-31,79.63
2021-09-01,79.74
2021-09-02,79.88
2021-09-03,80.05
2021-09-04,80.26
2021-09-05,80.4
2021-09-06,80.5
2021-09-07,80.57
2021-09-08,80.68
2021-09-09,80.84
2021-09-10,80.98
2021-09-11,81.11
2021-09-12,81.21
2021-09-13,81.26
2021-09-14,81.36
2021-09-15,81.47
2021-09-16,81.59
2021-09-17,81.72
2021-09-18,81.86
2021-09-19,81.96
2021-09-20,82.01
2021-09-21,82.11
2021-09-22,82.22
2021-09-23,82.38
2021-09-24,82.54
2021-09-25,82.68
2021-09-26,82.81
2021-09-27,82.88
2021-09-28,82.99
2021-09-29,83.08
2021-09-30,83.21
2021-10-01,83.31
2021-10-02,83.41
2021-10-03,83.48
2021-10-04,83.53
2021-10-05,83.6
2021-10-06,83.69
2021-10-07,83.77
2021-10-08,83.84
2021-10-09,83.96
2021-10-10,84.05
2021-10-11,84.09
2021-10-12,84.1
2021-10-13,84.15
2021-10-14,84.26
2021-10-15,84.33
2021-10-16,84.41
2021-10-17,84.47
2021-10-18,84.51
2021-10-19,84.57
2021-10-20,84.64
2021-10-21,84.71
2021-10-22,84.77
2021-10-23,84.83
2021-10-24,84.86
2021-10-25,84.88
2021-10-26,84.93
2021-10-27,84.98
2021-10-28,85.04
2021-10-29,85.09
2021-10-30,85.14
2021-10-31,85.18
2021-11-01,85.21
2021-11-02,85.25
2021-11-03,85.29
2021-11-04,85.35
2021-11-05,85.39
2021-11-06,85.39
2021-11-07,85.42
2021-11-08,85.47
2021-11-09,85.51
2021-11-10,85.57
2021-11-11,85.61
2021-11-12,85.63
2021-11-13,85.68
2021-11-14,85.72
2021-11-15,85.75
2021-11-16,85.78
2021-11-17,85.83
2021-11-18,85.86
2021-11-19,85.91
2021-11-20,85.98
2021-11-21,86.01
2021-11-22,86.03
2021-11-23,86.06
2021-11-24,86.1
2021-11-25,86.13
2021-11-26,86.17
2021-11-27,86.22
2021-11-28,86.24
2021-11-29,86.25
2021-11-30,86.28
2021-12-01,82.02
2021-12-02,82.15
2021-12-03,82.28
2021-12-04,82.44
2021-12-05,82.63
2021-12-06,82.77
2021-12-07,82.89
2021-12-08,83.01
2021-12-09,83.13
2021-12-10,83.22
2021-12-11,83.35
2021-12-12,83.48
2021-12-13,83.57
2021-12-14,83.63
2021-12-15,83.71
2021-12-16,83.79
2021-12-17,83.85
2021-12-18,83.93
2021-12-19,84.03
2021-12-20,84.13
2021-12-21,84.23
2021-12-22,84.34
2021-12-23,84.43
2021-12-24,84.54
2021-12-25,84.6
2021-12-26,84.6
2021-12-27,84.62
2021-12-28,84.69
2021-12-29,84.79
2021-12-30,84.89
2021-12-31,84.97
2022-01-01,85.05
2022-01-02,85.05
2022-01-03,85.11
2022-01-04,85.19
2022-01-05,85.28
2022-01-06,85.37
2022-01-07,85.47
2022-01-08,85.58
2022-01-09,85.69
2022-01-10,85.78
2022-01-11,85.88
2022-01-12,86.01
2022-01-13,86.1
2022-01-14,86.22
2022-01-15,86.36
2022-01-16,86.49
2022-01-17,86.57
2022-01-18,86.63
2022-01-19,86.69
2022-01-20,86.74
2022-01-21,86.79
2022-01-22,86.85
2022-01-23,86.9
2022-01-24,86.94
2022-01-25,86.98
2022-01-26,87.01
2022-01-27,87.04
2022-01-28,87.07
2022-01-29,87.13
2022-01-30,87.17
2022-01-31,87.19
2022-02-01,87.22
2022-02-02,87.27
2022-02-03,87.31
2022-02-04,87.33
2022-02-05,87.36
2022-02-06,87.38
2022-02-07,87.4
2022-02-08,87.42
2022-02-09,87.45
2022-02-10,87.49
2022-02-11,87.53
2022-02-12,87.57
2022-02-13,87.59
2022-02-14,87.64
2022-02-15,87.66
2022-02-16,87.69
2022-02-17,87.71
2022-02-18,87.74
2022-02-19,87.76
2022-02-20,87.77
2022-02-21,87.78
2022-02-22,87.78
2022-02-23,87.81
2022-02-24,87.83
2022-02-25,87.85
2022-02-26,87.87
2022-02-27,87.88
2022-02-28,87.89
2022-03-01,87.9
2022-03-02,87.92
2022-03-03,87.94
2022-03-04,87.95
2022-03-05,87.98
2022-03-06,87.99
2022-03-07,87.99
2022-03-08,88.0
2022-03-09,88.02
2022-03-10,88.04
2022-03-11,88.06
2022-03-12,88.07
2022-03-13,88.08
