Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,37018,21710
2021-07-26,18-29yrs,100237,64059
2021-07-26,30-39yrs,84056,58261
2021-07-26,40-49yrs,71673,53726
2021-07-26,50-59yrs,80704,64137
2021-07-26,60-69yrs,72258,62688
2021-07-26,70-79yrs,45295,42248
2021-07-26,80+,28319,27444
2021-07-27,12-17yrs,37018,21845
2021-07-27,18-29yrs,100237,64202
2021-07-27,30-39yrs,84056,58384
2021-07-27,40-49yrs,71673,53825
2021-07-27,50-59yrs,80704,64223
2021-07-27,60-69yrs,72258,62729
2021-07-27,70-79yrs,45295,42264
2021-07-27,80+,28319,27455
2021-07-28,12-17yrs,37018,21978
2021-07-28,18-29yrs,100237,64348
2021-07-28,30-39yrs,84056,58508
2021-07-28,40-49yrs,71673,53923
2021-07-28,50-59yrs,80704,64292
2021-07-28,60-69yrs,72258,62765
2021-07-28,70-79yrs,45295,42282
2021-07-28,80+,28319,27461
2021-07-29,12-17yrs,37018,22105
2021-07-29,18-29yrs,100237,64461
2021-07-29,30-39yrs,84056,58593
2021-07-29,40-49yrs,71673,53979
2021-07-29,50-59yrs,80704,64349
2021-07-29,60-69yrs,72258,62812
2021-07-29,70-79yrs,45295,42293
2021-07-29,80+,28319,27469
2021-07-30,12-17yrs,37018,22230
2021-07-30,18-29yrs,100237,64604
2021-07-30,30-39yrs,84056,58685
2021-07-30,40-49yrs,71673,54059
2021-07-30,50-59yrs,80704,64409
2021-07-30,60-69yrs,72258,62852
2021-07-30,70-79yrs,45295,42311
2021-07-30,80+,28319,27479
2021-07-31,12-17yrs,37018,22336
2021-07-31,18-29yrs,100237,64735
2021-07-31,30-39yrs,84056,58803
2021-07-31,40-49yrs,71673,54120
2021-07-31,50-59yrs,80704,64484
2021-07-31,60-69yrs,72258,62900
2021-07-31,70-79yrs,45295,42329
2021-07-31,80+,28319,27482
2021-08-01,12-17yrs,37018,22479
2021-08-01,18-29yrs,100237,64846
2021-08-01,30-39yrs,84056,58892
2021-08-01,40-49yrs,71673,54180
2021-08-01,50-59yrs,80704,64540
2021-08-01,60-69yrs,72258,62924
