Date,one dose cumulative
2021-08-13,83.96
2021-08-14,84.05
2021-08-15,84.15
2021-08-16,84.15
2021-08-17,84.2
2021-08-18,84.27
2021-08-19,84.38
2021-08-20,84.49
2021-08-21,84.57
2021-08-22,84.7
2021-08-23,84.72
2021-08-24,84.77
2021-08-25,84.9
2021-08-26,85.05
2021-08-27,85.15
2021-08-28,85.23
2021-08-29,85.35
2021-08-30,85.36
2021-08-31,85.44
2021-09-01,85.5
2021-09-02,85.73
2021-09-03,85.93
2021-09-04,86.2
2021-09-05,86.24
2021-09-06,86.26
2021-09-07,86.26
2021-09-08,86.46
2021-09-09,86.61
2021-09-10,86.77
2021-09-11,86.95
2021-09-12,87.06
2021-09-13,87.08
2021-09-14,87.17
2021-09-15,87.3
2021-09-16,87.4
2021-09-17,87.58
2021-09-18,87.74
2021-09-19,87.81
2021-09-20,87.83
2021-09-21,87.88
2021-09-22,88.05
2021-09-23,88.19
2021-09-24,88.33
2021-09-25,88.44
2021-09-26,88.57
2021-09-27,88.58
2021-09-28,88.63
2021-09-29,88.69
2021-09-30,88.84
2021-10-01,88.91
2021-10-02,89.01
2021-10-03,89.05
2021-10-04,89.06
2021-10-05,89.11
2021-10-06,89.2
2021-10-07,89.25
2021-10-08,89.35
2021-10-09,89.45
2021-10-10,89.49
2021-10-11,89.5
2021-10-12,89.5
2021-10-13,89.57
2021-10-14,89.64
2021-10-15,89.72
2021-10-16,89.79
2021-10-17,89.82
2021-10-18,89.83
2021-10-19,89.87
2021-10-20,89.94
2021-10-21,90.01
2021-10-22,90.14
2021-10-23,90.22
2021-10-24,90.2
2021-10-25,90.2
2021-10-26,90.25
2021-10-27,90.32
2021-10-28,90.39
2021-10-29,90.41
2021-10-30,90.47
2021-10-31,90.48
2021-11-01,90.49
2021-11-02,90.52
2021-11-03,90.54
2021-11-04,90.57
2021-11-05,90.62
2021-11-06,90.63
2021-11-07,90.64
2021-11-08,90.66
2021-11-09,90.68
2021-11-10,90.72
2021-11-11,90.75
2021-11-12,90.76
2021-11-13,90.78
2021-11-14,90.81
2021-11-15,90.8
2021-11-16,90.82
2021-11-17,90.86
2021-11-18,90.89
2021-11-19,90.93
2021-11-20,90.95
2021-11-21,90.98
2021-11-22,90.98
2021-11-23,91.0
2021-11-24,91.04
2021-11-25,91.06
2021-11-26,91.1
2021-11-27,91.13
2021-11-28,91.16
2021-11-29,91.15
2021-11-30,91.18
2021-12-01,80.64
2021-12-02,80.92
2021-12-03,81.19
2021-12-04,81.36
2021-12-05,81.54
2021-12-06,81.55
2021-12-07,81.6
2021-12-08,81.76
2021-12-09,82.06
2021-12-10,82.16
2021-12-11,82.27
2021-12-12,82.44
2021-12-13,82.46
2021-12-14,82.5
2021-12-15,82.63
2021-12-16,82.76
2021-12-17,82.86
2021-12-18,82.95
2021-12-19,83.02
2021-12-20,83.09
2021-12-21,83.26
2021-12-22,83.4
2021-12-23,83.5
2021-12-24,83.55
2021-12-25,83.56
2021-12-26,83.56
2021-12-27,83.57
2021-12-28,83.6
2021-12-29,83.63
2021-12-30,83.72
2021-12-31,83.84
2022-01-01,83.87
2022-01-02,83.87
2022-01-03,83.88
2022-01-04,83.95
2022-01-05,84.02
2022-01-06,84.11
2022-01-07,84.21
2022-01-08,84.3
2022-01-09,84.37
2022-01-10,84.38
2022-01-11,84.39
2022-01-12,84.5
2022-01-13,84.62
2022-01-14,84.75
2022-01-15,84.86
2022-01-16,84.97
2022-01-17,85.0
2022-01-18,84.99
2022-01-19,85.03
2022-01-20,85.1
2022-01-21,85.13
2022-01-22,85.11
2022-01-23,85.18
2022-01-24,85.18
2022-01-25,85.2
2022-01-26,85.17
2022-01-27,85.14
2022-01-28,85.16
2022-01-29,85.18
2022-01-30,85.21
2022-01-31,85.21
2022-02-01,85.23
2022-02-02,85.24
2022-02-03,85.19
2022-02-04,85.2
2022-02-05,85.22
2022-02-06,85.23
2022-02-07,85.23
2022-02-08,85.24
2022-02-09,85.26
2022-02-10,85.29
2022-02-11,85.31
2022-02-12,85.33
2022-02-13,85.34
2022-02-14,85.37
2022-02-15,85.38
2022-02-16,85.38
2022-02-17,85.4
2022-02-18,85.41
2022-02-19,85.41
2022-02-20,85.41
2022-02-21,85.41
2022-02-22,85.41
2022-02-23,85.41
2022-02-24,85.43
2022-02-25,85.45
2022-02-26,85.45
2022-02-27,85.46
2022-02-28,85.46
2022-03-01,85.47
2022-03-02,85.47
2022-03-03,85.47
2022-03-04,85.48
2022-03-05,85.49
2022-03-06,85.5
2022-03-07,85.5
2022-03-08,85.5
2022-03-09,85.5
2022-03-10,85.51
2022-03-11,85.52
2022-03-12,85.53
2022-03-13,85.54
