Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,11803,8637
2021-07-26,18-29yrs,34068,23996
2021-07-26,30-39yrs,29909,20167
2021-07-26,40-49yrs,24416,19052
2021-07-26,50-59yrs,29814,24370
2021-07-26,60-69yrs,28261,28367
2021-07-26,70-79yrs,19981,19808
2021-07-26,80+,11314,11392
2021-07-27,12-17yrs,11803,8648
2021-07-27,18-29yrs,34068,24039
2021-07-27,30-39yrs,29909,20195
2021-07-27,40-49yrs,24416,19065
2021-07-27,50-59yrs,29814,24399
2021-07-27,60-69yrs,28261,28378
2021-07-27,70-79yrs,19981,19814
2021-07-27,80+,11314,11393
2021-07-28,12-17yrs,11803,8703
2021-07-28,18-29yrs,34068,24111
2021-07-28,30-39yrs,29909,20235
2021-07-28,40-49yrs,24416,19094
2021-07-28,50-59yrs,29814,24422
2021-07-28,60-69yrs,28261,28396
2021-07-28,70-79yrs,19981,19820
2021-07-28,80+,11314,11393
2021-07-29,12-17yrs,11803,8748
2021-07-29,18-29yrs,34068,24166
2021-07-29,30-39yrs,29909,20279
2021-07-29,40-49yrs,24416,19126
2021-07-29,50-59yrs,29814,24438
2021-07-29,60-69yrs,28261,28395
2021-07-29,70-79yrs,19981,19827
2021-07-29,80+,11314,11397
2021-07-30,12-17yrs,11803,8789
2021-07-30,18-29yrs,34068,24205
2021-07-30,30-39yrs,29909,20307
2021-07-30,40-49yrs,24416,19151
2021-07-30,50-59yrs,29814,24442
2021-07-30,60-69yrs,28261,28357
2021-07-30,70-79yrs,19981,19833
2021-07-30,80+,11314,11404
2021-07-31,12-17yrs,11803,8828
2021-07-31,18-29yrs,34068,24257
2021-07-31,30-39yrs,29909,20347
2021-07-31,40-49yrs,24416,19171
2021-07-31,50-59yrs,29814,24461
2021-07-31,60-69yrs,28261,28351
2021-07-31,70-79yrs,19981,19845
2021-07-31,80+,11314,11410
2021-08-01,12-17yrs,11803,8844
2021-08-01,18-29yrs,34068,24278
2021-08-01,30-39yrs,29909,20359
2021-08-01,40-49yrs,24416,19182
2021-08-01,50-59yrs,29814,24473
2021-08-01,60-69yrs,28261,28363
2021-08-01,70-79yrs,19981,19848
2021-08-01,80+,11314,11411
2021-08-02,12-17yrs,11803,8882
2021-08-02,18-29yrs,34068,24325
2021-08-02,30-39yrs,29909,20376
2021-08-02,40-49yrs,24416,19203
2021-08-02,50-59yrs,29814,24487
2021-08-02,60-69yrs,28261,28372
2021-08-02,70-79yrs,19981,19859
2021-08-02,80+,11314,11411
2021-08-03,12-17yrs,11803,8901
2021-08-03,18-29yrs,34068,24345
2021-08-03,30-39yrs,29909,20398
2021-08-03,40-49yrs,24416,19209
2021-08-03,50-59yrs,29814,24494
2021-08-03,60-69yrs,28261,28377
2021-08-03,70-79yrs,19981,19862
2021-08-03,80+,11314,11411
2021-08-04,12-17yrs,11803,8919
2021-08-04,18-29yrs,34068,24380
2021-08-04,30-39yrs,29909,20413
2021-08-04,40-49yrs,24416,19218
2021-08-04,50-59yrs,29814,24505
2021-08-04,60-69yrs,28261,28381
2021-08-04,70-79yrs,19981,19870
2021-08-04,80+,11314,11417
2021-08-05,12-17yrs,11803,8958
2021-08-05,18-29yrs,34068,24427
2021-08-05,30-39yrs,29909,20441
2021-08-05,40-49yrs,24416,19244
2021-08-05,50-59yrs,29814,24524
2021-08-05,60-69yrs,28261,28402
2021-08-05,70-79yrs,19981,19883
2021-08-05,80+,11314,11419
2021-08-06,12-17yrs,11803,8989
2021-08-06,18-29yrs,34068,24487
2021-08-06,30-39yrs,29909,20470
2021-08-06,40-49yrs,24416,19273
2021-08-06,50-59yrs,29814,24538
2021-08-06,60-69yrs,28261,28424
2021-08-06,70-79yrs,19981,19891
2021-08-06,80+,11314,11419
2021-08-07,12-17yrs,11803,9017
2021-08-07,18-29yrs,34068,24538
2021-08-07,30-39yrs,29909,20504
2021-08-07,40-49yrs,24416,19285
2021-08-07,50-59yrs,29814,24551
2021-08-07,60-69yrs,28261,28415
2021-08-07,70-79yrs,19981,19892
2021-08-07,80+,11314,11419
2021-08-08,12-17yrs,11803,9030
2021-08-08,18-29yrs,34068,24602
2021-08-08,30-39yrs,29909,20531
2021-08-08,40-49yrs,24416,19299
2021-08-08,50-59yrs,29814,24568
2021-08-08,60-69yrs,28261,28427
2021-08-08,70-79yrs,19981,19897
2021-08-08,80+,11314,11423
2021-08-09,12-17yrs,11803,9044
2021-08-09,18-29yrs,34068,24617
2021-08-09,30-39yrs,29909,20540
2021-08-09,40-49yrs,24416,19305
2021-08-09,50-59yrs,29814,24581
2021-08-09,60-69yrs,28261,28430
2021-08-09,70-79yrs,19981,19905
2021-08-09,80+,11314,11426
2021-08-10,12-17yrs,11803,9050
2021-08-10,18-29yrs,34068,24630
2021-08-10,30-39yrs,29909,20547
2021-08-10,40-49yrs,24416,19309
2021-08-10,50-59yrs,29814,24585
2021-08-10,60-69yrs,28261,28082
2021-08-10,70-79yrs,19981,19857
2021-08-10,80+,11314,11419
2021-08-11,12-17yrs,11803,9083
2021-08-11,18-29yrs,34068,24676
2021-08-11,30-39yrs,29909,20584
2021-08-11,40-49yrs,24416,19351
2021-08-11,50-59yrs,29814,24633
2021-08-11,60-69yrs,28261,28103
2021-08-11,70-79yrs,19981,19868
2021-08-11,80+,11314,11450
2021-08-12,12-17yrs,11803,9094
2021-08-12,18-29yrs,34068,24624
2021-08-12,30-39yrs,29909,20587
2021-08-12,40-49yrs,24416,19340
2021-08-12,50-59yrs,29814,24624
2021-08-12,60-69yrs,28261,27815
2021-08-12,70-79yrs,19981,19858
2021-08-12,80+,11314,11444
2021-08-13,12-17yrs,11803,9112
2021-08-13,18-29yrs,34068,24636
2021-08-13,30-39yrs,29909,20596
2021-08-13,40-49yrs,24416,19316
2021-08-13,50-59yrs,29814,24583
2021-08-13,60-69yrs,28261,27760
2021-08-13,70-79yrs,19981,19808
2021-08-13,80+,11314,11419
2021-08-14,12-17yrs,11803,9132
2021-08-14,18-29yrs,34068,24661
2021-08-14,30-39yrs,29909,20611
2021-08-14,40-49yrs,24416,19320
2021-08-14,50-59yrs,29814,24557
2021-08-14,60-69yrs,28261,27552
2021-08-14,70-79yrs,19981,19802
2021-08-14,80+,11314,11417
2021-08-15,12-17yrs,11803,9149
2021-08-15,18-29yrs,34068,24686
2021-08-15,30-39yrs,29909,20630
2021-08-15,40-49yrs,24416,19332
2021-08-15,50-59yrs,29814,24570
2021-08-15,60-69yrs,28261,27556
2021-08-15,70-79yrs,19981,19803
2021-08-15,80+,11314,11418
2021-08-16,12-17yrs,11803,9163
2021-08-16,18-29yrs,34068,24708
2021-08-16,30-39yrs,29909,20638
2021-08-16,40-49yrs,24416,19353
2021-08-16,50-59yrs,29814,24581
2021-08-16,60-69yrs,28261,27562
2021-08-16,70-79yrs,19981,19804
2021-08-16,80+,11314,11418
2021-08-17,12-17yrs,11803,9177
2021-08-17,18-29yrs,34068,24742
2021-08-17,30-39yrs,29909,20650
2021-08-17,40-49yrs,24416,19366
2021-08-17,50-59yrs,29814,24587
2021-08-17,60-69yrs,28261,27568
2021-08-17,70-79yrs,19981,19809
2021-08-17,80+,11314,11420
2021-08-18,12-17yrs,11803,9182
2021-08-18,18-29yrs,34068,24572
2021-08-18,30-39yrs,29909,20616
2021-08-18,40-49yrs,24416,19363
2021-08-18,50-59yrs,29814,24568
2021-08-18,60-69yrs,28261,27567
2021-08-18,70-79yrs,19981,19807
2021-08-18,80+,11314,11421
2021-08-19,12-17yrs,11803,9271
2021-08-19,18-29yrs,34068,24619
2021-08-19,30-39yrs,29909,20645
2021-08-19,40-49yrs,24416,19380
2021-08-19,50-59yrs,29814,24577
2021-08-19,60-69yrs,28261,27572
2021-08-19,70-79yrs,19981,19817
2021-08-19,80+,11314,11422
2021-08-20,12-17yrs,11803,9333
2021-08-20,18-29yrs,34068,24604
2021-08-20,30-39yrs,29909,20650
2021-08-20,40-49yrs,24416,19382
2021-08-20,50-59yrs,29814,24589
2021-08-20,60-69yrs,28261,27583
2021-08-20,70-79yrs,19981,19824
2021-08-20,80+,11314,11424
2021-08-21,12-17yrs,11803,9405
2021-08-21,18-29yrs,34068,24663
2021-08-21,30-39yrs,29909,20676
2021-08-21,40-49yrs,24416,19412
2021-08-21,50-59yrs,29814,24604
2021-08-21,60-69yrs,28261,27591
2021-08-21,70-79yrs,19981,19827
2021-08-21,80+,11314,11430
2021-08-22,12-17yrs,11803,9451
2021-08-22,18-29yrs,34068,24683
2021-08-22,30-39yrs,29909,20686
2021-08-22,40-49yrs,24416,19425
2021-08-22,50-59yrs,29814,24615
2021-08-22,60-69yrs,28261,27594
