Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,8280,4455
2021-07-26,18-29yrs,18558,10937
2021-07-26,30-39yrs,14493,10044
2021-07-26,40-49yrs,13713,10197
2021-07-26,50-59yrs,18136,13193
2021-07-26,60-69yrs,20502,17419
2021-07-26,70-79yrs,13758,12802
2021-07-26,80+,8068,7318
2021-07-27,12-17yrs,8280,4473
2021-07-27,18-29yrs,18558,11017
2021-07-27,30-39yrs,14493,10092
2021-07-27,40-49yrs,13713,10224
2021-07-27,50-59yrs,18136,13217
2021-07-27,60-69yrs,20502,17487
2021-07-27,70-79yrs,13758,12829
2021-07-27,80+,8068,7324
2021-07-28,12-17yrs,8280,4498
2021-07-28,18-29yrs,18558,11055
2021-07-28,30-39yrs,14493,10118
2021-07-28,40-49yrs,13713,10247
2021-07-28,50-59yrs,18136,13240
2021-07-28,60-69yrs,20502,17500
2021-07-28,70-79yrs,13758,12836
2021-07-28,80+,8068,7325
2021-07-29,12-17yrs,8280,4541
2021-07-29,18-29yrs,18558,11108
2021-07-29,30-39yrs,14493,10147
2021-07-29,40-49yrs,13713,10268
2021-07-29,50-59yrs,18136,13265
2021-07-29,60-69yrs,20502,17509
2021-07-29,70-79yrs,13758,12839
2021-07-29,80+,8068,7328
2021-07-30,12-17yrs,8280,4603
2021-07-30,18-29yrs,18558,11166
2021-07-30,30-39yrs,14493,10184
2021-07-30,40-49yrs,13713,10309
2021-07-30,50-59yrs,18136,13296
2021-07-30,60-69yrs,20502,17524
2021-07-30,70-79yrs,13758,12843
2021-07-30,80+,8068,7331
2021-07-31,12-17yrs,8280,4675
2021-07-31,18-29yrs,18558,11233
2021-07-31,30-39yrs,14493,10221
2021-07-31,40-49yrs,13713,10335
2021-07-31,50-59yrs,18136,13327
2021-07-31,60-69yrs,20502,17549
2021-07-31,70-79yrs,13758,12847
2021-07-31,80+,8068,7333
2021-08-01,12-17yrs,8280,4677
2021-08-01,18-29yrs,18558,11241
2021-08-01,30-39yrs,14493,10226
2021-08-01,40-49yrs,13713,10338
2021-08-01,50-59yrs,18136,13338
2021-08-01,60-69yrs,20502,17552
2021-08-01,70-79yrs,13758,12847
2021-08-01,80+,8068,7333
2021-08-02,12-17yrs,8280,4677
2021-08-02,18-29yrs,18558,11242
2021-08-02,30-39yrs,14493,10227
2021-08-02,40-49yrs,13713,10338
2021-08-02,50-59yrs,18136,13340
2021-08-02,60-69yrs,20502,17552
2021-08-02,70-79yrs,13758,12849
2021-08-02,80+,8068,7333
2021-08-03,12-17yrs,8280,4677
2021-08-03,18-29yrs,18558,11245
2021-08-03,30-39yrs,14493,10228
2021-08-03,40-49yrs,13713,10338
2021-08-03,50-59yrs,18136,13343
2021-08-03,60-69yrs,20502,17553
2021-08-03,70-79yrs,13758,12851
2021-08-03,80+,8068,7333
2021-08-04,12-17yrs,8280,4701
2021-08-04,18-29yrs,18558,11287
2021-08-04,30-39yrs,14493,10249
2021-08-04,40-49yrs,13713,10360
2021-08-04,50-59yrs,18136,13362
2021-08-04,60-69yrs,20502,17566
2021-08-04,70-79yrs,13758,12852
2021-08-04,80+,8068,7333
2021-08-05,12-17yrs,8280,4761
2021-08-05,18-29yrs,18558,11330
2021-08-05,30-39yrs,14493,10284
2021-08-05,40-49yrs,13713,10394
2021-08-05,50-59yrs,18136,13388
2021-08-05,60-69yrs,20502,17582
2021-08-05,70-79yrs,13758,12860
2021-08-05,80+,8068,7339
2021-08-06,12-17yrs,8280,4794
2021-08-06,18-29yrs,18558,11367
2021-08-06,30-39yrs,14493,10313
2021-08-06,40-49yrs,13713,10418
2021-08-06,50-59yrs,18136,13410
2021-08-06,60-69yrs,20502,17593
2021-08-06,70-79yrs,13758,12864
2021-08-06,80+,8068,7342
2021-08-07,12-17yrs,8280,4813
2021-08-07,18-29yrs,18558,11391
2021-08-07,30-39yrs,14493,10336
2021-08-07,40-49yrs,13713,10433
2021-08-07,50-59yrs,18136,13422
2021-08-07,60-69yrs,20502,17603
2021-08-07,70-79yrs,13758,12866
2021-08-07,80+,8068,7343
2021-08-08,12-17yrs,8280,4816
2021-08-08,18-29yrs,18558,11396
2021-08-08,30-39yrs,14493,10340
2021-08-08,40-49yrs,13713,10436
2021-08-08,50-59yrs,18136,13427
2021-08-08,60-69yrs,20502,17603
2021-08-08,70-79yrs,13758,12866
2021-08-08,80+,8068,7343
2021-08-09,12-17yrs,8280,4818
2021-08-09,18-29yrs,18558,11403
2021-08-09,30-39yrs,14493,10340
