Date,one dose cumulative
2021-08-13,90.07
2021-08-14,90.22
2021-08-15,90.29
2021-08-16,90.33
2021-08-17,90.4
2021-08-18,90.52
2021-08-19,90.6
2021-08-20,90.82
2021-08-21,90.9
2021-08-22,90.97
2021-08-23,91.03
2021-08-24,91.08
2021-08-25,91.22
2021-08-26,91.33
2021-08-27,91.57
2021-08-28,91.82
2021-08-29,91.93
2021-08-30,92.03
2021-08-31,92.04
2021-09-01,92.09
2021-09-02,92.21
2021-09-03,92.34
2021-09-04,92.5
2021-09-05,92.65
2021-09-06,92.68
2021-09-07,92.71
2021-09-08,92.79
2021-09-09,92.89
2021-09-10,93.0
2021-09-11,93.2
2021-09-12,93.28
2021-09-13,93.35
2021-09-14,93.42
2021-09-15,93.53
2021-09-16,93.63
2021-09-17,93.74
2021-09-18,93.91
2021-09-19,93.96
2021-09-20,93.99
2021-09-21,94.07
2021-09-22,94.2
2021-09-23,94.38
2021-09-24,94.59
2021-09-25,94.84
2021-09-26,95.1
2021-09-27,95.17
2021-09-28,95.28
2021-09-29,95.41
2021-09-30,95.79
2021-10-01,95.84
2021-10-02,95.9
2021-10-03,95.95
2021-10-04,95.99
2021-10-05,96.09
2021-10-06,96.18
2021-10-07,96.24
2021-10-08,96.53
2021-10-09,96.79
2021-10-10,96.89
2021-10-11,96.93
2021-10-12,96.93
2021-10-13,97.08
2021-10-14,97.17
2021-10-15,97.26
2021-10-16,97.32
2021-10-17,97.35
2021-10-18,97.37
2021-10-19,97.43
2021-10-20,97.51
2021-10-21,97.58
2021-10-22,97.71
2021-10-23,97.74
2021-10-24,97.78
2021-10-25,97.81
2021-10-26,97.85
2021-10-27,97.89
2021-10-28,97.94
2021-10-29,97.98
2021-10-30,98.02
2021-10-31,98.03
2021-11-01,98.06
2021-11-02,98.1
2021-11-03,98.12
2021-11-04,98.16
2021-11-05,98.2
2021-11-06,98.22
2021-11-07,98.23
2021-11-08,98.27
2021-11-09,98.29
2021-11-10,98.33
2021-11-11,98.37
2021-11-12,98.42
2021-11-13,98.45
2021-11-14,98.46
2021-11-15,98.48
2021-11-16,98.51
2021-11-17,98.54
2021-11-18,98.58
2021-11-19,98.6
2021-11-20,98.64
2021-11-21,98.66
2021-11-22,98.68
2021-11-23,98.7
2021-11-24,98.74
2021-11-25,98.77
2021-11-26,98.81
2021-11-27,98.84
2021-11-28,98.85
2021-11-29,98.86
2021-11-30,98.89
2021-12-01,89.22
2021-12-02,89.43
2021-12-03,89.59
2021-12-04,89.7
2021-12-05,89.82
2021-12-06,89.89
2021-12-07,90.04
2021-12-08,90.14
2021-12-09,90.32
2021-12-10,90.46
2021-12-11,90.68
2021-12-12,90.81
2021-12-13,91.05
2021-12-14,91.11
2021-12-15,91.2
2021-12-16,91.33
2021-12-17,91.47
2021-12-18,91.56
2021-12-19,91.74
2021-12-20,91.8
2021-12-21,91.96
2021-12-22,92.08
2021-12-23,92.2
2021-12-24,92.28
2021-12-25,92.3
2021-12-26,92.3
2021-12-27,92.3
2021-12-28,92.32
2021-12-29,92.34
2021-12-30,92.43
2021-12-31,92.48
2022-01-01,92.5
2022-01-02,92.5
2022-01-03,92.52
2022-01-04,92.55
2022-01-05,92.59
2022-01-06,92.64
2022-01-07,92.74
2022-01-08,92.79
2022-01-09,92.82
2022-01-10,92.9
2022-01-11,92.95
2022-01-12,93.0
2022-01-13,93.07
2022-01-14,93.19
2022-01-15,93.23
2022-01-16,93.26
2022-01-17,93.31
2022-01-18,93.31
2022-01-19,93.36
2022-01-20,93.42
2022-01-21,93.47
2022-01-22,93.51
2022-01-23,93.53
2022-01-24,93.56
2022-01-25,93.6
2022-01-26,93.63
2022-01-27,93.69
2022-01-28,93.77
2022-01-29,93.81
2022-01-30,93.82
2022-01-31,93.85
2022-02-01,93.87
2022-02-02,93.9
2022-02-03,93.95
2022-02-04,93.99
2022-02-05,94.01
2022-02-06,94.02
2022-02-07,94.02
2022-02-08,94.05
2022-02-09,94.06
2022-02-10,94.1
2022-02-11,94.16
2022-02-12,94.17
2022-02-13,94.19
2022-02-14,94.24
2022-02-15,94.26
2022-02-16,94.28
2022-02-17,94.29
2022-02-18,94.3
2022-02-19,94.3
2022-02-20,94.31
2022-02-21,94.32
2022-02-22,94.32
2022-02-23,94.33
2022-02-24,94.35
2022-02-25,94.36
2022-02-26,94.37
2022-02-27,94.37
2022-02-28,94.38
2022-03-01,94.39
2022-03-02,94.39
2022-03-03,94.39
2022-03-04,94.4
2022-03-05,94.4
2022-03-06,94.4
2022-03-07,94.41
2022-03-08,94.41
2022-03-09,94.41
2022-03-10,94.42
2022-03-11,94.42
2022-03-12,94.42
2022-03-13,94.42
