Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,10477,6941
2021-07-26,18-29yrs,21695,14760
2021-07-26,30-39yrs,16449,14662
2021-07-26,40-49yrs,18360,15707
2021-07-26,50-59yrs,28235,23098
2021-07-26,60-69yrs,28428,28327
2021-07-26,70-79yrs,20048,21059
2021-07-26,80+,10669,11220
2021-07-27,12-17yrs,10477,6962
2021-07-27,18-29yrs,21695,14798
2021-07-27,30-39yrs,16449,14677
2021-07-27,40-49yrs,18360,15725
2021-07-27,50-59yrs,28235,23115
2021-07-27,60-69yrs,28428,28340
2021-07-27,70-79yrs,20048,21065
2021-07-27,80+,10669,11221
2021-07-28,12-17yrs,10477,6993
2021-07-28,18-29yrs,21695,14870
2021-07-28,30-39yrs,16449,14710
2021-07-28,40-49yrs,18360,15754
2021-07-28,50-59yrs,28235,23137
2021-07-28,60-69yrs,28428,28357
2021-07-28,70-79yrs,20048,21073
2021-07-28,80+,10669,11227
2021-07-29,12-17yrs,10477,7016
2021-07-29,18-29yrs,21695,14884
2021-07-29,30-39yrs,16449,14725
2021-07-29,40-49yrs,18360,15773
2021-07-29,50-59yrs,28235,23149
2021-07-29,60-69yrs,28428,28377
2021-07-29,70-79yrs,20048,21074
2021-07-29,80+,10669,11227
2021-07-30,12-17yrs,10477,7059
2021-07-30,18-29yrs,21695,14947
2021-07-30,30-39yrs,16449,14766
2021-07-30,40-49yrs,18360,15792
2021-07-30,50-59yrs,28235,23188
2021-07-30,60-69yrs,28428,28405
2021-07-30,70-79yrs,20048,21079
2021-07-30,80+,10669,11229
2021-07-31,12-17yrs,10477,7088
2021-07-31,18-29yrs,21695,14979
2021-07-31,30-39yrs,16449,14786
2021-07-31,40-49yrs,18360,15813
2021-07-31,50-59yrs,28235,23209
2021-07-31,60-69yrs,28428,28429
2021-07-31,70-79yrs,20048,21083
2021-07-31,80+,10669,11229
2021-08-01,12-17yrs,10477,7111
2021-08-01,18-29yrs,21695,14997
2021-08-01,30-39yrs,16449,14806
2021-08-01,40-49yrs,18360,15823
2021-08-01,50-59yrs,28235,23219
2021-08-01,60-69yrs,28428,28432
2021-08-01,70-79yrs,20048,21086
2021-08-01,80+,10669,11230
2021-08-02,12-17yrs,10477,7117
2021-08-02,18-29yrs,21695,15006
2021-08-02,30-39yrs,16449,14811
2021-08-02,40-49yrs,18360,15827
2021-08-02,50-59yrs,28235,23224
2021-08-02,60-69yrs,28428,28438
2021-08-02,70-79yrs,20048,21087
2021-08-02,80+,10669,11230
2021-08-03,12-17yrs,10477,7122
2021-08-03,18-29yrs,21695,15016
2021-08-03,30-39yrs,16449,14817
2021-08-03,40-49yrs,18360,15831
2021-08-03,50-59yrs,28235,23228
2021-08-03,60-69yrs,28428,28441
2021-08-03,70-79yrs,20048,21089
2021-08-03,80+,10669,11230
2021-08-04,12-17yrs,10477,7137
2021-08-04,18-29yrs,21695,15045
2021-08-04,30-39yrs,16449,14848
2021-08-04,40-49yrs,18360,15848
2021-08-04,50-59yrs,28235,23250
2021-08-04,60-69yrs,28428,28462
2021-08-04,70-79yrs,20048,21104
2021-08-04,80+,10669,11232
2021-08-05,12-17yrs,10477,7200
2021-08-05,18-29yrs,21695,15120
2021-08-05,30-39yrs,16449,14906
2021-08-05,40-49yrs,18360,15926
2021-08-05,50-59yrs,28235,23320
2021-08-05,60-69yrs,28428,28554
2021-08-05,70-79yrs,20048,21157
2021-08-05,80+,10669,11234
2021-08-06,12-17yrs,10477,7226
2021-08-06,18-29yrs,21695,15156
2021-08-06,30-39yrs,16449,14939
2021-08-06,40-49yrs,18360,15946
2021-08-06,50-59yrs,28235,23329
2021-08-06,60-69yrs,28428,28566
2021-08-06,70-79yrs,20048,21159
2021-08-06,80+,10669,11238
2021-08-07,12-17yrs,10477,7236
2021-08-07,18-29yrs,21695,15186
2021-08-07,30-39yrs,16449,14979
2021-08-07,40-49yrs,18360,15966
2021-08-07,50-59yrs,28235,23358
2021-08-07,60-69yrs,28428,28586
2021-08-07,70-79yrs,20048,21166
2021-08-07,80+,10669,11239
2021-08-08,12-17yrs,10477,7256
2021-08-08,18-29yrs,21695,15213
2021-08-08,30-39yrs,16449,15000
2021-08-08,40-49yrs,18360,15974
2021-08-08,50-59yrs,28235,23388
2021-08-08,60-69yrs,28428,28613
2021-08-08,70-79yrs,20048,21191
2021-08-08,80+,10669,11242
2021-08-09,12-17yrs,10477,7262
2021-08-09,18-29yrs,21695,15232
2021-08-09,30-39yrs,16449,15014
2021-08-09,40-49yrs,18360,15988
2021-08-09,50-59yrs,28235,23408
2021-08-09,60-69yrs,28428,28635
2021-08-09,70-79yrs,20048,21203
2021-08-09,80+,10669,11245
2021-08-10,12-17yrs,10477,7284
2021-08-10,18-29yrs,21695,15261
2021-08-10,30-39yrs,16449,15046
2021-08-10,40-49yrs,18360,16009
2021-08-10,50-59yrs,28235,23433
2021-08-10,60-69yrs,28428,28765
2021-08-10,70-79yrs,20048,21235
2021-08-10,80+,10669,11247
2021-08-11,12-17yrs,10477,7313
2021-08-11,18-29yrs,21695,15291
2021-08-11,30-39yrs,16449,15075
2021-08-11,40-49yrs,18360,16021
2021-08-11,50-59yrs,28235,23437
2021-08-11,60-69yrs,28428,28791
2021-08-11,70-79yrs,20048,21257
2021-08-11,80+,10669,11233
2021-08-12,12-17yrs,10477,7341
2021-08-12,18-29yrs,21695,15353
2021-08-12,30-39yrs,16449,15113
2021-08-12,40-49yrs,18360,16056
2021-08-12,50-59yrs,28235,23477
2021-08-12,60-69yrs,28428,28948
2021-08-12,70-79yrs,20048,21269
2021-08-12,80+,10669,11235
2021-08-13,12-17yrs,10477,7368
2021-08-13,18-29yrs,21695,15394
2021-08-13,30-39yrs,16449,15138
2021-08-13,40-49yrs,18360,16091
2021-08-13,50-59yrs,28235,23512
2021-08-13,60-69yrs,28428,28992
2021-08-13,70-79yrs,20048,21285
2021-08-13,80+,10669,11251
2021-08-14,12-17yrs,10477,7389
2021-08-14,18-29yrs,21695,15423
2021-08-14,30-39yrs,16449,15173
2021-08-14,40-49yrs,18360,16110
2021-08-14,50-59yrs,28235,23541
2021-08-14,60-69yrs,28428,29080
2021-08-14,70-79yrs,20048,21295
2021-08-14,80+,10669,11254
2021-08-15,12-17yrs,10477,7407
2021-08-15,18-29yrs,21695,15453
2021-08-15,30-39yrs,16449,15192
2021-08-15,40-49yrs,18360,16127
2021-08-15,50-59yrs,28235,23555
2021-08-15,60-69yrs,28428,29085
2021-08-15,70-79yrs,20048,21299
2021-08-15,80+,10669,11255
2021-08-16,12-17yrs,10477,7419
2021-08-16,18-29yrs,21695,15476
2021-08-16,30-39yrs,16449,15204
2021-08-16,40-49yrs,18360,16127
2021-08-16,50-59yrs,28235,23562
2021-08-16,60-69yrs,28428,29092
2021-08-16,70-79yrs,20048,21300
2021-08-16,80+,10669,11255
2021-08-17,12-17yrs,10477,7428
2021-08-17,18-29yrs,21695,15502
2021-08-17,30-39yrs,16449,15223
2021-08-17,40-49yrs,18360,16146
2021-08-17,50-59yrs,28235,23577
2021-08-17,60-69yrs,28428,29103
2021-08-17,70-79yrs,20048,21304
2021-08-17,80+,10669,11254
2021-08-18,12-17yrs,10477,7448
2021-08-18,18-29yrs,21695,15550
2021-08-18,30-39yrs,16449,15259
2021-08-18,40-49yrs,18360,16168
2021-08-18,50-59yrs,28235,23613
2021-08-18,60-69yrs,28428,29118
2021-08-18,70-79yrs,20048,21310
2021-08-18,80+,10669,11255
