Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,31735,22283
2021-07-26,18-29yrs,88180,65937
2021-07-26,30-39yrs,73436,53453
2021-07-26,40-49yrs,59863,49363
2021-07-26,50-59yrs,66854,54842
2021-07-26,60-69yrs,60813,54898
2021-07-26,70-79yrs,40094,38056
2021-07-26,80+,23219,23642
2021-07-27,12-17yrs,31735,22413
2021-07-27,18-29yrs,88180,66065
2021-07-27,30-39yrs,73436,53561
2021-07-27,40-49yrs,59863,49425
2021-07-27,50-59yrs,66854,54880
2021-07-27,60-69yrs,60813,54922
2021-07-27,70-79yrs,40094,38070
2021-07-27,80+,23219,23652
2021-07-28,12-17yrs,31735,22533
2021-07-28,18-29yrs,88180,66216
2021-07-28,30-39yrs,73436,53669
2021-07-28,40-49yrs,59863,49505
2021-07-28,50-59yrs,66854,54945
2021-07-28,60-69yrs,60813,54966
2021-07-28,70-79yrs,40094,38095
2021-07-28,80+,23219,23660
2021-07-29,12-17yrs,31735,22696
2021-07-29,18-29yrs,88180,66295
2021-07-29,30-39yrs,73436,53737
2021-07-29,40-49yrs,59863,49558
2021-07-29,50-59yrs,66854,54992
2021-07-29,60-69yrs,60813,54992
2021-07-29,70-79yrs,40094,38096
2021-07-29,80+,23219,23661
2021-07-30,12-17yrs,31735,22826
2021-07-30,18-29yrs,88180,66442
2021-07-30,30-39yrs,73436,53827
2021-07-30,40-49yrs,59863,49643
2021-07-30,50-59yrs,66854,55058
2021-07-30,60-69yrs,60813,55034
2021-07-30,70-79yrs,40094,38113
2021-07-30,80+,23219,23674
2021-07-31,12-17yrs,31735,22962
2021-07-31,18-29yrs,88180,66599
2021-07-31,30-39yrs,73436,53923
2021-07-31,40-49yrs,59863,49730
2021-07-31,50-59yrs,66854,55099
2021-07-31,60-69yrs,60813,55075
2021-07-31,70-79yrs,40094,38128
2021-07-31,80+,23219,23679
2021-08-01,12-17yrs,31735,23012
2021-08-01,18-29yrs,88180,66681
2021-08-01,30-39yrs,73436,53993
2021-08-01,40-49yrs,59863,49770
2021-08-01,50-59yrs,66854,55154
2021-08-01,60-69yrs,60813,55090
2021-08-01,70-79yrs,40094,38133
2021-08-01,80+,23219,23684
2021-08-02,12-17yrs,31735,23054
2021-08-02,18-29yrs,88180,66724
2021-08-02,30-39yrs,73436,54016
2021-08-02,40-49yrs,59863,49791
2021-08-02,50-59yrs,66854,55169
2021-08-02,60-69yrs,60813,55092
2021-08-02,70-79yrs,40094,38133
2021-08-02,80+,23219,23685
2021-08-03,12-17yrs,31735,23089
2021-08-03,18-29yrs,88180,66770
2021-08-03,30-39yrs,73436,54055
2021-08-03,40-49yrs,59863,49814
2021-08-03,50-59yrs,66854,55184
2021-08-03,60-69yrs,60813,55102
2021-08-03,70-79yrs,40094,38137
2021-08-03,80+,23219,23687
2021-08-04,12-17yrs,31735,23220
2021-08-04,18-29yrs,88180,66922
2021-08-04,30-39yrs,73436,54142
2021-08-04,40-49yrs,59863,49881
2021-08-04,50-59yrs,66854,55226
2021-08-04,60-69yrs,60813,55117
2021-08-04,70-79yrs,40094,38141
2021-08-04,80+,23219,23650
2021-08-05,12-17yrs,31735,23325
2021-08-05,18-29yrs,88180,67021
2021-08-05,30-39yrs,73436,54234
2021-08-05,40-49yrs,59863,49939
2021-08-05,50-59yrs,66854,55262
2021-08-05,60-69yrs,60813,55131
2021-08-05,70-79yrs,40094,38154
2021-08-05,80+,23219,23626
2021-08-06,12-17yrs,31735,23411
2021-08-06,18-29yrs,88180,67119
2021-08-06,30-39yrs,73436,54309
2021-08-06,40-49yrs,59863,49982
2021-08-06,50-59yrs,66854,55290
2021-08-06,60-69yrs,60813,55147
2021-08-06,70-79yrs,40094,38156
2021-08-06,80+,23219,23597
2021-08-07,12-17yrs,31735,23484
2021-08-07,18-29yrs,88180,67197
2021-08-07,30-39yrs,73436,54404
2021-08-07,40-49yrs,59863,50037
2021-08-07,50-59yrs,66854,55328
2021-08-07,60-69yrs,60813,55167
2021-08-07,70-79yrs,40094,38166
2021-08-07,80+,23219,23599
2021-08-08,12-17yrs,31735,23540
2021-08-08,18-29yrs,88180,67293
2021-08-08,30-39yrs,73436,54465
2021-08-08,40-49yrs,59863,50071
2021-08-08,50-59yrs,66854,55347
2021-08-08,60-69yrs,60813,55184
2021-08-08,70-79yrs,40094,38177
2021-08-08,80+,23219,23600
2021-08-09,12-17yrs,31735,23572
2021-08-09,18-29yrs,88180,67359
2021-08-09,30-39yrs,73436,54495
2021-08-09,40-49yrs,59863,50096
2021-08-09,50-59yrs,66854,55367
2021-08-09,60-69yrs,60813,55196
2021-08-09,70-79yrs,40094,38180
2021-08-09,80+,23219,23602
2021-08-10,12-17yrs,31735,23676
2021-08-10,18-29yrs,88180,67450
2021-08-10,30-39yrs,73436,54552
2021-08-10,40-49yrs,59863,50149
2021-08-10,50-59yrs,66854,55405
2021-08-10,60-69yrs,60813,55221
2021-08-10,70-79yrs,40094,38197
2021-08-10,80+,23219,23604
2021-08-11,12-17yrs,31735,23815
2021-08-11,18-29yrs,88180,67657
2021-08-11,30-39yrs,73436,54764
2021-08-11,40-49yrs,59863,50330
2021-08-11,50-59yrs,66854,55577
2021-08-11,60-69yrs,60813,55350
2021-08-11,70-79yrs,40094,38304
2021-08-11,80+,23219,23593
2021-08-12,12-17yrs,31735,23868
2021-08-12,18-29yrs,88180,67762
2021-08-12,30-39yrs,73436,54866
2021-08-12,40-49yrs,59863,50388
2021-08-12,50-59yrs,66854,55626
2021-08-12,60-69yrs,60813,55371
2021-08-12,70-79yrs,40094,38322
2021-08-12,80+,23219,23594
2021-08-13,12-17yrs,31735,23913
2021-08-13,18-29yrs,88180,67810
2021-08-13,30-39yrs,73436,54800
2021-08-13,40-49yrs,59863,50312
2021-08-13,50-59yrs,66854,55540
2021-08-13,60-69yrs,60813,55311
2021-08-13,70-79yrs,40094,38241
2021-08-13,80+,23219,23588
2021-08-14,12-17yrs,31735,24065
2021-08-14,18-29yrs,88180,67959
2021-08-14,30-39yrs,73436,54888
2021-08-14,40-49yrs,59863,50375
2021-08-14,50-59yrs,66854,55580
2021-08-14,60-69yrs,60813,55326
2021-08-14,70-79yrs,40094,38257
2021-08-14,80+,23219,23594
2021-08-15,12-17yrs,31735,24123
2021-08-15,18-29yrs,88180,68061
2021-08-15,30-39yrs,73436,54948
2021-08-15,40-49yrs,59863,50427
2021-08-15,50-59yrs,66854,55613
2021-08-15,60-69yrs,60813,55343
2021-08-15,70-79yrs,40094,38265
2021-08-15,80+,23219,23595
2021-08-16,12-17yrs,31735,24147
2021-08-16,18-29yrs,88180,68128
2021-08-16,30-39yrs,73436,54976
2021-08-16,40-49yrs,59863,50449
2021-08-16,50-59yrs,66854,55629
2021-08-16,60-69yrs,60813,55344
2021-08-16,70-79yrs,40094,38266
2021-08-16,80+,23219,23596
2021-08-17,12-17yrs,31735,24204
2021-08-17,18-29yrs,88180,68252
2021-08-17,30-39yrs,73436,55070
2021-08-17,40-49yrs,59863,50517
2021-08-17,50-59yrs,66854,55676
2021-08-17,60-69yrs,60813,55365
2021-08-17,70-79yrs,40094,38272
2021-08-17,80+,23219,23599
2021-08-18,12-17yrs,31735,24291
2021-08-18,18-29yrs,88180,68368
2021-08-18,30-39yrs,73436,55156
2021-08-18,40-49yrs,59863,50583
2021-08-18,50-59yrs,66854,55719
2021-08-18,60-69yrs,60813,55392
2021-08-18,70-79yrs,40094,38280
2021-08-18,80+,23219,23604
2021-08-19,12-17yrs,31735,24530
2021-08-19,18-29yrs,88180,68521
2021-08-19,30-39yrs,73436,55252
2021-08-19,40-49yrs,59863,50654
2021-08-19,50-59yrs,66854,55772
2021-08-19,60-69yrs,60813,55421
2021-08-19,70-79yrs,40094,38286
2021-08-19,80+,23219,23615
2021-08-20,12-17yrs,31735,24681
2021-08-20,18-29yrs,88180,68658
2021-08-20,30-39yrs,73436,55315
