Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,28353,16673
2021-07-26,18-29yrs,70592,47032
2021-07-26,30-39yrs,54175,39684
2021-07-26,40-49yrs,52093,42001
2021-07-26,50-59yrs,70296,54893
2021-07-26,60-69yrs,66878,60758
2021-07-26,70-79yrs,48175,45883
2021-07-26,80+,29120,28426
2021-07-27,12-17yrs,28353,16735
2021-07-27,18-29yrs,70592,47183
2021-07-27,30-39yrs,54175,39779
2021-07-27,40-49yrs,52093,42083
2021-07-27,50-59yrs,70296,54976
2021-07-27,60-69yrs,66878,60835
2021-07-27,70-79yrs,48175,45957
2021-07-27,80+,29120,28439
2021-07-28,12-17yrs,28353,16781
2021-07-28,18-29yrs,70592,47295
2021-07-28,30-39yrs,54175,39861
2021-07-28,40-49yrs,52093,42135
2021-07-28,50-59yrs,70296,55043
2021-07-28,60-69yrs,66878,60885
2021-07-28,70-79yrs,48175,45981
2021-07-28,80+,29120,28447
2021-07-29,12-17yrs,28353,16913
2021-07-29,18-29yrs,70592,47404
2021-07-29,30-39yrs,54175,39950
2021-07-29,40-49yrs,52093,42194
2021-07-29,50-59yrs,70296,55103
2021-07-29,60-69yrs,66878,60928
2021-07-29,70-79yrs,48175,46011
2021-07-29,80+,29120,28466
2021-07-30,12-17yrs,28353,17096
2021-07-30,18-29yrs,70592,47537
2021-07-30,30-39yrs,54175,40035
2021-07-30,40-49yrs,52093,42277
2021-07-30,50-59yrs,70296,55153
2021-07-30,60-69yrs,66878,60977
2021-07-30,70-79yrs,48175,46027
2021-07-30,80+,29120,28475
2021-07-31,12-17yrs,28353,17212
2021-07-31,18-29yrs,70592,47638
2021-07-31,30-39yrs,54175,40100
2021-07-31,40-49yrs,52093,42321
2021-07-31,50-59yrs,70296,55210
2021-07-31,60-69yrs,66878,61023
2021-07-31,70-79yrs,48175,46039
2021-07-31,80+,29120,28484
2021-08-01,12-17yrs,28353,17307
2021-08-01,18-29yrs,70592,47707
2021-08-01,30-39yrs,54175,40164
2021-08-01,40-49yrs,52093,42364
2021-08-01,50-59yrs,70296,55259
2021-08-01,60-69yrs,66878,61055
2021-08-01,70-79yrs,48175,46051
2021-08-01,80+,29120,28489
2021-08-02,12-17yrs,28353,17363
2021-08-02,18-29yrs,70592,47743
2021-08-02,30-39yrs,54175,40189
2021-08-02,40-49yrs,52093,42394
2021-08-02,50-59yrs,70296,55279
2021-08-02,60-69yrs,66878,61061
2021-08-02,70-79yrs,48175,46057
2021-08-02,80+,29120,28492
2021-08-03,12-17yrs,28353,17373
2021-08-03,18-29yrs,70592,47765
2021-08-03,30-39yrs,54175,40200
2021-08-03,40-49yrs,52093,42399
2021-08-03,50-59yrs,70296,55291
2021-08-03,60-69yrs,66878,61068
2021-08-03,70-79yrs,48175,46060
2021-08-03,80+,29120,28497
2021-08-04,12-17yrs,28353,17457
2021-08-04,18-29yrs,70592,47850
2021-08-04,30-39yrs,54175,40266
2021-08-04,40-49yrs,52093,42444
2021-08-04,50-59yrs,70296,55358
2021-08-04,60-69yrs,66878,61110
2021-08-04,70-79yrs,48175,46080
2021-08-04,80+,29120,28514
2021-08-05,12-17yrs,28353,17526
2021-08-05,18-29yrs,70592,47928
2021-08-05,30-39yrs,54175,40326
2021-08-05,40-49yrs,52093,42489
2021-08-05,50-59yrs,70296,55403
2021-08-05,60-69yrs,66878,61148
2021-08-05,70-79yrs,48175,46096
2021-08-05,80+,29120,28520
2021-08-06,12-17yrs,28353,17600
2021-08-06,18-29yrs,70592,48016
2021-08-06,30-39yrs,54175,40400
2021-08-06,40-49yrs,52093,42544
2021-08-06,50-59yrs,70296,55452
2021-08-06,60-69yrs,66878,61182
2021-08-06,70-79yrs,48175,46114
2021-08-06,80+,29120,28529
2021-08-07,12-17yrs,28353,17666
2021-08-07,18-29yrs,70592,48068
2021-08-07,30-39yrs,54175,40483
2021-08-07,40-49yrs,52093,42584
2021-08-07,50-59yrs,70296,55495
2021-08-07,60-69yrs,66878,61215
2021-08-07,70-79yrs,48175,46118
2021-08-07,80+,29120,28536
2021-08-08,12-17yrs,28353,17724
2021-08-08,18-29yrs,70592,48109
2021-08-08,30-39yrs,54175,40523
2021-08-08,40-49yrs,52093,42619
2021-08-08,50-59yrs,70296,55516
2021-08-08,60-69yrs,66878,61223
2021-08-08,70-79yrs,48175,46119
2021-08-08,80+,29120,28537
2021-08-09,12-17yrs,28353,17759
2021-08-09,18-29yrs,70592,48163
2021-08-09,30-39yrs,54175,40556
2021-08-09,40-49yrs,52093,42638
2021-08-09,50-59yrs,70296,55542
2021-08-09,60-69yrs,66878,61235
2021-08-09,70-79yrs,48175,46123
2021-08-09,80+,29120,28538
2021-08-10,12-17yrs,28353,17839
2021-08-10,18-29yrs,70592,48262
2021-08-10,30-39yrs,54175,40619
2021-08-10,40-49yrs,52093,42701
2021-08-10,50-59yrs,70296,55592
2021-08-10,60-69yrs,66878,61271
2021-08-10,70-79yrs,48175,46148
2021-08-10,80+,29120,28544
2021-08-11,12-17yrs,28353,17900
2021-08-11,18-29yrs,70592,48349
2021-08-11,30-39yrs,54175,40690
2021-08-11,40-49yrs,52093,42753
2021-08-11,50-59yrs,70296,55658
2021-08-11,60-69yrs,66878,61328
2021-08-11,70-79yrs,48175,46198
2021-08-11,80+,29120,28563
2021-08-12,12-17yrs,28353,17953
2021-08-12,18-29yrs,70592,48447
2021-08-12,30-39yrs,54175,40757
2021-08-12,40-49yrs,52093,42812
2021-08-12,50-59yrs,70296,55693
2021-08-12,60-69yrs,66878,61358
2021-08-12,70-79yrs,48175,46221
2021-08-12,80+,29120,28571
2021-08-13,12-17yrs,28353,18044
2021-08-13,18-29yrs,70592,48548
2021-08-13,30-39yrs,54175,40819
2021-08-13,40-49yrs,52093,42857
2021-08-13,50-59yrs,70296,55713
2021-08-13,60-69yrs,66878,61346
2021-08-13,70-79yrs,48175,46208
2021-08-13,80+,29120,28562
2021-08-14,12-17yrs,28353,18138
2021-08-14,18-29yrs,70592,48707
2021-08-14,30-39yrs,54175,40922
2021-08-14,40-49yrs,52093,42919
2021-08-14,50-59yrs,70296,55770
2021-08-14,60-69yrs,66878,61392
2021-08-14,70-79yrs,48175,46226
2021-08-14,80+,29120,28569
2021-08-15,12-17yrs,28353,18192
2021-08-15,18-29yrs,70592,48799
2021-08-15,30-39yrs,54175,40993
2021-08-15,40-49yrs,52093,42968
2021-08-15,50-59yrs,70296,55832
2021-08-15,60-69yrs,66878,61418
2021-08-15,70-79yrs,48175,46234
2021-08-15,80+,29120,28574
2021-08-16,12-17yrs,28353,18230
2021-08-16,18-29yrs,70592,48844
2021-08-16,30-39yrs,54175,41029
2021-08-16,40-49yrs,52093,42986
2021-08-16,50-59yrs,70296,55849
2021-08-16,60-69yrs,66878,61429
2021-08-16,70-79yrs,48175,46235
2021-08-16,80+,29120,28574
2021-08-17,12-17yrs,28353,18289
2021-08-17,18-29yrs,70592,48949
2021-08-17,30-39yrs,54175,41094
2021-08-17,40-49yrs,52093,43028
2021-08-17,50-59yrs,70296,55886
2021-08-17,60-69yrs,66878,61454
2021-08-17,70-79yrs,48175,46250
2021-08-17,80+,29120,28580
2021-08-18,12-17yrs,28353,18357
2021-08-18,18-29yrs,70592,49048
2021-08-18,30-39yrs,54175,41161
2021-08-18,40-49yrs,52093,43063
2021-08-18,50-59yrs,70296,55918
2021-08-18,60-69yrs,66878,61484
2021-08-18,70-79yrs,48175,46265
2021-08-18,80+,29120,28587
2021-08-19,12-17yrs,28353,18516
2021-08-19,18-29yrs,70592,49183
2021-08-19,30-39yrs,54175,41226
2021-08-19,40-49yrs,52093,43118
2021-08-19,50-59yrs,70296,55957
2021-08-19,60-69yrs,66878,61516
2021-08-19,70-79yrs,48175,46277
2021-08-19,80+,29120,28593
2021-08-20,12-17yrs,28353,18685
2021-08-20,18-29yrs,70592,49335
2021-08-20,30-39yrs,54175,41326
2021-08-20,40-49yrs,52093,43181
2021-08-20,50-59yrs,70296,56014
2021-08-20,60-69yrs,66878,61551
2021-08-20,70-79yrs,48175,46296
2021-08-20,80+,29120,28599
2021-08-21,12-17yrs,28353,18802
2021-08-21,18-29yrs,70592,49444
2021-08-21,30-39yrs,54175,41393
2021-08-21,40-49yrs,52093,43220
2021-08-21,50-59yrs,70296,56065
2021-08-21,60-69yrs,66878,61574
2021-08-21,70-79yrs,48175,46306
2021-08-21,80+,29120,28602
2021-08-22,12-17yrs,28353,18876
2021-08-22,18-29yrs,70592,49515
2021-08-22,30-39yrs,54175,41441
2021-08-22,40-49yrs,52093,43245
2021-08-22,50-59yrs,70296,56097
2021-08-22,60-69yrs,66878,61590
2021-08-22,70-79yrs,48175,46312
2021-08-22,80+,29120,28602
2021-08-23,12-17yrs,28353,18953
2021-08-23,18-29yrs,70592,49570
2021-08-23,30-39yrs,54175,41466
2021-08-23,40-49yrs,52093,43268
2021-08-23,50-59yrs,70296,56115
2021-08-23,60-69yrs,66878,61604
2021-08-23,70-79yrs,48175,46318
2021-08-23,80+,29120,28603
2021-08-24,12-17yrs,28353,19090
2021-08-24,18-29yrs,70592,49711
2021-08-24,30-39yrs,54175,41568
2021-08-24,40-49yrs,52093,43342
2021-08-24,50-59yrs,70296,56166
2021-08-24,60-69yrs,66878,61633
2021-08-24,70-79yrs,48175,46328
2021-08-24,80+,29120,28611
2021-08-25,12-17yrs,28353,19226
2021-08-25,18-29yrs,70592,49865
2021-08-25,30-39yrs,54175,41678
2021-08-25,40-49yrs,52093,43422
2021-08-25,50-59yrs,70296,56213
2021-08-25,60-69yrs,66878,61662
2021-08-25,70-79yrs,48175,46340
2021-08-25,80+,29120,28615
2021-08-26,12-17yrs,28353,19332
2021-08-26,18-29yrs,70592,49983
2021-08-26,30-39yrs,54175,41766
2021-08-26,40-49yrs,52093,43502
2021-08-26,50-59yrs,70296,56270
2021-08-26,60-69yrs,66878,61688
2021-08-26,70-79yrs,48175,46353
2021-08-26,80+,29120,28621
2021-08-27,12-17yrs,28353,19413
2021-08-27,18-29yrs,70592,50107
2021-08-27,30-39yrs,54175,41858
2021-08-27,40-49yrs,52093,43545
2021-08-27,50-59yrs,70296,56310
2021-08-27,60-69yrs,66878,61709
2021-08-27,70-79yrs,48175,46360
2021-08-27,80+,29120,28627
2021-08-28,12-17yrs,28353,19506
2021-08-28,18-29yrs,70592,50305
2021-08-28,30-39yrs,54175,41952
2021-08-28,40-49yrs,52093,43620
2021-08-28,50-59yrs,70296,56377
2021-08-28,60-69yrs,66878,61737
2021-08-28,70-79yrs,48175,46370
2021-08-28,80+,29120,28628
2021-08-29,12-17yrs,28353,19561
2021-08-29,18-29yrs,70592,50394
2021-08-29,30-39yrs,54175,42019
2021-08-29,40-49yrs,52093,43659
2021-08-29,50-59yrs,70296,56412
2021-08-29,60-69yrs,66878,61757
2021-08-29,70-79yrs,48175,46382
2021-08-29,80+,29120,28632
2021-08-30,12-17yrs,28353,19640
2021-08-30,18-29yrs,70592,50468
