Date,one dose cumulative
2021-08-13,80.7
2021-08-14,80.8
2021-08-15,80.8
2021-08-16,80.81
2021-08-17,80.86
2021-08-18,80.98
2021-08-19,81.15
2021-08-20,81.24
2021-08-21,81.38
2021-08-22,81.39
2021-08-23,81.41
2021-08-24,81.5
2021-08-25,81.7
2021-08-26,81.89
2021-08-27,82.06
2021-08-28,82.16
2021-08-29,82.16
2021-08-30,82.16
2021-08-31,82.19
2021-09-01,82.3
2021-09-02,82.41
2021-09-03,82.52
2021-09-04,82.47
2021-09-05,82.48
2021-09-06,82.5
2021-09-07,82.5
2021-09-08,82.63
2021-09-09,82.84
2021-09-10,83.2
2021-09-11,83.42
2021-09-12,83.44
2021-09-13,83.45
2021-09-14,83.65
2021-09-15,83.96
2021-09-16,84.32
2021-09-17,84.53
2021-09-18,84.67
2021-09-19,84.71
2021-09-20,84.71
2021-09-21,85.01
2021-09-22,85.19
2021-09-23,85.39
2021-09-24,85.78
2021-09-25,85.92
2021-09-26,85.93
2021-09-27,85.95
2021-09-28,86.15
2021-09-29,86.47
2021-09-30,86.76
2021-10-01,86.92
2021-10-02,86.98
2021-10-03,86.99
2021-10-04,86.99
2021-10-05,87.03
2021-10-06,87.14
2021-10-07,87.24
2021-10-08,87.31
2021-10-09,87.45
2021-10-10,87.48
2021-10-11,87.49
2021-10-12,87.5
2021-10-13,87.6
2021-10-14,87.76
2021-10-15,87.89
2021-10-16,87.96
2021-10-17,88.01
2021-10-18,88.01
2021-10-19,88.06
2021-10-20,88.13
2021-10-21,88.26
2021-10-22,88.37
2021-10-23,88.44
2021-10-24,88.45
2021-10-25,88.45
2021-10-26,88.5
2021-10-27,88.58
2021-10-28,88.78
2021-10-29,88.83
2021-10-30,88.93
2021-10-31,88.97
2021-11-01,88.98
2021-11-02,89.05
2021-11-03,89.13
2021-11-04,89.28
2021-11-05,89.38
2021-11-06,89.42
2021-11-07,89.46
2021-11-08,89.5
2021-11-09,89.55
2021-11-10,89.58
2021-11-11,89.67
2021-11-12,89.67
2021-11-13,89.71
2021-11-14,89.74
2021-11-15,89.77
2021-11-16,89.78
2021-11-17,89.82
2021-11-18,89.88
2021-11-19,89.96
2021-11-20,90.05
2021-11-21,90.08
2021-11-22,90.08
2021-11-23,90.1
2021-11-24,90.14
2021-11-25,90.22
2021-11-26,90.35
2021-11-27,90.46
2021-11-28,90.47
2021-11-29,90.48
2021-11-30,90.51
2021-12-01,88.18
2021-12-02,88.55
2021-12-03,88.97
2021-12-04,89.3
2021-12-05,89.61
2021-12-06,89.6
2021-12-07,89.65
2021-12-08,89.81
2021-12-09,90.02
2021-12-10,90.25
2021-12-11,90.5
2021-12-12,90.74
2021-12-13,90.82
2021-12-14,90.9
2021-12-15,91.21
2021-12-16,91.58
2021-12-17,91.72
2021-12-18,91.98
2021-12-19,92.08
2021-12-20,92.09
2021-12-21,92.19
2021-12-22,92.29
2021-12-23,92.48
2021-12-24,92.57
2021-12-25,92.6
2021-12-26,92.6
2021-12-27,92.6
2021-12-28,92.61
2021-12-29,92.69
2021-12-30,92.89
2021-12-31,93.0
2022-01-01,93.08
2022-01-02,93.09
2022-01-03,93.09
2022-01-04,93.1
2022-01-05,93.18
2022-01-06,93.31
2022-01-07,93.39
2022-01-08,93.51
2022-01-09,93.63
2022-01-10,93.63
2022-01-11,93.73
2022-01-12,93.92
2022-01-13,94.12
2022-01-14,94.35
2022-01-15,94.55
2022-01-16,94.71
2022-01-17,94.71
2022-01-18,94.84
2022-01-19,94.96
2022-01-20,95.02
2022-01-21,95.13
2022-01-22,95.24
2022-01-23,95.31
2022-01-24,95.31
2022-01-25,95.38
2022-01-26,95.54
2022-01-27,95.69
2022-01-28,95.82
2022-01-29,95.88
2022-01-30,95.92
2022-01-31,95.92
2022-02-01,95.91
2022-02-02,95.98
2022-02-03,96.01
2022-02-04,96.09
2022-02-05,96.11
2022-02-06,96.11
2022-02-07,96.11
2022-02-08,96.22
2022-02-09,96.38
2022-02-10,96.52
2022-02-11,96.55
2022-02-12,96.64
2022-02-13,96.64
2022-02-14,96.69
2022-02-15,96.7
2022-02-16,96.73
2022-02-17,96.77
2022-02-18,96.81
2022-02-19,96.83
2022-02-20,96.85
2022-02-21,96.86
2022-02-22,96.86
2022-02-23,96.86
2022-02-24,96.9
2022-02-25,96.93
2022-02-26,96.93
2022-02-27,96.93
2022-02-28,96.93
2022-03-01,96.93
2022-03-02,96.93
2022-03-03,96.94
2022-03-04,96.95
2022-03-05,96.96
2022-03-06,96.96
2022-03-07,96.96
2022-03-08,96.97
2022-03-09,96.98
2022-03-10,97.0
2022-03-11,97.01
2022-03-12,97.01
2022-03-13,97.01
