Date,one dose cumulative
2021-08-13,78.75
2021-08-14,78.97
2021-08-15,78.99
2021-08-16,79.0
2021-08-17,79.29
2021-08-18,79.68
2021-08-19,79.91
2021-08-20,80.04
2021-08-21,79.9
2021-08-22,79.92
2021-08-23,79.95
2021-08-24,80.0
2021-08-25,80.14
2021-08-26,80.26
2021-08-27,80.44
2021-08-28,80.75
2021-08-29,80.83
2021-08-30,80.87
2021-08-31,80.98
2021-09-01,81.09
2021-09-02,81.18
2021-09-03,81.35
2021-09-04,81.61
2021-09-05,81.73
2021-09-06,81.74
2021-09-07,81.76
2021-09-08,81.97
2021-09-09,82.06
2021-09-10,82.15
2021-09-11,82.31
2021-09-12,82.41
2021-09-13,82.43
2021-09-14,82.64
2021-09-15,82.78
2021-09-16,83.0
2021-09-17,83.13
2021-09-18,83.3
2021-09-19,83.34
2021-09-20,83.4
2021-09-21,83.48
2021-09-22,83.62
2021-09-23,83.75
2021-09-24,83.91
2021-09-25,84.04
2021-09-26,84.09
2021-09-27,84.11
2021-09-28,84.23
2021-09-29,84.34
2021-09-30,84.41
2021-10-01,84.48
2021-10-02,84.59
2021-10-03,84.62
2021-10-04,84.71
2021-10-05,84.79
2021-10-06,84.89
2021-10-07,85.02
2021-10-08,85.1
2021-10-09,85.23
2021-10-10,85.26
2021-10-11,85.28
2021-10-12,85.28
2021-10-13,85.44
2021-10-14,85.52
2021-10-15,85.63
2021-10-16,85.71
2021-10-17,85.75
2021-10-18,85.78
2021-10-19,85.86
2021-10-20,85.94
2021-10-21,86.0
2021-10-22,86.07
2021-10-23,86.11
2021-10-24,86.13
2021-10-25,86.14
2021-10-26,86.21
2021-10-27,86.26
2021-10-28,86.29
2021-10-29,86.37
2021-10-30,86.42
2021-10-31,86.44
2021-11-01,86.44
2021-11-02,86.49
2021-11-03,86.52
2021-11-04,86.55
2021-11-05,86.62
2021-11-06,86.63
2021-11-07,86.64
2021-11-08,86.67
2021-11-09,86.69
2021-11-10,86.72
2021-11-11,86.74
2021-11-12,86.79
2021-11-13,86.81
2021-11-14,86.82
2021-11-15,86.84
2021-11-16,86.88
2021-11-17,86.91
2021-11-18,86.94
2021-11-19,86.97
2021-11-20,86.99
2021-11-21,87.0
2021-11-22,87.01
2021-11-23,87.04
2021-11-24,87.08
2021-11-25,87.11
2021-11-26,87.14
2021-11-27,87.1
2021-11-28,87.11
2021-11-29,87.11
2021-11-30,87.15
2021-12-01,82.21
2021-12-02,82.3
2021-12-03,82.39
2021-12-04,82.48
2021-12-05,82.51
2021-12-06,82.76
2021-12-07,82.89
2021-12-08,83.04
2021-12-09,83.14
2021-12-10,83.24
2021-12-11,83.29
2021-12-12,83.37
2021-12-13,83.66
2021-12-14,83.68
2021-12-15,83.73
2021-12-16,83.78
2021-12-17,83.82
2021-12-18,83.85
2021-12-19,83.93
2021-12-20,84.35
2021-12-21,84.36
2021-12-22,84.38
2021-12-23,84.39
2021-12-24,84.37
2021-12-25,84.38
2021-12-26,84.38
2021-12-27,84.39
2021-12-28,84.41
2021-12-29,84.45
2021-12-30,84.49
2021-12-31,84.43
2022-01-01,84.35
2022-01-02,84.35
2022-01-03,84.36
2022-01-04,84.39
2022-01-05,84.43
2022-01-06,84.47
2022-01-07,84.31
2022-01-08,84.4
2022-01-09,84.47
2022-01-10,84.48
2022-01-11,84.52
2022-01-12,84.54
2022-01-13,84.62
2022-01-14,84.77
2022-01-15,84.87
2022-01-16,84.91
2022-01-17,84.94
2022-01-18,84.98
2022-01-19,85.06
2022-01-20,85.11
2022-01-21,85.27
2022-01-22,85.3
2022-01-23,85.35
2022-01-24,85.46
2022-01-25,85.5
2022-01-26,85.53
2022-01-27,85.56
2022-01-28,85.58
2022-01-29,85.62
2022-01-30,85.63
2022-01-31,85.63
2022-02-01,85.66
2022-02-02,85.7
2022-02-03,85.73
2022-02-04,85.76
2022-02-05,85.76
2022-02-06,85.77
2022-02-07,85.79
2022-02-08,85.83
2022-02-09,85.87
2022-02-10,85.89
2022-02-11,85.91
2022-02-12,85.93
2022-02-13,85.94
2022-02-14,85.97
2022-02-15,85.98
2022-02-16,86.0
2022-02-17,86.02
2022-02-18,86.03
2022-02-19,86.03
2022-02-20,86.03
2022-02-21,86.04
2022-02-22,86.04
2022-02-23,86.04
2022-02-24,86.05
2022-02-25,86.06
2022-02-26,86.06
2022-02-27,86.07
2022-02-28,86.07
2022-03-01,86.09
2022-03-02,86.13
2022-03-03,86.15
2022-03-04,86.15
2022-03-05,86.15
2022-03-06,86.16
2022-03-07,86.16
2022-03-08,86.16
2022-03-09,86.16
2022-03-10,86.17
2022-03-11,86.17
2022-03-12,86.17
2022-03-13,86.18
