Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,7244,4147
2021-07-26,18-29yrs,17552,10114
2021-07-26,30-39yrs,14543,9486
2021-07-26,40-49yrs,13844,10184
2021-07-26,50-59yrs,20038,14915
2021-07-26,60-69yrs,20502,18766
2021-07-26,70-79yrs,14235,13241
2021-07-26,80+,7885,7773
2021-07-27,12-17yrs,7244,4151
2021-07-27,18-29yrs,17552,10149
2021-07-27,30-39yrs,14543,9504
2021-07-27,40-49yrs,13844,10210
2021-07-27,50-59yrs,20038,14951
2021-07-27,60-69yrs,20502,18799
2021-07-27,70-79yrs,14235,13250
2021-07-27,80+,7885,7777
2021-07-28,12-17yrs,7244,4158
2021-07-28,18-29yrs,17552,10185
2021-07-28,30-39yrs,14543,9541
2021-07-28,40-49yrs,13844,10234
2021-07-28,50-59yrs,20038,14975
2021-07-28,60-69yrs,20502,18843
2021-07-28,70-79yrs,14235,13276
2021-07-28,80+,7885,7787
2021-07-29,12-17yrs,7244,4178
2021-07-29,18-29yrs,17552,10204
2021-07-29,30-39yrs,14543,9565
2021-07-29,40-49yrs,13844,10271
2021-07-29,50-59yrs,20038,15020
2021-07-29,60-69yrs,20502,18893
2021-07-29,70-79yrs,14235,13291
2021-07-29,80+,7885,7795
2021-07-30,12-17yrs,7244,4222
2021-07-30,18-29yrs,17552,10266
2021-07-30,30-39yrs,14543,9612
2021-07-30,40-49yrs,13844,10305
2021-07-30,50-59yrs,20038,15063
2021-07-30,60-69yrs,20502,18938
2021-07-30,70-79yrs,14235,13310
2021-07-30,80+,7885,7804
2021-07-31,12-17yrs,7244,4255
2021-07-31,18-29yrs,17552,10291
2021-07-31,30-39yrs,14543,9630
2021-07-31,40-49yrs,13844,10330
2021-07-31,50-59yrs,20038,15084
2021-07-31,60-69yrs,20502,18963
2021-07-31,70-79yrs,14235,13321
2021-07-31,80+,7885,7810
2021-08-01,12-17yrs,7244,4274
2021-08-01,18-29yrs,17552,10309
2021-08-01,30-39yrs,14543,9638
2021-08-01,40-49yrs,13844,10339
2021-08-01,50-59yrs,20038,15093
2021-08-01,60-69yrs,20502,18973
2021-08-01,70-79yrs,14235,13326
2021-08-01,80+,7885,7810
2021-08-02,12-17yrs,7244,4278
2021-08-02,18-29yrs,17552,10312
2021-08-02,30-39yrs,14543,9647
2021-08-02,40-49yrs,13844,10343
2021-08-02,50-59yrs,20038,15095
2021-08-02,60-69yrs,20502,18977
2021-08-02,70-79yrs,14235,13327
2021-08-02,80+,7885,7810
2021-08-03,12-17yrs,7244,4281
2021-08-03,18-29yrs,17552,10318
2021-08-03,30-39yrs,14543,9651
2021-08-03,40-49yrs,13844,10346
2021-08-03,50-59yrs,20038,15096
2021-08-03,60-69yrs,20502,18980
2021-08-03,70-79yrs,14235,13327
2021-08-03,80+,7885,7810
2021-08-04,12-17yrs,7244,4302
2021-08-04,18-29yrs,17552,10329
2021-08-04,30-39yrs,14543,9674
2021-08-04,40-49yrs,13844,10365
2021-08-04,50-59yrs,20038,15112
2021-08-04,60-69yrs,20502,18993
2021-08-04,70-79yrs,14235,13331
2021-08-04,80+,7885,7812
2021-08-05,12-17yrs,7244,4312
2021-08-05,18-29yrs,17552,10343
2021-08-05,30-39yrs,14543,9698
2021-08-05,40-49yrs,13844,10389
2021-08-05,50-59yrs,20038,15138
2021-08-05,60-69yrs,20502,19008
2021-08-05,70-79yrs,14235,13338
2021-08-05,80+,7885,7816
2021-08-06,12-17yrs,7244,4320
2021-08-06,18-29yrs,17552,10363
2021-08-06,30-39yrs,14543,9709
2021-08-06,40-49yrs,13844,10407
2021-08-06,50-59yrs,20038,15156
2021-08-06,60-69yrs,20502,19024
2021-08-06,70-79yrs,14235,13348
2021-08-06,80+,7885,7817
2021-08-07,12-17yrs,7244,4345
2021-08-07,18-29yrs,17552,10401
2021-08-07,30-39yrs,14543,9733
2021-08-07,40-49yrs,13844,10445
2021-08-07,50-59yrs,20038,15190
2021-08-07,60-69yrs,20502,19044
2021-08-07,70-79yrs,14235,13352
2021-08-07,80+,7885,7819
2021-08-08,12-17yrs,7244,4349
2021-08-08,18-29yrs,17552,10405
2021-08-08,30-39yrs,14543,9740
2021-08-08,40-49yrs,13844,10453
2021-08-08,50-59yrs,20038,15192
2021-08-08,60-69yrs,20502,19045
2021-08-08,70-79yrs,14235,13354
2021-08-08,80+,7885,7820
2021-08-09,12-17yrs,7244,4349
2021-08-09,18-29yrs,17552,10408
2021-08-09,30-39yrs,14543,9741
2021-08-09,40-49yrs,13844,10454
2021-08-09,50-59yrs,20038,15194
2021-08-09,60-69yrs,20502,19047
2021-08-09,70-79yrs,14235,13354
2021-08-09,80+,7885,7820
2021-08-10,12-17yrs,7244,4355
2021-08-10,18-29yrs,17552,10469
2021-08-10,30-39yrs,14543,9794
2021-08-10,40-49yrs,13844,10490
2021-08-10,50-59yrs,20038,15257
2021-08-10,60-69yrs,20502,19093
2021-08-10,70-79yrs,14235,13366
2021-08-10,80+,7885,7783
2021-08-11,12-17yrs,7244,4332
2021-08-11,18-29yrs,17552,10357
2021-08-11,30-39yrs,14543,9655
2021-08-11,40-49yrs,13844,10309
