Date,one dose cumulative
2021-08-13,84.67
2021-08-14,84.77
2021-08-15,84.83
2021-08-16,84.87
2021-08-17,84.96
2021-08-18,85.04
2021-08-19,85.19
2021-08-20,85.32
2021-08-21,85.44
2021-08-22,85.52
2021-08-23,85.58
2021-08-24,85.7
2021-08-25,85.77
2021-08-26,85.9
2021-08-27,85.98
2021-08-28,86.03
2021-08-29,86.03
2021-08-30,86.03
2021-08-31,86.14
2021-09-01,86.24
2021-09-02,86.38
2021-09-03,86.55
2021-09-04,86.73
2021-09-05,86.86
2021-09-06,86.95
2021-09-07,87.04
2021-09-08,87.17
2021-09-09,87.3
2021-09-10,87.42
2021-09-11,87.54
2021-09-12,87.62
2021-09-13,87.65
2021-09-14,87.72
2021-09-15,87.83
2021-09-16,87.94
2021-09-17,88.06
2021-09-18,88.17
2021-09-19,88.26
2021-09-20,88.29
2021-09-21,88.35
2021-09-22,88.46
2021-09-23,88.55
2021-09-24,88.64
2021-09-25,88.76
2021-09-26,88.82
2021-09-27,88.85
2021-09-28,88.91
2021-09-29,89.01
2021-09-30,89.07
2021-10-01,89.13
2021-10-02,89.22
2021-10-03,89.23
2021-10-04,89.23
2021-10-05,89.28
2021-10-06,89.37
2021-10-07,89.45
2021-10-08,89.51
2021-10-09,89.62
2021-10-10,89.68
2021-10-11,89.7
2021-10-12,89.72
2021-10-13,89.79
2021-10-14,89.86
2021-10-15,89.93
2021-10-16,90.0
2021-10-17,90.04
2021-10-18,90.06
2021-10-19,90.1
2021-10-20,90.13
2021-10-21,90.18
2021-10-22,90.23
2021-10-23,90.3
2021-10-24,90.35
2021-10-25,90.37
2021-10-26,90.41
2021-10-27,90.47
2021-10-28,90.53
2021-10-29,90.59
2021-10-30,90.65
2021-10-31,90.68
2021-11-01,90.7
2021-11-02,90.73
2021-11-03,90.78
2021-11-04,90.82
2021-11-05,90.85
2021-11-06,90.87
2021-11-07,90.9
2021-11-08,90.93
2021-11-09,90.97
2021-11-10,91.01
2021-11-11,91.05
2021-11-12,91.08
2021-11-13,91.12
2021-11-14,91.15
2021-11-15,91.17
2021-11-16,91.21
2021-11-17,91.25
2021-11-18,91.29
2021-11-19,91.33
2021-11-20,91.37
2021-11-21,91.39
2021-11-22,91.4
2021-11-23,91.43
2021-11-24,91.46
2021-11-25,91.5
2021-11-26,91.53
2021-11-27,91.56
2021-11-28,91.58
2021-11-29,91.59
2021-11-30,91.62
2021-12-01,86.65
2021-12-02,86.93
2021-12-03,87.2
2021-12-04,87.48
2021-12-05,87.78
2021-12-06,88.01
2021-12-07,88.21
2021-12-08,88.4
2021-12-09,88.57
2021-12-10,88.72
2021-12-11,88.87
2021-12-12,89.06
2021-12-13,89.18
2021-12-14,89.32
2021-12-15,89.45
2021-12-16,89.59
2021-12-17,89.71
2021-12-18,89.83
2021-12-19,89.97
2021-12-20,90.09
2021-12-21,90.23
2021-12-22,90.36
2021-12-23,90.5
2021-12-24,90.6
2021-12-25,90.65
2021-12-26,90.66
2021-12-27,90.68
2021-12-28,90.75
2021-12-29,90.83
2021-12-30,90.9
2021-12-31,90.96
2022-01-01,91.01
2022-01-02,91.02
2022-01-03,91.08
2022-01-04,91.14
2022-01-05,91.2
2022-01-06,91.27
2022-01-07,91.34
2022-01-08,91.41
2022-01-09,91.48
2022-01-10,91.52
2022-01-11,91.58
2022-01-12,91.65
2022-01-13,91.72
2022-01-14,91.81
2022-01-15,91.89
2022-01-16,91.97
2022-01-17,92.01
2022-01-18,92.03
2022-01-19,92.08
2022-01-20,92.13
2022-01-21,92.19
2022-01-22,92.24
2022-01-23,92.28
2022-01-24,92.31
2022-01-25,92.35
2022-01-26,92.39
2022-01-27,92.43
2022-01-28,92.48
2022-01-29,92.51
2022-01-30,92.54
2022-01-31,92.56
2022-02-01,92.59
2022-02-02,92.62
2022-02-03,92.66
2022-02-04,92.7
2022-02-05,92.73
2022-02-06,92.75
2022-02-07,92.77
2022-02-08,92.79
2022-02-09,92.82
2022-02-10,92.84
2022-02-11,92.86
2022-02-12,92.89
2022-02-13,92.9
2022-02-14,92.98
2022-02-15,93.0
2022-02-16,93.01
2022-02-17,93.03
2022-02-18,93.05
2022-02-19,93.07
2022-02-20,93.08
2022-02-21,93.09
2022-02-22,93.09
2022-02-23,93.11
2022-02-24,93.12
2022-02-25,93.13
2022-02-26,93.14
2022-02-27,93.15
2022-02-28,93.15
2022-03-01,93.16
2022-03-02,93.17
2022-03-03,93.19
2022-03-04,93.19
2022-03-05,93.2
2022-03-06,93.21
2022-03-07,93.21
2022-03-08,93.22
2022-03-09,93.22
2022-03-10,93.23
2022-03-11,93.24
2022-03-12,93.25
2022-03-13,93.26
