Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,66222,50734
2021-07-26,18-29yrs,186587,133702
2021-07-26,30-39yrs,158259,116974
2021-07-26,40-49yrs,134815,115636
2021-07-26,50-59yrs,139786,125749
2021-07-26,60-69yrs,118913,110331
2021-07-26,70-79yrs,75781,73906
2021-07-26,80+,42388,43518
2021-07-27,12-17yrs,66222,50924
2021-07-27,18-29yrs,186587,133985
2021-07-27,30-39yrs,158259,117137
2021-07-27,40-49yrs,134815,115787
2021-07-27,50-59yrs,139786,125865
2021-07-27,60-69yrs,118913,110390
2021-07-27,70-79yrs,75781,73923
2021-07-27,80+,42388,43535
2021-07-28,12-17yrs,66222,51095
2021-07-28,18-29yrs,186587,134242
2021-07-28,30-39yrs,158259,117348
2021-07-28,40-49yrs,134815,115924
2021-07-28,50-59yrs,139786,125970
2021-07-28,60-69yrs,118913,110443
2021-07-28,70-79yrs,75781,73956
2021-07-28,80+,42388,43552
2021-07-29,12-17yrs,66222,51290
2021-07-29,18-29yrs,186587,134439
2021-07-29,30-39yrs,158259,117479
2021-07-29,40-49yrs,134815,116036
2021-07-29,50-59yrs,139786,126042
2021-07-29,60-69yrs,118913,110481
2021-07-29,70-79yrs,75781,73956
2021-07-29,80+,42388,43562
2021-07-30,12-17yrs,66222,51502
2021-07-30,18-29yrs,186587,134664
2021-07-30,30-39yrs,158259,117632
2021-07-30,40-49yrs,134815,116160
2021-07-30,50-59yrs,139786,126139
2021-07-30,60-69yrs,118913,110550
2021-07-30,70-79yrs,75781,73972
2021-07-30,80+,42388,43579
2021-07-31,12-17yrs,66222,51695
2021-07-31,18-29yrs,186587,134917
2021-07-31,30-39yrs,158259,117817
2021-07-31,40-49yrs,134815,116291
2021-07-31,50-59yrs,139786,126230
2021-07-31,60-69yrs,118913,110600
2021-07-31,70-79yrs,75781,74006
2021-07-31,80+,42388,43589
2021-08-01,12-17yrs,66222,51777
2021-08-01,18-29yrs,186587,135054
2021-08-01,30-39yrs,158259,117913
2021-08-01,40-49yrs,134815,116351
2021-08-01,50-59yrs,139786,126273
2021-08-01,60-69yrs,118913,110631
2021-08-01,70-79yrs,75781,74013
2021-08-01,80+,42388,43592
2021-08-02,12-17yrs,66222,51900
2021-08-02,18-29yrs,186587,135168
2021-08-02,30-39yrs,158259,118001
2021-08-02,40-49yrs,134815,116414
2021-08-02,50-59yrs,139786,126305
2021-08-02,60-69yrs,118913,110654
2021-08-02,70-79yrs,75781,74018
2021-08-02,80+,42388,43595
2021-08-03,12-17yrs,66222,52034
2021-08-03,18-29yrs,186587,135288
2021-08-03,30-39yrs,158259,118081
2021-08-03,40-49yrs,134815,116469
2021-08-03,50-59yrs,139786,126342
2021-08-03,60-69yrs,118913,110679
2021-08-03,70-79yrs,75781,74034
2021-08-03,80+,42388,43598
2021-08-04,12-17yrs,66222,52197
2021-08-04,18-29yrs,186587,135379
2021-08-04,30-39yrs,158259,118193
2021-08-04,40-49yrs,134815,116562
2021-08-04,50-59yrs,139786,126373
2021-08-04,60-69yrs,118913,110676
2021-08-04,70-79yrs,75781,74034
2021-08-04,80+,42388,43603
2021-08-05,12-17yrs,66222,52261
2021-08-05,18-29yrs,186587,135244
2021-08-05,30-39yrs,158259,118108
2021-08-05,40-49yrs,134815,116481
2021-08-05,50-59yrs,139786,126252
2021-08-05,60-69yrs,118913,110517
2021-08-05,70-79yrs,75781,73948
2021-08-05,80+,42388,43593
2021-08-06,12-17yrs,66222,52437
2021-08-06,18-29yrs,186587,135442
2021-08-06,30-39yrs,158259,118248
2021-08-06,40-49yrs,134815,116601
2021-08-06,50-59yrs,139786,126320
2021-08-06,60-69yrs,118913,110561
2021-08-06,70-79yrs,75781,73967
2021-08-06,80+,42388,43602
2021-08-07,12-17yrs,66222,52637
2021-08-07,18-29yrs,186587,135663
2021-08-07,30-39yrs,158259,118423
2021-08-07,40-49yrs,134815,116698
2021-08-07,50-59yrs,139786,126425
2021-08-07,60-69yrs,118913,110590
2021-08-07,70-79yrs,75781,73986
2021-08-07,80+,42388,43615
2021-08-08,12-17yrs,66222,52779
2021-08-08,18-29yrs,186587,135757
2021-08-08,30-39yrs,158259,118494
2021-08-08,40-49yrs,134815,116773
2021-08-08,50-59yrs,139786,126459
2021-08-08,60-69yrs,118913,110585
2021-08-08,70-79yrs,75781,73972
2021-08-08,80+,42388,43611
2021-08-09,12-17yrs,66222,52861
2021-08-09,18-29yrs,186587,135792
2021-08-09,30-39yrs,158259,118554
2021-08-09,40-49yrs,134815,116801
2021-08-09,50-59yrs,139786,126463
2021-08-09,60-69yrs,118913,110574
2021-08-09,70-79yrs,75781,73957
2021-08-09,80+,42388,43603
2021-08-10,12-17yrs,66222,52984
2021-08-10,18-29yrs,186587,135961
2021-08-10,30-39yrs,158259,118672
2021-08-10,40-49yrs,134815,116895
2021-08-10,50-59yrs,139786,126531
2021-08-10,60-69yrs,118913,110651
2021-08-10,70-79yrs,75781,73984
2021-08-10,80+,42388,43608
2021-08-11,12-17yrs,66222,53100
2021-08-11,18-29yrs,186587,136116
2021-08-11,30-39yrs,158259,118773
2021-08-11,40-49yrs,134815,116951
2021-08-11,50-59yrs,139786,126623
2021-08-11,60-69yrs,118913,110767
2021-08-11,70-79yrs,75781,74052
2021-08-11,80+,42388,43626
2021-08-12,12-17yrs,66222,53263
2021-08-12,18-29yrs,186587,136304
2021-08-12,30-39yrs,158259,118909
2021-08-12,40-49yrs,134815,117052
2021-08-12,50-59yrs,139786,126684
2021-08-12,60-69yrs,118913,110802
2021-08-12,70-79yrs,75781,74075
2021-08-12,80+,42388,43635
2021-08-13,12-17yrs,66222,53407
2021-08-13,18-29yrs,186587,136539
2021-08-13,30-39yrs,158259,119078
2021-08-13,40-49yrs,134815,117154
2021-08-13,50-59yrs,139786,126709
2021-08-13,60-69yrs,118913,110767
2021-08-13,70-79yrs,75781,74044
2021-08-13,80+,42388,43641
2021-08-14,12-17yrs,66222,53564
2021-08-14,18-29yrs,186587,136793
2021-08-14,30-39yrs,158259,119257
2021-08-14,40-49yrs,134815,117283
2021-08-14,50-59yrs,139786,126789
2021-08-14,60-69yrs,118913,110822
2021-08-14,70-79yrs,75781,74060
2021-08-14,80+,42388,43647
2021-08-15,12-17yrs,66222,53677
2021-08-15,18-29yrs,186587,136954
2021-08-15,30-39yrs,158259,119367
2021-08-15,40-49yrs,134815,117348
2021-08-15,50-59yrs,139786,126846
2021-08-15,60-69yrs,118913,110863
2021-08-15,70-79yrs,75781,74079
2021-08-15,80+,42388,43651
2021-08-16,12-17yrs,66222,53742
2021-08-16,18-29yrs,186587,137086
2021-08-16,30-39yrs,158259,119443
2021-08-16,40-49yrs,134815,117393
2021-08-16,50-59yrs,139786,126883
2021-08-16,60-69yrs,118913,110885
2021-08-16,70-79yrs,75781,74087
2021-08-16,80+,42388,43655
2021-08-17,12-17yrs,66222,53893
2021-08-17,18-29yrs,186587,137371
2021-08-17,30-39yrs,158259,119588
2021-08-17,40-49yrs,134815,117463
2021-08-17,50-59yrs,139786,126951
2021-08-17,60-69yrs,118913,110918
2021-08-17,70-79yrs,75781,74100
2021-08-17,80+,42388,43656
2021-08-18,12-17yrs,66222,54009
2021-08-18,18-29yrs,186587,137608
2021-08-18,30-39yrs,158259,119738
2021-08-18,40-49yrs,134815,117575
2021-08-18,50-59yrs,139786,127047
2021-08-18,60-69yrs,118913,110965
2021-08-18,70-79yrs,75781,74112
2021-08-18,80+,42388,43682
2021-08-19,12-17yrs,66222,54756
2021-08-19,18-29yrs,186587,137830
2021-08-19,30-39yrs,158259,119890
2021-08-19,40-49yrs,134815,117678
2021-08-19,50-59yrs,139786,127118
2021-08-19,60-69yrs,118913,111004
2021-08-19,70-79yrs,75781,74127
2021-08-19,80+,42388,43691
2021-08-20,12-17yrs,66222,55228
2021-08-20,18-29yrs,186587,138108
2021-08-20,30-39yrs,158259,120063
2021-08-20,40-49yrs,134815,117802
2021-08-20,50-59yrs,139786,127220
2021-08-20,60-69yrs,118913,111046
2021-08-20,70-79yrs,75781,74147
2021-08-20,80+,42388,43701
2021-08-21,12-17yrs,66222,55605
2021-08-21,18-29yrs,186587,138380
2021-08-21,30-39yrs,158259,120250
2021-08-21,40-49yrs,134815,117929
2021-08-21,50-59yrs,139786,127315
2021-08-21,60-69yrs,118913,111095
2021-08-21,70-79yrs,75781,74160
2021-08-21,80+,42388,43705
2021-08-22,12-17yrs,66222,55872
2021-08-22,18-29yrs,186587,138572
2021-08-22,30-39yrs,158259,120373
2021-08-22,40-49yrs,134815,117997
2021-08-22,50-59yrs,139786,127375
2021-08-22,60-69yrs,118913,111115
2021-08-22,70-79yrs,75781,74169
2021-08-22,80+,42388,43706
2021-08-23,12-17yrs,66222,56095
2021-08-23,18-29yrs,186587,138699
2021-08-23,30-39yrs,158259,120461
2021-08-23,40-49yrs,134815,118044
2021-08-23,50-59yrs,139786,127418
2021-08-23,60-69yrs,118913,111133
2021-08-23,70-79yrs,75781,74175
2021-08-23,80+,42388,43708
2021-08-24,12-17yrs,66222,56444
2021-08-24,18-29yrs,186587,138955
2021-08-24,30-39yrs,158259,120626
2021-08-24,40-49yrs,134815,118179
2021-08-24,50-59yrs,139786,127494
2021-08-24,60-69yrs,118913,111190
2021-08-24,70-79yrs,75781,74192
2021-08-24,80+,42388,43717
2021-08-25,12-17yrs,66222,56701
2021-08-25,18-29yrs,186587,139142
2021-08-25,30-39yrs,158259,120728
2021-08-25,40-49yrs,134815,118234
2021-08-25,50-59yrs,139786,127519
