Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,118974,73919
2021-07-26,18-29yrs,278974,238377
2021-07-26,30-39yrs,235513,172195
2021-07-26,40-49yrs,220945,163575
2021-07-26,50-59yrs,217659,180325
2021-07-26,60-69yrs,167934,144972
2021-07-26,70-79yrs,102369,88671
2021-07-26,80+,50535,47482
2021-07-27,12-17yrs,118974,74264
2021-07-27,18-29yrs,278974,238891
2021-07-27,30-39yrs,235513,172513
2021-07-27,40-49yrs,220945,163810
2021-07-27,50-59yrs,217659,180492
2021-07-27,60-69yrs,167934,145058
2021-07-27,70-79yrs,102369,88706
2021-07-27,80+,50535,47499
2021-07-28,12-17yrs,118974,74577
2021-07-28,18-29yrs,278974,239319
2021-07-28,30-39yrs,235513,172781
2021-07-28,40-49yrs,220945,163989
2021-07-28,50-59yrs,217659,180641
2021-07-28,60-69yrs,167934,145125
2021-07-28,70-79yrs,102369,88747
2021-07-28,80+,50535,47513
2021-07-29,12-17yrs,118974,74821
2021-07-29,18-29yrs,278974,239278
2021-07-29,30-39yrs,235513,172613
2021-07-29,40-49yrs,220945,164018
2021-07-29,50-59yrs,217659,180702
2021-07-29,60-69yrs,167934,145129
2021-07-29,70-79yrs,102369,88759
2021-07-29,80+,50535,47512
2021-07-30,12-17yrs,118974,75176
2021-07-30,18-29yrs,278974,239676
2021-07-30,30-39yrs,235513,172873
2021-07-30,40-49yrs,220945,164181
2021-07-30,50-59yrs,217659,180804
2021-07-30,60-69yrs,167934,145187
2021-07-30,70-79yrs,102369,88795
2021-07-30,80+,50535,47529
2021-07-31,12-17yrs,118974,75475
2021-07-31,18-29yrs,278974,240047
2021-07-31,30-39yrs,235513,173129
2021-07-31,40-49yrs,220945,164370
2021-07-31,50-59yrs,217659,180932
2021-07-31,60-69yrs,167934,145254
2021-07-31,70-79yrs,102369,88832
2021-07-31,80+,50535,47551
2021-08-01,12-17yrs,118974,75822
2021-08-01,18-29yrs,278974,240710
2021-08-01,30-39yrs,235513,173409
2021-08-01,40-49yrs,220945,164556
2021-08-01,50-59yrs,217659,181095
2021-08-01,60-69yrs,167934,145322
2021-08-01,70-79yrs,102369,88869
2021-08-01,80+,50535,47554
2021-08-02,12-17yrs,118974,76115
2021-08-02,18-29yrs,278974,241165
2021-08-02,30-39yrs,235513,173610
2021-08-02,40-49yrs,220945,164701
2021-08-02,50-59yrs,217659,181210
2021-08-02,60-69yrs,167934,145392
2021-08-02,70-79yrs,102369,88892
2021-08-02,80+,50535,47567
2021-08-03,12-17yrs,118974,76262
2021-08-03,18-29yrs,278974,241462
2021-08-03,30-39yrs,235513,173743
2021-08-03,40-49yrs,220945,164787
2021-08-03,50-59yrs,217659,181270
2021-08-03,60-69yrs,167934,145434
2021-08-03,70-79yrs,102369,88911
2021-08-03,80+,50535,47582
2021-08-04,12-17yrs,118974,76487
2021-08-04,18-29yrs,278974,241786
2021-08-04,30-39yrs,235513,173962
2021-08-04,40-49yrs,220945,164928
2021-08-04,50-59yrs,217659,181381
2021-08-04,60-69yrs,167934,145494
2021-08-04,70-79yrs,102369,88933
2021-08-04,80+,50535,47600
2021-08-05,12-17yrs,118974,76742
2021-08-05,18-29yrs,278974,242111
2021-08-05,30-39yrs,235513,174159
2021-08-05,40-49yrs,220945,165065
2021-08-05,50-59yrs,217659,181481
2021-08-05,60-69yrs,167934,145560
2021-08-05,70-79yrs,102369,88976
2021-08-05,80+,50535,47621
2021-08-06,12-17yrs,118974,76960
2021-08-06,18-29yrs,278974,242380
2021-08-06,30-39yrs,235513,174290
2021-08-06,40-49yrs,220945,165190
2021-08-06,50-59yrs,217659,181579
2021-08-06,60-69yrs,167934,145616
2021-08-06,70-79yrs,102369,89001
2021-08-06,80+,50535,47634
2021-08-07,12-17yrs,118974,77165
2021-08-07,18-29yrs,278974,242669
2021-08-07,30-39yrs,235513,174478
2021-08-07,40-49yrs,220945,165306
2021-08-07,50-59yrs,217659,181665
2021-08-07,60-69yrs,167934,145671
2021-08-07,70-79yrs,102369,89029
2021-08-07,80+,50535,47645
2021-08-08,12-17yrs,118974,77387
2021-08-08,18-29yrs,278974,243111
2021-08-08,30-39yrs,235513,174707
2021-08-08,40-49yrs,220945,165451
2021-08-08,50-59yrs,217659,181792
2021-08-08,60-69yrs,167934,145739
2021-08-08,70-79yrs,102369,89051
2021-08-08,80+,50535,47650
2021-08-09,12-17yrs,118974,77582
2021-08-09,18-29yrs,278974,243393
2021-08-09,30-39yrs,235513,174882
2021-08-09,40-49yrs,220945,165572
2021-08-09,50-59yrs,217659,181885
2021-08-09,60-69yrs,167934,145793
2021-08-09,70-79yrs,102369,89071
2021-08-09,80+,50535,47660
2021-08-10,12-17yrs,118974,77796
2021-08-10,18-29yrs,278974,243723
2021-08-10,30-39yrs,235513,175094
2021-08-10,40-49yrs,220945,165702
2021-08-10,50-59yrs,217659,181979
2021-08-10,60-69yrs,167934,145866
2021-08-10,70-79yrs,102369,89095
2021-08-10,80+,50535,47667
2021-08-11,12-17yrs,118974,77987
2021-08-11,18-29yrs,278974,243994
2021-08-11,30-39yrs,235513,175262
2021-08-11,40-49yrs,220945,165810
2021-08-11,50-59yrs,217659,182016
2021-08-11,60-69yrs,167934,145884
2021-08-11,70-79yrs,102369,89104
2021-08-11,80+,50535,47672
2021-08-12,12-17yrs,118974,78158
2021-08-12,18-29yrs,278974,244341
2021-08-12,30-39yrs,235513,175469
2021-08-12,40-49yrs,220945,165939
2021-08-12,50-59yrs,217659,182121
2021-08-12,60-69yrs,167934,145951
2021-08-12,70-79yrs,102369,89126
2021-08-12,80+,50535,47685
2021-08-13,12-17yrs,118974,78377
2021-08-13,18-29yrs,278974,244700
2021-08-13,30-39yrs,235513,175684
2021-08-13,40-49yrs,220945,166111
2021-08-13,50-59yrs,217659,182288
2021-08-13,60-69yrs,167934,146045
2021-08-13,70-79yrs,102369,89176
2021-08-13,80+,50535,47703
2021-08-14,12-17yrs,118974,78559
2021-08-14,18-29yrs,278974,245051
2021-08-14,30-39yrs,235513,175885
2021-08-14,40-49yrs,220945,166256
2021-08-14,50-59yrs,217659,182417
2021-08-14,60-69yrs,167934,146128
2021-08-14,70-79yrs,102369,89204
2021-08-14,80+,50535,47718
2021-08-15,12-17yrs,118974,78731
2021-08-15,18-29yrs,278974,245491
2021-08-15,30-39yrs,235513,176098
2021-08-15,40-49yrs,220945,166402
2021-08-15,50-59yrs,217659,182534
2021-08-15,60-69yrs,167934,146192
2021-08-15,70-79yrs,102369,89227
2021-08-15,80+,50535,47722
2021-08-16,12-17yrs,118974,78925
2021-08-16,18-29yrs,278974,245824
2021-08-16,30-39yrs,235513,176273
2021-08-16,40-49yrs,220945,166534
2021-08-16,50-59yrs,217659,182639
2021-08-16,60-69yrs,167934,146248
2021-08-16,70-79yrs,102369,89252
2021-08-16,80+,50535,47734
2021-08-17,12-17yrs,118974,79135
2021-08-17,18-29yrs,278974,246218
2021-08-17,30-39yrs,235513,176484
2021-08-17,40-49yrs,220945,166675
2021-08-17,50-59yrs,217659,182764
2021-08-17,60-69yrs,167934,146312
2021-08-17,70-79yrs,102369,89278
2021-08-17,80+,50535,47744
2021-08-18,12-17yrs,118974,79321
2021-08-18,18-29yrs,278974,246531
2021-08-18,30-39yrs,235513,176656
2021-08-18,40-49yrs,220945,166825
2021-08-18,50-59yrs,217659,182866
2021-08-18,60-69yrs,167934,146400
2021-08-18,70-79yrs,102369,89304
2021-08-18,80+,50535,47762
2021-08-19,12-17yrs,118974,79848
2021-08-19,18-29yrs,278974,246844
2021-08-19,30-39yrs,235513,176860
2021-08-19,40-49yrs,220945,166962
2021-08-19,50-59yrs,217659,182986
2021-08-19,60-69yrs,167934,146472
2021-08-19,70-79yrs,102369,89346
2021-08-19,80+,50535,47776
2021-08-20,12-17yrs,118974,80329
2021-08-20,18-29yrs,278974,247260
2021-08-20,30-39yrs,235513,177061
2021-08-20,40-49yrs,220945,167129
2021-08-20,50-59yrs,217659,183086
2021-08-20,60-69yrs,167934,146558
2021-08-20,70-79yrs,102369,89396
2021-08-20,80+,50535,47778
2021-08-21,12-17yrs,118974,80667
2021-08-21,18-29yrs,278974,247644
2021-08-21,30-39yrs,235513,177263
2021-08-21,40-49yrs,220945,167279
2021-08-21,50-59yrs,217659,183202
2021-08-21,60-69yrs,167934,146619
2021-08-21,70-79yrs,102369,89427
2021-08-21,80+,50535,47782
2021-08-22,12-17yrs,118974,81044
2021-08-22,18-29yrs,278974,248089
2021-08-22,30-39yrs,235513,177521
2021-08-22,40-49yrs,220945,167433
2021-08-22,50-59yrs,217659,183340
2021-08-22,60-69yrs,167934,146682
2021-08-22,70-79yrs,102369,89455
2021-08-22,80+,50535,47791
2021-08-23,12-17yrs,118974,81329
2021-08-23,18-29yrs,278974,248369
2021-08-23,30-39yrs,235513,177668
2021-08-23,40-49yrs,220945,167562
2021-08-23,50-59yrs,217659,183421
2021-08-23,60-69yrs,167934,146723
2021-08-23,70-79yrs,102369,89470
2021-08-23,80+,50535,47796
2021-08-24,12-17yrs,118974,81697
2021-08-24,18-29yrs,278974,248751
2021-08-24,30-39yrs,235513,177904
2021-08-24,40-49yrs,220945,167712
2021-08-24,50-59yrs,217659,183530
2021-08-24,60-69yrs,167934,146778
2021-08-24,70-79yrs,102369,89496
2021-08-24,80+,50535,47805
2021-08-25,12-17yrs,118974,82043
2021-08-25,18-29yrs,278974,249118
2021-08-25,30-39yrs,235513,178144
2021-08-25,40-49yrs,220945,167869
2021-08-25,50-59yrs,217659,183654
2021-08-25,60-69yrs,167934,146848
2021-08-25,70-79yrs,102369,89523
2021-08-25,80+,50535,47819
2021-08-26,12-17yrs,118974,82327
2021-08-26,18-29yrs,278974,249504
2021-08-26,30-39yrs,235513,178378
2021-08-26,40-49yrs,220945,168033
2021-08-26,50-59yrs,217659,183753
2021-08-26,60-69yrs,167934,146906
2021-08-26,70-79yrs,102369,89549
2021-08-26,80+,50535,47836
2021-08-27,12-17yrs,118974,82556
2021-08-27,18-29yrs,278974,249888
2021-08-27,30-39yrs,235513,178589
2021-08-27,40-49yrs,220945,168177
2021-08-27,50-59yrs,217659,183877
2021-08-27,60-69yrs,167934,146983
2021-08-27,70-79yrs,102369,89575
2021-08-27,80+,50535,47853
2021-08-28,12-17yrs,118974,82820
2021-08-28,18-29yrs,278974,250272
2021-08-28,30-39yrs,235513,178867
2021-08-28,40-49yrs,220945,168358
2021-08-28,50-59yrs,217659,183991
2021-08-28,60-69yrs,167934,147065
2021-08-28,70-79yrs,102369,89603
2021-08-28,80+,50535,47868
2021-08-29,12-17yrs,118974,83060
2021-08-29,18-29yrs,278974,250724
2021-08-29,30-39yrs,235513,179136
2021-08-29,40-49yrs,220945,168497
2021-08-29,50-59yrs,217659,184109
2021-08-29,60-69yrs,167934,147125
2021-08-29,70-79yrs,102369,89623
2021-08-29,80+,50535,47871
2021-08-30,12-17yrs,118974,83314
2021-08-30,18-29yrs,278974,251038
2021-08-30,30-39yrs,235513,179318
2021-08-30,40-49yrs,220945,168597
2021-08-30,50-59yrs,217659,184180
2021-08-30,60-69yrs,167934,147161
2021-08-30,70-79yrs,102369,89640
2021-08-30,80+,50535,47875
2021-08-31,12-17yrs,118974,83598
2021-08-31,18-29yrs,278974,251466
2021-08-31,30-39yrs,235513,179517
2021-08-31,40-49yrs,220945,168769
2021-08-31,50-59yrs,217659,184283
2021-08-31,60-69yrs,167934,147224
2021-08-31,70-79yrs,102369,89661
2021-08-31,80+,50535,47884
2021-09-01,12-17yrs,118974,83860
2021-09-01,18-29yrs,278974,251837
2021-09-01,30-39yrs,235513,179753
2021-09-01,40-49yrs,220945,168920
2021-09-01,50-59yrs,217659,184391
2021-09-01,60-69yrs,167934,147299
2021-09-01,70-79yrs,102369,89679
2021-09-01,80+,50535,47895
2021-09-02,12-17yrs,118974,84103
2021-09-02,18-29yrs,278974,252322
2021-09-02,30-39yrs,235513,180027
2021-09-02,40-49yrs,220945,169060
2021-09-02,50-59yrs,217659,184513
2021-09-02,60-69yrs,167934,147361
2021-09-02,70-79yrs,102369,89710
2021-09-02,80+,50535,47909
2021-09-03,12-17yrs,118974,84431
2021-09-03,18-29yrs,278974,252998
2021-09-03,30-39yrs,235513,180410
2021-09-03,40-49yrs,220945,169298
2021-09-03,50-59yrs,217659,184646
2021-09-03,60-69yrs,167934,147436
2021-09-03,70-79yrs,102369,89741
2021-09-03,80+,50535,47920
2021-09-04,12-17yrs,118974,84760
2021-09-04,18-29yrs,278974,253693
2021-09-04,30-39yrs,235513,180758
2021-09-04,40-49yrs,220945,169397
2021-09-04,50-59yrs,217659,184696
2021-09-04,60-69yrs,167934,147516
2021-09-04,70-79yrs,102369,89773
2021-09-04,80+,50535,47886
2021-09-05,12-17yrs,118974,85066
2021-09-05,18-29yrs,278974,254474
2021-09-05,30-39yrs,235513,181087
2021-09-05,40-49yrs,220945,169615
2021-09-05,50-59yrs,217659,184880
2021-09-05,60-69yrs,167934,147604
2021-09-05,70-79yrs,102369,89803
2021-09-05,80+,50535,47895
2021-09-06,12-17yrs,118974,85317
2021-09-06,18-29yrs,278974,255161
2021-09-06,30-39yrs,235513,181362
2021-09-06,40-49yrs,220945,169821
2021-09-06,50-59yrs,217659,185008
2021-09-06,60-69yrs,167934,147651
2021-09-06,70-79yrs,102369,89829
2021-09-06,80+,50535,47903
2021-09-07,12-17yrs,118974,85481
2021-09-07,18-29yrs,278974,255638
2021-09-07,30-39yrs,235513,181537
2021-09-07,40-49yrs,220945,169926
2021-09-07,50-59yrs,217659,185070
2021-09-07,60-69yrs,167934,147688
2021-09-07,70-79yrs,102369,89847
2021-09-07,80+,50535,47905
2021-09-08,12-17yrs,118974,85686
2021-09-08,18-29yrs,278974,256242
2021-09-08,30-39yrs,235513,181841
2021-09-08,40-49yrs,220945,170142
2021-09-08,50-59yrs,217659,185201
2021-09-08,60-69yrs,167934,147756
2021-09-08,70-79yrs,102369,89867
2021-09-08,80+,50535,47916
2021-09-09,12-17yrs,118974,85831
2021-09-09,18-29yrs,278974,256830
2021-09-09,30-39yrs,235513,182152
2021-09-09,40-49yrs,220945,170323
2021-09-09,50-59yrs,217659,185362
2021-09-09,60-69yrs,167934,147853
2021-09-09,70-79yrs,102369,89893
2021-09-09,80+,50535,47930
2021-09-10,12-17yrs,118974,85969
2021-09-10,18-29yrs,278974,257382
2021-09-10,30-39yrs,235513,182432
2021-09-10,40-49yrs,220945,170496
2021-09-10,50-59yrs,217659,185513
2021-09-10,60-69yrs,167934,147930
2021-09-10,70-79yrs,102369,89924
2021-09-10,80+,50535,47938
2021-09-11,12-17yrs,118974,86154
2021-09-11,18-29yrs,278974,257962
2021-09-11,30-39yrs,235513,182720
2021-09-11,40-49yrs,220945,170696
2021-09-11,50-59yrs,217659,185636
2021-09-11,60-69yrs,167934,148014
2021-09-11,70-79yrs,102369,89963
2021-09-11,80+,50535,47955
2021-09-12,12-17yrs,118974,86357
2021-09-12,18-29yrs,278974,258618
2021-09-12,30-39yrs,235513,183022
2021-09-12,40-49yrs,220945,170844
2021-09-12,50-59yrs,217659,185754
2021-09-12,60-69yrs,167934,148081
2021-09-12,70-79yrs,102369,89990
2021-09-12,80+,50535,47959
2021-09-13,12-17yrs,118974,86468
2021-09-13,18-29yrs,278974,258984
2021-09-13,30-39yrs,235513,183193
2021-09-13,40-49yrs,220945,170961
2021-09-13,50-59yrs,217659,185861
2021-09-13,60-69yrs,167934,148127
2021-09-13,70-79yrs,102369,90003
2021-09-13,80+,50535,47960
2021-09-14,12-17yrs,118974,86553
2021-09-14,18-29yrs,278974,259379
2021-09-14,30-39yrs,235513,183377
2021-09-14,40-49yrs,220945,171089
2021-09-14,50-59yrs,217659,185938
2021-09-14,60-69yrs,167934,148174
2021-09-14,70-79yrs,102369,90011
2021-09-14,80+,50535,47976
2021-09-15,12-17yrs,118974,86658
2021-09-15,18-29yrs,278974,259858
2021-09-15,30-39yrs,235513,183615
2021-09-15,40-49yrs,220945,171220
2021-09-15,50-59yrs,217659,186028
2021-09-15,60-69yrs,167934,148225
2021-09-15,70-79yrs,102369,90034
2021-09-15,80+,50535,47992
2021-09-16,12-17yrs,118974,86757
2021-09-16,18-29yrs,278974,260381
2021-09-16,30-39yrs,235513,183899
2021-09-16,40-49yrs,220945,171376
2021-09-16,50-59yrs,217659,186130
2021-09-16,60-69yrs,167934,148281
2021-09-16,70-79yrs,102369,90061
2021-09-16,80+,50535,47999
2021-09-17,12-17yrs,118974,86838
2021-09-17,18-29yrs,278974,260845
2021-09-17,30-39yrs,235513,184145
2021-09-17,40-49yrs,220945,171521
2021-09-17,50-59yrs,217659,186234
2021-09-17,60-69yrs,167934,148359
2021-09-17,70-79yrs,102369,90092
