Date,one dose cumulative
2021-08-13,81.27
2021-08-14,81.32
2021-08-15,81.37
2021-08-16,81.38
2021-08-17,81.49
2021-08-18,81.66
2021-08-19,81.88
2021-08-20,82.03
2021-08-21,82.1
2021-08-22,82.13
2021-08-23,82.14
2021-08-24,82.32
2021-08-25,82.42
2021-08-26,82.51
2021-08-27,82.61
2021-08-28,82.7
2021-08-29,82.78
2021-08-30,82.79
2021-08-31,82.91
2021-09-01,82.99
2021-09-02,83.09
2021-09-03,83.28
2021-09-04,83.38
2021-09-05,83.46
2021-09-06,83.5
2021-09-07,83.62
2021-09-08,83.78
2021-09-09,83.87
2021-09-10,84.04
2021-09-11,84.26
2021-09-12,84.36
2021-09-13,84.37
2021-09-14,84.54
2021-09-15,84.65
2021-09-16,84.74
2021-09-17,84.87
2021-09-18,85.05
2021-09-19,85.1
2021-09-20,85.11
2021-09-21,85.3
2021-09-22,85.39
2021-09-23,85.51
2021-09-24,85.64
2021-09-25,85.81
2021-09-26,85.86
2021-09-27,85.88
2021-09-28,86.03
2021-09-29,86.1
2021-09-30,86.18
2021-10-01,86.22
2021-10-02,86.36
2021-10-03,86.38
2021-10-04,86.43
2021-10-05,86.59
2021-10-06,86.66
2021-10-07,86.72
2021-10-08,86.79
2021-10-09,86.9
2021-10-10,86.93
2021-10-11,86.94
2021-10-12,86.97
2021-10-13,87.06
2021-10-14,87.13
2021-10-15,87.19
2021-10-16,87.28
2021-10-17,87.3
2021-10-18,87.3
2021-10-19,87.37
2021-10-20,87.42
2021-10-21,87.46
2021-10-22,87.55
2021-10-23,87.64
2021-10-24,87.65
2021-10-25,87.65
2021-10-26,87.72
2021-10-27,87.76
2021-10-28,87.82
2021-10-29,87.87
2021-10-30,87.94
2021-10-31,87.95
2021-11-01,87.96
2021-11-02,87.99
2021-11-03,88.0
2021-11-04,88.05
2021-11-05,88.09
2021-11-06,88.12
2021-11-07,88.13
2021-11-08,88.18
2021-11-09,88.23
2021-11-10,88.26
2021-11-11,88.28
2021-11-12,88.31
2021-11-13,88.37
2021-11-14,88.39
2021-11-15,88.4
2021-11-16,88.43
2021-11-17,88.45
2021-11-18,88.48
2021-11-19,88.51
2021-11-20,88.58
2021-11-21,88.59
2021-11-22,88.59
2021-11-23,88.62
2021-11-24,88.64
2021-11-25,88.67
2021-11-26,88.72
2021-11-27,88.76
2021-11-28,88.77
2021-11-29,88.77
2021-11-30,88.79
2021-12-01,82.5
2021-12-02,82.7
2021-12-03,82.85
2021-12-04,83.16
2021-12-05,83.37
2021-12-06,83.4
2021-12-07,83.54
2021-12-08,83.68
2021-12-09,83.86
2021-12-10,84.0
2021-12-11,84.06
2021-12-12,84.24
2021-12-13,84.25
2021-12-14,84.4
2021-12-15,84.53
2021-12-16,84.69
2021-12-17,84.82
2021-12-18,84.92
2021-12-19,85.0
2021-12-20,85.02
2021-12-21,85.22
2021-12-22,85.39
2021-12-23,85.48
2021-12-24,85.51
2021-12-25,85.53
2021-12-26,85.53
2021-12-27,85.55
2021-12-28,85.57
2021-12-29,85.72
2021-12-30,85.86
2021-12-31,85.96
2022-01-01,85.98
2022-01-02,85.99
2022-01-03,86.02
2022-01-04,86.06
2022-01-05,86.09
2022-01-06,86.12
2022-01-07,86.14
2022-01-08,86.2
2022-01-09,86.34
2022-01-10,86.38
2022-01-11,86.43
2022-01-12,86.45
2022-01-13,86.48
2022-01-14,86.53
2022-01-15,86.55
2022-01-16,86.57
2022-01-17,86.57
2022-01-18,86.58
2022-01-19,86.61
2022-01-20,86.64
2022-01-21,86.68
2022-01-22,86.74
2022-01-23,86.8
2022-01-24,86.82
2022-01-25,86.87
2022-01-26,86.94
2022-01-27,87.0
2022-01-28,87.04
2022-01-29,87.09
2022-01-30,87.11
2022-01-31,87.11
2022-02-01,87.15
2022-02-02,87.2
2022-02-03,87.28
2022-02-04,87.37
2022-02-05,87.48
2022-02-06,87.49
2022-02-07,87.5
2022-02-08,87.51
2022-02-09,87.6
2022-02-10,87.64
2022-02-11,87.66
2022-02-12,87.69
2022-02-13,87.69
2022-02-14,87.74
2022-02-15,87.75
2022-02-16,87.78
2022-02-17,87.82
2022-02-18,87.83
2022-02-19,87.85
2022-02-20,87.85
2022-02-21,87.85
2022-02-22,87.85
2022-02-23,87.87
2022-02-24,87.91
2022-02-25,87.93
2022-02-26,87.95
2022-02-27,87.95
2022-02-28,87.95
2022-03-01,88.02
2022-03-02,88.13
2022-03-03,88.14
2022-03-04,88.15
2022-03-05,88.16
2022-03-06,88.16
2022-03-07,88.16
2022-03-08,88.16
2022-03-09,88.16
2022-03-10,88.16
2022-03-11,88.16
2022-03-12,88.17
2022-03-13,88.17
