Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,8041,4925
2021-07-26,18-29yrs,21688,14434
2021-07-26,30-39yrs,18338,12660
2021-07-26,40-49yrs,14923,11699
2021-07-26,50-59yrs,20821,15144
2021-07-26,60-69yrs,22051,20592
2021-07-26,70-79yrs,15695,15795
2021-07-26,80+,9476,9251
2021-07-27,12-17yrs,8041,4956
2021-07-27,18-29yrs,21688,14484
2021-07-27,30-39yrs,18338,12682
2021-07-27,40-49yrs,14923,11716
2021-07-27,50-59yrs,20821,15171
2021-07-27,60-69yrs,22051,20610
2021-07-27,70-79yrs,15695,15802
2021-07-27,80+,9476,9254
2021-07-28,12-17yrs,8041,4978
2021-07-28,18-29yrs,21688,14522
2021-07-28,30-39yrs,18338,12706
2021-07-28,40-49yrs,14923,11740
2021-07-28,50-59yrs,20821,15184
2021-07-28,60-69yrs,22051,20625
2021-07-28,70-79yrs,15695,15815
2021-07-28,80+,9476,9257
2021-07-29,12-17yrs,8041,5016
2021-07-29,18-29yrs,21688,14549
2021-07-29,30-39yrs,18338,12722
2021-07-29,40-49yrs,14923,11754
2021-07-29,50-59yrs,20821,15207
2021-07-29,60-69yrs,22051,20635
2021-07-29,70-79yrs,15695,15822
2021-07-29,80+,9476,9264
2021-07-30,12-17yrs,8041,5063
2021-07-30,18-29yrs,21688,14600
2021-07-30,30-39yrs,18338,12756
2021-07-30,40-49yrs,14923,11777
2021-07-30,50-59yrs,20821,15229
2021-07-30,60-69yrs,22051,20659
2021-07-30,70-79yrs,15695,15834
2021-07-30,80+,9476,9267
2021-07-31,12-17yrs,8041,5070
2021-07-31,18-29yrs,21688,14620
2021-07-31,30-39yrs,18338,12765
2021-07-31,40-49yrs,14923,11786
2021-07-31,50-59yrs,20821,15234
2021-07-31,60-69yrs,22051,20663
2021-07-31,70-79yrs,15695,15834
2021-07-31,80+,9476,9267
2021-08-01,12-17yrs,8041,5076
2021-08-01,18-29yrs,21688,14627
2021-08-01,30-39yrs,18338,12773
2021-08-01,40-49yrs,14923,11793
2021-08-01,50-59yrs,20821,15237
2021-08-01,60-69yrs,22051,20663
2021-08-01,70-79yrs,15695,15833
2021-08-01,80+,9476,9267
2021-08-02,12-17yrs,8041,5079
2021-08-02,18-29yrs,21688,14632
2021-08-02,30-39yrs,18338,12776
2021-08-02,40-49yrs,14923,11798
2021-08-02,50-59yrs,20821,15241
2021-08-02,60-69yrs,22051,20665
2021-08-02,70-79yrs,15695,15833
2021-08-02,80+,9476,9267
2021-08-03,12-17yrs,8041,5084
2021-08-03,18-29yrs,21688,14634
2021-08-03,30-39yrs,18338,12779
2021-08-03,40-49yrs,14923,11803
2021-08-03,50-59yrs,20821,15242
2021-08-03,60-69yrs,22051,20665
2021-08-03,70-79yrs,15695,15834
2021-08-03,80+,9476,9267
2021-08-04,12-17yrs,8041,5123
2021-08-04,18-29yrs,21688,14676
2021-08-04,30-39yrs,18338,12805
2021-08-04,40-49yrs,14923,11822
2021-08-04,50-59yrs,20821,15262
2021-08-04,60-69yrs,22051,20681
2021-08-04,70-79yrs,15695,15841
2021-08-04,80+,9476,9269
2021-08-05,12-17yrs,8041,5154
2021-08-05,18-29yrs,21688,14706
2021-08-05,30-39yrs,18338,12824
2021-08-05,40-49yrs,14923,11836
2021-08-05,50-59yrs,20821,15289
2021-08-05,60-69yrs,22051,20693
2021-08-05,70-79yrs,15695,15847
2021-08-05,80+,9476,9271
2021-08-06,12-17yrs,8041,5181
2021-08-06,18-29yrs,21688,14747
2021-08-06,30-39yrs,18338,12853
2021-08-06,40-49yrs,14923,11852
2021-08-06,50-59yrs,20821,15314
2021-08-06,60-69yrs,22051,20715
2021-08-06,70-79yrs,15695,15851
2021-08-06,80+,9476,9272
2021-08-07,12-17yrs,8041,5208
2021-08-07,18-29yrs,21688,14768
2021-08-07,30-39yrs,18338,12874
2021-08-07,40-49yrs,14923,11875
2021-08-07,50-59yrs,20821,15324
2021-08-07,60-69yrs,22051,20729
2021-08-07,70-79yrs,15695,15856
2021-08-07,80+,9476,9272
2021-08-08,12-17yrs,8041,5210
2021-08-08,18-29yrs,21688,14780
2021-08-08,30-39yrs,18338,12884
2021-08-08,40-49yrs,14923,11890
2021-08-08,50-59yrs,20821,15329
2021-08-08,60-69yrs,22051,20734
2021-08-08,70-79yrs,15695,15860
2021-08-08,80+,9476,9273
2021-08-09,12-17yrs,8041,5211
2021-08-09,18-29yrs,21688,14783
2021-08-09,30-39yrs,18338,12886
2021-08-09,40-49yrs,14923,11893
2021-08-09,50-59yrs,20821,15330
2021-08-09,60-69yrs,22051,20738
2021-08-09,70-79yrs,15695,15862
2021-08-09,80+,9476,9273
2021-08-10,12-17yrs,8041,5236
2021-08-10,18-29yrs,21688,14824
2021-08-10,30-39yrs,18338,12909
2021-08-10,40-49yrs,14923,11904
2021-08-10,50-59yrs,20821,15341
2021-08-10,60-69yrs,22051,20752
2021-08-10,70-79yrs,15695,15866
2021-08-10,80+,9476,9274
2021-08-11,12-17yrs,8041,5255
2021-08-11,18-29yrs,21688,14847
2021-08-11,30-39yrs,18338,12916
2021-08-11,40-49yrs,14923,11913
2021-08-11,50-59yrs,20821,15343
2021-08-11,60-69yrs,22051,20713
2021-08-11,70-79yrs,15695,15834
2021-08-11,80+,9476,9263
2021-08-12,12-17yrs,8041,5278
2021-08-12,18-29yrs,21688,14873
2021-08-12,30-39yrs,18338,12936
2021-08-12,40-49yrs,14923,11935
2021-08-12,50-59yrs,20821,15357
2021-08-12,60-69yrs,22051,20724
2021-08-12,70-79yrs,15695,15838
2021-08-12,80+,9476,9265
2021-08-13,12-17yrs,8041,5306
2021-08-13,18-29yrs,21688,14912
2021-08-13,30-39yrs,18338,12968
2021-08-13,40-49yrs,14923,11960
2021-08-13,50-59yrs,20821,15390
2021-08-13,60-69yrs,22051,20786
2021-08-13,70-79yrs,15695,15887
