Date,one dose cumulative
2021-08-13,77.51
2021-08-14,77.58
2021-08-15,77.61
2021-08-16,77.62
2021-08-17,77.68
2021-08-18,77.74
2021-08-19,77.82
2021-08-20,78.12
2021-08-21,78.23
2021-08-22,78.26
2021-08-23,78.26
2021-08-24,78.35
2021-08-25,78.44
2021-08-26,78.25
2021-08-27,78.26
2021-08-28,78.4
2021-08-29,78.43
2021-08-30,78.45
2021-08-31,78.59
2021-09-01,78.62
2021-09-02,78.8
2021-09-03,78.93
2021-09-04,79.13
2021-09-05,79.18
2021-09-06,79.19
2021-09-07,79.23
2021-09-08,79.38
2021-09-09,79.55
2021-09-10,79.71
2021-09-11,79.85
2021-09-12,79.92
2021-09-13,79.95
2021-09-14,80.06
2021-09-15,80.23
2021-09-16,80.39
2021-09-17,80.47
2021-09-18,80.67
2021-09-19,80.69
2021-09-20,80.7
2021-09-21,80.81
2021-09-22,80.91
2021-09-23,81.08
2021-09-24,81.3
2021-09-25,81.43
2021-09-26,81.47
2021-09-27,81.51
2021-09-28,81.65
2021-09-29,81.75
2021-09-30,81.9
2021-10-01,81.94
2021-10-02,82.04
2021-10-03,82.08
2021-10-04,82.12
2021-10-05,82.16
2021-10-06,82.29
2021-10-07,82.34
2021-10-08,82.46
2021-10-09,82.61
2021-10-10,82.65
2021-10-11,82.68
2021-10-12,82.69
2021-10-13,82.82
2021-10-14,82.87
2021-10-15,82.97
2021-10-16,83.05
2021-10-17,83.07
2021-10-18,83.08
2021-10-19,83.13
2021-10-20,83.26
2021-10-21,83.34
2021-10-22,83.43
2021-10-23,83.47
2021-10-24,83.48
2021-10-25,83.48
2021-10-26,83.56
2021-10-27,83.62
2021-10-28,83.68
2021-10-29,83.78
2021-10-30,83.89
2021-10-31,83.95
2021-11-01,83.96
2021-11-02,84.0
2021-11-03,84.05
2021-11-04,84.09
2021-11-05,84.14
2021-11-06,84.16
2021-11-07,84.17
2021-11-08,84.19
2021-11-09,84.23
2021-11-10,84.28
2021-11-11,84.31
2021-11-12,84.32
2021-11-13,84.35
2021-11-14,84.37
2021-11-15,84.38
2021-11-16,84.42
2021-11-17,84.48
2021-11-18,84.51
2021-11-19,84.55
2021-11-20,84.58
2021-11-21,84.59
2021-11-22,84.6
2021-11-23,84.63
2021-11-24,84.68
2021-11-25,84.69
2021-11-26,84.75
2021-11-27,84.77
2021-11-28,84.79
2021-11-29,84.79
2021-11-30,84.83
2021-12-01,78.46
2021-12-02,78.75
2021-12-03,78.8
2021-12-04,78.86
2021-12-05,78.93
2021-12-06,79.12
2021-12-07,79.31
2021-12-08,79.37
2021-12-09,79.48
2021-12-10,79.56
2021-12-11,79.71
2021-12-12,79.89
2021-12-13,79.91
2021-12-14,79.95
2021-12-15,80.01
2021-12-16,80.15
2021-12-17,80.27
2021-12-18,80.45
2021-12-19,80.73
2021-12-20,80.75
2021-12-21,81.02
2021-12-22,81.14
2021-12-23,81.21
2021-12-24,81.41
2021-12-25,81.41
2021-12-26,81.41
2021-12-27,81.42
2021-12-28,81.46
2021-12-29,81.5
2021-12-30,81.53
2021-12-31,81.61
2022-01-01,81.63
2022-01-02,81.64
2022-01-03,81.64
2022-01-04,81.83
2022-01-05,81.87
2022-01-06,81.94
2022-01-07,82.0
2022-01-08,82.05
2022-01-09,82.23
2022-01-10,82.35
2022-01-11,82.4
2022-01-12,82.43
2022-01-13,82.54
2022-01-14,82.68
2022-01-15,82.73
2022-01-16,82.8
2022-01-17,82.82
2022-01-18,82.89
2022-01-19,82.93
2022-01-20,83.02
2022-01-21,83.14
2022-01-22,83.23
2022-01-23,83.28
2022-01-24,83.28
2022-01-25,83.33
2022-01-26,83.37
2022-01-27,83.42
2022-01-28,83.49
2022-01-29,83.54
2022-01-30,83.57
2022-01-31,83.6
2022-02-01,83.63
2022-02-02,83.66
2022-02-03,83.67
2022-02-04,83.71
2022-02-05,83.73
2022-02-06,83.74
2022-02-07,83.74
2022-02-08,83.76
2022-02-09,83.78
2022-02-10,83.8
2022-02-11,83.83
2022-02-12,83.83
2022-02-13,83.85
2022-02-14,83.87
2022-02-15,83.89
2022-02-16,83.9
2022-02-17,83.91
2022-02-18,83.91
2022-02-19,83.92
2022-02-20,83.92
2022-02-21,83.93
2022-02-22,83.93
2022-02-23,83.93
2022-02-24,83.94
2022-02-25,83.95
2022-02-26,83.95
2022-02-27,83.97
2022-02-28,83.97
2022-03-01,83.97
2022-03-02,83.98
2022-03-03,83.99
2022-03-04,84.0
2022-03-05,84.0
2022-03-06,84.01
2022-03-07,84.01
2022-03-08,84.02
2022-03-09,84.02
2022-03-10,84.02
2022-03-11,84.03
2022-03-12,84.03
2022-03-13,84.03
