Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,6329,3757
2021-07-26,18-29yrs,14861,8364
2021-07-26,30-39yrs,13489,7913
2021-07-26,40-49yrs,11851,8136
2021-07-26,50-59yrs,15489,11859
2021-07-26,60-69yrs,15644,15152
2021-07-26,70-79yrs,10814,10718
2021-07-26,80+,6453,6139
2021-07-27,12-17yrs,6329,3767
2021-07-27,18-29yrs,14861,8379
2021-07-27,30-39yrs,13489,7924
2021-07-27,40-49yrs,11851,8145
2021-07-27,50-59yrs,15489,11874
2021-07-27,60-69yrs,15644,15154
2021-07-27,70-79yrs,10814,10722
2021-07-27,80+,6453,6141
2021-07-28,12-17yrs,6329,3786
2021-07-28,18-29yrs,14861,8398
2021-07-28,30-39yrs,13489,7942
2021-07-28,40-49yrs,11851,8161
2021-07-28,50-59yrs,15489,11894
2021-07-28,60-69yrs,15644,15167
2021-07-28,70-79yrs,10814,10731
2021-07-28,80+,6453,6142
2021-07-29,12-17yrs,6329,3807
2021-07-29,18-29yrs,14861,8461
2021-07-29,30-39yrs,13489,7952
2021-07-29,40-49yrs,11851,8176
2021-07-29,50-59yrs,15489,11910
2021-07-29,60-69yrs,15644,15176
2021-07-29,70-79yrs,10814,10736
2021-07-29,80+,6453,6143
2021-07-30,12-17yrs,6329,3840
2021-07-30,18-29yrs,14861,8486
2021-07-30,30-39yrs,13489,7976
2021-07-30,40-49yrs,11851,8190
2021-07-30,50-59yrs,15489,11928
2021-07-30,60-69yrs,15644,15186
2021-07-30,70-79yrs,10814,10745
2021-07-30,80+,6453,6144
2021-07-31,12-17yrs,6329,3848
2021-07-31,18-29yrs,14861,8492
2021-07-31,30-39yrs,13489,7983
2021-07-31,40-49yrs,11851,8198
2021-07-31,50-59yrs,15489,11932
2021-07-31,60-69yrs,15644,15190
2021-07-31,70-79yrs,10814,10748
2021-07-31,80+,6453,6144
2021-08-01,12-17yrs,6329,3848
2021-08-01,18-29yrs,14861,8498
2021-08-01,30-39yrs,13489,7985
2021-08-01,40-49yrs,11851,8203
2021-08-01,50-59yrs,15489,11934
2021-08-01,60-69yrs,15644,15191
2021-08-01,70-79yrs,10814,10749
2021-08-01,80+,6453,6145
2021-08-02,12-17yrs,6329,3849
2021-08-02,18-29yrs,14861,8498
2021-08-02,30-39yrs,13489,7985
2021-08-02,40-49yrs,11851,8204
2021-08-02,50-59yrs,15489,11935
2021-08-02,60-69yrs,15644,15190
2021-08-02,70-79yrs,10814,10749
2021-08-02,80+,6453,6145
