Date,one dose cumulative
2021-08-13,80.29
2021-08-14,80.39
2021-08-15,80.48
2021-08-16,80.52
2021-08-17,80.6
2021-08-18,80.67
2021-08-19,80.82
2021-08-20,80.97
2021-08-21,81.17
2021-08-22,81.24
2021-08-23,81.31
2021-08-24,81.42
2021-08-25,81.56
2021-08-26,81.68
2021-08-27,81.79
2021-08-28,81.84
2021-08-29,81.9
2021-08-30,81.97
2021-08-31,82.07
2021-09-01,82.19
2021-09-02,82.32
2021-09-03,82.5
2021-09-04,82.71
2021-09-05,82.83
2021-09-06,82.93
2021-09-07,82.97
2021-09-08,83.1
2021-09-09,83.26
2021-09-10,83.37
2021-09-11,83.5
2021-09-12,83.55
2021-09-13,83.65
2021-09-14,83.76
2021-09-15,83.89
2021-09-16,84.04
2021-09-17,84.17
2021-09-18,84.29
2021-09-19,84.35
2021-09-20,84.42
2021-09-21,84.52
2021-09-22,84.64
2021-09-23,84.78
2021-09-24,84.87
2021-09-25,84.98
2021-09-26,85.05
2021-09-27,85.13
2021-09-28,85.26
2021-09-29,85.37
2021-09-30,85.49
2021-10-01,85.57
2021-10-02,85.64
2021-10-03,85.68
2021-10-04,85.74
2021-10-05,85.82
2021-10-06,85.91
2021-10-07,85.97
2021-10-08,86.06
2021-10-09,86.15
2021-10-10,86.2
2021-10-11,86.24
2021-10-12,86.25
2021-10-13,86.32
2021-10-14,86.38
2021-10-15,86.49
2021-10-16,86.54
2021-10-17,86.58
2021-10-18,86.63
2021-10-19,86.68
2021-10-20,86.75
2021-10-21,86.81
2021-10-22,86.89
2021-10-23,86.95
2021-10-24,86.98
2021-10-25,87.01
2021-10-26,87.07
2021-10-27,87.14
2021-10-28,87.18
2021-10-29,87.25
2021-10-30,87.29
2021-10-31,87.31
2021-11-01,87.33
2021-11-02,87.36
2021-11-03,87.42
2021-11-04,87.46
2021-11-05,87.51
2021-11-06,87.53
2021-11-07,87.56
2021-11-08,87.6
2021-11-09,87.63
2021-11-10,87.67
2021-11-11,87.71
2021-11-12,87.76
2021-11-13,87.79
2021-11-14,87.82
2021-11-15,87.84
2021-11-16,87.88
2021-11-17,87.92
2021-11-18,87.97
2021-11-19,88.01
2021-11-20,88.04
2021-11-21,88.07
2021-11-22,88.09
2021-11-23,88.12
2021-11-24,88.16
2021-11-25,88.2
2021-11-26,88.24
2021-11-27,88.26
2021-11-28,88.28
2021-11-29,88.3
2021-11-30,88.33
2021-12-01,82.0
2021-12-02,82.18
2021-12-03,82.37
2021-12-04,82.61
2021-12-05,82.73
2021-12-06,82.81
2021-12-07,83.01
2021-12-08,83.19
2021-12-09,83.32
2021-12-10,83.48
2021-12-11,83.64
2021-12-12,83.74
2021-12-13,83.8
2021-12-14,83.87
2021-12-15,83.96
2021-12-16,84.03
2021-12-17,84.12
2021-12-18,84.22
2021-12-19,84.29
2021-12-20,84.32
2021-12-21,84.43
2021-12-22,84.53
2021-12-23,84.61
2021-12-24,84.69
2021-12-25,84.71
2021-12-26,84.71
2021-12-27,84.71
2021-12-28,84.78
2021-12-29,84.85
2021-12-30,84.9
2021-12-31,84.98
2022-01-01,85.02
2022-01-02,85.02
2022-01-03,85.04
2022-01-04,85.08
2022-01-05,85.12
2022-01-06,85.18
2022-01-07,85.23
2022-01-08,85.27
2022-01-09,85.29
2022-01-10,85.31
2022-01-11,85.34
2022-01-12,85.38
2022-01-13,85.43
2022-01-14,85.49
2022-01-15,85.56
2022-01-16,85.59
2022-01-17,85.62
2022-01-18,85.64
2022-01-19,85.69
2022-01-20,85.77
2022-01-21,85.82
2022-01-22,85.89
2022-01-23,85.95
2022-01-24,85.98
2022-01-25,86.03
2022-01-26,86.08
2022-01-27,86.15
2022-01-28,86.2
2022-01-29,86.26
2022-01-30,86.29
2022-01-31,86.31
2022-02-01,86.35
2022-02-02,86.39
2022-02-03,86.45
2022-02-04,86.48
2022-02-05,86.51
2022-02-06,86.53
2022-02-07,86.55
2022-02-08,86.57
2022-02-09,86.6
2022-02-10,86.62
2022-02-11,86.63
2022-02-12,86.65
2022-02-13,86.66
2022-02-14,86.7
2022-02-15,86.71
2022-02-16,86.72
2022-02-17,86.73
2022-02-18,86.74
2022-02-19,86.76
2022-02-20,86.76
2022-02-21,86.77
2022-02-22,86.77
2022-02-23,86.79
2022-02-24,86.8
2022-02-25,86.82
2022-02-26,86.83
2022-02-27,86.84
2022-02-28,86.84
2022-03-01,86.86
2022-03-02,86.88
2022-03-03,86.89
2022-03-04,86.91
2022-03-05,86.92
2022-03-06,86.93
2022-03-07,86.93
2022-03-08,86.94
2022-03-09,86.96
2022-03-10,86.98
2022-03-11,86.99
2022-03-12,87.0
2022-03-13,87.0
