Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,37614,22717
2021-07-26,18-29yrs,87904,56856
2021-07-26,30-39yrs,74380,52981
2021-07-26,40-49yrs,72346,54747
2021-07-26,50-59yrs,92219,69932
2021-07-26,60-69yrs,79793,74762
2021-07-26,70-79yrs,54104,51801
2021-07-26,80+,30142,29951
2021-07-27,12-17yrs,37614,22834
2021-07-27,18-29yrs,87904,57032
2021-07-27,30-39yrs,74380,53111
2021-07-27,40-49yrs,72346,54845
2021-07-27,50-59yrs,92219,70017
2021-07-27,60-69yrs,79793,74816
2021-07-27,70-79yrs,54104,51829
2021-07-27,80+,30142,29956
2021-07-28,12-17yrs,37614,22969
2021-07-28,18-29yrs,87904,57214
2021-07-28,30-39yrs,74380,53279
2021-07-28,40-49yrs,72346,54976
2021-07-28,50-59yrs,92219,70124
2021-07-28,60-69yrs,79793,74891
2021-07-28,70-79yrs,54104,51851
2021-07-28,80+,30142,29964
2021-07-29,12-17yrs,37614,23163
2021-07-29,18-29yrs,87904,57424
2021-07-29,30-39yrs,74380,53465
2021-07-29,40-49yrs,72346,55101
2021-07-29,50-59yrs,92219,70240
2021-07-29,60-69yrs,79793,74953
2021-07-29,70-79yrs,54104,51873
2021-07-29,80+,30142,29968
2021-07-30,12-17yrs,37614,23286
2021-07-30,18-29yrs,87904,57596
2021-07-30,30-39yrs,74380,53576
2021-07-30,40-49yrs,72346,55208
2021-07-30,50-59yrs,92219,70333
2021-07-30,60-69yrs,79793,75011
2021-07-30,70-79yrs,54104,51898
2021-07-30,80+,30142,29975
2021-07-31,12-17yrs,37614,23404
2021-07-31,18-29yrs,87904,57730
2021-07-31,30-39yrs,74380,53710
2021-07-31,40-49yrs,72346,55301
2021-07-31,50-59yrs,92219,70422
2021-07-31,60-69yrs,79793,75048
2021-07-31,70-79yrs,54104,51912
2021-07-31,80+,30142,29986
2021-08-01,12-17yrs,37614,23520
2021-08-01,18-29yrs,87904,57881
2021-08-01,30-39yrs,74380,53839
2021-08-01,40-49yrs,72346,55363
2021-08-01,50-59yrs,92219,70473
2021-08-01,60-69yrs,79793,75071
2021-08-01,70-79yrs,54104,51921
2021-08-01,80+,30142,29988
2021-08-02,12-17yrs,37614,23621
2021-08-02,18-29yrs,87904,58003
2021-08-02,30-39yrs,74380,53941
2021-08-02,40-49yrs,72346,55423
2021-08-02,50-59yrs,92219,70530
2021-08-02,60-69yrs,79793,75095
2021-08-02,70-79yrs,54104,51930
2021-08-02,80+,30142,29993
2021-08-03,12-17yrs,37614,23738
2021-08-03,18-29yrs,87904,58121
2021-08-03,30-39yrs,74380,54043
2021-08-03,40-49yrs,72346,55488
2021-08-03,50-59yrs,92219,70578
2021-08-03,60-69yrs,79793,75130
2021-08-03,70-79yrs,54104,51938
2021-08-03,80+,30142,29997
2021-08-04,12-17yrs,37614,23857
2021-08-04,18-29yrs,87904,58273
2021-08-04,30-39yrs,74380,54156
2021-08-04,40-49yrs,72346,55579
2021-08-04,50-59yrs,92219,70650
2021-08-04,60-69yrs,79793,75187
2021-08-04,70-79yrs,54104,51952
2021-08-04,80+,30142,30003
2021-08-05,12-17yrs,37614,24007
2021-08-05,18-29yrs,87904,58469
2021-08-05,30-39yrs,74380,54280
2021-08-05,40-49yrs,72346,55691
2021-08-05,50-59yrs,92219,70738
2021-08-05,60-69yrs,79793,75233
2021-08-05,70-79yrs,54104,51973
2021-08-05,80+,30142,30008
2021-08-06,12-17yrs,37614,24092
2021-08-06,18-29yrs,87904,58590
2021-08-06,30-39yrs,74380,54406
2021-08-06,40-49yrs,72346,55768
2021-08-06,50-59yrs,92219,70805
2021-08-06,60-69yrs,79793,75266
2021-08-06,70-79yrs,54104,51982
2021-08-06,80+,30142,30011
2021-08-07,12-17yrs,37614,24225
2021-08-07,18-29yrs,87904,58748
2021-08-07,30-39yrs,74380,54516
2021-08-07,40-49yrs,72346,55847
2021-08-07,50-59yrs,92219,70874
2021-08-07,60-69yrs,79793,75280
2021-08-07,70-79yrs,54104,51999
2021-08-07,80+,30142,30018
2021-08-08,12-17yrs,37614,24328
2021-08-08,18-29yrs,87904,58867
2021-08-08,30-39yrs,74380,54603
2021-08-08,40-49yrs,72346,55919
2021-08-08,50-59yrs,92219,70939
2021-08-08,60-69yrs,79793,75311
2021-08-08,70-79yrs,54104,52007
2021-08-08,80+,30142,30020
2021-08-09,12-17yrs,37614,24379
2021-08-09,18-29yrs,87904,58942
2021-08-09,30-39yrs,74380,54657
2021-08-09,40-49yrs,72346,55958
