Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,15337,8290
2021-07-26,18-29yrs,30393,18331
2021-07-26,30-39yrs,24409,18372
2021-07-26,40-49yrs,25213,19300
2021-07-26,50-59yrs,29933,23749
2021-07-26,60-69yrs,27383,25576
2021-07-26,70-79yrs,18637,18644
2021-07-26,80+,10908,10271
2021-07-27,12-17yrs,15337,8362
2021-07-27,18-29yrs,30393,18396
2021-07-27,30-39yrs,24409,18435
2021-07-27,40-49yrs,25213,19342
2021-07-27,50-59yrs,29933,23773
2021-07-27,60-69yrs,27383,25586
2021-07-27,70-79yrs,18637,18650
2021-07-27,80+,10908,10274
2021-07-28,12-17yrs,15337,8446
2021-07-28,18-29yrs,30393,18436
2021-07-28,30-39yrs,24409,18473
2021-07-28,40-49yrs,25213,19391
2021-07-28,50-59yrs,29933,23804
2021-07-28,60-69yrs,27383,25607
2021-07-28,70-79yrs,18637,18662
2021-07-28,80+,10908,10274
2021-07-29,12-17yrs,15337,8510
2021-07-29,18-29yrs,30393,18476
2021-07-29,30-39yrs,24409,18503
2021-07-29,40-49yrs,25213,19427
2021-07-29,50-59yrs,29933,23833
2021-07-29,60-69yrs,27383,25651
2021-07-29,70-79yrs,18637,18668
2021-07-29,80+,10908,10273
2021-07-30,12-17yrs,15337,8567
2021-07-30,18-29yrs,30393,18517
2021-07-30,30-39yrs,24409,18544
2021-07-30,40-49yrs,25213,19454
2021-07-30,50-59yrs,29933,23863
2021-07-30,60-69yrs,27383,25674
2021-07-30,70-79yrs,18637,18675
2021-07-30,80+,10908,10276
2021-07-31,12-17yrs,15337,8669
2021-07-31,18-29yrs,30393,18578
2021-07-31,30-39yrs,24409,18620
2021-07-31,40-49yrs,25213,19503
2021-07-31,50-59yrs,29933,23900
2021-07-31,60-69yrs,27383,25693
2021-07-31,70-79yrs,18637,18684
2021-07-31,80+,10908,10277
2021-08-01,12-17yrs,15337,8677
2021-08-01,18-29yrs,30393,18597
2021-08-01,30-39yrs,24409,18629
2021-08-01,40-49yrs,25213,19514
2021-08-01,50-59yrs,29933,23907
2021-08-01,60-69yrs,27383,25696
2021-08-01,70-79yrs,18637,18685
2021-08-01,80+,10908,10278
2021-08-02,12-17yrs,15337,8685
2021-08-02,18-29yrs,30393,18603
2021-08-02,30-39yrs,24409,18632
2021-08-02,40-49yrs,25213,19519
2021-08-02,50-59yrs,29933,23910
2021-08-02,60-69yrs,27383,25698
2021-08-02,70-79yrs,18637,18687
2021-08-02,80+,10908,10278
2021-08-03,12-17yrs,15337,8726
2021-08-03,18-29yrs,30393,18628
2021-08-03,30-39yrs,24409,18645
2021-08-03,40-49yrs,25213,19534
2021-08-03,50-59yrs,29933,23917
2021-08-03,60-69yrs,27383,25703
2021-08-03,70-79yrs,18637,18689
2021-08-03,80+,10908,10277
2021-08-04,12-17yrs,15337,8772
2021-08-04,18-29yrs,30393,18661
2021-08-04,30-39yrs,24409,18684
2021-08-04,40-49yrs,25213,19572
2021-08-04,50-59yrs,29933,23947
2021-08-04,60-69yrs,27383,25728
2021-08-04,70-79yrs,18637,18699
2021-08-04,80+,10908,10326
2021-08-05,12-17yrs,15337,8806
2021-08-05,18-29yrs,30393,18690
2021-08-05,30-39yrs,24409,18714
2021-08-05,40-49yrs,25213,19598
2021-08-05,50-59yrs,29933,23968
2021-08-05,60-69yrs,27383,25751
2021-08-05,70-79yrs,18637,18713
2021-08-05,80+,10908,10360
2021-08-06,12-17yrs,15337,8848
2021-08-06,18-29yrs,30393,18733
2021-08-06,30-39yrs,24409,18770
2021-08-06,40-49yrs,25213,19636
2021-08-06,50-59yrs,29933,24003
2021-08-06,60-69yrs,27383,25777
2021-08-06,70-79yrs,18637,18729
2021-08-06,80+,10908,10397
2021-08-07,12-17yrs,15337,8902
2021-08-07,18-29yrs,30393,18784
2021-08-07,30-39yrs,24409,18810
2021-08-07,40-49yrs,25213,19673
2021-08-07,50-59yrs,29933,24026
2021-08-07,60-69yrs,27383,25796
2021-08-07,70-79yrs,18637,18745
2021-08-07,80+,10908,10397
2021-08-08,12-17yrs,15337,8924
2021-08-08,18-29yrs,30393,18823
2021-08-08,30-39yrs,24409,18830
2021-08-08,40-49yrs,25213,19690
2021-08-08,50-59yrs,29933,24048
2021-08-08,60-69yrs,27383,25808
2021-08-08,70-79yrs,18637,18746
2021-08-08,80+,10908,10397
2021-08-09,12-17yrs,15337,8928
2021-08-09,18-29yrs,30393,18837
2021-08-09,30-39yrs,24409,18837
2021-08-09,40-49yrs,25213,19694
2021-08-09,50-59yrs,29933,24050
2021-08-09,60-69yrs,27383,25810
2021-08-09,70-79yrs,18637,18747
2021-08-09,80+,10908,10398
2021-08-10,12-17yrs,15337,8967
2021-08-10,18-29yrs,30393,18880
2021-08-10,30-39yrs,24409,18873
2021-08-10,40-49yrs,25213,19721
2021-08-10,50-59yrs,29933,24074
2021-08-10,60-69yrs,27383,25820
2021-08-10,70-79yrs,18637,18752
2021-08-10,80+,10908,10401
2021-08-11,12-17yrs,15337,8875
2021-08-11,18-29yrs,30393,18710
2021-08-11,30-39yrs,24409,18678
2021-08-11,40-49yrs,25213,19517
2021-08-11,50-59yrs,29933,23801
2021-08-11,60-69yrs,27383,25608
2021-08-11,70-79yrs,18637,18626
2021-08-11,80+,10908,10386
2021-08-12,12-17yrs,15337,8919
2021-08-12,18-29yrs,30393,18754
2021-08-12,30-39yrs,24409,18706
2021-08-12,40-49yrs,25213,19549
2021-08-12,50-59yrs,29933,23818
2021-08-12,60-69yrs,27383,25623
2021-08-12,70-79yrs,18637,18633
2021-08-12,80+,10908,10387
2021-08-13,12-17yrs,15337,9074
2021-08-13,18-29yrs,30393,18999
2021-08-13,30-39yrs,24409,18992
2021-08-13,40-49yrs,25213,19837
2021-08-13,50-59yrs,29933,24141
2021-08-13,60-69yrs,27383,25875
2021-08-13,70-79yrs,18637,18778
2021-08-13,80+,10908,10435
2021-08-14,12-17yrs,15337,9133
2021-08-14,18-29yrs,30393,19067
2021-08-14,30-39yrs,24409,19042
2021-08-14,40-49yrs,25213,19877
2021-08-14,50-59yrs,29933,24170
2021-08-14,60-69yrs,27383,25896
2021-08-14,70-79yrs,18637,18787
2021-08-14,80+,10908,10436
2021-08-15,12-17yrs,15337,9140
2021-08-15,18-29yrs,30393,19077
2021-08-15,30-39yrs,24409,19055
2021-08-15,40-49yrs,25213,19888
2021-08-15,50-59yrs,29933,24176
2021-08-15,60-69yrs,27383,25900
2021-08-15,70-79yrs,18637,18788
2021-08-15,80+,10908,10436
2021-08-16,12-17yrs,15337,9142
2021-08-16,18-29yrs,30393,19087
2021-08-16,30-39yrs,24409,19061
2021-08-16,40-49yrs,25213,19889
2021-08-16,50-59yrs,29933,24181
2021-08-16,60-69yrs,27383,25903
2021-08-16,70-79yrs,18637,18788
2021-08-16,80+,10908,10436
2021-08-17,12-17yrs,15337,9176
2021-08-17,18-29yrs,30393,19133
2021-08-17,30-39yrs,24409,19089
2021-08-17,40-49yrs,25213,19913
2021-08-17,50-59yrs,29933,24209
2021-08-17,60-69yrs,27383,25914
2021-08-17,70-79yrs,18637,18790
2021-08-17,80+,10908,10438
2021-08-18,12-17yrs,15337,9206
