Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,11889,7131
2021-07-26,18-29yrs,29436,18641
2021-07-26,30-39yrs,24368,15709
2021-07-26,40-49yrs,23893,17558
2021-07-26,50-59yrs,28981,22894
2021-07-26,60-69yrs,28512,25900
2021-07-26,70-79yrs,18552,17866
2021-07-26,80+,10028,10453
2021-07-27,12-17yrs,11889,7149
2021-07-27,18-29yrs,29436,18684
2021-07-27,30-39yrs,24368,15734
2021-07-27,40-49yrs,23893,17588
2021-07-27,50-59yrs,28981,22927
2021-07-27,60-69yrs,28512,25921
2021-07-27,70-79yrs,18552,17880
2021-07-27,80+,10028,10456
2021-07-28,12-17yrs,11889,7209
2021-07-28,18-29yrs,29436,18758
2021-07-28,30-39yrs,24368,15799
2021-07-28,40-49yrs,23893,17629
2021-07-28,50-59yrs,28981,22969
2021-07-28,60-69yrs,28512,25942
2021-07-28,70-79yrs,18552,17895
2021-07-28,80+,10028,10459
2021-07-29,12-17yrs,11889,7270
2021-07-29,18-29yrs,29436,18798
2021-07-29,30-39yrs,24368,15837
2021-07-29,40-49yrs,23893,17671
2021-07-29,50-59yrs,28981,22998
2021-07-29,60-69yrs,28512,25949
2021-07-29,70-79yrs,18552,17893
2021-07-29,80+,10028,10460
2021-07-30,12-17yrs,11889,7312
2021-07-30,18-29yrs,29436,18861
2021-07-30,30-39yrs,24368,15875
2021-07-30,40-49yrs,23893,17701
2021-07-30,50-59yrs,28981,23033
2021-07-30,60-69yrs,28512,25973
2021-07-30,70-79yrs,18552,17902
2021-07-30,80+,10028,10461
2021-07-31,12-17yrs,11889,7359
2021-07-31,18-29yrs,29436,18911
2021-07-31,30-39yrs,24368,15900
2021-07-31,40-49yrs,23893,17727
2021-07-31,50-59yrs,28981,23054
2021-07-31,60-69yrs,28512,25988
2021-07-31,70-79yrs,18552,17907
2021-07-31,80+,10028,10465
2021-08-01,12-17yrs,11889,7389
2021-08-01,18-29yrs,29436,18946
2021-08-01,30-39yrs,24368,15925
2021-08-01,40-49yrs,23893,17750
2021-08-01,50-59yrs,28981,23075
2021-08-01,60-69yrs,28512,25999
2021-08-01,70-79yrs,18552,17913
2021-08-01,80+,10028,10467
2021-08-02,12-17yrs,11889,7398
2021-08-02,18-29yrs,29436,18958
2021-08-02,30-39yrs,24368,15935
2021-08-02,40-49yrs,23893,17758
2021-08-02,50-59yrs,28981,23081
2021-08-02,60-69yrs,28512,26002
2021-08-02,70-79yrs,18552,17914
2021-08-02,80+,10028,10468
2021-08-03,12-17yrs,11889,7401
2021-08-03,18-29yrs,29436,18968
2021-08-03,30-39yrs,24368,15941
2021-08-03,40-49yrs,23893,17761
2021-08-03,50-59yrs,28981,23084
2021-08-03,60-69yrs,28512,26003
2021-08-03,70-79yrs,18552,17915
2021-08-03,80+,10028,10468
2021-08-04,12-17yrs,11889,7469
2021-08-04,18-29yrs,29436,19036
2021-08-04,30-39yrs,24368,15968
2021-08-04,40-49yrs,23893,17790
2021-08-04,50-59yrs,28981,23102
2021-08-04,60-69yrs,28512,26021
2021-08-04,70-79yrs,18552,17926
2021-08-04,80+,10028,10468
2021-08-05,12-17yrs,11889,7498
2021-08-05,18-29yrs,29436,19081
2021-08-05,30-39yrs,24368,16016
2021-08-05,40-49yrs,23893,17826
2021-08-05,50-59yrs,28981,23124
2021-08-05,60-69yrs,28512,26033
2021-08-05,70-79yrs,18552,17933
2021-08-05,80+,10028,10470
2021-08-06,12-17yrs,11889,7539
2021-08-06,18-29yrs,29436,19118
2021-08-06,30-39yrs,24368,16043
2021-08-06,40-49yrs,23893,17852
2021-08-06,50-59yrs,28981,23146
2021-08-06,60-69yrs,28512,26039
2021-08-06,70-79yrs,18552,17935
2021-08-06,80+,10028,10472
2021-08-07,12-17yrs,11889,7545
2021-08-07,18-29yrs,29436,19152
2021-08-07,30-39yrs,24368,16074
2021-08-07,40-49yrs,23893,17867
2021-08-07,50-59yrs,28981,23159
2021-08-07,60-69yrs,28512,26044
2021-08-07,70-79yrs,18552,17938
2021-08-07,80+,10028,10475
2021-08-08,12-17yrs,11889,7583
2021-08-08,18-29yrs,29436,19190
2021-08-08,30-39yrs,24368,16097
2021-08-08,40-49yrs,23893,17891
2021-08-08,50-59yrs,28981,23169
2021-08-08,60-69yrs,28512,26051
2021-08-08,70-79yrs,18552,17939
2021-08-08,80+,10028,10476
2021-08-09,12-17yrs,11889,7587
2021-08-09,18-29yrs,29436,19196
2021-08-09,30-39yrs,24368,16101
2021-08-09,40-49yrs,23893,17891
2021-08-09,50-59yrs,28981,23171
2021-08-09,60-69yrs,28512,26051
2021-08-09,70-79yrs,18552,17939
2021-08-09,80+,10028,10476
2021-08-10,12-17yrs,11889,7593
2021-08-10,18-29yrs,29436,19207
2021-08-10,30-39yrs,24368,16109
2021-08-10,40-49yrs,23893,17895
2021-08-10,50-59yrs,28981,23178
2021-08-10,60-69yrs,28512,26054
2021-08-10,70-79yrs,18552,17943
2021-08-10,80+,10028,10477
2021-08-11,12-17yrs,11889,7687
2021-08-11,18-29yrs,29436,19306
2021-08-11,30-39yrs,24368,16178
2021-08-11,40-49yrs,23893,17947
2021-08-11,50-59yrs,28981,23228
2021-08-11,60-69yrs,28512,26072
2021-08-11,70-79yrs,18552,17946
2021-08-11,80+,10028,10484
2021-08-12,12-17yrs,11889,7713
2021-08-12,18-29yrs,29436,19352
2021-08-12,30-39yrs,24368,16209
2021-08-12,40-49yrs,23893,17972
2021-08-12,50-59yrs,28981,23256
2021-08-12,60-69yrs,28512,26088
2021-08-12,70-79yrs,18552,17952
2021-08-12,80+,10028,10486
2021-08-13,12-17yrs,11889,7742
2021-08-13,18-29yrs,29436,19398
2021-08-13,30-39yrs,24368,16244
2021-08-13,40-49yrs,23893,18002
2021-08-13,50-59yrs,28981,23278
2021-08-13,60-69yrs,28512,26107
2021-08-13,70-79yrs,18552,17955
2021-08-13,80+,10028,10486
2021-08-14,12-17yrs,11889,7783
2021-08-14,18-29yrs,29436,19442
2021-08-14,30-39yrs,24368,16298
2021-08-14,40-49yrs,23893,18050
2021-08-14,50-59yrs,28981,23318
2021-08-14,60-69yrs,28512,26133
2021-08-14,70-79yrs,18552,17959
2021-08-14,80+,10028,10487
2021-08-15,12-17yrs,11889,7798
2021-08-15,18-29yrs,29436,19466
2021-08-15,30-39yrs,24368,16311
2021-08-15,40-49yrs,23893,18058
2021-08-15,50-59yrs,28981,23328
2021-08-15,60-69yrs,28512,26143
2021-08-15,70-79yrs,18552,17962
2021-08-15,80+,10028,10488
2021-08-16,12-17yrs,11889,7805
2021-08-16,18-29yrs,29436,19479
2021-08-16,30-39yrs,24368,16326
2021-08-16,40-49yrs,23893,18063
2021-08-16,50-59yrs,28981,23332
2021-08-16,60-69yrs,28512,26147
2021-08-16,70-79yrs,18552,17963
2021-08-16,80+,10028,10488
2021-08-17,12-17yrs,11889,7814
2021-08-17,18-29yrs,29436,19499
2021-08-17,30-39yrs,24368,16335
2021-08-17,40-49yrs,23893,18071
2021-08-17,50-59yrs,28981,23340
2021-08-17,60-69yrs,28512,26156
2021-08-17,70-79yrs,18552,17965
2021-08-17,80+,10028,10487
2021-08-18,12-17yrs,11889,7887
2021-08-18,18-29yrs,29436,19625
2021-08-18,30-39yrs,24368,16396
2021-08-18,40-49yrs,23893,18110
2021-08-18,50-59yrs,28981,23361
2021-08-18,60-69yrs,28512,26154
2021-08-18,70-79yrs,18552,17946
2021-08-18,80+,10028,10490
2021-08-19,12-17yrs,11889,7982
2021-08-19,18-29yrs,29436,19690
2021-08-19,30-39yrs,24368,16443
2021-08-19,40-49yrs,23893,18145
2021-08-19,50-59yrs,28981,23373
2021-08-19,60-69yrs,28512,26166
2021-08-19,70-79yrs,18552,17951
2021-08-19,80+,10028,10493
2021-08-20,12-17yrs,11889,8046
2021-08-20,18-29yrs,29436,19764
2021-08-20,30-39yrs,24368,16478
2021-08-20,40-49yrs,23893,18186
2021-08-20,50-59yrs,28981,23395
2021-08-20,60-69yrs,28512,26178
2021-08-20,70-79yrs,18552,17953
2021-08-20,80+,10028,10495
2021-08-21,12-17yrs,11889,8108
2021-08-21,18-29yrs,29436,19802
2021-08-21,30-39yrs,24368,16533
2021-08-21,40-49yrs,23893,18214
2021-08-21,50-59yrs,28981,23422
2021-08-21,60-69yrs,28512,26188
2021-08-21,70-79yrs,18552,17959
2021-08-21,80+,10028,10496
2021-08-22,12-17yrs,11889,8122
