Date,one dose cumulative
2021-08-13,86.45
2021-08-14,86.52
2021-08-15,86.54
2021-08-16,86.55
2021-08-17,86.62
2021-08-18,86.7
2021-08-19,86.8
2021-08-20,86.93
2021-08-21,87.04
2021-08-22,87.05
2021-08-23,87.06
2021-08-24,87.16
2021-08-25,87.23
2021-08-26,87.31
2021-08-27,87.42
2021-08-28,87.51
2021-08-29,87.57
2021-08-30,87.58
2021-08-31,87.71
2021-09-01,87.86
2021-09-02,87.97
2021-09-03,88.16
2021-09-04,88.38
2021-09-05,88.45
2021-09-06,88.49
2021-09-07,88.5
2021-09-08,88.72
2021-09-09,88.84
2021-09-10,89.02
2021-09-11,89.13
2021-09-12,89.16
2021-09-13,89.18
2021-09-14,89.29
2021-09-15,89.45
2021-09-16,89.58
2021-09-17,89.75
2021-09-18,89.87
2021-09-19,89.91
2021-09-20,89.93
2021-09-21,90.06
2021-09-22,90.2
2021-09-23,90.38
2021-09-24,90.53
2021-09-25,90.7
2021-09-26,90.76
2021-09-27,90.77
2021-09-28,90.91
2021-09-29,91.16
2021-09-30,91.31
2021-10-01,91.41
2021-10-02,91.5
2021-10-03,91.53
2021-10-04,91.55
2021-10-05,91.64
2021-10-06,91.77
2021-10-07,91.83
2021-10-08,91.92
2021-10-09,92.07
2021-10-10,92.11
2021-10-11,92.12
2021-10-12,92.12
2021-10-13,92.22
2021-10-14,92.32
2021-10-15,92.43
2021-10-16,92.53
2021-10-17,92.55
2021-10-18,92.56
2021-10-19,92.64
2021-10-20,92.72
2021-10-21,92.79
2021-10-22,92.85
2021-10-23,92.92
2021-10-24,92.94
2021-10-25,92.96
2021-10-26,93.01
2021-10-27,93.08
2021-10-28,93.19
2021-10-29,93.27
2021-10-30,93.32
2021-10-31,93.33
2021-11-01,93.34
2021-11-02,93.38
2021-11-03,93.42
2021-11-04,93.47
2021-11-05,93.51
2021-11-06,93.54
2021-11-07,93.55
2021-11-08,93.58
2021-11-09,93.63
2021-11-10,93.68
2021-11-11,93.73
2021-11-12,93.76
2021-11-13,93.81
2021-11-14,93.82
2021-11-15,93.83
2021-11-16,93.86
2021-11-17,93.9
2021-11-18,93.92
2021-11-19,93.97
2021-11-20,94.0
2021-11-21,94.01
2021-11-22,94.02
2021-11-23,94.05
2021-11-24,94.12
2021-11-25,94.17
2021-11-26,94.22
2021-11-27,94.24
2021-11-28,94.25
2021-11-29,94.25
2021-11-30,94.32
2021-12-01,84.15
2021-12-02,84.41
2021-12-03,84.59
2021-12-04,84.8
2021-12-05,84.96
2021-12-06,85.06
2021-12-07,85.23
2021-12-08,85.41
2021-12-09,85.58
2021-12-10,85.72
2021-12-11,85.93
2021-12-12,85.97
2021-12-13,85.97
2021-12-14,86.05
2021-12-15,86.16
2021-12-16,86.3
2021-12-17,86.45
2021-12-18,86.51
2021-12-19,86.53
2021-12-20,86.54
2021-12-21,86.63
2021-12-22,86.72
2021-12-23,86.84
2021-12-24,86.92
2021-12-25,86.94
2021-12-26,86.94
2021-12-27,86.94
2021-12-28,86.95
2021-12-29,86.96
2021-12-30,87.01
2021-12-31,87.07
2022-01-01,87.07
2022-01-02,87.07
2022-01-03,87.08
2022-01-04,87.09
2022-01-05,87.16
2022-01-06,87.22
2022-01-07,87.32
2022-01-08,87.36
2022-01-09,87.37
2022-01-10,87.38
2022-01-11,87.43
2022-01-12,87.5
2022-01-13,87.58
2022-01-14,87.68
2022-01-15,87.76
2022-01-16,87.79
2022-01-17,87.79
2022-01-18,87.85
2022-01-19,87.93
2022-01-20,88.0
2022-01-21,88.11
2022-01-22,88.23
2022-01-23,88.23
2022-01-24,88.24
2022-01-25,88.3
2022-01-26,88.36
2022-01-27,88.42
2022-01-28,88.49
2022-01-29,88.56
2022-01-30,88.58
2022-01-31,88.59
2022-02-01,88.64
2022-02-02,88.68
2022-02-03,88.74
2022-02-04,88.78
2022-02-05,88.81
2022-02-06,88.83
2022-02-07,88.83
2022-02-08,88.86
2022-02-09,88.91
2022-02-10,88.98
2022-02-11,89.02
2022-02-12,89.08
2022-02-13,89.08
2022-02-14,89.12
2022-02-15,89.16
2022-02-16,89.19
2022-02-17,89.21
2022-02-18,89.24
2022-02-19,89.25
2022-02-20,89.26
2022-02-21,89.26
2022-02-22,89.26
2022-02-23,89.28
2022-02-24,89.31
2022-02-25,89.32
2022-02-26,89.33
2022-02-27,89.34
2022-02-28,89.34
2022-03-01,89.35
2022-03-02,89.37
2022-03-03,89.37
2022-03-04,89.38
2022-03-05,89.4
2022-03-06,89.41
2022-03-07,89.41
2022-03-08,89.41
2022-03-09,89.42
2022-03-10,89.43
2022-03-11,89.45
2022-03-12,89.46
2022-03-13,89.46
