Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,1897,1039
2021-07-26,18-29yrs,4360,2549
2021-07-26,30-39yrs,3297,2366
2021-07-26,40-49yrs,3499,2584
2021-07-26,50-59yrs,4828,3620
2021-07-26,60-69yrs,5410,4762
2021-07-26,70-79yrs,3541,3385
2021-07-26,80+,1974,1934
2021-07-27,12-17yrs,1897,1041
2021-07-27,18-29yrs,4360,2547
2021-07-27,30-39yrs,3297,2370
2021-07-27,40-49yrs,3499,2586
2021-07-27,50-59yrs,4828,3622
2021-07-27,60-69yrs,5410,4765
2021-07-27,70-79yrs,3541,3385
2021-07-27,80+,1974,1934
2021-07-28,12-17yrs,1897,1060
2021-07-28,18-29yrs,4360,2556
2021-07-28,30-39yrs,3297,2378
2021-07-28,40-49yrs,3499,2599
2021-07-28,50-59yrs,4828,3632
2021-07-28,60-69yrs,5410,4770
2021-07-28,70-79yrs,3541,3387
2021-07-28,80+,1974,1933
2021-07-29,12-17yrs,1897,1064
2021-07-29,18-29yrs,4360,2569
2021-07-29,30-39yrs,3297,2383
2021-07-29,40-49yrs,3499,2601
2021-07-29,50-59yrs,4828,3633
2021-07-29,60-69yrs,5410,4773
2021-07-29,70-79yrs,3541,3389
2021-07-29,80+,1974,1935
2021-07-30,12-17yrs,1897,1070
2021-07-30,18-29yrs,4360,2580
2021-07-30,30-39yrs,3297,2384
2021-07-30,40-49yrs,3499,2603
2021-07-30,50-59yrs,4828,3633
2021-07-30,60-69yrs,5410,4774
2021-07-30,70-79yrs,3541,3391
2021-07-30,80+,1974,1935
2021-07-31,12-17yrs,1897,1073
2021-07-31,18-29yrs,4360,2579
2021-07-31,30-39yrs,3297,2386
2021-07-31,40-49yrs,3499,2603
2021-07-31,50-59yrs,4828,3634
2021-07-31,60-69yrs,5410,4776
2021-07-31,70-79yrs,3541,3391
2021-07-31,80+,1974,1935
2021-08-01,12-17yrs,1897,1074
2021-08-01,18-29yrs,4360,2581
2021-08-01,30-39yrs,3297,2387
2021-08-01,40-49yrs,3499,2607
2021-08-01,50-59yrs,4828,3639
2021-08-01,60-69yrs,5410,4777
