Date,one dose cumulative
2021-08-13,79.44
2021-08-14,79.52
2021-08-15,79.6
2021-08-16,79.65
2021-08-17,79.73
2021-08-18,79.82
2021-08-19,79.93
2021-08-20,80.03
2021-08-21,80.14
2021-08-22,80.23
2021-08-23,80.29
2021-08-24,80.37
2021-08-25,80.46
2021-08-26,80.56
2021-08-27,80.64
2021-08-28,80.72
2021-08-29,80.81
2021-08-30,80.86
2021-08-31,80.93
2021-09-01,81.02
2021-09-02,81.12
2021-09-03,81.24
2021-09-04,81.34
2021-09-05,81.44
2021-09-06,81.5
2021-09-07,81.54
2021-09-08,81.66
2021-09-09,81.78
2021-09-10,81.89
2021-09-11,81.98
2021-09-12,82.08
2021-09-13,82.13
2021-09-14,82.2
2021-09-15,82.29
2021-09-16,82.39
2021-09-17,82.47
2021-09-18,82.55
2021-09-19,82.65
2021-09-20,82.7
2021-09-21,83.09
2021-09-22,83.19
2021-09-23,82.98
2021-09-24,83.08
2021-09-25,83.19
2021-09-26,83.3
2021-09-27,83.37
2021-09-28,83.44
2021-09-29,83.53
2021-09-30,83.62
2021-10-01,83.7
2021-10-02,83.78
2021-10-03,83.85
2021-10-04,83.89
2021-10-05,83.95
2021-10-06,84.03
2021-10-07,84.08
2021-10-08,84.15
2021-10-09,84.24
2021-10-10,84.33
2021-10-11,84.37
2021-10-12,84.38
2021-10-13,84.5
2021-10-14,84.57
2021-10-15,84.64
2021-10-16,84.71
2021-10-17,84.77
2021-10-18,84.81
2021-10-19,84.85
2021-10-20,84.91
2021-10-21,84.96
2021-10-22,85.02
2021-10-23,85.08
2021-10-24,85.14
2021-10-25,85.16
2021-10-26,85.2
2021-10-27,85.25
2021-10-28,85.29
2021-10-29,85.33
2021-10-30,85.37
2021-10-31,85.41
2021-11-01,85.43
2021-11-02,85.46
2021-11-03,85.49
2021-11-04,85.51
2021-11-05,85.54
2021-11-06,85.56
2021-11-07,85.59
2021-11-08,85.63
2021-11-09,85.66
2021-11-10,85.7
2021-11-11,85.74
2021-11-12,85.77
2021-11-13,85.81
2021-11-14,85.85
2021-11-15,85.87
2021-11-16,85.9
2021-11-17,85.94
2021-11-18,85.98
2021-11-19,86.02
2021-11-20,86.06
2021-11-21,86.1
2021-11-22,86.12
2021-11-23,86.15
2021-11-24,86.19
2021-11-25,86.22
2021-11-26,86.25
2021-11-27,86.28
2021-11-28,86.3
2021-11-29,86.32
2021-11-30,86.35
2021-12-01,84.76
2021-12-02,84.92
2021-12-03,85.09
2021-12-04,85.27
2021-12-05,85.52
2021-12-06,85.7
2021-12-07,85.76
2021-12-08,85.89
2021-12-09,85.99
2021-12-10,86.09
2021-12-11,86.23
2021-12-12,86.39
2021-12-13,86.48
2021-12-14,86.52
2021-12-15,86.59
2021-12-16,86.65
2021-12-17,86.72
2021-12-18,86.8
2021-12-19,86.91
2021-12-20,86.97
2021-12-21,87.03
2021-12-22,87.13
2021-12-23,87.22
2021-12-24,87.28
2021-12-25,87.32
2021-12-26,87.33
2021-12-27,87.34
2021-12-28,87.38
2021-12-29,87.45
2021-12-30,87.53
2021-12-31,87.61
2022-01-01,87.66
2022-01-02,87.67
2022-01-03,87.71
2022-01-04,87.75
2022-01-05,87.81
2022-01-06,87.87
2022-01-07,87.94
2022-01-08,88.02
2022-01-09,88.1
2022-01-10,88.14
2022-01-11,88.18
2022-01-12,88.26
2022-01-13,88.34
2022-01-14,88.44
2022-01-15,88.52
2022-01-16,88.6
2022-01-17,88.64
2022-01-18,88.65
2022-01-19,88.71
2022-01-20,88.76
2022-01-21,88.82
2022-01-22,88.89
2022-01-23,88.96
2022-01-24,88.99
2022-01-25,89.03
2022-01-26,89.07
2022-01-27,89.13
2022-01-28,89.18
2022-01-29,89.24
2022-01-30,89.3
2022-01-31,89.32
2022-02-01,89.37
2022-02-02,89.44
2022-02-03,89.52
2022-02-04,89.6
2022-02-05,89.67
2022-02-06,89.72
2022-02-07,89.74
2022-02-08,89.78
2022-02-09,89.81
2022-02-10,89.86
2022-02-11,89.9
2022-02-12,89.94
2022-02-13,89.97
2022-02-14,90.05
2022-02-15,90.08
2022-02-16,90.12
2022-02-17,90.16
2022-02-18,90.2
2022-02-19,90.23
2022-02-20,90.25
2022-02-21,90.26
2022-02-22,90.27
2022-02-23,90.3
2022-02-24,90.32
2022-02-25,90.35
2022-02-26,90.37
2022-02-27,90.38
2022-02-28,90.39
2022-03-01,90.4
2022-03-02,90.42
2022-03-03,90.44
2022-03-04,90.45
2022-03-05,90.47
2022-03-06,90.48
2022-03-07,90.49
2022-03-08,90.5
2022-03-09,90.51
2022-03-10,90.53
2022-03-11,90.54
2022-03-12,90.56
2022-03-13,90.57
