Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,162546,107989
2021-07-26,18-29yrs,585930,406143
2021-07-26,30-39yrs,528595,393981
2021-07-26,40-49yrs,423307,313918
2021-07-26,50-59yrs,394894,332799
2021-07-26,60-69yrs,327676,289968
2021-07-26,70-79yrs,202795,186280
2021-07-26,80+,144579,127750
2021-07-27,12-17yrs,162546,108465
2021-07-27,18-29yrs,585930,406989
2021-07-27,30-39yrs,528595,394658
2021-07-27,40-49yrs,423307,314398
2021-07-27,50-59yrs,394894,333180
2021-07-27,60-69yrs,327676,290317
2021-07-27,70-79yrs,202795,186459
2021-07-27,80+,144579,127828
2021-07-28,12-17yrs,162546,108978
2021-07-28,18-29yrs,585930,407828
2021-07-28,30-39yrs,528595,395318
2021-07-28,40-49yrs,423307,314839
2021-07-28,50-59yrs,394894,333556
2021-07-28,60-69yrs,327676,290630
2021-07-28,70-79yrs,202795,186649
2021-07-28,80+,144579,127891
2021-07-29,12-17yrs,162546,109537
2021-07-29,18-29yrs,585930,408283
2021-07-29,30-39yrs,528595,395698
2021-07-29,40-49yrs,423307,315121
2021-07-29,50-59yrs,394894,333853
2021-07-29,60-69yrs,327676,290795
2021-07-29,70-79yrs,202795,186813
2021-07-29,80+,144579,127950
2021-07-30,12-17yrs,162546,110106
2021-07-30,18-29yrs,585930,409134
2021-07-30,30-39yrs,528595,396259
2021-07-30,40-49yrs,423307,315528
2021-07-30,50-59yrs,394894,334203
2021-07-30,60-69yrs,327676,291099
2021-07-30,70-79yrs,202795,186977
2021-07-30,80+,144579,128005
2021-07-31,12-17yrs,162546,110642
2021-07-31,18-29yrs,585930,409920
2021-07-31,30-39yrs,528595,396861
2021-07-31,40-49yrs,423307,315971
2021-07-31,50-59yrs,394894,334591
2021-07-31,60-69yrs,327676,291400
2021-07-31,70-79yrs,202795,187109
2021-07-31,80+,144579,128067
2021-08-01,12-17yrs,162546,111084
2021-08-01,18-29yrs,585930,410443
2021-08-01,30-39yrs,528595,397330
2021-08-01,40-49yrs,423307,316286
2021-08-01,50-59yrs,394894,334877
2021-08-01,60-69yrs,327676,291565
2021-08-01,70-79yrs,202795,187201
2021-08-01,80+,144579,128106
2021-08-02,12-17yrs,162546,111387
2021-08-02,18-29yrs,585930,410895
2021-08-02,30-39yrs,528595,397677
2021-08-02,40-49yrs,423307,316521
2021-08-02,50-59yrs,394894,335072
2021-08-02,60-69yrs,327676,291692
2021-08-02,70-79yrs,202795,187237
2021-08-02,80+,144579,128133
2021-08-03,12-17yrs,162546,111547
2021-08-03,18-29yrs,585930,411150
2021-08-03,30-39yrs,528595,397862
2021-08-03,40-49yrs,423307,316627
2021-08-03,50-59yrs,394894,335173
2021-08-03,60-69yrs,327676,291765
2021-08-03,70-79yrs,202795,187277
2021-08-03,80+,144579,128156
2021-08-04,12-17yrs,162546,111994
2021-08-04,18-29yrs,585930,411768
2021-08-04,30-39yrs,528595,398344
2021-08-04,40-49yrs,423307,316953
2021-08-04,50-59yrs,394894,335444
2021-08-04,60-69yrs,327676,291962
2021-08-04,70-79yrs,202795,187394
2021-08-04,80+,144579,128210
2021-08-05,12-17yrs,162546,112410
2021-08-05,18-29yrs,585930,412350
2021-08-05,30-39yrs,528595,398825
2021-08-05,40-49yrs,423307,317213
2021-08-05,50-59yrs,394894,335725
2021-08-05,60-69yrs,327676,292109
2021-08-05,70-79yrs,202795,187486
2021-08-05,80+,144579,128249
2021-08-06,12-17yrs,162546,112828
2021-08-06,18-29yrs,585930,412959
2021-08-06,30-39yrs,528595,399264
2021-08-06,40-49yrs,423307,317518
2021-08-06,50-59yrs,394894,335969
2021-08-06,60-69yrs,327676,292300
2021-08-06,70-79yrs,202795,187587
2021-08-06,80+,144579,128305
2021-08-07,12-17yrs,162546,113192
2021-08-07,18-29yrs,585930,413587
2021-08-07,30-39yrs,528595,399778
2021-08-07,40-49yrs,423307,317857
2021-08-07,50-59yrs,394894,336298
2021-08-07,60-69yrs,327676,292525
2021-08-07,70-79yrs,202795,187698
2021-08-07,80+,144579,128360
2021-08-08,12-17yrs,162546,113529
2021-08-08,18-29yrs,585930,414120
2021-08-08,30-39yrs,528595,400186
2021-08-08,40-49yrs,423307,318153
2021-08-08,50-59yrs,394894,336540
2021-08-08,60-69yrs,327676,292673
2021-08-08,70-79yrs,202795,187761
2021-08-08,80+,144579,128389
2021-08-09,12-17yrs,162546,113728
2021-08-09,18-29yrs,585930,414462
2021-08-09,30-39yrs,528595,400475
2021-08-09,40-49yrs,423307,318345
2021-08-09,50-59yrs,394894,336696
2021-08-09,60-69yrs,327676,292747
2021-08-09,70-79yrs,202795,187788
2021-08-09,80+,144579,128402
2021-08-10,12-17yrs,162546,114024
2021-08-10,18-29yrs,585930,414936
2021-08-10,30-39yrs,528595,400922
2021-08-10,40-49yrs,423307,318593
2021-08-10,50-59yrs,394894,336892
2021-08-10,60-69yrs,327676,292912
2021-08-10,70-79yrs,202795,187852
2021-08-10,80+,144579,128440
2021-08-11,12-17yrs,162546,114342
2021-08-11,18-29yrs,585930,415440
2021-08-11,30-39yrs,528595,401323
2021-08-11,40-49yrs,423307,318841
2021-08-11,50-59yrs,394894,337122
2021-08-11,60-69yrs,327676,293023
2021-08-11,70-79yrs,202795,187925
2021-08-11,80+,144579,128475
2021-08-12,12-17yrs,162546,114600
2021-08-12,18-29yrs,585930,415990
2021-08-12,30-39yrs,528595,401677
2021-08-12,40-49yrs,423307,319085
2021-08-12,50-59yrs,394894,337363
2021-08-12,60-69yrs,327676,293186
2021-08-12,70-79yrs,202795,188020
2021-08-12,80+,144579,128507
2021-08-13,12-17yrs,162546,114904
2021-08-13,18-29yrs,585930,416588
2021-08-13,30-39yrs,528595,402097
2021-08-13,40-49yrs,423307,319397
2021-08-13,50-59yrs,394894,337641
2021-08-13,60-69yrs,327676,293379
2021-08-13,70-79yrs,202795,188141
2021-08-13,80+,144579,128546
2021-08-14,12-17yrs,162546,115222
2021-08-14,18-29yrs,585930,417228
2021-08-14,30-39yrs,528595,402552
2021-08-14,40-49yrs,423307,319729
2021-08-14,50-59yrs,394894,337918
2021-08-14,60-69yrs,327676,293554
2021-08-14,70-79yrs,202795,188212
2021-08-14,80+,144579,128579
2021-08-15,12-17yrs,162546,115533
2021-08-15,18-29yrs,585930,417845
2021-08-15,30-39yrs,528595,403003
2021-08-15,40-49yrs,423307,320050
2021-08-15,50-59yrs,394894,338184
2021-08-15,60-69yrs,327676,293703
2021-08-15,70-79yrs,202795,188269
2021-08-15,80+,144579,128603
2021-08-16,12-17yrs,162546,115751
2021-08-16,18-29yrs,585930,418268
2021-08-16,30-39yrs,528595,403319
2021-08-16,40-49yrs,423307,320237
2021-08-16,50-59yrs,394894,338342
2021-08-16,60-69yrs,327676,293798
2021-08-16,70-79yrs,202795,188291
2021-08-16,80+,144579,128612
2021-08-17,12-17yrs,162546,116051
2021-08-17,18-29yrs,585930,418957
2021-08-17,30-39yrs,528595,403770
2021-08-17,40-49yrs,423307,320535
2021-08-17,50-59yrs,394894,338594
2021-08-17,60-69yrs,327676,293969
2021-08-17,70-79yrs,202795,188354
2021-08-17,80+,144579,128648
2021-08-18,12-17yrs,162546,116403
2021-08-18,18-29yrs,585930,419629
2021-08-18,30-39yrs,528595,404296
2021-08-18,40-49yrs,423307,320865
2021-08-18,50-59yrs,394894,338863
2021-08-18,60-69yrs,327676,294158
2021-08-18,70-79yrs,202795,188441
2021-08-18,80+,144579,128727
2021-08-19,12-17yrs,162546,117435
2021-08-19,18-29yrs,585930,420246
2021-08-19,30-39yrs,528595,404741
2021-08-19,40-49yrs,423307,321163
2021-08-19,50-59yrs,394894,339081
2021-08-19,60-69yrs,327676,294317
2021-08-19,70-79yrs,202795,188503
2021-08-19,80+,144579,128756
2021-08-20,12-17yrs,162546,118238
2021-08-20,18-29yrs,585930,420848
2021-08-20,30-39yrs,528595,405272
2021-08-20,40-49yrs,423307,321478
2021-08-20,50-59yrs,394894,339351
2021-08-20,60-69yrs,327676,294510
2021-08-20,70-79yrs,202795,188568
2021-08-20,80+,144579,128805
2021-08-21,12-17yrs,162546,118965
2021-08-21,18-29yrs,585930,421537
2021-08-21,30-39yrs,528595,405792
2021-08-21,40-49yrs,423307,321872
2021-08-21,50-59yrs,394894,339700
2021-08-21,60-69yrs,327676,294686
2021-08-21,70-79yrs,202795,188649
2021-08-21,80+,144579,128855
2021-08-22,12-17yrs,162546,119570
2021-08-22,18-29yrs,585930,422157
2021-08-22,30-39yrs,528595,406264
2021-08-22,40-49yrs,423307,322205
2021-08-22,50-59yrs,394894,340006
2021-08-22,60-69yrs,327676,294835
2021-08-22,70-79yrs,202795,188705
2021-08-22,80+,144579,128875
2021-08-23,12-17yrs,162546,120033
2021-08-23,18-29yrs,585930,422601
2021-08-23,30-39yrs,528595,406564
2021-08-23,40-49yrs,423307,322378
2021-08-23,50-59yrs,394894,340171
2021-08-23,60-69yrs,327676,294905
2021-08-23,70-79yrs,202795,188727
2021-08-23,80+,144579,128891
2021-08-24,12-17yrs,162546,120496
2021-08-24,18-29yrs,585930,423224
2021-08-24,30-39yrs,528595,406999
2021-08-24,40-49yrs,423307,322651
2021-08-24,50-59yrs,394894,340395
2021-08-24,60-69yrs,327676,295042
2021-08-24,70-79yrs,202795,188784
2021-08-24,80+,144579,128914
2021-08-25,12-17yrs,162546,121044
2021-08-25,18-29yrs,585930,423882
2021-08-25,30-39yrs,528595,407454
2021-08-25,40-49yrs,423307,323008
2021-08-25,50-59yrs,394894,340669
2021-08-25,60-69yrs,327676,295198
2021-08-25,70-79yrs,202795,188853
2021-08-25,80+,144579,128945
2021-08-26,12-17yrs,162546,121506
2021-08-26,18-29yrs,585930,424625
2021-08-26,30-39yrs,528595,407961
2021-08-26,40-49yrs,423307,323359
2021-08-26,50-59yrs,394894,340931
2021-08-26,60-69yrs,327676,295354
2021-08-26,70-79yrs,202795,188933
2021-08-26,80+,144579,128982
2021-08-27,12-17yrs,162546,121884
2021-08-27,18-29yrs,585930,425272
2021-08-27,30-39yrs,528595,408413
2021-08-27,40-49yrs,423307,323674
2021-08-27,50-59yrs,394894,341196
2021-08-27,60-69yrs,327676,295511
