Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,21168,13786
2021-07-26,18-29yrs,50230,34659
2021-07-26,30-39yrs,42188,31582
2021-07-26,40-49yrs,38968,31279
2021-07-26,50-59yrs,44023,36884
2021-07-26,60-69yrs,37194,34269
2021-07-26,70-79yrs,23504,22814
2021-07-26,80+,12749,13815
2021-07-27,12-17yrs,21168,13862
2021-07-27,18-29yrs,50230,34740
2021-07-27,30-39yrs,42188,31655
2021-07-27,40-49yrs,38968,31332
2021-07-27,50-59yrs,44023,36928
2021-07-27,60-69yrs,37194,34301
2021-07-27,70-79yrs,23504,22820
2021-07-27,80+,12749,13823
2021-07-28,12-17yrs,21168,13955
2021-07-28,18-29yrs,50230,34857
2021-07-28,30-39yrs,42188,31763
2021-07-28,40-49yrs,38968,31384
2021-07-28,50-59yrs,44023,36975
2021-07-28,60-69yrs,37194,34329
2021-07-28,70-79yrs,23504,22831
2021-07-28,80+,12749,13828
2021-07-29,12-17yrs,21168,14032
2021-07-29,18-29yrs,50230,34816
2021-07-29,30-39yrs,42188,31667
2021-07-29,40-49yrs,38968,31310
2021-07-29,50-59yrs,44023,36890
2021-07-29,60-69yrs,37194,34253
2021-07-29,70-79yrs,23504,22821
2021-07-29,80+,12749,13830
2021-07-30,12-17yrs,21168,14162
2021-07-30,18-29yrs,50230,34930
2021-07-30,30-39yrs,42188,31774
2021-07-30,40-49yrs,38968,31383
2021-07-30,50-59yrs,44023,36958
2021-07-30,60-69yrs,37194,34295
2021-07-30,70-79yrs,23504,22835
2021-07-30,80+,12749,13832
2021-07-31,12-17yrs,21168,14230
2021-07-31,18-29yrs,50230,35019
2021-07-31,30-39yrs,42188,31834
2021-07-31,40-49yrs,38968,31427
2021-07-31,50-59yrs,44023,36999
2021-07-31,60-69yrs,37194,34315
2021-07-31,70-79yrs,23504,22840
2021-07-31,80+,12749,13832
2021-08-01,12-17yrs,21168,14268
2021-08-01,18-29yrs,50230,35068
2021-08-01,30-39yrs,42188,31862
2021-08-01,40-49yrs,38968,31451
2021-08-01,50-59yrs,44023,37011
2021-08-01,60-69yrs,37194,34323
2021-08-01,70-79yrs,23504,22842
2021-08-01,80+,12749,13832
2021-08-02,12-17yrs,21168,14273
2021-08-02,18-29yrs,50230,35080
2021-08-02,30-39yrs,42188,31876
2021-08-02,40-49yrs,38968,31455
2021-08-02,50-59yrs,44023,37014
2021-08-02,60-69yrs,37194,34325
2021-08-02,70-79yrs,23504,22843
2021-08-02,80+,12749,13832
2021-08-03,12-17yrs,21168,14282
2021-08-03,18-29yrs,50230,35096
2021-08-03,30-39yrs,42188,31888
2021-08-03,40-49yrs,38968,31460
2021-08-03,50-59yrs,44023,37014
2021-08-03,60-69yrs,37194,34324
2021-08-03,70-79yrs,23504,22844
2021-08-03,80+,12749,13832
2021-08-04,12-17yrs,21168,14375
2021-08-04,18-29yrs,50230,35172
2021-08-04,30-39yrs,42188,31938
2021-08-04,40-49yrs,38968,31504
2021-08-04,50-59yrs,44023,37057
2021-08-04,60-69yrs,37194,34351
2021-08-04,70-79yrs,23504,22847
2021-08-04,80+,12749,13835
2021-08-05,12-17yrs,21168,14435
2021-08-05,18-29yrs,50230,35266
2021-08-05,30-39yrs,42188,31978
2021-08-05,40-49yrs,38968,31535
2021-08-05,50-59yrs,44023,37096
2021-08-05,60-69yrs,37194,34360
2021-08-05,70-79yrs,23504,22851
2021-08-05,80+,12749,13840
2021-08-06,12-17yrs,21168,14514
2021-08-06,18-29yrs,50230,35372
2021-08-06,30-39yrs,42188,32082
2021-08-06,40-49yrs,38968,31582
2021-08-06,50-59yrs,44023,37144
2021-08-06,60-69yrs,37194,34403
2021-08-06,70-79yrs,23504,22871
2021-08-06,80+,12749,13856
2021-08-07,12-17yrs,21168,14585
2021-08-07,18-29yrs,50230,35498
2021-08-07,30-39yrs,42188,32186
2021-08-07,40-49yrs,38968,31639
2021-08-07,50-59yrs,44023,37195
2021-08-07,60-69yrs,37194,34456
2021-08-07,70-79yrs,23504,22884
2021-08-07,80+,12749,13873
2021-08-08,12-17yrs,21168,14605
