Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,29770,16685
2021-07-26,18-29yrs,72405,47333
2021-07-26,30-39yrs,48477,35542
2021-07-26,40-49yrs,50811,38851
2021-07-26,50-59yrs,60800,47694
2021-07-26,60-69yrs,54082,48186
2021-07-26,70-79yrs,35970,33620
2021-07-26,80+,20462,19756
2021-07-27,12-17yrs,29770,16743
2021-07-27,18-29yrs,72405,47425
2021-07-27,30-39yrs,48477,35610
2021-07-27,40-49yrs,50811,38901
2021-07-27,50-59yrs,60800,47755
2021-07-27,60-69yrs,54082,48231
2021-07-27,70-79yrs,35970,33635
2021-07-27,80+,20462,19768
2021-07-28,12-17yrs,29770,16847
2021-07-28,18-29yrs,72405,47564
2021-07-28,30-39yrs,48477,35701
2021-07-28,40-49yrs,50811,38975
2021-07-28,50-59yrs,60800,47825
2021-07-28,60-69yrs,54082,48280
2021-07-28,70-79yrs,35970,33654
2021-07-28,80+,20462,19777
2021-07-29,12-17yrs,29770,16929
2021-07-29,18-29yrs,72405,47615
2021-07-29,30-39yrs,48477,35717
2021-07-29,40-49yrs,50811,38991
2021-07-29,50-59yrs,60800,47831
2021-07-29,60-69yrs,54082,48256
2021-07-29,70-79yrs,35970,33660
2021-07-29,80+,20462,19775
2021-07-30,12-17yrs,29770,17039
2021-07-30,18-29yrs,72405,47741
2021-07-30,30-39yrs,48477,35803
2021-07-30,40-49yrs,50811,39064
2021-07-30,50-59yrs,60800,47896
2021-07-30,60-69yrs,54082,48304
2021-07-30,70-79yrs,35970,33689
2021-07-30,80+,20462,19780
2021-07-31,12-17yrs,29770,17146
2021-07-31,18-29yrs,72405,47849
2021-07-31,30-39yrs,48477,35874
2021-07-31,40-49yrs,50811,39138
2021-07-31,50-59yrs,60800,47946
2021-07-31,60-69yrs,54082,48352
2021-07-31,70-79yrs,35970,33717
2021-07-31,80+,20462,19784
2021-08-01,12-17yrs,29770,17290
2021-08-01,18-29yrs,72405,47960
2021-08-01,30-39yrs,48477,35951
2021-08-01,40-49yrs,50811,39195
2021-08-01,50-59yrs,60800,47988
2021-08-01,60-69yrs,54082,48371
2021-08-01,70-79yrs,35970,33723
2021-08-01,80+,20462,19784
2021-08-02,12-17yrs,29770,17334
2021-08-02,18-29yrs,72405,47989
2021-08-02,30-39yrs,48477,35982
2021-08-02,40-49yrs,50811,39206
2021-08-02,50-59yrs,60800,48013
2021-08-02,60-69yrs,54082,48383
2021-08-02,70-79yrs,35970,33726
2021-08-02,80+,20462,19785
2021-08-03,12-17yrs,29770,17385
2021-08-03,18-29yrs,72405,48046
2021-08-03,30-39yrs,48477,36015
2021-08-03,40-49yrs,50811,39228
2021-08-03,50-59yrs,60800,48027
2021-08-03,60-69yrs,54082,48395
2021-08-03,70-79yrs,35970,33732
2021-08-03,80+,20462,19788
2021-08-04,12-17yrs,29770,17442
2021-08-04,18-29yrs,72405,48117
2021-08-04,30-39yrs,48477,36058
2021-08-04,40-49yrs,50811,39272
2021-08-04,50-59yrs,60800,48064
2021-08-04,60-69yrs,54082,48429
2021-08-04,70-79yrs,35970,33761
2021-08-04,80+,20462,19790
2021-08-05,12-17yrs,29770,17527
2021-08-05,18-29yrs,72405,48241
2021-08-05,30-39yrs,48477,36130
2021-08-05,40-49yrs,50811,39338
2021-08-05,50-59yrs,60800,48106
2021-08-05,60-69yrs,54082,48467
2021-08-05,70-79yrs,35970,33779
2021-08-05,80+,20462,19794
2021-08-06,12-17yrs,29770,17615
2021-08-06,18-29yrs,72405,48341
2021-08-06,30-39yrs,48477,36234
2021-08-06,40-49yrs,50811,39421
2021-08-06,50-59yrs,60800,48175
2021-08-06,60-69yrs,54082,48508
2021-08-06,70-79yrs,35970,33792
2021-08-06,80+,20462,19803
2021-08-07,12-17yrs,29770,17692
2021-08-07,18-29yrs,72405,48473
2021-08-07,30-39yrs,48477,36335
2021-08-07,40-49yrs,50811,39496
2021-08-07,50-59yrs,60800,48273
2021-08-07,60-69yrs,54082,48553
2021-08-07,70-79yrs,35970,33818
2021-08-07,80+,20462,19809
2021-08-08,12-17yrs,29770,17756
2021-08-08,18-29yrs,72405,48558
2021-08-08,30-39yrs,48477,36404
2021-08-08,40-49yrs,50811,39559
2021-08-08,50-59yrs,60800,48313
2021-08-08,60-69yrs,54082,48576
2021-08-08,70-79yrs,35970,33825
2021-08-08,80+,20462,19810
2021-08-09,12-17yrs,29770,17803
2021-08-09,18-29yrs,72405,48608
2021-08-09,30-39yrs,48477,36436
2021-08-09,40-49yrs,50811,39587
2021-08-09,50-59yrs,60800,48335
2021-08-09,60-69yrs,54082,48585
2021-08-09,70-79yrs,35970,33827
2021-08-09,80+,20462,19812
2021-08-10,12-17yrs,29770,17876
2021-08-10,18-29yrs,72405,48714
2021-08-10,30-39yrs,48477,36509
2021-08-10,40-49yrs,50811,39652
2021-08-10,50-59yrs,60800,48395
2021-08-10,60-69yrs,54082,48610
2021-08-10,70-79yrs,35970,33845
