Date,one dose cumulative
2021-08-13,81.31
2021-08-14,81.39
2021-08-15,81.47
2021-08-16,81.53
2021-08-17,81.61
2021-08-18,81.68
2021-08-19,81.81
2021-08-20,81.92
2021-08-21,82.01
2021-08-22,82.11
2021-08-23,82.18
2021-08-24,82.27
2021-08-25,82.34
2021-08-26,82.44
2021-08-27,82.53
2021-08-28,82.61
2021-08-29,82.69
2021-08-30,82.75
2021-08-31,82.81
2021-09-01,82.88
2021-09-02,82.97
2021-09-03,83.09
2021-09-04,83.27
2021-09-05,83.36
2021-09-06,83.43
2021-09-07,83.49
2021-09-08,83.59
2021-09-09,83.69
2021-09-10,83.78
2021-09-11,83.86
2021-09-12,83.95
2021-09-13,84.02
2021-09-14,84.09
2021-09-15,84.17
2021-09-16,84.26
2021-09-17,84.33
2021-09-18,84.4
2021-09-19,84.47
2021-09-20,84.52
2021-09-21,84.59
2021-09-22,84.68
2021-09-23,84.79
2021-09-24,84.89
2021-09-25,84.98
2021-09-26,85.07
2021-09-27,85.13
2021-09-28,85.21
2021-09-29,85.3
2021-09-30,85.4
2021-10-01,85.47
2021-10-02,85.54
2021-10-03,85.59
2021-10-04,85.66
2021-10-05,85.72
2021-10-06,85.8
2021-10-07,85.86
2021-10-08,85.93
2021-10-09,86.01
2021-10-10,86.08
2021-10-11,86.12
2021-10-12,86.14
2021-10-13,86.21
2021-10-14,86.26
2021-10-15,86.32
2021-10-16,86.38
2021-10-17,86.44
2021-10-18,86.48
2021-10-19,86.54
2021-10-20,86.6
2021-10-21,86.67
2021-10-22,86.73
2021-10-23,86.79
2021-10-24,86.84
2021-10-25,86.88
2021-10-26,86.93
2021-10-27,86.98
2021-10-28,87.03
2021-10-29,87.07
2021-10-30,87.12
2021-10-31,87.16
2021-11-01,87.19
2021-11-02,87.22
2021-11-03,87.25
2021-11-04,87.29
2021-11-05,87.32
2021-11-06,87.34
2021-11-07,87.37
2021-11-08,87.4
2021-11-09,87.44
2021-11-10,87.47
2021-11-11,87.51
2021-11-12,87.55
2021-11-13,87.59
2021-11-14,87.62
2021-11-15,87.65
2021-11-16,87.68
2021-11-17,87.72
2021-11-18,87.76
2021-11-19,87.79
2021-11-20,87.82
2021-11-21,87.85
2021-11-22,87.87
2021-11-23,87.89
2021-11-24,87.93
2021-11-25,87.96
2021-11-26,87.98
2021-11-27,88.01
2021-11-28,88.03
2021-11-29,88.04
2021-11-30,88.07
2021-12-01,83.22
2021-12-02,83.42
2021-12-03,83.58
2021-12-04,83.76
2021-12-05,84.01
2021-12-06,84.22
2021-12-07,84.34
2021-12-08,84.47
2021-12-09,84.6
2021-12-10,84.72
2021-12-11,84.87
2021-12-12,85.09
2021-12-13,85.24
2021-12-14,85.31
2021-12-15,85.41
2021-12-16,85.48
2021-12-17,85.55
2021-12-18,85.62
2021-12-19,85.83
2021-12-20,86.01
2021-12-21,86.13
2021-12-22,86.25
2021-12-23,86.34
2021-12-24,86.43
2021-12-25,86.47
2021-12-26,86.48
2021-12-27,86.48
2021-12-28,86.54
2021-12-29,86.61
2021-12-30,86.68
2021-12-31,86.76
2022-01-01,86.82
2022-01-02,86.83
2022-01-03,86.91
2022-01-04,87.01
2022-01-05,87.09
2022-01-06,87.15
2022-01-07,87.23
2022-01-08,87.3
2022-01-09,87.38
2022-01-10,87.44
2022-01-11,87.51
2022-01-12,87.59
2022-01-13,87.67
2022-01-14,87.76
2022-01-15,87.85
2022-01-16,87.94
2022-01-17,88.0
2022-01-18,88.02
2022-01-19,88.07
2022-01-20,88.16
2022-01-21,88.2
2022-01-22,88.26
2022-01-23,88.31
2022-01-24,88.36
2022-01-25,88.39
2022-01-26,88.42
2022-01-27,88.45
2022-01-28,88.5
2022-01-29,88.55
2022-01-30,88.59
2022-01-31,88.65
2022-02-01,88.68
2022-02-02,88.71
2022-02-03,88.76
2022-02-04,88.79
2022-02-05,88.83
2022-02-06,88.88
2022-02-07,88.9
2022-02-08,88.93
2022-02-09,88.96
2022-02-10,88.99
2022-02-11,89.02
2022-02-12,89.05
2022-02-13,89.07
2022-02-14,89.13
2022-02-15,89.14
2022-02-16,89.16
2022-02-17,89.18
2022-02-18,89.2
2022-02-19,89.21
2022-02-20,89.23
2022-02-21,89.24
2022-02-22,89.24
2022-02-23,89.26
2022-02-24,89.27
2022-02-25,89.28
2022-02-26,89.29
2022-02-27,89.31
2022-02-28,89.33
2022-03-01,89.33
2022-03-02,89.34
2022-03-03,89.35
2022-03-04,89.36
2022-03-05,89.37
2022-03-06,89.38
2022-03-07,89.39
2022-03-08,89.39
2022-03-09,89.39
2022-03-10,89.4
2022-03-11,89.41
2022-03-12,89.42
2022-03-13,89.43
