Date,age group,Total population, one dose cumulative
2021-07-26,12-17yrs,89973,61429
2021-07-26,18-29yrs,198762,137791
2021-07-26,30-39yrs,155115,114950
2021-07-26,40-49yrs,162480,136633
2021-07-26,50-59yrs,180487,152643
2021-07-26,60-69yrs,143847,124045
2021-07-26,70-79yrs,90111,81200
2021-07-26,80+,48390,47516
2021-07-27,12-17yrs,89973,61652
2021-07-27,18-29yrs,198762,137981
2021-07-27,30-39yrs,155115,115080
2021-07-27,40-49yrs,162480,136750
2021-07-27,50-59yrs,180487,152760
2021-07-27,60-69yrs,143847,124121
2021-07-27,70-79yrs,90111,81232
2021-07-27,80+,48390,47527
2021-07-28,12-17yrs,89973,61860
2021-07-28,18-29yrs,198762,138157
2021-07-28,30-39yrs,155115,115231
2021-07-28,40-49yrs,162480,136866
2021-07-28,50-59yrs,180487,152887
2021-07-28,60-69yrs,143847,124200
2021-07-28,70-79yrs,90111,81285
2021-07-28,80+,48390,47543
2021-07-29,12-17yrs,89973,62076
2021-07-29,18-29yrs,198762,138310
2021-07-29,30-39yrs,155115,115330
2021-07-29,40-49yrs,162480,136967
2021-07-29,50-59yrs,180487,152988
2021-07-29,60-69yrs,143847,124302
2021-07-29,70-79yrs,90111,81345
2021-07-29,80+,48390,47551
2021-07-30,12-17yrs,89973,62372
2021-07-30,18-29yrs,198762,138472
2021-07-30,30-39yrs,155115,115451
2021-07-30,40-49yrs,162480,137071
2021-07-30,50-59yrs,180487,153067
2021-07-30,60-69yrs,143847,124376
2021-07-30,70-79yrs,90111,81378
2021-07-30,80+,48390,47574
2021-07-31,12-17yrs,89973,62630
2021-07-31,18-29yrs,198762,138616
2021-07-31,30-39yrs,155115,115584
2021-07-31,40-49yrs,162480,137156
2021-07-31,50-59yrs,180487,153164
2021-07-31,60-69yrs,143847,124439
2021-07-31,70-79yrs,90111,81426
2021-07-31,80+,48390,47585
2021-08-01,12-17yrs,89973,62843
2021-08-01,18-29yrs,198762,138794
2021-08-01,30-39yrs,155115,115687
2021-08-01,40-49yrs,162480,137277
2021-08-01,50-59yrs,180487,153263
2021-08-01,60-69yrs,143847,124486
2021-08-01,70-79yrs,90111,81452
2021-08-01,80+,48390,47598
2021-08-02,12-17yrs,89973,63016
2021-08-02,18-29yrs,198762,138897
2021-08-02,30-39yrs,155115,115792
2021-08-02,40-49yrs,162480,137345
2021-08-02,50-59yrs,180487,153331
2021-08-02,60-69yrs,143847,124521
2021-08-02,70-79yrs,90111,81465
2021-08-02,80+,48390,47601
2021-08-03,12-17yrs,89973,63175
2021-08-03,18-29yrs,198762,138985
2021-08-03,30-39yrs,155115,115847
2021-08-03,40-49yrs,162480,137384
2021-08-03,50-59yrs,180487,153359
2021-08-03,60-69yrs,143847,124544
2021-08-03,70-79yrs,90111,81484
2021-08-03,80+,48390,47605
2021-08-04,12-17yrs,89973,63382
2021-08-04,18-29yrs,198762,139109
2021-08-04,30-39yrs,155115,115924
