Date,PHU_num,one_or_more_doses_cumulative
2021-07-26,2226,81765
2021-07-26,2227,107314
2021-07-26,2230,501120
2021-07-26,2233,117867
2021-07-26,2234,73130
2021-07-26,2235,137890
2021-07-26,2236,443354
2021-07-26,2237,394273
2021-07-26,2238,114781
2021-07-26,2240,69507
2021-07-26,2241,155789
2021-07-26,2242,86365
2021-07-26,2243,135774
2021-07-26,2244,362474
2021-07-26,2246,335350
2021-07-26,2247,88626
2021-07-26,2249,58283
2021-07-26,2251,770550
2021-07-26,2253,1109516
2021-07-26,2255,104500
2021-07-26,2256,55248
2021-07-26,2257,72038
2021-07-26,2258,144410
2021-07-26,2260,413747
2021-07-26,2261,136152
2021-07-26,2262,111942
2021-07-26,2263,22239
2021-07-26,2265,416591
2021-07-26,2266,219088
2021-07-26,2268,287667
2021-07-26,2270,856207
2021-07-26,3895,2158828
2021-07-26,4913,142533
2021-07-26,5183,99123
2021-07-26,9999,0
2021-07-26,35,10384041
2021-07-27,2226,81864
2021-07-27,2227,107452
2021-07-27,2230,501811
2021-07-27,2233,118077
2021-07-27,2234,73285
2021-07-27,2235,138125
2021-07-27,2236,444112
2021-07-27,2237,394927
2021-07-27,2238,115024
2021-07-27,2240,69377
2021-07-27,2241,155931
2021-07-27,2242,86663
2021-07-27,2243,135903
2021-07-27,2244,362988
2021-07-27,2246,335987
2021-07-27,2247,88791
2021-07-27,2249,58430
2021-07-27,2251,771546
2021-07-27,2253,1111233
2021-07-27,2255,104675
2021-07-27,2256,55340
2021-07-27,2257,72106
2021-07-27,2258,144630
2021-07-27,2260,414440
2021-07-27,2261,136339
2021-07-27,2262,112119
2021-07-27,2263,22250
2021-07-27,2265,417156
2021-07-27,2266,219461
2021-07-27,2268,288068
2021-07-27,2270,857103
2021-07-27,3895,2162294
2021-07-27,4913,142818
2021-07-27,5183,99379
2021-07-27,9999,0
2021-07-27,35,20783745
2021-07-28,2226,82003
2021-07-28,2227,107688
2021-07-28,2230,502599
2021-07-28,2233,118251
2021-07-28,2234,73344
2021-07-28,2235,138357
2021-07-28,2236,445019
2021-07-28,2237,395557
2021-07-28,2238,115317
2021-07-28,2240,69488
2021-07-28,2241,156174
2021-07-28,2242,86819
2021-07-28,2243,136121
2021-07-28,2244,363589
2021-07-28,2246,336428
2021-07-28,2247,88999
2021-07-28,2249,58558
2021-07-28,2251,772530
2021-07-28,2253,1112692
2021-07-28,2255,104827
2021-07-28,2256,55472
2021-07-28,2257,72221
2021-07-28,2258,144961
2021-07-28,2260,415268
2021-07-28,2261,136660
2021-07-28,2262,112292
2021-07-28,2263,22315
2021-07-28,2265,417755
2021-07-28,2266,219922
2021-07-28,2268,288623
2021-07-28,2270,858029
2021-07-28,3895,2165689
2021-07-28,4913,143093
2021-07-28,5183,99683
2021-07-28,9999,0
2021-07-28,35,31200088
2021-07-29,2226,82139
2021-07-29,2227,107296
2021-07-29,2230,503470
2021-07-29,2233,118374
2021-07-29,2234,73414
2021-07-29,2235,138568
2021-07-29,2236,445648
2021-07-29,2237,396061
2021-07-29,2238,115555
2021-07-29,2240,70146
2021-07-29,2241,156376
2021-07-29,2242,87005
2021-07-29,2243,136225
2021-07-29,2244,364027
2021-07-29,2246,336969
2021-07-29,2247,89217
2021-07-29,2249,58747
2021-07-29,2251,773285
2021-07-29,2253,1112832
2021-07-29,2255,104969
2021-07-29,2256,55655
2021-07-29,2257,72361
2021-07-29,2258,145463
2021-07-29,2260,416187
2021-07-29,2261,136876
2021-07-29,2262,112499
2021-07-29,2263,22347
2021-07-29,2265,422972
2021-07-29,2266,219619
2021-07-29,2268,288774
2021-07-29,2270,858869
2021-07-29,3895,2168050
2021-07-29,4913,143341
2021-07-29,5183,99816
2021-07-29,9999,0
2021-07-29,35,41633240
2021-07-30,2226,82537
2021-07-30,2227,107448
2021-07-30,2230,504187
2021-07-30,2233,118579
2021-07-30,2234,73472
2021-07-30,2235,138709
2021-07-30,2236,446557
2021-07-30,2237,396629
2021-07-30,2238,115778
2021-07-30,2240,70254
2021-07-30,2241,156488
2021-07-30,2242,87256
2021-07-30,2243,136465
2021-07-30,2244,364617
2021-07-30,2246,337577
2021-07-30,2247,89520
2021-07-30,2249,58808
2021-07-30,2251,774198
2021-07-30,2253,1114221
2021-07-30,2255,105185
2021-07-30,2256,55710
2021-07-30,2257,72495
2021-07-30,2258,145745
2021-07-30,2260,416883
2021-07-30,2261,137118
2021-07-30,2262,112649
2021-07-30,2263,22370
2021-07-30,2265,423703
2021-07-30,2266,220169
2021-07-30,2268,289316
2021-07-30,2270,859761
2021-07-30,3895,2171311
2021-07-30,4913,143570
2021-07-30,5183,100041
2021-07-30,9999,0
2021-07-30,35,52082566
2021-07-31,2226,82747
