Date,age group,one dose cumulative
2021-07-26,12-17yrs,6306
2021-07-26,18-29yrs,15753
2021-07-26,30-39yrs,14575
2021-07-26,40-49yrs,15116
2021-07-26,50-59yrs,17350
2021-07-26,60-69yrs,18308
2021-07-26,70-79yrs,12722
2021-07-26,80+,7184
2021-07-27,12-17yrs,6323
2021-07-27,18-29yrs,15786
2021-07-27,30-39yrs,14596
2021-07-27,40-49yrs,15147
2021-07-27,50-59yrs,17368
2021-07-27,60-69yrs,18321
2021-07-27,70-79yrs,12726
2021-07-27,80+,7185
2021-07-28,12-17yrs,6376
2021-07-28,18-29yrs,15840
2021-07-28,30-39yrs,14634
2021-07-28,40-49yrs,15178
2021-07-28,50-59yrs,17394
2021-07-28,60-69yrs,18346
2021-07-28,70-79yrs,12732
2021-07-28,80+,7188
2021-07-29,12-17yrs,6373
2021-07-29,18-29yrs,15737
2021-07-29,30-39yrs,14495
2021-07-29,40-49yrs,15123
2021-07-29,50-59yrs,17360
2021-07-29,60-69yrs,18320
2021-07-29,70-79yrs,12702
2021-07-29,80+,7186
2021-07-30,12-17yrs,6409
2021-07-30,18-29yrs,15771
2021-07-30,30-39yrs,14519
2021-07-30,40-49yrs,15145
2021-07-30,50-59yrs,17378
2021-07-30,60-69yrs,18329
2021-07-30,70-79yrs,12708
2021-07-30,80+,7189
2021-07-31,12-17yrs,6439
2021-07-31,18-29yrs,15815
2021-07-31,30-39yrs,14546
2021-07-31,40-49yrs,15164
2021-07-31,50-59yrs,17397
2021-07-31,60-69yrs,18343
2021-07-31,70-79yrs,12720
2021-07-31,80+,7190
2021-08-01,12-17yrs,6463
2021-08-01,18-29yrs,15843
2021-08-01,30-39yrs,14566
2021-08-01,40-49yrs,15176
2021-08-01,50-59yrs,17409
2021-08-01,60-69yrs,18348
2021-08-01,70-79yrs,12725
2021-08-01,80+,7192
2021-08-02,12-17yrs,6467
2021-08-02,18-29yrs,15850
2021-08-02,30-39yrs,14572
2021-08-02,40-49yrs,15178
2021-08-02,50-59yrs,17410
2021-08-02,60-69yrs,18348
2021-08-02,70-79yrs,12726
2021-08-02,80+,7193
2021-08-03,12-17yrs,6471
2021-08-03,18-29yrs,15852
2021-08-03,30-39yrs,14572
2021-08-03,40-49yrs,15181
2021-08-03,50-59yrs,17410
2021-08-03,60-69yrs,18348
2021-08-03,70-79yrs,12726
2021-08-03,80+,7193
2021-08-04,12-17yrs,6504
2021-08-04,18-29yrs,15885
2021-08-04,30-39yrs,14606
2021-08-04,40-49yrs,15197
2021-08-04,50-59yrs,17423
2021-08-04,60-69yrs,18357
2021-08-04,70-79yrs,12730
2021-08-04,80+,7194
2021-08-05,12-17yrs,6533
2021-08-05,18-29yrs,15921
2021-08-05,30-39yrs,14634
2021-08-05,40-49yrs,15217
2021-08-05,50-59yrs,17437
2021-08-05,60-69yrs,18367
2021-08-05,70-79yrs,12733
2021-08-05,80+,7196
2021-08-06,12-17yrs,6564
2021-08-06,18-29yrs,15962
2021-08-06,30-39yrs,14649
2021-08-06,40-49yrs,15230
2021-08-06,50-59yrs,17458
2021-08-06,60-69yrs,18379
2021-08-06,70-79yrs,12739
2021-08-06,80+,7200
2021-08-07,12-17yrs,6605
2021-08-07,18-29yrs,15993
2021-08-07,30-39yrs,14673
2021-08-07,40-49yrs,15256
2021-08-07,50-59yrs,17472
2021-08-07,60-69yrs,18391
2021-08-07,70-79yrs,12740
2021-08-07,80+,7203
2021-08-08,12-17yrs,6616
2021-08-08,18-29yrs,16015
2021-08-08,30-39yrs,14687
2021-08-08,40-49yrs,15264
2021-08-08,50-59yrs,17483
2021-08-08,60-69yrs,18396
2021-08-08,70-79yrs,12743
2021-08-08,80+,7204
2021-08-09,12-17yrs,6619
2021-08-09,18-29yrs,16015
2021-08-09,30-39yrs,14688
