Date,age group,one dose cumulative
2021-07-26,12-17yrs,3229
2021-07-26,18-29yrs,8137
2021-07-26,30-39yrs,7269
2021-07-26,40-49yrs,8164
2021-07-26,50-59yrs,11407
2021-07-26,60-69yrs,14584
2021-07-26,70-79yrs,10486
2021-07-26,80+,6231
2021-07-27,12-17yrs,3245
2021-07-27,18-29yrs,8121
2021-07-27,30-39yrs,7263
2021-07-27,40-49yrs,8157
2021-07-27,50-59yrs,11392
2021-07-27,60-69yrs,14520
2021-07-27,70-79yrs,10457
2021-07-27,80+,6222
2021-07-28,12-17yrs,3250
2021-07-28,18-29yrs,8150
2021-07-28,30-39yrs,7287
2021-07-28,40-49yrs,8175
2021-07-28,50-59yrs,11406
2021-07-28,60-69yrs,14535
2021-07-28,70-79yrs,10461
2021-07-28,80+,6224
2021-07-29,12-17yrs,3338
2021-07-29,18-29yrs,8290
2021-07-29,30-39yrs,7414
2021-07-29,40-49yrs,8284
2021-07-29,50-59yrs,11498
2021-07-29,60-69yrs,14598
2021-07-29,70-79yrs,10491
2021-07-29,80+,6233
2021-07-30,12-17yrs,3338
2021-07-30,18-29yrs,8310
2021-07-30,30-39yrs,7441
2021-07-30,40-49yrs,8294
2021-07-30,50-59yrs,11516
2021-07-30,60-69yrs,14612
2021-07-30,70-79yrs,10502
2021-07-30,80+,6241
2021-07-31,12-17yrs,3392
2021-07-31,18-29yrs,8345
2021-07-31,30-39yrs,7466
2021-07-31,40-49yrs,8319
2021-07-31,50-59yrs,11534
2021-07-31,60-69yrs,14625
2021-07-31,70-79yrs,10505
2021-07-31,80+,6242
2021-08-01,12-17yrs,3393
2021-08-01,18-29yrs,8345
2021-08-01,30-39yrs,7467
2021-08-01,40-49yrs,8321
2021-08-01,50-59yrs,11538
2021-08-01,60-69yrs,14625
2021-08-01,70-79yrs,10505
2021-08-01,80+,6241
2021-08-02,12-17yrs,3393
2021-08-02,18-29yrs,8346
2021-08-02,30-39yrs,7467
2021-08-02,40-49yrs,8322
2021-08-02,50-59yrs,11538
2021-08-02,60-69yrs,14625
2021-08-02,70-79yrs,10505
2021-08-02,80+,6241
2021-08-03,12-17yrs,3394
2021-08-03,18-29yrs,8349
2021-08-03,30-39yrs,7467
2021-08-03,40-49yrs,8323
2021-08-03,50-59yrs,11539
2021-08-03,60-69yrs,14625
