Date,age group,one dose cumulative
2021-07-26,12-17yrs,34025
2021-07-26,18-29yrs,79765
2021-07-26,30-39yrs,74710
2021-07-26,40-49yrs,76907
2021-07-26,50-59yrs,86632
2021-07-26,60-69yrs,74943
2021-07-26,70-79yrs,47204
2021-07-26,80+,26934
2021-07-27,12-17yrs,34184
2021-07-27,18-29yrs,79908
2021-07-27,30-39yrs,74864
2021-07-27,40-49yrs,76997
2021-07-27,50-59yrs,86702
2021-07-27,60-69yrs,74998
2021-07-27,70-79yrs,47217
2021-07-27,80+,26941
2021-07-28,12-17yrs,34332
2021-07-28,18-29yrs,80087
2021-07-28,30-39yrs,75044
2021-07-28,40-49yrs,77118
2021-07-28,50-59yrs,86790
2021-07-28,60-69yrs,75041
2021-07-28,70-79yrs,47244
2021-07-28,80+,26943
2021-07-29,12-17yrs,34551
2021-07-29,18-29yrs,80275
2021-07-29,30-39yrs,75205
2021-07-29,40-49yrs,77237
2021-07-29,50-59yrs,86890
2021-07-29,60-69yrs,75099
2021-07-29,70-79yrs,47258
2021-07-29,80+,26955
2021-07-30,12-17yrs,34745
2021-07-30,18-29yrs,80413
2021-07-30,30-39yrs,75335
2021-07-30,40-49yrs,77350
2021-07-30,50-59yrs,86966
2021-07-30,60-69yrs,75147
2021-07-30,70-79yrs,47272
2021-07-30,80+,26959
2021-07-31,12-17yrs,34914
2021-07-31,18-29yrs,80571
2021-07-31,30-39yrs,75453
2021-07-31,40-49yrs,77461
2021-07-31,50-59yrs,87061
2021-07-31,60-69yrs,75216
2021-07-31,70-79yrs,47289
2021-07-31,80+,26972
2021-08-01,12-17yrs,35068
2021-08-01,18-29yrs,80665
2021-08-01,30-39yrs,75540
2021-08-01,40-49yrs,77528
2021-08-01,50-59yrs,87111
2021-08-01,60-69yrs,75247
2021-08-01,70-79yrs,47302
2021-08-01,80+,26975
2021-08-02,12-17yrs,35166
2021-08-02,18-29yrs,80762
2021-08-02,30-39yrs,75641
2021-08-02,40-49yrs,77605
2021-08-02,50-59yrs,87162
2021-08-02,60-69yrs,75272
2021-08-02,70-79yrs,47321
2021-08-02,80+,26980
2021-08-03,12-17yrs,35245
2021-08-03,18-29yrs,80849
2021-08-03,30-39yrs,75701
2021-08-03,40-49yrs,77648
2021-08-03,50-59yrs,87198
2021-08-03,60-69yrs,75288
2021-08-03,70-79yrs,47326
2021-08-03,80+,26984
2021-08-04,12-17yrs,35367
2021-08-04,18-29yrs,80983
2021-08-04,30-39yrs,75821
2021-08-04,40-49yrs,77763
2021-08-04,50-59yrs,87262
2021-08-04,60-69yrs,75327
2021-08-04,70-79yrs,47341
2021-08-04,80+,26989
2021-08-05,12-17yrs,35488
2021-08-05,18-29yrs,81132
2021-08-05,30-39yrs,75950
2021-08-05,40-49yrs,77844
2021-08-05,50-59yrs,87341
2021-08-05,60-69yrs,75366
2021-08-05,70-79yrs,47355
2021-08-05,80+,26998
2021-08-06,12-17yrs,35643
2021-08-06,18-29yrs,81251
2021-08-06,30-39yrs,76051
2021-08-06,40-49yrs,77929
2021-08-06,50-59yrs,87402
2021-08-06,60-69yrs,75406
2021-08-06,70-79yrs,47375
2021-08-06,80+,27003
2021-08-07,12-17yrs,35762
2021-08-07,18-29yrs,81382
2021-08-07,30-39yrs,76160
2021-08-07,40-49yrs,78023
2021-08-07,50-59yrs,87463
2021-08-07,60-69yrs,75455
2021-08-07,70-79yrs,47394
2021-08-07,80+,27003
2021-08-08,12-17yrs,35865
2021-08-08,18-29yrs,81492
2021-08-08,30-39yrs,76251
2021-08-08,40-49yrs,78065
2021-08-08,50-59yrs,87496
2021-08-08,60-69yrs,75468
2021-08-08,70-79yrs,47400
2021-08-08,80+,27004
2021-08-09,12-17yrs,35953
2021-08-09,18-29yrs,81574
2021-08-09,30-39yrs,76320
2021-08-09,40-49yrs,78095
2021-08-09,50-59yrs,87518
2021-08-09,60-69yrs,75490
2021-08-09,70-79yrs,47406
2021-08-09,80+,27008
2021-08-10,12-17yrs,36074
2021-08-10,18-29yrs,81687
2021-08-10,30-39yrs,76419
2021-08-10,40-49yrs,78169
2021-08-10,50-59yrs,87572
2021-08-10,60-69yrs,75521
2021-08-10,70-79yrs,47416
2021-08-10,80+,27011
2021-08-11,12-17yrs,36171
2021-08-11,18-29yrs,81754
2021-08-11,30-39yrs,76465
2021-08-11,40-49yrs,78186
2021-08-11,50-59yrs,87560
2021-08-11,60-69yrs,75473
2021-08-11,70-79yrs,47387
2021-08-11,80+,27006
2021-08-12,12-17yrs,36289
2021-08-12,18-29yrs,81857
2021-08-12,30-39yrs,76568
2021-08-12,40-49yrs,78246
2021-08-12,50-59yrs,87621
2021-08-12,60-69yrs,75508
2021-08-12,70-79yrs,47404
2021-08-12,80+,27012
2021-08-13,12-17yrs,36402
2021-08-13,18-29yrs,82001
2021-08-13,30-39yrs,76719
2021-08-13,40-49yrs,78369
2021-08-13,50-59yrs,87752
2021-08-13,60-69yrs,75632
2021-08-13,70-79yrs,47452
2021-08-13,80+,27026
2021-08-14,12-17yrs,36497
2021-08-14,18-29yrs,82123
2021-08-14,30-39yrs,76847
2021-08-14,40-49yrs,78447
2021-08-14,50-59yrs,87826
2021-08-14,60-69yrs,75672
2021-08-14,70-79yrs,47463
2021-08-14,80+,27029
2021-08-15,12-17yrs,36561
2021-08-15,18-29yrs,82232
2021-08-15,30-39yrs,76956
2021-08-15,40-49yrs,78513
2021-08-15,50-59yrs,87881
2021-08-15,60-69yrs,75700
2021-08-15,70-79yrs,47470
2021-08-15,80+,27033
2021-08-16,12-17yrs,36637
2021-08-16,18-29yrs,82320
2021-08-16,30-39yrs,77025
2021-08-16,40-49yrs,78561
2021-08-16,50-59yrs,87921
2021-08-16,60-69yrs,75722
2021-08-16,70-79yrs,47483
2021-08-16,80+,27037
2021-08-17,12-17yrs,36750
2021-08-17,18-29yrs,82469
2021-08-17,30-39yrs,77135
2021-08-17,40-49yrs,78629
2021-08-17,50-59yrs,87977
2021-08-17,60-69yrs,75758
2021-08-17,70-79yrs,47489
2021-08-17,80+,27042
2021-08-18,12-17yrs,36861
2021-08-18,18-29yrs,82647
2021-08-18,30-39yrs,77235
2021-08-18,40-49yrs,78709
2021-08-18,50-59yrs,88063
2021-08-18,60-69yrs,75802
2021-08-18,70-79yrs,47513
2021-08-18,80+,27049
2021-08-19,12-17yrs,37143
2021-08-19,18-29yrs,82808
2021-08-19,30-39yrs,77366
2021-08-19,40-49yrs,78799
2021-08-19,50-59yrs,88116
2021-08-19,60-69yrs,75833
2021-08-19,70-79yrs,47529
2021-08-19,80+,27057
2021-08-20,12-17yrs,37551
2021-08-20,18-29yrs,82993
2021-08-20,30-39yrs,77518
2021-08-20,40-49yrs,78910
2021-08-20,50-59yrs,88209
2021-08-20,60-69yrs,75866
2021-08-20,70-79yrs,47548
2021-08-20,80+,27062
2021-08-21,12-17yrs,37870
2021-08-21,18-29yrs,83170
2021-08-21,30-39yrs,77689
2021-08-21,40-49yrs,79019
2021-08-21,50-59yrs,88293
2021-08-21,60-69yrs,75913
2021-08-21,70-79yrs,47562
2021-08-21,80+,27068
2021-08-22,12-17yrs,38016
2021-08-22,18-29yrs,83274
2021-08-22,30-39yrs,77787
2021-08-22,40-49yrs,79091
2021-08-22,50-59yrs,88341
2021-08-22,60-69yrs,75938
2021-08-22,70-79yrs,47571
2021-08-22,80+,27068
2021-08-23,12-17yrs,38137
2021-08-23,18-29yrs,83354
2021-08-23,30-39yrs,77854
2021-08-23,40-49yrs,79136
2021-08-23,50-59yrs,88380
2021-08-23,60-69yrs,75949
2021-08-23,70-79yrs,47574
2021-08-23,80+,27070
2021-08-24,12-17yrs,38394
2021-08-24,18-29yrs,83537
2021-08-24,30-39yrs,77979
2021-08-24,40-49yrs,79222
2021-08-24,50-59yrs,88453
2021-08-24,60-69yrs,75992
2021-08-24,70-79yrs,47586
2021-08-24,80+,27073
2021-08-25,12-17yrs,38581
2021-08-25,18-29yrs,83719
2021-08-25,30-39yrs,78117
2021-08-25,40-49yrs,79321
2021-08-25,50-59yrs,88531
2021-08-25,60-69yrs,76033
2021-08-25,70-79yrs,47596
2021-08-25,80+,27077
2021-08-26,12-17yrs,38771
2021-08-26,18-29yrs,83870
2021-08-26,30-39yrs,78244
2021-08-26,40-49yrs,79432
2021-08-26,50-59yrs,88594
2021-08-26,60-69yrs,76060
2021-08-26,70-79yrs,47609
2021-08-26,80+,27081
2021-08-27,12-17yrs,38891
2021-08-27,18-29yrs,83974
2021-08-27,30-39yrs,78351
2021-08-27,40-49yrs,79507
2021-08-27,50-59yrs,88638
2021-08-27,60-69yrs,76076
2021-08-27,70-79yrs,47618
2021-08-27,80+,27085
2021-08-28,12-17yrs,39002
2021-08-28,18-29yrs,84113
2021-08-28,30-39yrs,78468
2021-08-28,40-49yrs,79601
2021-08-28,50-59yrs,88703
2021-08-28,60-69yrs,76108
2021-08-28,70-79yrs,47629
2021-08-28,80+,27088
2021-08-29,12-17yrs,39159
2021-08-29,18-29yrs,84258
2021-08-29,30-39yrs,78598
2021-08-29,40-49yrs,79691
2021-08-29,50-59yrs,88774
2021-08-29,60-69yrs,76147
2021-08-29,70-79yrs,47635
2021-08-29,80+,27089
2021-08-30,12-17yrs,39193
2021-08-30,18-29yrs,84327
2021-08-30,30-39yrs,78642
2021-08-30,40-49yrs,79732
2021-08-30,50-59yrs,88798
2021-08-30,60-69yrs,76154
2021-08-30,70-79yrs,47638
2021-08-30,80+,27089
2021-08-31,12-17yrs,39290
2021-08-31,18-29yrs,84437
2021-08-31,30-39yrs,78741
2021-08-31,40-49yrs,79778
2021-08-31,50-59yrs,88848
2021-08-31,60-69yrs,76170
2021-08-31,70-79yrs,47646
2021-08-31,80+,27093
2021-09-01,12-17yrs,39428
2021-09-01,18-29yrs,84564
2021-09-01,30-39yrs,78850
2021-09-01,40-49yrs,79850
2021-09-01,50-59yrs,88905
2021-09-01,60-69yrs,76194
2021-09-01,70-79yrs,47665
2021-09-01,80+,27101
2021-09-02,12-17yrs,39579
2021-09-02,18-29yrs,84771
2021-09-02,30-39yrs,79041
2021-09-02,40-49yrs,79948
2021-09-02,50-59yrs,88970
2021-09-02,60-69yrs,76236
2021-09-02,70-79yrs,47678
2021-09-02,80+,27105
2021-09-03,12-17yrs,39759
2021-09-03,18-29yrs,85133
2021-09-03,30-39yrs,79289
2021-09-03,40-49yrs,80125
2021-09-03,50-59yrs,89073
2021-09-03,60-69yrs,76273
2021-09-03,70-79yrs,47689
2021-09-03,80+,27108
2021-09-04,12-17yrs,39977
2021-09-04,18-29yrs,85448
2021-09-04,30-39yrs,79510
2021-09-04,40-49yrs,80248
2021-09-04,50-59yrs,89128
2021-09-04,60-69yrs,76262
2021-09-04,70-79yrs,47696
2021-09-04,80+,27099
2021-09-05,12-17yrs,40107
2021-09-05,18-29yrs,85640
2021-09-05,30-39yrs,79648
2021-09-05,40-49yrs,80347
2021-09-05,50-59yrs,89177
2021-09-05,60-69yrs,76277
2021-09-05,70-79yrs,47702
2021-09-05,80+,27103
2021-09-06,12-17yrs,40240
2021-09-06,18-29yrs,85822
2021-09-06,30-39yrs,79768
2021-09-06,40-49yrs,80435
2021-09-06,50-59yrs,89223
2021-09-06,60-69yrs,76299
2021-09-06,70-79yrs,47704
2021-09-06,80+,27105
2021-09-07,12-17yrs,40344
2021-09-07,18-29yrs,85954
2021-09-07,30-39yrs,79874
2021-09-07,40-49yrs,80494
2021-09-07,50-59yrs,89254
2021-09-07,60-69yrs,76308
2021-09-07,70-79yrs,47706
2021-09-07,80+,27107
2021-09-08,12-17yrs,40544
2021-09-08,18-29yrs,86256
2021-09-08,30-39yrs,80098
2021-09-08,40-49yrs,80642
2021-09-08,50-59yrs,89340
2021-09-08,60-69yrs,76346
2021-09-08,70-79yrs,47726
2021-09-08,80+,27111
2021-09-09,12-17yrs,40673
2021-09-09,18-29yrs,86558
2021-09-09,30-39yrs,80324
2021-09-09,40-49yrs,80779
2021-09-09,50-59yrs,89433
2021-09-09,60-69yrs,76406
2021-09-09,70-79yrs,47738
2021-09-09,80+,27122
2021-09-10,12-17yrs,40738
2021-09-10,18-29yrs,86766
2021-09-10,30-39yrs,80497
2021-09-10,40-49yrs,80893
2021-09-10,50-59yrs,89501
2021-09-10,60-69yrs,76441
2021-09-10,70-79yrs,47756
2021-09-10,80+,27126
2021-09-11,12-17yrs,40872
2021-09-11,18-29yrs,86968
2021-09-11,30-39yrs,80656
2021-09-11,40-49yrs,81027
2021-09-11,50-59yrs,89575
2021-09-11,60-69yrs,76469
2021-09-11,70-79yrs,47766
2021-09-11,80+,27131
2021-09-12,12-17yrs,41015
2021-09-12,18-29yrs,87188
2021-09-12,30-39yrs,80823
2021-09-12,40-49yrs,81135
2021-09-12,50-59yrs,89654
2021-09-12,60-69yrs,76498
2021-09-12,70-79yrs,47770
2021-09-12,80+,27136
2021-09-13,12-17yrs,41043
2021-09-13,18-29yrs,87279
2021-09-13,30-39yrs,80899
2021-09-13,40-49yrs,81169
2021-09-13,50-59yrs,89682
2021-09-13,60-69yrs,76505
2021-09-13,70-79yrs,47769
2021-09-13,80+,27137
2021-09-14,12-17yrs,41146
2021-09-14,18-29yrs,87478
2021-09-14,30-39yrs,81063
2021-09-14,40-49yrs,81258
2021-09-14,50-59yrs,89753
2021-09-14,60-69yrs,76531
2021-09-14,70-79yrs,47780
2021-09-14,80+,27144
2021-09-15,12-17yrs,41257
2021-09-15,18-29yrs,87721
2021-09-15,30-39yrs,81277
2021-09-15,40-49yrs,81378
2021-09-15,50-59yrs,89829
2021-09-15,60-69yrs,76586
2021-09-15,70-79yrs,47791
2021-09-15,80+,27154
2021-09-16,12-17yrs,41344
2021-09-16,18-29yrs,87918
2021-09-16,30-39yrs,81447
2021-09-16,40-49yrs,81472
2021-09-16,50-59yrs,89893
2021-09-16,60-69yrs,76614
2021-09-16,70-79yrs,47797
2021-09-16,80+,27161
2021-09-17,12-17yrs,41443
2021-09-17,18-29yrs,88113
2021-09-17,30-39yrs,81614
2021-09-17,40-49yrs,81589
2021-09-17,50-59yrs,89982
