Date,one dose cumulative
2021-07-26,117867
2021-07-27,118077
2021-07-28,118251
2021-07-29,118374
2021-07-30,118579
2021-07-31,118779
2021-08-01,118817
2021-08-02,118828
2021-08-03,118860
2021-08-04,119038
2021-08-05,119163
2021-08-06,119258
2021-08-07,119340
2021-08-08,119393
2021-08-09,119402
2021-08-10,119504
2021-08-11,118749
2021-08-12,118855
2021-08-13,119867
2021-08-14,119944
2021-08-15,120015
2021-08-16,120042
2021-08-17,120147
2021-08-18,120336
2021-08-19,120485
2021-08-20,120669
2021-08-21,120830
2021-08-22,120870
2021-08-23,120883
2021-08-24,120986
2021-08-25,121143
2021-08-26,121258
2021-08-27,121387
2021-08-28,121534
2021-08-29,121582
2021-08-30,121603
2021-08-31,121687
2021-09-01,121825
2021-09-02,121967
2021-09-03,122136
2021-09-04,122259
2021-09-05,122333
2021-09-06,122365
2021-09-07,122372
2021-09-08,122564
2021-09-09,122764
2021-09-10,122967
2021-09-11,123162
2021-09-12,123204
2021-09-13,123238
2021-09-14,123356
2021-09-15,123505
2021-09-16,123669
2021-09-17,123808
2021-09-18,123940
2021-09-19,123991
2021-09-20,124019
2021-09-21,124142
2021-09-22,124319
2021-09-23,124476
2021-09-24,124580
2021-09-25,124753
2021-09-26,124818
2021-09-27,124863
2021-09-28,124999
2021-09-29,125167
2021-09-30,125282
2021-10-01,125339
2021-10-02,125458
2021-10-03,125505
2021-10-04,125524
2021-10-05,125610
2021-10-06,125709
2021-10-07,125805
2021-10-08,125880
2021-10-09,126057
2021-10-10,126102
2021-10-11,126126
2021-10-12,126131
2021-10-13,126240
2021-10-14,126344
2021-10-15,126437
2021-10-16,126678
2021-10-17,126735
2021-10-18,126763
2021-10-19,126815
2021-10-20,126881
2021-10-21,126977
2021-10-22,127069
2021-10-23,127148
2021-10-24,127369
2021-10-25,127424
2021-10-26,127495
2021-10-27,127554
2021-10-28,127662
2021-10-29,127722
2021-10-30,127795
2021-10-31,127817
2021-11-01,127821
2021-11-02,127868
2021-11-03,127902
2021-11-04,127948
2021-11-05,127981
2021-11-06,128048
2021-11-07,128057
2021-11-08,128098
2021-11-09,128118
2021-11-10,128175
2021-11-11,128217
2021-11-12,128245
2021-11-13,128336
2021-11-14,128351
2021-11-15,128491
2021-11-16,128533
2021-11-17,128578
2021-11-18,128626
2021-11-19,128652
2021-11-20,128737
2021-11-21,128754
2021-11-22,128767
2021-11-23,128783
2021-11-24,128815
2021-11-25,128845
2021-11-26,128870
2021-11-27,128911
2021-11-28,128918
2021-11-29,128927
2021-11-30,128966
2021-12-01,129888
2021-12-02,130102
2021-12-03,130318
2021-12-04,130677
2021-12-05,130949
2021-12-06,131080
2021-12-07,131273
2021-12-08,131387
2021-12-09,131481
2021-12-10,131669
2021-12-11,131811
2021-12-12,131928
2021-12-13,131940
2021-12-14,132060
2021-12-15,132307
2021-12-16,132533
2021-12-17,132631
2021-12-18,132813
2021-12-19,132867
2021-12-20,132875
2021-12-21,133118
2021-12-22,133336
2021-12-23,133410
2021-12-24,133486
2021-12-25,133515
2021-12-26,133515
2021-12-27,133517
2021-12-28,133535
2021-12-29,133592
2021-12-30,133830
2021-12-31,134045
2022-01-01,134108
2022-01-02,134113
2022-01-03,134130
2022-01-04,134234
2022-01-05,134295
2022-01-06,134390
2022-01-07,134511
2022-01-08,134683
2022-01-09,134708
2022-01-10,134723
2022-01-11,134852
2022-01-12,135006
2022-01-13,135152
2022-01-14,135306
2022-01-15,135431
2022-01-16,135462
2022-01-17,135472
2022-01-18,135558
2022-01-19,135648
2022-01-20,135710
2022-01-21,135754
2022-01-22,136185
2022-01-23,136191
2022-01-24,136197
2022-01-25,136259
2022-01-26,136642
2022-01-27,136958
2022-01-28,136993
2022-01-29,137060
2022-01-30,137067
2022-01-31,137068
2022-02-01,137105
2022-02-02,137233
2022-02-03,137502
2022-02-04,137540
2022-02-05,137562
2022-02-06,137583
2022-02-07,137587
2022-02-08,137616
2022-02-09,137629
2022-02-10,137642
2022-02-11,137645
2022-02-12,137662
2022-02-13,137664
2022-02-14,137706
2022-02-15,137720
2022-02-16,137733
2022-02-17,137742
2022-02-18,137761
2022-02-19,137759
2022-02-20,137762
2022-02-21,137761
2022-02-22,137762
2022-02-23,137772
2022-02-24,137776
2022-02-25,137780
2022-02-26,137787
2022-02-27,137787
2022-02-28,137785
2022-03-01,137793
2022-03-02,137796
2022-03-03,137797
2022-03-04,137802
2022-03-05,137806
2022-03-06,137806
2022-03-07,137806
2022-03-08,137816
2022-03-09,137814
2022-03-10,137833
2022-03-11,137835
2022-03-12,137844
2022-03-13,137848
2022-03-14,137848
2022-03-15,137858
2022-03-16,137865
2022-03-17,137864
2022-03-18,137866
2022-03-19,137879
2022-03-20,137881
2022-03-21,137880
2022-03-22,137894
2022-03-23,137895
2022-03-24,137899
2022-03-25,137905
2022-03-26,137911
2022-03-27,137912
