Date,age group,one dose cumulative
2021-07-26,12-17yrs,3125
2021-07-26,18-29yrs,8171
2021-07-26,30-39yrs,8166
2021-07-26,40-49yrs,8540
2021-07-26,50-59yrs,12247
2021-07-26,60-69yrs,15548
2021-07-26,70-79yrs,11346
2021-07-26,80+,5987
2021-07-27,12-17yrs,3177
2021-07-27,18-29yrs,8204
2021-07-27,30-39yrs,8183
2021-07-27,40-49yrs,8558
2021-07-27,50-59yrs,12264
2021-07-27,60-69yrs,15564
2021-07-27,70-79yrs,11347
2021-07-27,80+,5988
2021-07-28,12-17yrs,3179
2021-07-28,18-29yrs,8223
2021-07-28,30-39yrs,8195
2021-07-28,40-49yrs,8566
2021-07-28,50-59yrs,12275
2021-07-28,60-69yrs,15566
2021-07-28,70-79yrs,11353
2021-07-28,80+,5987
2021-07-29,12-17yrs,3200
2021-07-29,18-29yrs,8237
2021-07-29,30-39yrs,8206
2021-07-29,40-49yrs,8572
2021-07-29,50-59yrs,12283
2021-07-29,60-69yrs,15574
2021-07-29,70-79yrs,11353
2021-07-29,80+,5989
2021-07-30,12-17yrs,3213
2021-07-30,18-29yrs,8246
2021-07-30,30-39yrs,8214
2021-07-30,40-49yrs,8580
2021-07-30,50-59yrs,12294
2021-07-30,60-69yrs,15579
2021-07-30,70-79yrs,11356
2021-07-30,80+,5990
2021-07-31,12-17yrs,3233
2021-07-31,18-29yrs,8274
2021-07-31,30-39yrs,8235
2021-07-31,40-49yrs,8604
2021-07-31,50-59yrs,12311
2021-07-31,60-69yrs,15596
2021-07-31,70-79yrs,11358
2021-07-31,80+,5989
2021-08-01,12-17yrs,3233
2021-08-01,18-29yrs,8286
2021-08-01,30-39yrs,8241
2021-08-01,40-49yrs,8609
2021-08-01,50-59yrs,12317
2021-08-01,60-69yrs,15597
2021-08-01,70-79yrs,11357
2021-08-01,80+,5988
2021-08-02,12-17yrs,3236
2021-08-02,18-29yrs,8286
2021-08-02,30-39yrs,8245
2021-08-02,40-49yrs,8608
2021-08-02,50-59yrs,12318
2021-08-02,60-69yrs,15598
2021-08-02,70-79yrs,11357
2021-08-02,80+,5988
2021-08-03,12-17yrs,3237
2021-08-03,18-29yrs,8286
2021-08-03,30-39yrs,8247
2021-08-03,40-49yrs,8610
2021-08-03,50-59yrs,12318
2021-08-03,60-69yrs,15598
2021-08-03,70-79yrs,11358
2021-08-03,80+,5988
2021-08-04,12-17yrs,3258
2021-08-04,18-29yrs,8308
2021-08-04,30-39yrs,8261
2021-08-04,40-49yrs,8623
2021-08-04,50-59yrs,12317
2021-08-04,60-69yrs,15600
2021-08-04,70-79yrs,11363
2021-08-04,80+,5991
2021-08-05,12-17yrs,3294
2021-08-05,18-29yrs,8359
2021-08-05,30-39yrs,8287
2021-08-05,40-49yrs,8654
2021-08-05,50-59yrs,12327
2021-08-05,60-69yrs,15602
2021-08-05,70-79yrs,11365
2021-08-05,80+,5995
2021-08-06,12-17yrs,3296
2021-08-06,18-29yrs,8368
2021-08-06,30-39yrs,8301
2021-08-06,40-49yrs,8663
2021-08-06,50-59yrs,12331
2021-08-06,60-69yrs,15607
2021-08-06,70-79yrs,11370
2021-08-06,80+,5992
2021-08-07,12-17yrs,3319
2021-08-07,18-29yrs,8399
2021-08-07,30-39yrs,8338
2021-08-07,40-49yrs,8681
2021-08-07,50-59yrs,12349
2021-08-07,60-69yrs,15621
2021-08-07,70-79yrs,11373
2021-08-07,80+,5994
2021-08-08,12-17yrs,3322
2021-08-08,18-29yrs,8407
2021-08-08,30-39yrs,8339
2021-08-08,40-49yrs,8680
2021-08-08,50-59yrs,12352
2021-08-08,60-69yrs,15622
2021-08-08,70-79yrs,11373
2021-08-08,80+,5994
2021-08-09,12-17yrs,3322
2021-08-09,18-29yrs,8411
2021-08-09,30-39yrs,8343
2021-08-09,40-49yrs,8681
2021-08-09,50-59yrs,12355
2021-08-09,60-69yrs,15623
2021-08-09,70-79yrs,11373
2021-08-09,80+,5994
2021-08-10,12-17yrs,3336
2021-08-10,18-29yrs,8432
2021-08-10,30-39yrs,8374
2021-08-10,40-49yrs,8709
2021-08-10,50-59yrs,12369
2021-08-10,60-69yrs,15630
2021-08-10,70-79yrs,11372
2021-08-10,80+,5994
2021-08-11,12-17yrs,3588
2021-08-11,18-29yrs,9018
2021-08-11,30-39yrs,8879
2021-08-11,40-49yrs,9238
2021-08-11,50-59yrs,13019
2021-08-11,60-69yrs,16370
2021-08-11,70-79yrs,11778
2021-08-11,80+,6188
2021-08-12,12-17yrs,3612
2021-08-12,18-29yrs,9047
2021-08-12,30-39yrs,8905
2021-08-12,40-49yrs,9258
2021-08-12,50-59yrs,13041
2021-08-12,60-69yrs,16383
2021-08-12,70-79yrs,11781
2021-08-12,80+,6189
2021-08-13,12-17yrs,3397
2021-08-13,18-29yrs,8502
2021-08-13,30-39yrs,8424
2021-08-13,40-49yrs,8767
2021-08-13,50-59yrs,12411
2021-08-13,60-69yrs,15664
2021-08-13,70-79yrs,11381
2021-08-13,80+,5996
2021-08-14,12-17yrs,3397
2021-08-14,18-29yrs,8519
2021-08-14,30-39yrs,8441
2021-08-14,40-49yrs,8773
2021-08-14,50-59yrs,12418
2021-08-14,60-69yrs,15664
2021-08-14,70-79yrs,11385
2021-08-14,80+,5997
2021-08-15,12-17yrs,3398
2021-08-15,18-29yrs,8523
2021-08-15,30-39yrs,8445
2021-08-15,40-49yrs,8775
2021-08-15,50-59yrs,12424
2021-08-15,60-69yrs,15665
2021-08-15,70-79yrs,11385
2021-08-15,80+,5997
2021-08-16,12-17yrs,3398
2021-08-16,18-29yrs,8526
2021-08-16,30-39yrs,8448
2021-08-16,40-49yrs,8777
2021-08-16,50-59yrs,12428
2021-08-16,60-69yrs,15665
2021-08-16,70-79yrs,11386
2021-08-16,80+,5998
2021-08-17,12-17yrs,3411
2021-08-17,18-29yrs,8558
2021-08-17,30-39yrs,8473
2021-08-17,40-49yrs,8794
2021-08-17,50-59yrs,12445
2021-08-17,60-69yrs,15675
2021-08-17,70-79yrs,11396
2021-08-17,80+,5998
2021-08-18,12-17yrs,3429
2021-08-18,18-29yrs,8605
2021-08-18,30-39yrs,8514
2021-08-18,40-49yrs,8812
2021-08-18,50-59yrs,12464
2021-08-18,60-69yrs,15686
2021-08-18,70-79yrs,11398
2021-08-18,80+,5998
2021-08-19,12-17yrs,3474
2021-08-19,18-29yrs,8650
2021-08-19,30-39yrs,8547
2021-08-19,40-49yrs,8839
2021-08-19,50-59yrs,12494
2021-08-19,60-69yrs,15697
2021-08-19,70-79yrs,11402
2021-08-19,80+,6000
2021-08-20,12-17yrs,3498
2021-08-20,18-29yrs,8675
2021-08-20,30-39yrs,8568
2021-08-20,40-49yrs,8870
2021-08-20,50-59yrs,12507
2021-08-20,60-69yrs,15702
2021-08-20,70-79yrs,11402
2021-08-20,80+,6001
2021-08-21,12-17yrs,3529
2021-08-21,18-29yrs,8703
2021-08-21,30-39yrs,8587
2021-08-21,40-49yrs,8896
2021-08-21,50-59yrs,12526
2021-08-21,60-69yrs,15712
2021-08-21,70-79yrs,11402
2021-08-21,80+,6002
2021-08-22,12-17yrs,3534
2021-08-22,18-29yrs,8711
2021-08-22,30-39yrs,8596
2021-08-22,40-49yrs,8899
2021-08-22,50-59yrs,12528
2021-08-22,60-69yrs,15713
2021-08-22,70-79yrs,11402
2021-08-22,80+,6002
2021-08-23,12-17yrs,3537
2021-08-23,18-29yrs,8714
2021-08-23,30-39yrs,8598
2021-08-23,40-49yrs,8900
2021-08-23,50-59yrs,12528
2021-08-23,60-69yrs,15714
2021-08-23,70-79yrs,11402
2021-08-23,80+,6002
2021-08-24,12-17yrs,3581
2021-08-24,18-29yrs,8736
2021-08-24,30-39yrs,8627
2021-08-24,40-49yrs,8919
2021-08-24,50-59yrs,12548
2021-08-24,60-69yrs,15715
2021-08-24,70-79yrs,11402
2021-08-24,80+,6002
2021-08-25,12-17yrs,3593
