Date,age group,one dose cumulative
2021-07-26,12-17yrs,5821
2021-07-26,18-29yrs,14374
2021-07-26,30-39yrs,13577
2021-07-26,40-49yrs,14323
2021-07-26,50-59yrs,22104
2021-07-26,60-69yrs,30917
2021-07-26,70-79yrs,23637
2021-07-26,80+,13137
2021-07-27,12-17yrs,5855
2021-07-27,18-29yrs,14434
2021-07-27,30-39yrs,13614
2021-07-27,40-49yrs,14358
2021-07-27,50-59yrs,22136
2021-07-27,60-69yrs,30935
2021-07-27,70-79yrs,23651
2021-07-27,80+,13142
2021-07-28,12-17yrs,5882
2021-07-28,18-29yrs,14485
2021-07-28,30-39yrs,13651
2021-07-28,40-49yrs,14399
2021-07-28,50-59yrs,22171
2021-07-28,60-69yrs,30963
2021-07-28,70-79yrs,23660
2021-07-28,80+,13146
2021-07-29,12-17yrs,5934
2021-07-29,18-29yrs,14522
2021-07-29,30-39yrs,13679
2021-07-29,40-49yrs,14431
2021-07-29,50-59yrs,22197
2021-07-29,60-69yrs,30988
2021-07-29,70-79yrs,23667
2021-07-29,80+,13150
2021-07-30,12-17yrs,5968
2021-07-30,18-29yrs,14557
2021-07-30,30-39yrs,13695
2021-07-30,40-49yrs,14447
2021-07-30,50-59yrs,22210
2021-07-30,60-69yrs,31009
2021-07-30,70-79yrs,23672
2021-07-30,80+,13151
2021-07-31,12-17yrs,6017
2021-07-31,18-29yrs,14597
2021-07-31,30-39yrs,13718
2021-07-31,40-49yrs,14465
2021-07-31,50-59yrs,22231
2021-07-31,60-69yrs,31025
2021-07-31,70-79yrs,23680
2021-07-31,80+,13153
2021-08-01,12-17yrs,6037
2021-08-01,18-29yrs,14633
2021-08-01,30-39yrs,13741
2021-08-01,40-49yrs,14479
2021-08-01,50-59yrs,22249
2021-08-01,60-69yrs,31034
2021-08-01,70-79yrs,23684
2021-08-01,80+,13153
2021-08-02,12-17yrs,6054
2021-08-02,18-29yrs,14645
2021-08-02,30-39yrs,13756
2021-08-02,40-49yrs,14487
2021-08-02,50-59yrs,22264
2021-08-02,60-69yrs,31043
2021-08-02,70-79yrs,23683
