Date,one dose cumulative
2021-07-26,443354
2021-07-27,444112
2021-07-28,445019
2021-07-29,445648
2021-07-30,446557
2021-07-31,447524
2021-08-01,448428
2021-08-02,448642
2021-08-03,448770
2021-08-04,449076
2021-08-05,449478
2021-08-06,449781
2021-08-07,450140
2021-08-08,450369
2021-08-09,450611
2021-08-10,450997
2021-08-11,450337
2021-08-12,450725
2021-08-13,452171
2021-08-14,452631
2021-08-15,452942
2021-08-16,453225
2021-08-17,453691
2021-08-18,454048
2021-08-19,454755
2021-08-20,455347
2021-08-21,455867
2021-08-22,456321
2021-08-23,456564
2021-08-24,457158
2021-08-25,457687
2021-08-26,458214
2021-08-27,458646
2021-08-28,459098
2021-08-29,459509
2021-08-30,459823
2021-08-31,460337
2021-09-01,460839
2021-09-02,461298
2021-09-03,462031
2021-09-04,462895
2021-09-05,463371
2021-09-06,463643
2021-09-07,463750
2021-09-08,464358
2021-09-09,464845
2021-09-10,465285
2021-09-11,465702
2021-09-12,466129
2021-09-13,466299
2021-09-14,466543
2021-09-15,467067
2021-09-16,467445
2021-09-17,467847
2021-09-18,468308
2021-09-19,468642
2021-09-20,468824
2021-09-21,469223
2021-09-22,469743
2021-09-23,470291
2021-09-24,470779
2021-09-25,471335
2021-09-26,471815
2021-09-27,472045
2021-09-28,472389
2021-09-29,472828
2021-09-30,473185
2021-10-01,473550
2021-10-02,473922
2021-10-03,474216
2021-10-04,474414
2021-10-05,474702
2021-10-06,475107
2021-10-07,475350
2021-10-08,475629
2021-10-09,475968
2021-10-10,476319
2021-10-11,476451
2021-10-12,476501
2021-10-13,476833
2021-10-14,477171
2021-10-15,477448
2021-10-16,477764
2021-10-17,478013
2021-10-18,478167
2021-10-19,478381
2021-10-20,478736
2021-10-21,478993
2021-10-22,479252
2021-10-23,479547
2021-10-24,479850
2021-10-25,479946
2021-10-26,480131
2021-10-27,480361
2021-10-28,480623
2021-10-29,480850
2021-10-30,481065
2021-10-31,481267
2021-11-01,481334
2021-11-02,481508
2021-11-03,481742
2021-11-04,481987
2021-11-05,482191
2021-11-06,482278
2021-11-07,482440
2021-11-08,482618
2021-11-09,482758
2021-11-10,483003
2021-11-11,483262
2021-11-12,483478
2021-11-13,483713
2021-11-14,483924
2021-11-15,483967
2021-11-16,484150
2021-11-17,484418
2021-11-18,484627
2021-11-19,484828
2021-11-20,485056
2021-11-21,485179
2021-11-22,485224
2021-11-23,485402
2021-11-24,485632
2021-11-25,485836
2021-11-26,486053
2021-11-27,486160
2021-11-28,486231
2021-11-29,486263
2021-11-30,486360
2021-12-01,491197
2021-12-02,492049
2021-12-03,493793
2021-12-04,495893
2021-12-05,497891
2021-12-06,498085
2021-12-07,498295
2021-12-08,499354
2021-12-09,500374
2021-12-10,502450
2021-12-11,504619
2021-12-12,506736
2021-12-13,506828
2021-12-14,506928
2021-12-15,507978
2021-12-16,508961
2021-12-17,509931
2021-12-18,510933
2021-12-19,512096
2021-12-20,512119
2021-12-21,513204
2021-12-22,514150
2021-12-23,514955
2021-12-24,515574
2021-12-25,515600
2021-12-26,515614
2021-12-27,515610
2021-12-28,516586
2021-12-29,517264
2021-12-30,517866
2021-12-31,518618
2022-01-01,518683
2022-01-02,518688
2022-01-03,518670
2022-01-04,518675
2022-01-05,518871
2022-01-06,519043
2022-01-07,519260
2022-01-08,519508
2022-01-09,520342
2022-01-10,520348
2022-01-11,520385
2022-01-12,520618
2022-01-13,520908
2022-01-14,521158
2022-01-15,521432
2022-01-16,521755
2022-01-17,521808
2022-01-18,521908
2022-01-19,522147
2022-01-20,522364
2022-01-21,522682
2022-01-22,523996
2022-01-23,524835
2022-01-24,524904
2022-01-25,525073
2022-01-26,525584
2022-01-27,525978
2022-01-28,526279
2022-01-29,526616
2022-01-30,526917
2022-01-31,526941
2022-02-01,527129
2022-02-02,527413
2022-02-03,527698
2022-02-04,527937
2022-02-05,528171
2022-02-06,528324
2022-02-07,528355
2022-02-08,528514
2022-02-09,528797
2022-02-10,529076
2022-02-11,529272
2022-02-12,529515
2022-02-13,529641
2022-02-14,529910
2022-02-15,530056
2022-02-16,530240
2022-02-17,530436
2022-02-18,530588
2022-02-19,530820
2022-02-20,530975
2022-02-21,531000
2022-02-22,531005
2022-02-23,531156
2022-02-24,531300
2022-02-25,531417
2022-02-26,531533
2022-02-27,531644
2022-02-28,531663
2022-03-01,531795
2022-03-02,531980
2022-03-03,532088
2022-03-04,532177
2022-03-05,532285
2022-03-06,532342
2022-03-07,532347
2022-03-08,532364
2022-03-09,532410
2022-03-10,532434
2022-03-11,532473
2022-03-12,532527
2022-03-13,532597
2022-03-14,532603
2022-03-15,532663
2022-03-16,532724
2022-03-17,532758
2022-03-18,532786
2022-03-19,532831
2022-03-20,532864
2022-03-21,532872
2022-03-22,532915
2022-03-23,532945
2022-03-24,532981
2022-03-25,533006
2022-03-26,533038
2022-03-27,533083
