Date,age group,one dose cumulative
2021-07-26,12-17yrs,36557
2021-07-26,18-29yrs,66917
2021-07-26,30-39yrs,60705
2021-07-26,40-49yrs,77192
2021-07-26,50-59yrs,76063
2021-07-26,60-69yrs,57787
2021-07-26,70-79yrs,41277
2021-07-26,80+,26856
2021-07-27,12-17yrs,36788
2021-07-27,18-29yrs,67071
2021-07-27,30-39yrs,60821
2021-07-27,40-49yrs,77300
2021-07-27,50-59yrs,76151
2021-07-27,60-69yrs,57819
2021-07-27,70-79yrs,41300
2021-07-27,80+,26862
2021-07-28,12-17yrs,37055
2021-07-28,18-29yrs,67252
2021-07-28,30-39yrs,60966
2021-07-28,40-49yrs,77450
2021-07-28,50-59yrs,76258
2021-07-28,60-69yrs,57857
2021-07-28,70-79yrs,41318
2021-07-28,80+,26863
2021-07-29,12-17yrs,37296
2021-07-29,18-29yrs,67355
2021-07-29,30-39yrs,61058
2021-07-29,40-49yrs,77546
2021-07-29,50-59yrs,76296
2021-07-29,60-69yrs,57887
2021-07-29,70-79yrs,41336
2021-07-29,80+,26874
2021-07-30,12-17yrs,37580
2021-07-30,18-29yrs,67516
2021-07-30,30-39yrs,61200
2021-07-30,40-49yrs,77660
2021-07-30,50-59yrs,76403
2021-07-30,60-69yrs,57940
2021-07-30,70-79yrs,41363
2021-07-30,80+,26895
2021-07-31,12-17yrs,37885
2021-07-31,18-29yrs,67699
2021-07-31,30-39yrs,61349
2021-07-31,40-49yrs,77809
2021-07-31,50-59yrs,76511
2021-07-31,60-69yrs,57988
2021-07-31,70-79yrs,41382
2021-07-31,80+,26901
2021-08-01,12-17yrs,38147
2021-08-01,18-29yrs,67887
2021-08-01,30-39yrs,61495
2021-08-01,40-49yrs,77939
2021-08-01,50-59yrs,76617
2021-08-01,60-69yrs,58037
2021-08-01,70-79yrs,41397
2021-08-01,80+,26909
2021-08-02,12-17yrs,38203
2021-08-02,18-29yrs,67926
2021-08-02,30-39yrs,61544
2021-08-02,40-49yrs,77972
2021-08-02,50-59yrs,76638
2021-08-02,60-69yrs,58049
2021-08-02,70-79yrs,41400
2021-08-02,80+,26910
2021-08-03,12-17yrs,38238
2021-08-03,18-29yrs,67944
2021-08-03,30-39yrs,61569
2021-08-03,40-49yrs,77996
2021-08-03,50-59yrs,76652
2021-08-03,60-69yrs,58056
2021-08-03,70-79yrs,41404
2021-08-03,80+,26911
2021-08-04,12-17yrs,38308
2021-08-04,18-29yrs,68008
2021-08-04,30-39yrs,61645
2021-08-04,40-49yrs,78036
2021-08-04,50-59yrs,76684
2021-08-04,60-69yrs,58068
2021-08-04,70-79yrs,41415
2021-08-04,80+,26912
2021-08-05,12-17yrs,38405
