Date,age group,one dose cumulative
2021-07-26,12-17yrs,21710
2021-07-26,18-29yrs,64059
2021-07-26,30-39yrs,58261
2021-07-26,40-49yrs,53726
2021-07-26,50-59yrs,64137
2021-07-26,60-69yrs,62688
2021-07-26,70-79yrs,42248
2021-07-26,80+,27444
2021-07-27,12-17yrs,21845
2021-07-27,18-29yrs,64202
2021-07-27,30-39yrs,58384
2021-07-27,40-49yrs,53825
2021-07-27,50-59yrs,64223
2021-07-27,60-69yrs,62729
2021-07-27,70-79yrs,42264
2021-07-27,80+,27455
2021-07-28,12-17yrs,21978
2021-07-28,18-29yrs,64348
2021-07-28,30-39yrs,58508
2021-07-28,40-49yrs,53923
2021-07-28,50-59yrs,64292
2021-07-28,60-69yrs,62765
2021-07-28,70-79yrs,42282
2021-07-28,80+,27461
2021-07-29,12-17yrs,22105
2021-07-29,18-29yrs,64461
2021-07-29,30-39yrs,58593
2021-07-29,40-49yrs,53979
2021-07-29,50-59yrs,64349
2021-07-29,60-69yrs,62812
2021-07-29,70-79yrs,42293
2021-07-29,80+,27469
2021-07-30,12-17yrs,22230
2021-07-30,18-29yrs,64604
2021-07-30,30-39yrs,58685
2021-07-30,40-49yrs,54059
2021-07-30,50-59yrs,64409
2021-07-30,60-69yrs,62852
2021-07-30,70-79yrs,42311
2021-07-30,80+,27479
2021-07-31,12-17yrs,22336
2021-07-31,18-29yrs,64735
2021-07-31,30-39yrs,58803
2021-07-31,40-49yrs,54120
2021-07-31,50-59yrs,64484
2021-07-31,60-69yrs,62900
2021-07-31,70-79yrs,42329
2021-07-31,80+,27482
2021-08-01,12-17yrs,22479
2021-08-01,18-29yrs,64846
2021-08-01,30-39yrs,58892
2021-08-01,40-49yrs,54180
2021-08-01,50-59yrs,64540
2021-08-01,60-69yrs,62924
2021-08-01,70-79yrs,42340
2021-08-01,80+,27488
2021-08-02,12-17yrs,22536
2021-08-02,18-29yrs,64937
2021-08-02,30-39yrs,58942
2021-08-02,40-49yrs,54224
2021-08-02,50-59yrs,64583
2021-08-02,60-69yrs,62938
2021-08-02,70-79yrs,42342
2021-08-02,80+,27489
2021-08-03,12-17yrs,22588
2021-08-03,18-29yrs,64991
2021-08-03,30-39yrs,58987
2021-08-03,40-49yrs,54255
2021-08-03,50-59yrs,64609
2021-08-03,60-69yrs,62954
2021-08-03,70-79yrs,42342
2021-08-03,80+,27492
2021-08-04,12-17yrs,22677
2021-08-04,18-29yrs,65105
2021-08-04,30-39yrs,59074
2021-08-04,40-49yrs,54303
2021-08-04,50-59yrs,64660
2021-08-04,60-69yrs,62993
2021-08-04,70-79yrs,42356
2021-08-04,80+,27496
2021-08-05,12-17yrs,22804
2021-08-05,18-29yrs,65260
2021-08-05,30-39yrs,59177
2021-08-05,40-49yrs,54380
2021-08-05,50-59yrs,64716
2021-08-05,60-69yrs,63036
2021-08-05,70-79yrs,42378
2021-08-05,80+,27502
2021-08-06,12-17yrs,22878
2021-08-06,18-29yrs,65370
2021-08-06,30-39yrs,59265
2021-08-06,40-49yrs,54436
2021-08-06,50-59yrs,64761
2021-08-06,60-69yrs,63069
2021-08-06,70-79yrs,42394
2021-08-06,80+,27510
2021-08-07,12-17yrs,22974
2021-08-07,18-29yrs,65493
2021-08-07,30-39yrs,59386
2021-08-07,40-49yrs,54515
2021-08-07,50-59yrs,64829
2021-08-07,60-69yrs,63109
2021-08-07,70-79yrs,42412
2021-08-07,80+,27516
2021-08-08,12-17yrs,23070
2021-08-08,18-29yrs,65575
2021-08-08,30-39yrs,59460
2021-08-08,40-49yrs,54568
2021-08-08,50-59yrs,64873
2021-08-08,60-69yrs,63132
2021-08-08,70-79yrs,42427
2021-08-08,80+,27520
2021-08-09,12-17yrs,23141
2021-08-09,18-29yrs,65660
2021-08-09,30-39yrs,59531
2021-08-09,40-49yrs,54613
2021-08-09,50-59yrs,64907
2021-08-09,60-69yrs,63148
2021-08-09,70-79yrs,42430
2021-08-09,80+,27521
2021-08-10,12-17yrs,23224
2021-08-10,18-29yrs,65792
2021-08-10,30-39yrs,59619
2021-08-10,40-49yrs,54698
2021-08-10,50-59yrs,64961
2021-08-10,60-69yrs,63190
2021-08-10,70-79yrs,42443
2021-08-10,80+,27527
2021-08-11,12-17yrs,23420
2021-08-11,18-29yrs,66096
2021-08-11,30-39yrs,59777
