Date,one dose cumulative
2021-07-26,114781
2021-07-27,115024
2021-07-28,115317
2021-07-29,115555
2021-07-30,115778
2021-07-31,116055
2021-08-01,116087
2021-08-02,116105
2021-08-03,116149
2021-08-04,116371
2021-08-05,116582
2021-08-06,116783
2021-08-07,116933
2021-08-08,116972
2021-08-09,117003
2021-08-10,117304
2021-08-11,117510
2021-08-12,117808
2021-08-13,118005
2021-08-14,118277
2021-08-15,118329
2021-08-16,118341
2021-08-17,118511
2021-08-18,118763
2021-08-19,118943
2021-08-20,119258
2021-08-21,119416
2021-08-22,119433
2021-08-23,119464
2021-08-24,119710
2021-08-25,119992
2021-08-26,120176
2021-08-27,120456
2021-08-28,120645
2021-08-29,120807
2021-08-30,120846
2021-08-31,121049
2021-09-01,121227
2021-09-02,121361
2021-09-03,121741
2021-09-04,121991
2021-09-05,122036
2021-09-06,122067
2021-09-07,122078
2021-09-08,122419
2021-09-09,122720
2021-09-10,123008
2021-09-11,123164
2021-09-12,123208
2021-09-13,123276
2021-09-14,123436
2021-09-15,123901
2021-09-16,124068
2021-09-17,124524
2021-09-18,124676
2021-09-19,124727
2021-09-20,124778
2021-09-21,124924
2021-09-22,125357
2021-09-23,125489
2021-09-24,125924
2021-09-25,126101
2021-09-26,126338
2021-09-27,126344
2021-09-28,126480
2021-09-29,126745
2021-09-30,126954
2021-10-01,127274
2021-10-02,127419
2021-10-03,127442
2021-10-04,127461
2021-10-05,127635
2021-10-06,127859
2021-10-07,127986
2021-10-08,128227
2021-10-09,128372
2021-10-10,128410
2021-10-11,128418
2021-10-12,128418
2021-10-13,128635
2021-10-14,128754
2021-10-15,128951
2021-10-16,129064
2021-10-17,129183
2021-10-18,129205
2021-10-19,129261
2021-10-20,129416
2021-10-21,129497
2021-10-22,129703
2021-10-23,129810
2021-10-24,129865
2021-10-25,129867
2021-10-26,130004
2021-10-27,130132
2021-10-28,130227
2021-10-29,130391
2021-10-30,130435
2021-10-31,130454
2021-11-01,130457
2021-11-02,130522
2021-11-03,130615
2021-11-04,130671
2021-11-05,130751
2021-11-06,130760
2021-11-07,130774
2021-11-08,130796
2021-11-09,130877
2021-11-10,130974
2021-11-11,131039
2021-11-12,131074
2021-11-13,131131
2021-11-14,131159
2021-11-15,131169
2021-11-16,131231
2021-11-17,131386
2021-11-18,131416
2021-11-19,131452
2021-11-20,131502
2021-11-21,131564
2021-11-22,131570
2021-11-23,131637
2021-11-24,131734
2021-11-25,131768
2021-11-26,131828
2021-11-27,131902
2021-11-28,131920
2021-11-29,131930
2021-11-30,131978
2021-12-01,133009
2021-12-02,133359
2021-12-03,133790
2021-12-04,133831
2021-12-05,134243
2021-12-06,134257
2021-12-07,134582
2021-12-08,134887
2021-12-09,135148
2021-12-10,135553
2021-12-11,135640
2021-12-12,135926
2021-12-13,135950
2021-12-14,136013
2021-12-15,136179
2021-12-16,136283
2021-12-17,136725
2021-12-18,136789
2021-12-19,136999
2021-12-20,137016
2021-12-21,137210
2021-12-22,137299
2021-12-23,137355
2021-12-24,137483
2021-12-25,137503
2021-12-26,137503
2021-12-27,137504
2021-12-28,137527
2021-12-29,137564
2021-12-30,137591
2021-12-31,137679
2022-01-01,137709
2022-01-02,137716
2022-01-03,137811
2022-01-04,137839
2022-01-05,138055
2022-01-06,138136
2022-01-07,138347
2022-01-08,138416
2022-01-09,138832
2022-01-10,138862
2022-01-11,139025
2022-01-12,139168
2022-01-13,139246
2022-01-14,139386
2022-01-15,139492
2022-01-16,139574
2022-01-17,139591
2022-01-18,139603
2022-01-19,139671
2022-01-20,139788
2022-01-21,139966
2022-01-22,140073
2022-01-23,140164
2022-01-24,140176
2022-01-25,140254
2022-01-26,140347
2022-01-27,140411
2022-01-28,140499
2022-01-29,140557
2022-01-30,140623
2022-01-31,140625
2022-02-01,140661
2022-02-02,140707
2022-02-03,140761
2022-02-04,140786
2022-02-05,140856
2022-02-06,140906
2022-02-07,140909
2022-02-08,141003
2022-02-09,141059
2022-02-10,141092
2022-02-11,141132
2022-02-12,141177
2022-02-13,141184
2022-02-14,141249
2022-02-15,141258
2022-02-16,141282
2022-02-17,141298
2022-02-18,141325
2022-02-19,141355
2022-02-20,141358
2022-02-21,141360
2022-02-22,141364
2022-02-23,141380
2022-02-24,141388
2022-02-25,141396
2022-02-26,141419
2022-02-27,141439
2022-02-28,141442
2022-03-01,141604
2022-03-02,141829
2022-03-03,141847
2022-03-04,141859
2022-03-05,141878
2022-03-06,141882
2022-03-07,141882
2022-03-08,141889
2022-03-09,141900
2022-03-10,141904
2022-03-11,141921
2022-03-12,141931
2022-03-13,141943
2022-03-14,141944
2022-03-15,141951
2022-03-16,141968
2022-03-17,141967
2022-03-18,141981
2022-03-19,142007
2022-03-20,142006
2022-03-21,142005
2022-03-22,142005
2022-03-23,142021
2022-03-24,142031
2022-03-25,142059
2022-03-26,142066
2022-03-27,142065
