Date,one dose cumulative
2021-07-26,155789
2021-07-27,155931
2021-07-28,156174
2021-07-29,156376
2021-07-30,156488
2021-07-31,156670
2021-08-01,156758
2021-08-02,156915
2021-08-03,156997
2021-08-04,157103
2021-08-05,157298
2021-08-06,157491
2021-08-07,157621
2021-08-08,157777
2021-08-09,157848
2021-08-10,157479
2021-08-11,157748
2021-08-12,157386
2021-08-13,157230
2021-08-14,157052
2021-08-15,157144
2021-08-16,157227
2021-08-17,157319
2021-08-18,157096
2021-08-19,157303
2021-08-20,157389
2021-08-21,157608
2021-08-22,157712
2021-08-23,157773
2021-08-24,157902
2021-08-25,158083
2021-08-26,158216
2021-08-27,158542
2021-08-28,158692
2021-08-29,158801
2021-08-30,158873
2021-08-31,159258
2021-09-01,159578
2021-09-02,159753
2021-09-03,160018
2021-09-04,160359
2021-09-05,160542
2021-09-06,160596
2021-09-07,160649
2021-09-08,160874
2021-09-09,161182
2021-09-10,161508
2021-09-11,161812
2021-09-12,161929
2021-09-13,162059
2021-09-14,162200
2021-09-15,162437
2021-09-16,162684
2021-09-17,162888
2021-09-18,163112
2021-09-19,163189
2021-09-20,163291
2021-09-21,163614
2021-09-22,163927
2021-09-23,164193
2021-09-24,164490
2021-09-25,164895
2021-09-26,165010
2021-09-27,165170
2021-09-28,165358
2021-09-29,165568
2021-09-30,165820
2021-10-01,165919
2021-10-02,166168
2021-10-03,166297
2021-10-04,166429
2021-10-05,166542
2021-10-06,166705
2021-10-07,166837
2021-10-08,167002
2021-10-09,167227
2021-10-10,167350
2021-10-11,167416
2021-10-12,167450
2021-10-13,167603
2021-10-14,167769
2021-10-15,167891
2021-10-16,168070
2021-10-17,168143
2021-10-18,168201
2021-10-19,168294
2021-10-20,168417
2021-10-21,168551
2021-10-22,168723
2021-10-23,168868
2021-10-24,168918
2021-10-25,168945
2021-10-26,169059
2021-10-27,169144
2021-10-28,169274
2021-10-29,169361
2021-10-30,169450
2021-10-31,169486
2021-11-01,169503
2021-11-02,169564
2021-11-03,169644
2021-11-04,169720
2021-11-05,169821
2021-11-06,169857
2021-11-07,169892
2021-11-08,170017
2021-11-09,170122
2021-11-10,170186
2021-11-11,170332
2021-11-12,170478
2021-11-13,170611
2021-11-14,170679
2021-11-15,170700
2021-11-16,170811
2021-11-17,170916
2021-11-18,171017
2021-11-19,171147
2021-11-20,171235
2021-11-21,171263
2021-11-22,171295
2021-11-23,171337
2021-11-24,171388
2021-11-25,171464
2021-11-26,171499
2021-11-27,171540
2021-11-28,171570
2021-11-29,171595
2021-11-30,171632
2021-12-01,173640
2021-12-02,174064
2021-12-03,174448
2021-12-04,175018
2021-12-05,176064
2021-12-06,176383
2021-12-07,176707
2021-12-08,177082
2021-12-09,177545
2021-12-10,177988
2021-12-11,178474
2021-12-12,178743
2021-12-13,178939
2021-12-14,179216
2021-12-15,179432
2021-12-16,179679
2021-12-17,179904
2021-12-18,180113
2021-12-19,180351
2021-12-20,180562
2021-12-21,180888
2021-12-22,181027
2021-12-23,181288
2021-12-24,181490
2021-12-25,181539
2021-12-26,181544
2021-12-27,181581
2021-12-28,181794
2021-12-29,181981
2021-12-30,182217
2021-12-31,182516
2022-01-01,182632
2022-01-02,182634
2022-01-03,182809
2022-01-04,182989
2022-01-05,183121
2022-01-06,183279
2022-01-07,183427
2022-01-08,183576
2022-01-09,183681
2022-01-10,183744
2022-01-11,183934
2022-01-12,184069
2022-01-13,184230
2022-01-14,184327
2022-01-15,184555
2022-01-16,184684
2022-01-17,184784
2022-01-18,184804
2022-01-19,184881
2022-01-20,185015
2022-01-21,185142
2022-01-22,185248
2022-01-23,185297
2022-01-24,185320
2022-01-25,185410
2022-01-26,185482
2022-01-27,185530
2022-01-28,185604
2022-01-29,185727
2022-01-30,185820
2022-01-31,185826
2022-02-01,185868
2022-02-02,185931
2022-02-03,186007
2022-02-04,186103
2022-02-05,186217
2022-02-06,186241
2022-02-07,186250
2022-02-08,186333
2022-02-09,186376
2022-02-10,186445
2022-02-11,186503
2022-02-12,186596
2022-02-13,186627
2022-02-14,186746
2022-02-15,186778
2022-02-16,186819
2022-02-17,186854
2022-02-18,186898
2022-02-19,186914
2022-02-20,186938
2022-02-21,186938
2022-02-22,186953
2022-02-23,186989
2022-02-24,187019
2022-02-25,187053
2022-02-26,187093
2022-02-27,187115
2022-02-28,187131
2022-03-01,187151
2022-03-02,187215
2022-03-03,187273
2022-03-04,187319
2022-03-05,187336
2022-03-06,187345
2022-03-07,187360
2022-03-08,187372
2022-03-09,187387
2022-03-10,187422
2022-03-11,187467
2022-03-12,187497
2022-03-13,187511
2022-03-14,187522
2022-03-15,187529
2022-03-16,187550
2022-03-17,187583
2022-03-18,187607
2022-03-19,187640
2022-03-20,187651
2022-03-21,187663
2022-03-22,187698
2022-03-23,187713
2022-03-24,187737
2022-03-25,187763
2022-03-26,187793
2022-03-27,187807
