Date,one dose cumulative
2021-07-26,86365
2021-07-27,86663
2021-07-28,86819
2021-07-29,87005
2021-07-30,87256
2021-07-31,87520
2021-08-01,87552
2021-08-02,87558
2021-08-03,87568
2021-08-04,87710
2021-08-05,87938
2021-08-06,88101
2021-08-07,88207
2021-08-08,88227
2021-08-09,88239
2021-08-10,88417
2021-08-11,88977
2021-08-12,89075
2021-08-13,88701
2021-08-14,88747
2021-08-15,88784
2021-08-16,88793
2021-08-17,88834
2021-08-18,89040
2021-08-19,89167
2021-08-20,89226
2021-08-21,89273
2021-08-22,89302
2021-08-23,89313
2021-08-24,89348
2021-08-25,89537
2021-08-26,89652
2021-08-27,89936
2021-08-28,90015
2021-08-29,90041
2021-08-30,90056
2021-08-31,90109
2021-09-01,90269
2021-09-02,90410
2021-09-03,90788
2021-09-04,90892
2021-09-05,90956
2021-09-06,90985
2021-09-07,91007
2021-09-08,91295
2021-09-09,91604
2021-09-10,91910
2021-09-11,92054
2021-09-12,92094
2021-09-13,92124
2021-09-14,92190
2021-09-15,92513
2021-09-16,92677
2021-09-17,92975
2021-09-18,93239
2021-09-19,93287
2021-09-20,93320
2021-09-21,93395
2021-09-22,93700
2021-09-23,93922
2021-09-24,94172
2021-09-25,94293
2021-09-26,94407
2021-09-27,94417
2021-09-28,94490
2021-09-29,94743
2021-09-30,94858
2021-10-01,94908
2021-10-02,95113
2021-10-03,95136
2021-10-04,95172
2021-10-05,95230
2021-10-06,95415
2021-10-07,95499
2021-10-08,95604
2021-10-09,95678
2021-10-10,95760
2021-10-11,95784
2021-10-12,95787
2021-10-13,95920
2021-10-14,95997
2021-10-15,96133
2021-10-16,96178
2021-10-17,96265
2021-10-18,96274
2021-10-19,96313
2021-10-20,96424
2021-10-21,96484
2021-10-22,96632
2021-10-23,96671
2021-10-24,96735
2021-10-25,96744
2021-10-26,96768
2021-10-27,96882
2021-10-28,96943
2021-10-29,97045
2021-10-30,97126
2021-10-31,97196
2021-11-01,97227
2021-11-02,97286
2021-11-03,97319
2021-11-04,97372
2021-11-05,97405
2021-11-06,97450
2021-11-07,97464
2021-11-08,97527
2021-11-09,97592
2021-11-10,97636
2021-11-11,97683
2021-11-12,97731
2021-11-13,97825
2021-11-14,97832
2021-11-15,97837
2021-11-16,97896
2021-11-17,97900
2021-11-18,97931
2021-11-19,97973
2021-11-20,98031
2021-11-21,98047
2021-11-22,98056
2021-11-23,98098
2021-11-24,98117
2021-11-25,98165
2021-11-26,98181
2021-11-27,98246
2021-11-28,98282
2021-11-29,98282
2021-11-30,98327
2021-12-01,98727
2021-12-02,98879
2021-12-03,99009
2021-12-04,99084
2021-12-05,99596
2021-12-06,99602
2021-12-07,99708
2021-12-08,99956
2021-12-09,100207
2021-12-10,100374
2021-12-11,100445
2021-12-12,100837
2021-12-13,100847
2021-12-14,100911
2021-12-15,101146
2021-12-16,101207
2021-12-17,101265
2021-12-18,101335
2021-12-19,101492
2021-12-20,101502
2021-12-21,101691
2021-12-22,101754
2021-12-23,101841
2021-12-24,101893
2021-12-25,101907
2021-12-26,101908
2021-12-27,101904
2021-12-28,101931
2021-12-29,102026
2021-12-30,102128
2021-12-31,102260
2022-01-01,102287
2022-01-02,102288
2022-01-03,102298
2022-01-04,102386
2022-01-05,102468
2022-01-06,102572
2022-01-07,102684
2022-01-08,102742
2022-01-09,102831
2022-01-10,102837
2022-01-11,103050
2022-01-12,103142
2022-01-13,103269
2022-01-14,103374
2022-01-15,103477
2022-01-16,103628
2022-01-17,103631
2022-01-18,103712
2022-01-19,103834
2022-01-20,103909
2022-01-21,104009
2022-01-22,104145
2022-01-23,104240
2022-01-24,104250
2022-01-25,104322
2022-01-26,104401
2022-01-27,104468
2022-01-28,104543
2022-01-29,104613
2022-01-30,104653
2022-01-31,104658
2022-02-01,104706
2022-02-02,104744
2022-02-03,104761
2022-02-04,104784
2022-02-05,104835
2022-02-06,104841
2022-02-07,104839
2022-02-08,104871
2022-02-09,104907
2022-02-10,104885
2022-02-11,104901
2022-02-12,104962
2022-02-13,104991
2022-02-14,105023
2022-02-15,105047
2022-02-16,105058
2022-02-17,105068
2022-02-18,105076
2022-02-19,105099
2022-02-20,105114
2022-02-21,105114
2022-02-22,105116
2022-02-23,105132
2022-02-24,105141
2022-02-25,105146
2022-02-26,105161
2022-02-27,105190
2022-02-28,105191
2022-03-01,105195
2022-03-02,105203
2022-03-03,105211
2022-03-04,105217
2022-03-05,105219
2022-03-06,105229
2022-03-07,105228
2022-03-08,105232
2022-03-09,105242
2022-03-10,105255
2022-03-11,105259
2022-03-12,105262
2022-03-13,105262
2022-03-14,105262
2022-03-15,105266
2022-03-16,105278
2022-03-17,105279
2022-03-18,105283
2022-03-19,105282
2022-03-20,105283
2022-03-21,105283
2022-03-22,105287
2022-03-23,105293
2022-03-24,105307
2022-03-25,105311
2022-03-26,105314
2022-03-27,105324
