Date,age group,one dose cumulative
2021-07-26,12-17yrs,4455
2021-07-26,18-29yrs,10937
2021-07-26,30-39yrs,10044
2021-07-26,40-49yrs,10197
2021-07-26,50-59yrs,13193
2021-07-26,60-69yrs,17419
2021-07-26,70-79yrs,12802
2021-07-26,80+,7318
2021-07-27,12-17yrs,4473
2021-07-27,18-29yrs,11017
2021-07-27,30-39yrs,10092
2021-07-27,40-49yrs,10224
2021-07-27,50-59yrs,13217
2021-07-27,60-69yrs,17487
2021-07-27,70-79yrs,12829
2021-07-27,80+,7324
2021-07-28,12-17yrs,4498
2021-07-28,18-29yrs,11055
2021-07-28,30-39yrs,10118
2021-07-28,40-49yrs,10247
2021-07-28,50-59yrs,13240
2021-07-28,60-69yrs,17500
2021-07-28,70-79yrs,12836
2021-07-28,80+,7325
2021-07-29,12-17yrs,4541
2021-07-29,18-29yrs,11108
2021-07-29,30-39yrs,10147
2021-07-29,40-49yrs,10268
2021-07-29,50-59yrs,13265
2021-07-29,60-69yrs,17509
2021-07-29,70-79yrs,12839
2021-07-29,80+,7328
2021-07-30,12-17yrs,4603
2021-07-30,18-29yrs,11166
2021-07-30,30-39yrs,10184
2021-07-30,40-49yrs,10309
2021-07-30,50-59yrs,13296
2021-07-30,60-69yrs,17524
2021-07-30,70-79yrs,12843
2021-07-30,80+,7331
2021-07-31,12-17yrs,4675
2021-07-31,18-29yrs,11233
2021-07-31,30-39yrs,10221
2021-07-31,40-49yrs,10335
2021-07-31,50-59yrs,13327
2021-07-31,60-69yrs,17549
2021-07-31,70-79yrs,12847
2021-07-31,80+,7333
2021-08-01,12-17yrs,4677
2021-08-01,18-29yrs,11241
2021-08-01,30-39yrs,10226
2021-08-01,40-49yrs,10338
2021-08-01,50-59yrs,13338
2021-08-01,60-69yrs,17552
2021-08-01,70-79yrs,12847
2021-08-01,80+,7333
2021-08-02,12-17yrs,4677
2021-08-02,18-29yrs,11242
2021-08-02,30-39yrs,10227
2021-08-02,40-49yrs,10338
2021-08-02,50-59yrs,13340
2021-08-02,60-69yrs,17552
2021-08-02,70-79yrs,12849
2021-08-02,80+,7333
2021-08-03,12-17yrs,4677
2021-08-03,18-29yrs,11245
2021-08-03,30-39yrs,10228
2021-08-03,40-49yrs,10338
2021-08-03,50-59yrs,13343
2021-08-03,60-69yrs,17553
2021-08-03,70-79yrs,12851
2021-08-03,80+,7333
2021-08-04,12-17yrs,4701
2021-08-04,18-29yrs,11287
2021-08-04,30-39yrs,10249
2021-08-04,40-49yrs,10360
2021-08-04,50-59yrs,13362
2021-08-04,60-69yrs,17566
2021-08-04,70-79yrs,12852
2021-08-04,80+,7333
2021-08-05,12-17yrs,4761
2021-08-05,18-29yrs,11330
2021-08-05,30-39yrs,10284
2021-08-05,40-49yrs,10394
2021-08-05,50-59yrs,13388
2021-08-05,60-69yrs,17582
2021-08-05,70-79yrs,12860
2021-08-05,80+,7339
2021-08-06,12-17yrs,4794
2021-08-06,18-29yrs,11367
2021-08-06,30-39yrs,10313
2021-08-06,40-49yrs,10418
2021-08-06,50-59yrs,13410
2021-08-06,60-69yrs,17593
2021-08-06,70-79yrs,12864
2021-08-06,80+,7342
2021-08-07,12-17yrs,4813
2021-08-07,18-29yrs,11391
2021-08-07,30-39yrs,10336
2021-08-07,40-49yrs,10433
2021-08-07,50-59yrs,13422
2021-08-07,60-69yrs,17603
2021-08-07,70-79yrs,12866
2021-08-07,80+,7343
2021-08-08,12-17yrs,4816
2021-08-08,18-29yrs,11396
2021-08-08,30-39yrs,10340
2021-08-08,40-49yrs,10436
2021-08-08,50-59yrs,13427
2021-08-08,60-69yrs,17603
2021-08-08,70-79yrs,12866
2021-08-08,80+,7343
2021-08-09,12-17yrs,4818
2021-08-09,18-29yrs,11403
2021-08-09,30-39yrs,10340
2021-08-09,40-49yrs,10438
2021-08-09,50-59yrs,13428
2021-08-09,60-69yrs,17603
2021-08-09,70-79yrs,12866
2021-08-09,80+,7343
2021-08-10,12-17yrs,4856
2021-08-10,18-29yrs,11437
2021-08-10,30-39yrs,10380
2021-08-10,40-49yrs,10460
2021-08-10,50-59yrs,13448
2021-08-10,60-69yrs,17622
2021-08-10,70-79yrs,12873
2021-08-10,80+,7341
2021-08-11,12-17yrs,4905
2021-08-11,18-29yrs,11534
2021-08-11,30-39yrs,10454
2021-08-11,40-49yrs,10527
2021-08-11,50-59yrs,13587
2021-08-11,60-69yrs,17703
2021-08-11,70-79yrs,12871
2021-08-11,80+,7396
2021-08-12,12-17yrs,4921
2021-08-12,18-29yrs,11545
2021-08-12,30-39yrs,10469
2021-08-12,40-49yrs,10540
2021-08-12,50-59yrs,13605
2021-08-12,60-69yrs,17715
2021-08-12,70-79yrs,12882
2021-08-12,80+,7398
2021-08-13,12-17yrs,4904
2021-08-13,18-29yrs,11499
2021-08-13,30-39yrs,10427
2021-08-13,40-49yrs,10493
2021-08-13,50-59yrs,13486
