Date,age group,one dose cumulative
2021-07-26,12-17yrs,6941
2021-07-26,18-29yrs,14760
2021-07-26,30-39yrs,14662
2021-07-26,40-49yrs,15707
2021-07-26,50-59yrs,23098
2021-07-26,60-69yrs,28327
2021-07-26,70-79yrs,21059
2021-07-26,80+,11220
2021-07-27,12-17yrs,6962
2021-07-27,18-29yrs,14798
2021-07-27,30-39yrs,14677
2021-07-27,40-49yrs,15725
2021-07-27,50-59yrs,23115
2021-07-27,60-69yrs,28340
2021-07-27,70-79yrs,21065
2021-07-27,80+,11221
2021-07-28,12-17yrs,6993
2021-07-28,18-29yrs,14870
2021-07-28,30-39yrs,14710
2021-07-28,40-49yrs,15754
2021-07-28,50-59yrs,23137
2021-07-28,60-69yrs,28357
2021-07-28,70-79yrs,21073
2021-07-28,80+,11227
2021-07-29,12-17yrs,7016
2021-07-29,18-29yrs,14884
2021-07-29,30-39yrs,14725
2021-07-29,40-49yrs,15773
2021-07-29,50-59yrs,23149
2021-07-29,60-69yrs,28377
2021-07-29,70-79yrs,21074
2021-07-29,80+,11227
2021-07-30,12-17yrs,7059
2021-07-30,18-29yrs,14947
2021-07-30,30-39yrs,14766
2021-07-30,40-49yrs,15792
2021-07-30,50-59yrs,23188
2021-07-30,60-69yrs,28405
2021-07-30,70-79yrs,21079
2021-07-30,80+,11229
2021-07-31,12-17yrs,7088
2021-07-31,18-29yrs,14979
2021-07-31,30-39yrs,14786
2021-07-31,40-49yrs,15813
2021-07-31,50-59yrs,23209
2021-07-31,60-69yrs,28429
2021-07-31,70-79yrs,21083
2021-07-31,80+,11229
2021-08-01,12-17yrs,7111
2021-08-01,18-29yrs,14997
2021-08-01,30-39yrs,14806
2021-08-01,40-49yrs,15823
2021-08-01,50-59yrs,23219
2021-08-01,60-69yrs,28432
2021-08-01,70-79yrs,21086
2021-08-01,80+,11230
2021-08-02,12-17yrs,7117
2021-08-02,18-29yrs,15006
2021-08-02,30-39yrs,14811
2021-08-02,40-49yrs,15827
2021-08-02,50-59yrs,23224
2021-08-02,60-69yrs,28438
2021-08-02,70-79yrs,21087
2021-08-02,80+,11230
2021-08-03,12-17yrs,7122
2021-08-03,18-29yrs,15016
2021-08-03,30-39yrs,14817
2021-08-03,40-49yrs,15831
2021-08-03,50-59yrs,23228
2021-08-03,60-69yrs,28441
2021-08-03,70-79yrs,21089
