Date,one dose cumulative
2021-07-26,362474
2021-07-27,362988
2021-07-28,363589
2021-07-29,364027
2021-07-30,364617
2021-07-31,365195
2021-08-01,365517
2021-08-02,365664
2021-08-03,365838
2021-08-04,366299
2021-08-05,366692
2021-08-06,367011
2021-08-07,367382
2021-08-08,367677
2021-08-09,367867
2021-08-10,368254
2021-08-11,369390
2021-08-12,369797
2021-08-13,369515
2021-08-14,370044
2021-08-15,370375
2021-08-16,370535
2021-08-17,370955
2021-08-18,371393
2021-08-19,372051
2021-08-20,372576
2021-08-21,373016
2021-08-22,373362
2021-08-23,373529
2021-08-24,374003
2021-08-25,374517
2021-08-26,375009
2021-08-27,375448
2021-08-28,376084
2021-08-29,376463
2021-08-30,376620
2021-08-31,377217
2021-09-01,377753
2021-09-02,378414
2021-09-03,379462
2021-09-04,380402
2021-09-05,381124
2021-09-06,381571
2021-09-07,381822
2021-09-08,382453
2021-09-09,383030
2021-09-10,383806
2021-09-11,384465
2021-09-12,384884
2021-09-13,385121
2021-09-14,385651
2021-09-15,386072
2021-09-16,386533
2021-09-17,387206
2021-09-18,387886
2021-09-19,388372
2021-09-20,388638
2021-09-21,389408
2021-09-22,390075
2021-09-23,390730
2021-09-24,391452
2021-09-25,392388
2021-09-26,392857
2021-09-27,393112
2021-09-28,393803
2021-09-29,394251
2021-09-30,394851
2021-10-01,395207
2021-10-02,395833
2021-10-03,396111
2021-10-04,396329
2021-10-05,396870
2021-10-06,397554
2021-10-07,397890
2021-10-08,398714
2021-10-09,399367
2021-10-10,399774
2021-10-11,399955
2021-10-12,400039
2021-10-13,400389
2021-10-14,400714
2021-10-15,401144
2021-10-16,401565
2021-10-17,401781
2021-10-18,401902
2021-10-19,402256
2021-10-20,402730
2021-10-21,403332
2021-10-22,403774
2021-10-23,404099
2021-10-24,404298
2021-10-25,404383
2021-10-26,404833
2021-10-27,405308
2021-10-28,405003
2021-10-29,405330
2021-10-30,405583
2021-10-31,405746
2021-11-01,405823
2021-11-02,406048
2021-11-03,406166
2021-11-04,406422
2021-11-05,406718
2021-11-06,406913
2021-11-07,407089
2021-11-08,407273
2021-11-09,407433
2021-11-10,407588
2021-11-11,407789
2021-11-12,407988
2021-11-13,408151
2021-11-14,408284
2021-11-15,408384
2021-11-16,408612
2021-11-17,408798
2021-11-18,408959
2021-11-19,409127
2021-11-20,409293
2021-11-21,409407
2021-11-22,409468
2021-11-23,409615
2021-11-24,409764
2021-11-25,409965
2021-11-26,410125
2021-11-27,410208
2021-11-28,410310
2021-11-29,410396
2021-11-30,410636
2021-12-01,414101
2021-12-02,415691
2021-12-03,416656
2021-12-04,417979
2021-12-05,419515
2021-12-06,420533
2021-12-07,421332
2021-12-08,422115
2021-12-09,422978
2021-12-10,423536
2021-12-11,424349
2021-12-12,425301
2021-12-13,425868
2021-12-14,426400
2021-12-15,426950
2021-12-16,427547
2021-12-17,427986
2021-12-18,428492
2021-12-19,429085
2021-12-20,429483
2021-12-21,430023
2021-12-22,430806
2021-12-23,431227
2021-12-24,431610
2021-12-25,431853
2021-12-26,431870
2021-12-27,432008
2021-12-28,432270
2021-12-29,432624
2021-12-30,432981
2021-12-31,433342
2022-01-01,433658
2022-01-02,433711
2022-01-03,433924
2022-01-04,434211
2022-01-05,434651
2022-01-06,435071
2022-01-07,435509
2022-01-08,435981
2022-01-09,436439
2022-01-10,436717
2022-01-11,437166
2022-01-12,437553
2022-01-13,437956
2022-01-14,438361
2022-01-15,438790
2022-01-16,439239
2022-01-17,439562
2022-01-18,439821
2022-01-19,440070
2022-01-20,440260
2022-01-21,440446
2022-01-22,440833
2022-01-23,441102
2022-01-24,441199
2022-01-25,441377
2022-01-26,441668
2022-01-27,441959
2022-01-28,442111
2022-01-29,442365
2022-01-30,442508
2022-01-31,442605
2022-02-01,442654
2022-02-02,442855
2022-02-03,443037
2022-02-04,443206
2022-02-05,443401
2022-02-06,443550
2022-02-07,443631
2022-02-08,443792
2022-02-09,443898
2022-02-10,444095
2022-02-11,444261
2022-02-12,444418
2022-02-13,444575
2022-02-14,444811
2022-02-15,444959
2022-02-16,445092
2022-02-17,445234
2022-02-18,445342
2022-02-19,445463
2022-02-20,445530
2022-02-21,445568
2022-02-22,445606
2022-02-23,445713
2022-02-24,445805
2022-02-25,445871
2022-02-26,445971
2022-02-27,446016
2022-02-28,446039
2022-03-01,446111
2022-03-02,446175
2022-03-03,446230
2022-03-04,446278
2022-03-05,446363
2022-03-06,446391
2022-03-07,446407
2022-03-08,446454
2022-03-09,446503
2022-03-10,446539
2022-03-11,446572
2022-03-12,446615
2022-03-13,446647
2022-03-14,446662
2022-03-15,446701
2022-03-16,446748
2022-03-17,446808
2022-03-18,446840
2022-03-19,446885
2022-03-20,446915
2022-03-21,446932
2022-03-22,446984
2022-03-23,447023
2022-03-24,447050
2022-03-25,447075
2022-03-26,447112
2022-03-27,447144
