Date,one dose cumulative
2021-07-26,335350
2021-07-27,335987
2021-07-28,336428
2021-07-29,336969
2021-07-30,337577
2021-07-31,338027
2021-08-01,338396
2021-08-02,338578
2021-08-03,338653
2021-08-04,339079
2021-08-05,339436
2021-08-06,339837
2021-08-07,340165
2021-08-08,340370
2021-08-09,340554
2021-08-10,340976
2021-08-11,341439
2021-08-12,341812
2021-08-13,342097
2021-08-14,342643
2021-08-15,343010
2021-08-16,343176
2021-08-17,343530
2021-08-18,343883
2021-08-19,344386
2021-08-20,344987
2021-08-21,345406
2021-08-22,345678
2021-08-23,345897
2021-08-24,346449
2021-08-25,347021
2021-08-26,347515
2021-08-27,347929
2021-08-28,348495
2021-08-29,348816
2021-08-30,349093
2021-08-31,349593
2021-09-01,350032
2021-09-02,350700
2021-09-03,351563
2021-09-04,352675
2021-09-05,353240
2021-09-06,353606
2021-09-07,353803
2021-09-08,354357
2021-09-09,355098
2021-09-10,355758
2021-09-11,356461
2021-09-12,356772
2021-09-13,357023
2021-09-14,357782
2021-09-15,358315
2021-09-16,358864
2021-09-17,359392
2021-09-18,359953
2021-09-19,360344
2021-09-20,360674
2021-09-21,361318
2021-09-22,361856
2021-09-23,362573
2021-09-24,363230
2021-09-25,363790
2021-09-26,364260
2021-09-27,364599
2021-09-28,365037
2021-09-29,365405
2021-09-30,365783
2021-10-01,366184
2021-10-02,366634
2021-10-03,366820
2021-10-04,367101
2021-10-05,367343
2021-10-06,367540
2021-10-07,367813
2021-10-08,368050
2021-10-09,368572
2021-10-10,368855
2021-10-11,368995
2021-10-12,369094
2021-10-13,369200
2021-10-14,369466
2021-10-15,369764
2021-10-16,370003
2021-10-17,370250
2021-10-18,370461
2021-10-19,370692
2021-10-20,370958
2021-10-21,371214
2021-10-22,371508
2021-10-23,371762
2021-10-24,371904
2021-10-25,372019
2021-10-26,372145
2021-10-27,372318
2021-10-28,372543
2021-10-29,372705
2021-10-30,372946
2021-10-31,373121
2021-11-01,373190
2021-11-02,373280
2021-11-03,373374
2021-11-04,373604
2021-11-05,373988
2021-11-06,374173
2021-11-07,374294
2021-11-08,374493
2021-11-09,374664
2021-11-10,374745
2021-11-11,374896
2021-11-12,375150
2021-11-13,375412
2021-11-14,375565
2021-11-15,375659
2021-11-16,375892
2021-11-17,376064
2021-11-18,376249
2021-11-19,376319
2021-11-20,376321
2021-11-21,376413
2021-11-22,376512
2021-11-23,376645
2021-11-24,376764
2021-11-25,376871
2021-11-26,376981
2021-11-27,376999
2021-11-28,377089
2021-11-29,377115
2021-11-30,377136
2021-12-01,379305
2021-12-02,380011
2021-12-03,380710
2021-12-04,381523
2021-12-05,382293
2021-12-06,382896
2021-12-07,383597
2021-12-08,384051
2021-12-09,384488
2021-12-10,385092
2021-12-11,385736
2021-12-12,386306
2021-12-13,386738
2021-12-14,387255
2021-12-15,387802
2021-12-16,388445
2021-12-17,388985
2021-12-18,389673
2021-12-19,390258
2021-12-20,390636
2021-12-21,390758
2021-12-22,391086
2021-12-23,391329
2021-12-24,391749
2021-12-25,391801
2021-12-26,391805
2021-12-27,391836
2021-12-28,391948
2021-12-29,392472
2021-12-30,392604
2021-12-31,392957
2022-01-01,393039
2022-01-02,393104
2022-01-03,393370
2022-01-04,393596
2022-01-05,393803
2022-01-06,394062
2022-01-07,394545
2022-01-08,394993
2022-01-09,395132
2022-01-10,395319
2022-01-11,395603
2022-01-12,395648
2022-01-13,396107
2022-01-14,396605
2022-01-15,396940
2022-01-16,397222
2022-01-17,397408
2022-01-18,397191
2022-01-19,397242
2022-01-20,397453
2022-01-21,397860
2022-01-22,398356
2022-01-23,398635
2022-01-24,398800
2022-01-25,399071
2022-01-26,399222
2022-01-27,399469
2022-01-28,399770
2022-01-29,400035
2022-01-30,400199
2022-01-31,400294
2022-02-01,400484
2022-02-02,400721
2022-02-03,400944
2022-02-04,401037
2022-02-05,401208
2022-02-06,401385
2022-02-07,401453
2022-02-08,401612
2022-02-09,401706
2022-02-10,401873
2022-02-11,401932
2022-02-12,402030
2022-02-13,402138
2022-02-14,402312
2022-02-15,402386
2022-02-16,402441
2022-02-17,402540
2022-02-18,402624
2022-02-19,402715
2022-02-20,402769
2022-02-21,402831
2022-02-22,402881
2022-02-23,402948
2022-02-24,403051
2022-02-25,403124
2022-02-26,403198
2022-02-27,403276
2022-02-28,403299
2022-03-01,403360
2022-03-02,403398
2022-03-03,403451
2022-03-04,403501
2022-03-05,403556
2022-03-06,403593
2022-03-07,403614
2022-03-08,403640
2022-03-09,403687
2022-03-10,403719
2022-03-11,403773
2022-03-12,403817
2022-03-13,403845
2022-03-14,403857
2022-03-15,403907
2022-03-16,403930
2022-03-17,403960
2022-03-18,403979
2022-03-19,404009
2022-03-20,404031
2022-03-21,404037
2022-03-22,404065
2022-03-23,404085
2022-03-24,404145
2022-03-25,404185
2022-03-26,404235
2022-03-27,404272
