Date,age group,one dose cumulative
2021-07-26,12-17yrs,4132
2021-07-26,18-29yrs,9745
2021-07-26,30-39yrs,8183
2021-07-26,40-49yrs,7693
2021-07-26,50-59yrs,9160
2021-07-26,60-69yrs,10098
2021-07-26,70-79yrs,6080
2021-07-26,80+,3192
2021-07-27,12-17yrs,4189
2021-07-27,18-29yrs,9780
2021-07-27,30-39yrs,8188
2021-07-27,40-49yrs,7715
2021-07-27,50-59yrs,9176
2021-07-27,60-69yrs,10106
2021-07-27,70-79yrs,6083
2021-07-27,80+,3193
2021-07-28,12-17yrs,4230
2021-07-28,18-29yrs,9807
2021-07-28,30-39yrs,8204
2021-07-28,40-49yrs,7736
2021-07-28,50-59yrs,9188
2021-07-28,60-69yrs,10113
2021-07-28,70-79yrs,6085
2021-07-28,80+,3195
2021-07-29,12-17yrs,4269
2021-07-29,18-29yrs,9854
2021-07-29,30-39yrs,8238
2021-07-29,40-49yrs,7760
2021-07-29,50-59yrs,9216
2021-07-29,60-69yrs,10121
2021-07-29,70-79yrs,6093
2021-07-29,80+,3196
2021-07-30,12-17yrs,4283
2021-07-30,18-29yrs,9867
2021-07-30,30-39yrs,8249
2021-07-30,40-49yrs,7768
2021-07-30,50-59yrs,9226
2021-07-30,60-69yrs,10123
2021-07-30,70-79yrs,6094
2021-07-30,80+,3198
2021-07-31,12-17yrs,4287
2021-07-31,18-29yrs,9874
2021-07-31,30-39yrs,8250
2021-07-31,40-49yrs,7780
2021-07-31,50-59yrs,9231
2021-07-31,60-69yrs,10127
2021-07-31,70-79yrs,6094
2021-07-31,80+,3199
2021-08-01,12-17yrs,4287
2021-08-01,18-29yrs,9876
2021-08-01,30-39yrs,8251
2021-08-01,40-49yrs,7780
2021-08-01,50-59yrs,9231
2021-08-01,60-69yrs,10127
2021-08-01,70-79yrs,6094
2021-08-01,80+,3199
2021-08-02,12-17yrs,4288
2021-08-02,18-29yrs,9876
2021-08-02,30-39yrs,8251
2021-08-02,40-49yrs,7781
2021-08-02,50-59yrs,9231
2021-08-02,60-69yrs,10127
2021-08-02,70-79yrs,6094
2021-08-02,80+,3199
2021-08-03,12-17yrs,4288
2021-08-03,18-29yrs,9880
2021-08-03,30-39yrs,8254
2021-08-03,40-49yrs,7781
2021-08-03,50-59yrs,9230
2021-08-03,60-69yrs,10128
2021-08-03,70-79yrs,6094
2021-08-03,80+,3199
2021-08-04,12-17yrs,4284
2021-08-04,18-29yrs,9891
2021-08-04,30-39yrs,8264
2021-08-04,40-49yrs,7785
2021-08-04,50-59yrs,9235
2021-08-04,60-69yrs,10129
2021-08-04,70-79yrs,6103
2021-08-04,80+,3200
2021-08-05,12-17yrs,4299
2021-08-05,18-29yrs,9920
2021-08-05,30-39yrs,8291
2021-08-05,40-49yrs,7804
2021-08-05,50-59yrs,9249
2021-08-05,60-69yrs,10137
2021-08-05,70-79yrs,6104
2021-08-05,80+,3202
2021-08-06,12-17yrs,4326
2021-08-06,18-29yrs,9971
2021-08-06,30-39yrs,8330
2021-08-06,40-49yrs,7834
2021-08-06,50-59yrs,9267
2021-08-06,60-69yrs,10162
2021-08-06,70-79yrs,6111
2021-08-06,80+,3206
2021-08-07,12-17yrs,4331
2021-08-07,18-29yrs,9986
2021-08-07,30-39yrs,8342
2021-08-07,40-49yrs,7844
2021-08-07,50-59yrs,9284
2021-08-07,60-69yrs,10179
2021-08-07,70-79yrs,6119
2021-08-07,80+,3207
2021-08-08,12-17yrs,4328
2021-08-08,18-29yrs,9987
2021-08-08,30-39yrs,8343
2021-08-08,40-49yrs,7847
2021-08-08,50-59yrs,9284
2021-08-08,60-69yrs,10179
2021-08-08,70-79yrs,6119
2021-08-08,80+,3207
2021-08-09,12-17yrs,4328
