Date,age group,one dose cumulative
2021-07-26,12-17yrs,4147
2021-07-26,18-29yrs,10114
2021-07-26,30-39yrs,9486
2021-07-26,40-49yrs,10184
2021-07-26,50-59yrs,14915
2021-07-26,60-69yrs,18766
2021-07-26,70-79yrs,13241
2021-07-26,80+,7773
2021-07-27,12-17yrs,4151
2021-07-27,18-29yrs,10149
2021-07-27,30-39yrs,9504
2021-07-27,40-49yrs,10210
2021-07-27,50-59yrs,14951
2021-07-27,60-69yrs,18799
2021-07-27,70-79yrs,13250
2021-07-27,80+,7777
2021-07-28,12-17yrs,4158
2021-07-28,18-29yrs,10185
2021-07-28,30-39yrs,9541
2021-07-28,40-49yrs,10234
2021-07-28,50-59yrs,14975
2021-07-28,60-69yrs,18843
2021-07-28,70-79yrs,13276
2021-07-28,80+,7787
2021-07-29,12-17yrs,4178
2021-07-29,18-29yrs,10204
2021-07-29,30-39yrs,9565
2021-07-29,40-49yrs,10271
2021-07-29,50-59yrs,15020
2021-07-29,60-69yrs,18893
2021-07-29,70-79yrs,13291
2021-07-29,80+,7795
2021-07-30,12-17yrs,4222
2021-07-30,18-29yrs,10266
2021-07-30,30-39yrs,9612
2021-07-30,40-49yrs,10305
2021-07-30,50-59yrs,15063
2021-07-30,60-69yrs,18938
2021-07-30,70-79yrs,13310
2021-07-30,80+,7804
2021-07-31,12-17yrs,4255
2021-07-31,18-29yrs,10291
2021-07-31,30-39yrs,9630
2021-07-31,40-49yrs,10330
2021-07-31,50-59yrs,15084
2021-07-31,60-69yrs,18963
2021-07-31,70-79yrs,13321
2021-07-31,80+,7810
2021-08-01,12-17yrs,4274
2021-08-01,18-29yrs,10309
2021-08-01,30-39yrs,9638
2021-08-01,40-49yrs,10339
2021-08-01,50-59yrs,15093
2021-08-01,60-69yrs,18973
2021-08-01,70-79yrs,13326
2021-08-01,80+,7810
2021-08-02,12-17yrs,4278
2021-08-02,18-29yrs,10312
2021-08-02,30-39yrs,9647
2021-08-02,40-49yrs,10343
2021-08-02,50-59yrs,15095
2021-08-02,60-69yrs,18977
2021-08-02,70-79yrs,13327
2021-08-02,80+,7810
2021-08-03,12-17yrs,4281
2021-08-03,18-29yrs,10318
2021-08-03,30-39yrs,9651
2021-08-03,40-49yrs,10346
2021-08-03,50-59yrs,15096
2021-08-03,60-69yrs,18980
2021-08-03,70-79yrs,13327
2021-08-03,80+,7810
2021-08-04,12-17yrs,4302
2021-08-04,18-29yrs,10329
2021-08-04,30-39yrs,9674
2021-08-04,40-49yrs,10365
2021-08-04,50-59yrs,15112
2021-08-04,60-69yrs,18993
2021-08-04,70-79yrs,13331
2021-08-04,80+,7812
2021-08-05,12-17yrs,4312
2021-08-05,18-29yrs,10343
2021-08-05,30-39yrs,9698
2021-08-05,40-49yrs,10389
2021-08-05,50-59yrs,15138
2021-08-05,60-69yrs,19008
2021-08-05,70-79yrs,13338
2021-08-05,80+,7816
2021-08-06,12-17yrs,4320
2021-08-06,18-29yrs,10363
2021-08-06,30-39yrs,9709
2021-08-06,40-49yrs,10407
2021-08-06,50-59yrs,15156
2021-08-06,60-69yrs,19024
2021-08-06,70-79yrs,13348
2021-08-06,80+,7817
2021-08-07,12-17yrs,4345
2021-08-07,18-29yrs,10401
2021-08-07,30-39yrs,9733
2021-08-07,40-49yrs,10445
2021-08-07,50-59yrs,15190
2021-08-07,60-69yrs,19044
2021-08-07,70-79yrs,13352
2021-08-07,80+,7819
2021-08-08,12-17yrs,4349
2021-08-08,18-29yrs,10405
2021-08-08,30-39yrs,9740
2021-08-08,40-49yrs,10453
2021-08-08,50-59yrs,15192
2021-08-08,60-69yrs,19045
2021-08-08,70-79yrs,13354
2021-08-08,80+,7820
2021-08-09,12-17yrs,4349
2021-08-09,18-29yrs,10408
2021-08-09,30-39yrs,9741
2021-08-09,40-49yrs,10454
2021-08-09,50-59yrs,15194
2021-08-09,60-69yrs,19047
2021-08-09,70-79yrs,13354
2021-08-09,80+,7820
2021-08-10,12-17yrs,4355
2021-08-10,18-29yrs,10469
2021-08-10,30-39yrs,9794
2021-08-10,40-49yrs,10490
2021-08-10,50-59yrs,15257
2021-08-10,60-69yrs,19093
2021-08-10,70-79yrs,13366
2021-08-10,80+,7783
2021-08-11,12-17yrs,4332
2021-08-11,18-29yrs,10357
2021-08-11,30-39yrs,9655
2021-08-11,40-49yrs,10309
2021-08-11,50-59yrs,14996
2021-08-11,60-69yrs,18693
2021-08-11,70-79yrs,13117
2021-08-11,80+,7716
2021-08-12,12-17yrs,4357
2021-08-12,18-29yrs,10407
2021-08-12,30-39yrs,9683
2021-08-12,40-49yrs,10336
2021-08-12,50-59yrs,15034
2021-08-12,60-69yrs,18715
2021-08-12,70-79yrs,13129
2021-08-12,80+,7722
2021-08-13,12-17yrs,4430
2021-08-13,18-29yrs,10613
2021-08-13,30-39yrs,9894
2021-08-13,40-49yrs,10569
2021-08-13,50-59yrs,15356
2021-08-13,60-69yrs,19164
2021-08-13,70-79yrs,13409
2021-08-13,80+,7797
2021-08-14,12-17yrs,4466
2021-08-14,18-29yrs,10669
2021-08-14,30-39yrs,9941
2021-08-14,40-49yrs,10598
2021-08-14,50-59yrs,15382
2021-08-14,60-69yrs,19199
2021-08-14,70-79yrs,13427
2021-08-14,80+,7801
2021-08-15,12-17yrs,4468
2021-08-15,18-29yrs,10674
2021-08-15,30-39yrs,9946
2021-08-15,40-49yrs,10603
2021-08-15,50-59yrs,15384
2021-08-15,60-69yrs,19200
2021-08-15,70-79yrs,13428
2021-08-15,80+,7801
2021-08-16,12-17yrs,4468
2021-08-16,18-29yrs,10681
2021-08-16,30-39yrs,9949
2021-08-16,40-49yrs,10603
2021-08-16,50-59yrs,15384
2021-08-16,60-69yrs,19200
2021-08-16,70-79yrs,13428
2021-08-16,80+,7801
2021-08-17,12-17yrs,4515
2021-08-17,18-29yrs,10750
2021-08-17,30-39yrs,9990
2021-08-17,40-49yrs,10638
2021-08-17,50-59yrs,15419
2021-08-17,60-69yrs,19264
2021-08-17,70-79yrs,13457
2021-08-17,80+,7815
2021-08-18,12-17yrs,4560
2021-08-18,18-29yrs,10829
2021-08-18,30-39yrs,10051
2021-08-18,40-49yrs,10697
2021-08-18,50-59yrs,15499
2021-08-18,60-69yrs,19342
2021-08-18,70-79yrs,13505
2021-08-18,80+,7821
2021-08-19,12-17yrs,4598
2021-08-19,18-29yrs,10861
